Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.004422,0.004448,0.004395,0.004402,60807.0,2023-01-01 00:00:00
0.004488,0.004493,0.004462,0.004466,3206223.0,2023-01-01 01:00:00
0.004447,0.0045,0.0044,0.0044,2068913.0,2023-01-01 02:00:00
0.004432,0.004473,0.004429,0.004429,555554.0,2023-01-01 03:00:00
0.004464,0.00449,0.004429,0.004429,219071.0,2023-01-01 04:00:00
0.004392,0.00442,0.004374,0.004417,305470.0,2023-01-01 05:00:00
0.004401,0.004401,0.004401,0.004401,90267.0,2023-01-01 06:00:00
0.004376,0.004394,0.0042,0.004311,737480.0,2023-01-01 07:00:00
0.004296,0.004382,0.004296,0.004382,84128.0,2023-01-01 08:00:00
0.004421,0.004421,0.004358,0.004358,162794.0,2023-01-01 09:00:00
0.004415,0.004439,0.004411,0.004419,50145.0,2023-01-01 10:00:00
0.004405,0.004408,0.004346,0.004346,365920.0,2023-01-01 11:00:00
0.004372,0.004372,0.004296,0.004352,243730.0,2023-01-01 12:00:00
0.004389,0.004437,0.004372,0.004437,53103.0,2023-01-01 13:00:00
0.004437,0.004474,0.004437,0.004474,161207.0,2023-01-01 14:00:00
0.004443,0.004455,0.004443,0.004453,677953.0,2023-01-01 15:00:00
0.004451,0.004467,0.004432,0.00444,2185639.0,2023-01-01 16:00:00
0.004454,0.004484,0.004454,0.004484,530098.0,2023-01-01 17:00:00
0.00454,0.004559,0.00451,0.00451,819203.0,2023-01-01 18:00:00
0.004506,0.004546,0.004506,0.004546,1379361.0,2023-01-01 19:00:00
0.004557,0.00465,0.004546,0.004615,1977250.0,2023-01-01 20:00:00
0.004596,0.00461,0.004516,0.004574,457816.0,2023-01-01 21:00:00
0.004579,0.004805,0.004555,0.004581,3185659.0,2023-01-01 22:00:00
0.004599,0.004637,0.004596,0.004637,199702.0,2023-01-01 23:00:00
0.004644,0.004644,0.004531,0.004531,800705.0,2023-01-02 00:00:00
0.004548,0.004588,0.004475,0.004481,876357.0,2023-01-02 01:00:00
0.004448,0.004509,0.004414,0.004502,402942.0,2023-01-02 02:00:00
0.004531,0.004567,0.004485,0.004567,597028.0,2023-01-02 03:00:00
0.004567,0.004589,0.004313,0.004529,4882617.0,2023-01-02 04:00:00
0.004533,0.00456,0.004477,0.004519,1095540.0,2023-01-02 05:00:00
0.004495,0.004611,0.004495,0.004607,448950.0,2023-01-02 06:00:00
0.00458,0.004611,0.00458,0.004597,1745588.0,2023-01-02 07:00:00
0.00457,0.004605,0.004555,0.004577,5705542.0,2023-01-02 08:00:00
0.004576,0.004591,0.004536,0.004591,860809.0,2023-01-02 09:00:00
0.004582,0.004586,0.00456,0.00456,578648.0,2023-01-02 10:00:00
0.004566,0.004569,0.004542,0.00455,1639116.0,2023-01-02 11:00:00
0.004565,0.004586,0.004557,0.004573,335708.0,2023-01-02 12:00:00
0.00457,0.004579,0.004513,0.00454,2867310.0,2023-01-02 13:00:00
0.004558,0.004576,0.004523,0.004523,1051931.0,2023-01-02 14:00:00
0.004509,0.004523,0.004419,0.00442,2882397.0,2023-01-02 15:00:00
0.004419,0.004449,0.004378,0.004412,684872.0,2023-01-02 16:00:00
0.004392,0.004415,0.004392,0.004415,59130.0,2023-01-02 17:00:00
0.004413,0.004436,0.004388,0.004388,111850.0,2023-01-02 18:00:00
0.00434,0.004415,0.004308,0.004415,617067.0,2023-01-02 19:00:00
0.004392,0.004417,0.004327,0.004417,1318061.0,2023-01-02 20:00:00
0.00441,0.004433,0.004385,0.0044,517949.0,2023-01-02 21:00:00
0.004417,0.00444,0.004417,0.004438,71221.0,2023-01-02 22:00:00
0.004429,0.004494,0.004429,0.004491,2593426.0,2023-01-02 23:00:00
0.004497,0.004502,0.004487,0.004491,560034.0,2023-01-03 00:00:00
0.004496,0.00452,0.004496,0.004501,1271277.0,2023-01-03 01:00:00
0.004528,0.004546,0.004496,0.004496,822137.0,2023-01-03 02:00:00
0.00449,0.004499,0.004467,0.004467,845536.0,2023-01-03 03:00:00
0.004482,0.004483,0.004456,0.00447,735738.0,2023-01-03 04:00:00
0.00446,0.004484,0.004448,0.004455,1703371.0,2023-01-03 05:00:00
0.004457,0.004483,0.004457,0.004474,1090716.0,2023-01-03 06:00:00
0.004474,0.004474,0.004421,0.004468,576551.0,2023-01-03 07:00:00
0.004489,0.0045,0.004489,0.0045,81365.0,2023-01-03 08:00:00
0.004469,0.004474,0.004456,0.004474,88730.0,2023-01-03 09:00:00
0.004473,0.004492,0.00447,0.00447,160077.0,2023-01-03 10:00:00
0.004495,0.004495,0.00447,0.00447,71979.0,2023-01-03 11:00:00
0.004484,0.004541,0.004483,0.004535,685824.0,2023-01-03 12:00:00
0.00451,0.00452,0.004499,0.00452,464032.0,2023-01-03 13:00:00
0.004506,0.004506,0.004506,0.004506,33417.0,2023-01-03 14:00:00
0.004517,0.004563,0.004516,0.004531,1243294.0,2023-01-03 15:00:00
0.00456,0.004598,0.004555,0.004571,1942610.0,2023-01-03 16:00:00
0.004586,0.004612,0.004586,0.004612,871738.0,2023-01-03 17:00:00
0.004612,0.004616,0.004552,0.004558,1018093.0,2023-01-03 18:00:00
0.00456,0.00456,0.004528,0.004544,266290.0,2023-01-03 19:00:00
0.004544,0.004585,0.004529,0.004585,2285185.0,2023-01-03 20:00:00
0.004578,0.004583,0.004557,0.004583,924651.0,2023-01-03 21:00:00
0.004589,0.004651,0.004568,0.004593,5084303.0,2023-01-03 22:00:00
0.004604,0.004618,0.004556,0.004565,4993420.0,2023-01-03 23:00:00
0.004575,0.004581,0.004553,0.004553,1174312.0,2023-01-04 00:00:00
0.004582,0.004582,0.004559,0.004568,1372020.0,2023-01-04 01:00:00
0.004559,0.004571,0.004556,0.004559,826317.0,2023-01-04 02:00:00
0.004561,0.004589,0.004538,0.004589,1309969.0,2023-01-04 03:00:00
0.004562,0.004575,0.004558,0.004562,159510.0,2023-01-04 04:00:00
0.004567,0.004567,0.004567,0.004567,62209.0,2023-01-04 05:00:00
0.004528,0.004567,0.004528,0.004567,223464.0,2023-01-04 06:00:00
0.004562,0.004562,0.004535,0.004539,919858.0,2023-01-04 07:00:00
0.004542,0.004562,0.004539,0.004555,425431.0,2023-01-04 08:00:00
0.004545,0.004579,0.004545,0.00457,565725.0,2023-01-04 09:00:00
0.00457,0.004592,0.004537,0.004537,1787825.0,2023-01-04 10:00:00
0.004532,0.00455,0.004469,0.004469,1549813.0,2023-01-04 11:00:00
0.004487,0.004544,0.004475,0.004544,1058052.0,2023-01-04 12:00:00
0.004545,0.004557,0.004532,0.004542,652140.0,2023-01-04 13:00:00
0.004487,0.004497,0.004428,0.004454,1103539.0,2023-01-04 14:00:00
0.004464,0.004473,0.004413,0.004413,216726.0,2023-01-04 15:00:00
0.004447,0.004469,0.004439,0.004463,1010861.0,2023-01-04 16:00:00
0.004455,0.004477,0.004455,0.00447,926622.0,2023-01-04 17:00:00
0.004479,0.004492,0.004443,0.004492,858785.0,2023-01-04 18:00:00
0.00449,0.004498,0.00449,0.004491,239461.0,2023-01-04 19:00:00
0.004494,0.004494,0.004471,0.004477,336249.0,2023-01-04 20:00:00
0.004438,0.004474,0.004413,0.004465,2183144.0,2023-01-04 21:00:00
0.00446,0.004462,0.004442,0.004445,1830715.0,2023-01-04 22:00:00
0.004454,0.004477,0.004435,0.004474,1581335.0,2023-01-04 23:00:00
0.004464,0.004464,0.004417,0.004452,477374.0,2023-01-05 00:00:00
0.004436,0.004475,0.004436,0.004474,1359027.0,2023-01-05 01:00:00
0.004476,0.004476,0.004463,0.004463,424004.0,2023-01-05 02:00:00
0.004462,0.004478,0.004454,0.004464,419841.0,2023-01-05 03:00:00
0.004467,0.004488,0.004461,0.004486,1734760.0,2023-01-05 04:00:00
0.004482,0.004488,0.004469,0.004484,521841.0,2023-01-05 05:00:00
0.004486,0.004486,0.004405,0.004412,807776.0,2023-01-05 06:00:00
0.004407,0.004442,0.004382,0.004392,849194.0,2023-01-05 07:00:00
0.004383,0.004396,0.004338,0.004361,665457.0,2023-01-05 08:00:00
0.004354,0.004372,0.004267,0.004289,1566539.0,2023-01-05 09:00:00
0.004318,0.004333,0.004274,0.004313,1301902.0,2023-01-05 10:00:00
0.004331,0.004368,0.004328,0.004368,407001.0,2023-01-05 11:00:00
0.004371,0.004371,0.004301,0.004327,1323751.0,2023-01-05 12:00:00
0.004316,0.004316,0.004243,0.004303,5657337.0,2023-01-05 13:00:00
0.004251,0.004281,0.004157,0.004157,4527824.0,2023-01-05 14:00:00
0.004154,0.004203,0.004114,0.004153,1420613.0,2023-01-05 15:00:00
0.004153,0.004191,0.004147,0.004187,1257363.0,2023-01-05 16:00:00
0.004173,0.004173,0.004079,0.00409,5418100.0,2023-01-05 17:00:00
0.004079,0.004138,0.004022,0.00413,2398854.0,2023-01-05 18:00:00
0.004124,0.004224,0.004124,0.00421,2151590.0,2023-01-05 19:00:00
0.0042,0.004278,0.004183,0.004278,954182.0,2023-01-05 20:00:00
0.004278,0.004278,0.004142,0.004142,470668.0,2023-01-05 21:00:00
0.004166,0.004204,0.004166,0.004177,2799621.0,2023-01-05 22:00:00
0.004204,0.004222,0.004187,0.004206,582098.0,2023-01-05 23:00:00
0.004213,0.004386,0.004213,0.004369,6176662.0,2023-01-06 00:00:00
0.00434,0.004376,0.00426,0.00426,2734483.0,2023-01-06 01:00:00
0.00425,0.004267,0.004016,0.004084,10829975.0,2023-01-06 02:00:00
0.00401,0.00401,0.003156,0.003837,5389192.0,2023-01-06 03:00:00
0.003694,0.004006,0.003548,0.003735,3328267.0,2023-01-06 04:00:00
0.003735,0.02272,0.003726,0.005178,71210935.0,2023-01-06 05:00:00
0.005234,0.005258,0.004574,0.004786,36143250.0,2023-01-06 06:00:00
0.004742,0.005868,0.004676,0.005309,29883359.0,2023-01-06 07:00:00
0.005278,0.0055,0.005031,0.005113,11173666.0,2023-01-06 08:00:00
0.005123,0.005297,0.004865,0.004958,7621472.0,2023-01-06 09:00:00
0.004875,0.004951,0.004668,0.004793,5837159.0,2023-01-06 10:00:00
0.004731,0.004863,0.004517,0.004725,9738042.0,2023-01-06 11:00:00
0.004723,0.004952,0.004606,0.004738,15289311.0,2023-01-06 12:00:00
0.004736,0.004785,0.004576,0.004715,11354473.0,2023-01-06 13:00:00
0.004719,0.005499,0.004692,0.005355,53879662.0,2023-01-06 14:00:00
0.005264,0.0077,0.00516,0.005361,38288500.0,2023-01-06 15:00:00
0.005421,0.005677,0.005321,0.005677,12982903.0,2023-01-06 16:00:00
0.005623,0.005733,0.005321,0.005343,10769360.0,2023-01-06 17:00:00
0.005354,0.00546,0.00525,0.005278,16132025.0,2023-01-06 18:00:00
0.005279,0.005306,0.004907,0.004996,16232556.0,2023-01-06 19:00:00
0.004993,0.0056,0.00495,0.005369,25039737.0,2023-01-06 20:00:00
0.005376,0.0056,0.00513,0.005293,29106130.0,2023-01-06 21:00:00
