Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
16.042,16.386,15.959,16.383,22793.49,2023-01-01 00:00:00
16.368,16.546,16.2,16.318,13048.17,2023-01-01 01:00:00
16.304,16.349,15.87,16.014,7825.39,2023-01-01 02:00:00
16.016,16.066,15.791,15.809,11916.08,2023-01-01 03:00:00
15.811,15.863,15.704,15.757,7746.62,2023-01-01 04:00:00
15.748,15.783,15.187,15.676,47562.41,2023-01-01 05:00:00
15.673,15.727,15.29,15.337,4045.44,2023-01-01 06:00:00
15.332,15.332,14.797,15.062,13080.94,2023-01-01 07:00:00
15.045,15.48,14.932,15.258,17090.23,2023-01-01 08:00:00
15.297,15.471,14.978,15.057,11460.76,2023-01-01 09:00:00
15.065,15.276,14.996,15.11,12737.05,2023-01-01 10:00:00
15.105,15.238,15.018,15.218,4249.95,2023-01-01 11:00:00
15.219,15.354,15.121,15.269,4680.33,2023-01-01 12:00:00
15.286,15.504,15.107,15.404,14545.59,2023-01-01 13:00:00
15.411,15.536,15.28,15.364,14590.96,2023-01-01 14:00:00
15.377,15.852,15.311,15.736,21317.98,2023-01-01 15:00:00
15.722,15.89,15.519,15.532,10426.4,2023-01-01 16:00:00
15.527,15.793,15.498,15.771,9315.05,2023-01-01 17:00:00
15.766,15.948,15.561,15.606,16952.13,2023-01-01 18:00:00
15.62,15.73,15.501,15.638,3500.52,2023-01-01 19:00:00
15.649,15.77,15.41,15.545,6375.24,2023-01-01 20:00:00
15.58,15.683,15.226,15.486,14033.12,2023-01-01 21:00:00
15.458,15.713,15.283,15.625,8893.74,2023-01-01 22:00:00
15.618,15.778,15.522,15.619,5636.33,2023-01-01 23:00:00
15.62,15.649,15.434,15.478,3350.64,2023-01-02 00:00:00
15.509,15.66,15.19,15.269,8673.92,2023-01-02 01:00:00
15.25,15.406,14.981,15.278,11048.32,2023-01-02 02:00:00
15.272,15.419,15.24,15.311,3509.8,2023-01-02 03:00:00
15.347,15.383,14.289,15.052,20454.68,2023-01-02 04:00:00
15.053,15.187,14.837,15.06,29497.3,2023-01-02 05:00:00
15.035,16.178,15.031,15.916,28373.96,2023-01-02 06:00:00
15.913,15.923,15.662,15.777,15124.5,2023-01-02 07:00:00
15.772,15.957,15.644,15.952,13551.59,2023-01-02 08:00:00
15.964,16.28,15.834,16.237,28163.45,2023-01-02 09:00:00
16.225,16.225,15.935,16.18,21441.04,2023-01-02 10:00:00
16.18,16.509,16.122,16.4,22964.34,2023-01-02 11:00:00
16.422,16.619,16.311,16.336,17398.8,2023-01-02 12:00:00
16.33,16.334,16.136,16.153,13154.71,2023-01-02 13:00:00
16.155,16.364,16.131,16.304,17590.1,2023-01-02 14:00:00
16.319,16.372,15.93,16.36,29306.95,2023-01-02 15:00:00
16.3,16.632,16.065,16.495,18385.53,2023-01-02 16:00:00
16.505,16.529,15.996,16.186,8251.92,2023-01-02 17:00:00
16.184,16.452,16.047,16.088,7439.96,2023-01-02 18:00:00
16.089,16.52,15.995,16.461,15351.13,2023-01-02 19:00:00
16.452,17.054,16.156,16.971,26560.22,2023-01-02 20:00:00
16.977,17.35,16.646,16.687,27165.86,2023-01-02 21:00:00
16.695,16.99,16.599,16.973,11764.93,2023-01-02 22:00:00
16.987,17.233,16.931,17.142,14675.74,2023-01-02 23:00:00
17.149,17.65,17.116,17.597,22030.71,2023-01-03 00:00:00
17.585,18.189,17.585,18.149,23929.95,2023-01-03 01:00:00
18.149,18.465,17.995,18.106,27230.1,2023-01-03 02:00:00
18.102,18.112,17.828,17.833,5090.42,2023-01-03 03:00:00
17.828,17.876,17.533,17.551,6003.86,2023-01-03 04:00:00
17.563,17.823,17.521,17.586,5351.07,2023-01-03 05:00:00
17.586,18.174,17.54,17.711,11809.89,2023-01-03 06:00:00
17.638,17.655,17.391,17.421,3531.88,2023-01-03 07:00:00
17.431,17.71,17.405,17.693,4355.5,2023-01-03 08:00:00
17.683,18.155,17.612,17.998,7995.47,2023-01-03 09:00:00
17.998,18.126,17.76,18.108,9862.23,2023-01-03 10:00:00
18.096,18.644,17.984,18.117,12892.77,2023-01-03 11:00:00
18.117,18.213,17.926,18.136,40619.01,2023-01-03 12:00:00
18.142,18.406,18.066,18.264,12291.55,2023-01-03 13:00:00
18.25,18.315,17.963,18.106,5529.44,2023-01-03 14:00:00
18.101,18.3,17.819,17.838,6727.74,2023-01-03 15:00:00
17.848,17.848,17.419,17.45,24742.43,2023-01-03 16:00:00
17.462,17.579,17.38,17.455,4218.36,2023-01-03 17:00:00
17.452,17.548,17.325,17.397,6694.59,2023-01-03 18:00:00
17.4,17.503,17.386,17.443,3637.31,2023-01-03 19:00:00
17.436,17.569,17.38,17.539,3666.55,2023-01-03 20:00:00
17.518,17.67,17.502,17.573,4346.74,2023-01-03 21:00:00
17.588,17.658,17.48,17.622,6875.62,2023-01-03 22:00:00
17.632,17.71,17.252,17.26,5608.61,2023-01-03 23:00:00
17.257,17.684,17.237,17.623,5847.87,2023-01-04 00:00:00
