Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
34.83,34.84,34.55,34.81,268953.0,2023-01-01 00:00:00
34.82,34.82,34.76,34.78,179219.0,2023-01-01 01:00:00
34.77,34.78,34.68,34.77,202405.0,2023-01-01 02:00:00
34.76,34.79,34.75,34.77,218870.0,2023-01-01 03:00:00
34.77,34.79,34.75,34.78,115855.0,2023-01-01 04:00:00
34.78,34.82,34.78,34.79,149956.0,2023-01-01 05:00:00
34.79,34.81,34.76,34.76,93707.0,2023-01-01 06:00:00
34.77,34.89,34.75,34.86,152606.0,2023-01-01 07:00:00
34.86,34.88,34.81,34.83,176299.0,2023-01-01 08:00:00
34.83,34.85,34.75,34.8,250710.0,2023-01-01 09:00:00
34.81,34.86,34.8,34.8,163730.0,2023-01-01 10:00:00
34.81,34.82,34.76,34.77,164744.0,2023-01-01 11:00:00
34.76,34.84,34.76,34.83,119660.0,2023-01-01 12:00:00
34.84,34.85,34.77,34.79,116934.0,2023-01-01 13:00:00
34.79,34.8,34.75,34.77,260075.0,2023-01-01 14:00:00
34.77,34.8,34.76,34.79,239921.0,2023-01-01 15:00:00
34.78,34.81,34.77,34.79,218187.0,2023-01-01 16:00:00
34.79,34.82,34.74,34.75,225592.0,2023-01-01 17:00:00
34.75,34.78,34.64,34.78,311669.0,2023-01-01 18:00:00
34.78,34.83,34.76,34.79,190923.0,2023-01-01 19:00:00
34.79,34.83,34.76,34.79,164476.0,2023-01-01 20:00:00
34.8,34.83,34.78,34.82,196862.0,2023-01-01 21:00:00
34.81,34.82,34.74,34.77,187237.0,2023-01-01 22:00:00
34.77,34.82,34.74,34.78,105720.0,2023-01-01 23:00:00
34.77,34.81,34.66,34.81,118287.0,2023-01-02 00:00:00
34.81,34.84,34.78,34.83,176511.0,2023-01-02 01:00:00
34.82,34.89,34.81,34.84,198319.0,2023-01-02 02:00:00
34.84,34.93,34.78,34.81,99238.0,2023-01-02 03:00:00
34.81,34.96,34.75,34.82,219570.0,2023-01-02 04:00:00
34.83,34.95,34.78,34.88,87030.0,2023-01-02 05:00:00
34.88,34.9,34.82,34.83,106357.0,2023-01-02 06:00:00
34.83,34.85,34.81,34.83,126054.0,2023-01-02 07:00:00
