Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.9993,0.9994,0.9987,0.9987,72935470.0,2023-01-01 00:00:00
0.9987,0.9988,0.9983,0.9985,71062368.0,2023-01-01 01:00:00
0.9985,0.9986,0.9975,0.9977,166305654.0,2023-01-01 02:00:00
0.9976,0.9983,0.9974,0.9981,115747735.0,2023-01-01 03:00:00
0.9981,0.9986,0.9981,0.9984,44695391.0,2023-01-01 04:00:00
0.9984,0.9987,0.9983,0.9984,55057042.0,2023-01-01 05:00:00
0.9984,0.9985,0.9981,0.9983,71204876.0,2023-01-01 06:00:00
0.9983,0.9988,0.9981,0.9987,134684296.0,2023-01-01 07:00:00
0.9988,0.9993,0.9984,0.9992,133385026.0,2023-01-01 08:00:00
0.9992,0.9995,0.999,0.9991,168337629.0,2023-01-01 09:00:00
0.9991,0.9993,0.999,0.9992,96961875.0,2023-01-01 10:00:00
0.9991,0.9994,0.999,0.999,88066652.0,2023-01-01 11:00:00
0.999,0.9996,0.9988,0.9995,128199238.0,2023-01-01 12:00:00
0.9995,0.9996,0.9992,0.9994,96054566.0,2023-01-01 13:00:00
0.9994,0.9995,0.9985,0.9989,113101240.0,2023-01-01 14:00:00
0.9989,0.9992,0.9987,0.9991,67649079.0,2023-01-01 15:00:00
0.9992,0.9992,0.999,0.9991,49176562.0,2023-01-01 16:00:00
0.9991,0.9994,0.9991,0.9992,80858599.0,2023-01-01 17:00:00
0.9992,0.9993,0.9989,0.999,62924893.0,2023-01-01 18:00:00
0.999,0.9994,0.9989,0.999,73477894.0,2023-01-01 19:00:00
0.9991,0.9993,0.9989,0.9991,91848388.0,2023-01-01 20:00:00
0.9991,0.9992,0.9988,0.9991,119288769.0,2023-01-01 21:00:00
0.9991,0.9994,0.9988,0.9992,129502692.0,2023-01-01 22:00:00
0.9992,0.9995,0.9989,0.9992,69544089.0,2023-01-01 23:00:00
0.9993,0.9996,0.9992,0.9995,94107909.0,2023-01-02 00:00:00
0.9995,0.9997,0.9992,0.9997,82865259.0,2023-01-02 01:00:00
0.9996,0.9998,0.9992,0.9993,107309544.0,2023-01-02 02:00:00
0.9993,0.9994,0.9989,0.999,63910219.0,2023-01-02 03:00:00
0.999,0.9991,0.9971,0.998,177709212.0,2023-01-02 04:00:00
0.998,0.9989,0.9975,0.9988,83557147.0,2023-01-02 05:00:00
0.9988,0.9993,0.9987,0.9993,61159450.0,2023-01-02 06:00:00
0.9992,0.9995,0.9992,0.9994,61946233.0,2023-01-02 07:00:00
0.9995,0.9995,0.9993,0.9993,36900972.0,2023-01-02 08:00:00
0.9994,0.9995,0.9993,0.9994,44990074.0,2023-01-02 09:00:00
0.9995,0.9997,0.9994,0.9995,37762676.0,2023-01-02 10:00:00
0.9995,0.9996,0.9993,0.9994,54589958.0,2023-01-02 11:00:00
0.9994,0.9995,0.9992,0.9992,47902118.0,2023-01-02 12:00:00
0.9992,0.9994,0.9991,0.9992,64153462.0,2023-01-02 13:00:00
0.9991,0.9994,0.9991,0.9992,93462804.0,2023-01-02 14:00:00
0.9993,0.9993,0.999,0.9991,76472322.0,2023-01-02 15:00:00
0.9991,0.9993,0.9989,0.9991,105516267.0,2023-01-02 16:00:00
0.9991,0.9992,0.999,0.9991,30232751.0,2023-01-02 17:00:00
0.9991,0.9992,0.9989,0.9991,49661087.0,2023-01-02 18:00:00
0.9991,0.9993,0.9989,0.9991,79074049.0,2023-01-02 19:00:00
0.999,0.9991,0.9986,0.999,96728214.0,2023-01-02 20:00:00
0.9989,0.999,0.9986,0.9988,84091047.0,2023-01-02 21:00:00
0.9988,0.9989,0.9986,0.9987,61081102.0,2023-01-02 22:00:00
0.9988,0.999,0.9986,0.9988,100004558.0,2023-01-02 23:00:00
0.9988,0.9988,0.9984,0.9984,46041625.0,2023-01-03 00:00:00
0.9985,0.9986,0.9981,0.9983,63514544.0,2023-01-03 01:00:00
0.9982,0.9983,0.998,0.9981,103083248.0,2023-01-03 02:00:00
0.9982,0.9983,0.9978,0.9981,75693058.0,2023-01-03 03:00:00
0.9981,0.9985,0.9981,0.9983,96164682.0,2023-01-03 04:00:00
0.9984,0.9984,0.9981,0.9983,67936928.0,2023-01-03 05:00:00
0.9983,0.9986,0.9982,0.9986,42887672.0,2023-01-03 06:00:00
0.9985,0.9986,0.9984,0.9986,39230472.0,2023-01-03 07:00:00
0.9986,0.9986,0.9983,0.9984,25500278.0,2023-01-03 08:00:00
0.9985,0.9985,0.9983,0.9984,29746519.0,2023-01-03 09:00:00
0.9984,0.9986,0.9984,0.9986,45333890.0,2023-01-03 10:00:00
0.9985,0.9986,0.9984,0.9984,24214743.0,2023-01-03 11:00:00
0.9985,0.9986,0.9984,0.9985,24926987.0,2023-01-03 12:00:00
0.9986,0.9987,0.9985,0.9987,28453083.0,2023-01-03 13:00:00
0.9986,0.9987,0.9985,0.9986,27585134.0,2023-01-03 14:00:00
0.9986,0.9991,0.9986,0.999,113102164.0,2023-01-03 15:00:00
0.9989,0.999,0.9988,0.999,28569736.0,2023-01-03 16:00:00
0.9989,0.999,0.9988,0.9989,24577405.0,2023-01-03 17:00:00
0.9989,0.9989,0.9988,0.9989,15190435.0,2023-01-03 18:00:00
0.9989,0.999,0.9988,0.999,24880709.0,2023-01-03 19:00:00
0.9989,0.999,0.9989,0.999,18963324.0,2023-01-03 20:00:00
0.999,0.9991,0.9989,0.999,26375847.0,2023-01-03 21:00:00
0.9991,0.9991,0.9989,0.999,39503996.0,2023-01-03 22:00:00
0.999,0.9991,0.9989,0.999,28533437.0,2023-01-03 23:00:00
0.999,0.9992,0.9988,0.9989,85997765.0,2023-01-04 00:00:00
0.9989,0.9991,0.9988,0.9991,27374155.0,2023-01-04 01:00:00
