Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.6383,1.5,0.4057,0.6727,33081.6,2023-01-01 00:00:00
0.6757,0.685,0.6698,0.6793,11488.4,2023-01-01 01:00:00
0.685,0.6864,0.6654,0.674,30268.7,2023-01-01 02:00:00
0.6739,0.674,0.6525,0.6598,21768.9,2023-01-01 03:00:00
0.6653,0.6699,0.6478,0.6515,50753.7,2023-01-01 04:00:00
0.6515,0.6515,0.5655,0.5845,193126.3,2023-01-01 05:00:00
0.5824,0.5936,0.5733,0.5733,118476.6,2023-01-01 06:00:00
0.5795,0.6489,0.5577,0.5733,58841.4,2023-01-01 07:00:00
0.5733,0.5796,0.5578,0.5696,66278.0,2023-01-01 08:00:00
0.5709,0.73,0.5664,0.61,113213.1,2023-01-01 09:00:00
0.6123,0.73,0.6029,0.6391,137592.9,2023-01-01 10:00:00
0.6379,0.6437,0.6241,0.6298,61571.6,2023-01-01 11:00:00
0.6285,0.6298,0.6104,0.6243,57136.9,2023-01-01 12:00:00
0.6236,0.6465,0.6236,0.6448,55851.4,2023-01-01 13:00:00
0.644,0.7116,0.644,0.6953,222626.3,2023-01-01 14:00:00
0.6866,0.6899,0.6678,0.6682,49057.5,2023-01-01 15:00:00
0.6657,0.671,0.6549,0.6656,30407.6,2023-01-01 16:00:00
0.6668,0.6772,0.6592,0.6622,21269.2,2023-01-01 17:00:00
0.6698,0.6698,0.6286,0.6286,67095.6,2023-01-01 18:00:00
0.6301,0.6351,0.6237,0.6337,22208.5,2023-01-01 19:00:00
0.643,0.643,0.6318,0.6342,355.6,2023-01-01 20:00:00
0.6252,0.6335,0.6136,0.6225,44935.8,2023-01-01 21:00:00
0.6321,0.636,0.6122,0.6179,25475.2,2023-01-01 22:00:00
0.6168,0.6287,0.6168,0.6269,4804.5,2023-01-01 23:00:00
0.6247,0.64,0.6247,0.6249,58017.0,2023-01-02 00:00:00
0.6243,0.6289,0.6211,0.6227,14990.9,2023-01-02 01:00:00
0.6227,0.6266,0.6196,0.6266,10529.4,2023-01-02 02:00:00
0.6217,0.6298,0.6217,0.6242,7312.1,2023-01-02 03:00:00
0.6223,0.6358,0.621,0.6346,39883.0,2023-01-02 04:00:00
0.6333,0.6333,0.6203,0.6331,48666.7,2023-01-02 05:00:00
0.6323,0.71,0.632,0.679,228683.1,2023-01-02 06:00:00
0.6771,0.6868,0.6568,0.6657,241551.9,2023-01-02 07:00:00
0.6607,0.6696,0.6514,0.653,41367.7,2023-01-02 08:00:00
0.653,0.6579,0.6374,0.6417,30767.2,2023-01-02 09:00:00
0.6413,0.6445,0.6321,0.6354,35884.1,2023-01-02 10:00:00
