Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
3.306,3.377,3.304,3.341,35642.1,2023-01-01 00:00:00
3.337,3.422,3.332,3.387,45942.4,2023-01-01 01:00:00
3.386,3.418,3.265,3.314,62136.1,2023-01-01 02:00:00
3.314,3.351,3.283,3.324,26900.8,2023-01-01 03:00:00
3.333,3.381,3.3,3.309,20149.8,2023-01-01 04:00:00
3.313,3.333,3.233,3.299,28030.5,2023-01-01 05:00:00
3.291,3.37,3.255,3.288,102298.6,2023-01-01 06:00:00
3.284,3.286,3.127,3.178,96844.2,2023-01-01 07:00:00
3.177,3.32,3.174,3.283,52079.5,2023-01-01 08:00:00
3.283,3.35,3.2,3.227,112308.0,2023-01-01 09:00:00
3.226,3.353,3.214,3.295,41165.5,2023-01-01 10:00:00
3.291,3.323,3.238,3.285,32534.2,2023-01-01 11:00:00
3.286,3.305,3.238,3.3,9958.6,2023-01-01 12:00:00
3.3,3.476,3.296,3.441,52207.4,2023-01-01 13:00:00
3.444,3.478,3.381,3.408,28841.7,2023-01-01 14:00:00
3.41,3.536,3.409,3.464,137644.3,2023-01-01 15:00:00
3.459,3.459,3.39,3.423,47321.4,2023-01-01 16:00:00
3.424,3.527,3.408,3.506,45119.7,2023-01-01 17:00:00
3.505,3.611,3.502,3.536,99711.0,2023-01-01 18:00:00
3.533,3.592,3.5,3.518,60505.0,2023-01-01 19:00:00
3.518,3.604,3.505,3.577,59402.3,2023-01-01 20:00:00
3.578,3.669,3.539,3.618,134921.7,2023-01-01 21:00:00
3.617,4.089,3.617,4.05,362581.5,2023-01-01 22:00:00
4.05,4.088,3.93,3.948,270399.6,2023-01-01 23:00:00
3.954,3.958,3.82,3.85,116415.0,2023-01-02 00:00:00
3.846,3.857,3.75,3.768,113547.5,2023-01-02 01:00:00
3.763,3.838,3.734,3.817,74878.0,2023-01-02 02:00:00
3.81,3.885,3.793,3.815,55565.6,2023-01-02 03:00:00
3.82,3.824,3.569,3.747,167031.8,2023-01-02 04:00:00
3.746,3.82,3.658,3.723,95707.4,2023-01-02 05:00:00
3.72,3.881,3.633,3.856,121992.8,2023-01-02 06:00:00
3.862,4.19,3.856,4.05,184325.4,2023-01-02 07:00:00
4.05,4.081,3.963,4.038,54401.7,2023-01-02 08:00:00
4.023,4.054,3.947,4.0,50662.7,2023-01-02 09:00:00
4.0,4.085,3.978,4.065,74873.7,2023-01-02 10:00:00
4.064,4.09,3.985,4.003,38897.5,2023-01-02 11:00:00
4.001,4.067,3.976,4.0,31748.6,2023-01-02 12:00:00
4.007,4.02,3.899,3.915,47907.4,2023-01-02 13:00:00
3.904,3.929,3.857,3.867,76888.2,2023-01-02 14:00:00
3.869,3.87,3.743,3.813,141674.8,2023-01-02 15:00:00
3.813,3.864,3.743,3.853,60672.2,2023-01-02 16:00:00
3.848,3.901,3.837,3.882,70685.4,2023-01-02 17:00:00
3.876,3.958,3.803,3.807,68149.7,2023-01-02 18:00:00
3.818,3.934,3.813,3.855,75631.1,2023-01-02 19:00:00
3.86,3.975,3.835,3.949,50279.3,2023-01-02 20:00:00
3.948,3.948,3.835,3.846,85546.6,2023-01-02 21:00:00
3.853,3.888,3.826,3.881,28573.2,2023-01-02 22:00:00
3.883,3.897,3.843,3.875,45485.9,2023-01-02 23:00:00
3.881,3.95,3.864,3.866,56718.6,2023-01-03 00:00:00
3.872,3.892,3.845,3.864,13608.8,2023-01-03 01:00:00
3.862,3.94,3.851,3.911,43496.9,2023-01-03 02:00:00
3.906,3.936,3.896,3.897,27266.7,2023-01-03 03:00:00
3.9,3.921,3.88,3.887,21422.2,2023-01-03 04:00:00
3.88,3.952,3.875,3.923,29573.7,2023-01-03 05:00:00
3.921,3.935,3.838,3.873,17297.9,2023-01-03 06:00:00
3.874,3.915,3.815,3.915,16429.0,2023-01-03 07:00:00
3.914,3.924,3.883,3.907,31540.4,2023-01-03 08:00:00
3.908,3.934,3.87,3.903,12910.6,2023-01-03 09:00:00
3.899,3.948,3.876,3.884,31651.7,2023-01-03 10:00:00
3.878,3.91,3.849,3.857,14194.1,2023-01-03 11:00:00
3.86,3.929,3.86,3.921,10854.2,2023-01-03 12:00:00
3.921,3.925,3.836,3.873,26826.7,2023-01-03 13:00:00
3.869,3.87,3.789,3.809,28470.0,2023-01-03 14:00:00
3.81,3.841,3.801,3.807,14955.5,2023-01-03 15:00:00
3.807,3.813,3.766,3.792,27752.8,2023-01-03 16:00:00
3.797,3.86,3.797,3.833,24717.0,2023-01-03 17:00:00
3.83,3.886,3.811,3.856,10271.1,2023-01-03 18:00:00
3.854,3.878,3.838,3.859,10673.9,2023-01-03 19:00:00
3.858,3.858,3.804,3.835,13687.6,2023-01-03 20:00:00
3.832,3.848,3.802,3.827,16813.4,2023-01-03 21:00:00
3.827,3.83,3.783,3.789,22842.5,2023-01-03 22:00:00
3.789,3.804,3.74,3.763,42755.2,2023-01-03 23:00:00
3.763,3.798,3.76,3.792,54073.7,2023-01-04 00:00:00
3.795,3.81,3.762,3.767,30900.6,2023-01-04 01:00:00
3.769,3.792,3.747,3.785,13952.8,2023-01-04 02:00:00
3.789,3.815,3.768,3.805,21616.8,2023-01-04 03:00:00
