Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.3836,0.4478,0.3836,0.4027,7176.6,2023-01-01 00:00:00
0.4012,0.4012,0.3924,0.3973,9011.0,2023-01-01 01:00:00
0.3924,0.3965,0.3921,0.3965,1836.1,2023-01-01 02:00:00
0.3965,0.3995,0.3953,0.3954,16449.8,2023-01-01 03:00:00
0.3954,0.3954,0.3849,0.3849,1528.1,2023-01-01 04:00:00
0.3859,0.3946,0.3803,0.3908,122472.2,2023-01-01 05:00:00
0.3925,0.3994,0.392,0.3984,16763.7,2023-01-01 06:00:00
0.3972,0.4052,0.3964,0.3994,21478.0,2023-01-01 07:00:00
0.3988,0.4046,0.3988,0.4032,134959.1,2023-01-01 08:00:00
0.4033,0.4046,0.4,0.402,67878.6,2023-01-01 09:00:00
0.4019,0.4088,0.4014,0.4036,65420.0,2023-01-01 10:00:00
0.4031,0.407,0.4007,0.4018,149503.9,2023-01-01 11:00:00
0.4011,0.4057,0.4003,0.4028,212834.5,2023-01-01 12:00:00
0.4025,0.405,0.4009,0.4013,120444.5,2023-01-01 13:00:00
0.4012,0.4036,0.3989,0.4007,69231.4,2023-01-01 14:00:00
0.4009,0.4023,0.3962,0.4007,135938.6,2023-01-01 15:00:00
0.4003,0.403,0.394,0.3965,188973.7,2023-01-01 16:00:00
0.3967,0.4028,0.3949,0.3981,1197714.5,2023-01-01 17:00:00
0.3972,0.3991,0.3941,0.3944,124448.4,2023-01-01 18:00:00
0.3944,0.3967,0.3913,0.3959,75080.0,2023-01-01 19:00:00
0.3954,0.4004,0.3935,0.3969,69439.9,2023-01-01 20:00:00
0.3966,0.397,0.3923,0.3937,39356.2,2023-01-01 21:00:00
0.3942,0.3963,0.393,0.3941,35598.4,2023-01-01 22:00:00
0.3936,0.3936,0.3886,0.3912,39136.8,2023-01-01 23:00:00
0.3918,0.3933,0.3888,0.3909,40787.1,2023-01-02 00:00:00
0.391,0.3959,0.3907,0.3914,135726.9,2023-01-02 01:00:00
0.3914,0.3916,0.3875,0.3887,34939.2,2023-01-02 02:00:00
0.3888,0.3924,0.3886,0.3903,59327.9,2023-01-02 03:00:00
0.3904,0.3968,0.39,0.3947,35704.6,2023-01-02 04:00:00
0.3947,0.3949,0.3923,0.3943,16567.4,2023-01-02 05:00:00
0.3924,0.3956,0.3888,0.3947,32170.0,2023-01-02 06:00:00
0.3943,0.3972,0.3916,0.3933,26196.5,2023-01-02 07:00:00
0.3934,0.394,0.3902,0.3922,22982.1,2023-01-02 08:00:00
0.3923,0.3927,0.3855,0.3871,26457.6,2023-01-02 09:00:00
0.3892,0.393,0.3892,0.393,9503.9,2023-01-02 10:00:00
0.3955,0.3957,0.3908,0.3909,1600.3,2023-01-02 11:00:00
0.3903,0.3908,0.3903,0.3908,31830.3,2023-01-02 12:00:00
0.3918,0.3969,0.3914,0.3942,18639.8,2023-01-02 13:00:00
0.3943,0.3953,0.3942,0.3944,5413.2,2023-01-02 14:00:00
0.3904,0.396,0.3899,0.3941,3389.5,2023-01-02 15:00:00
0.3929,0.401,0.3929,0.401,1773.8,2023-01-02 16:00:00
0.3977,0.3977,0.3924,0.3924,964.5,2023-01-02 17:00:00
0.3907,0.3937,0.3907,0.3911,1353.6,2023-01-02 18:00:00
0.3908,0.3936,0.39,0.39,2772.4,2023-01-02 19:00:00
0.3892,0.3892,0.3813,0.3813,12412.0,2023-01-02 20:00:00
0.38,0.3801,0.3773,0.3801,9079.9,2023-01-02 21:00:00
0.3798,0.3827,0.3798,0.3827,172.0,2023-01-02 22:00:00
0.3826,0.3852,0.3825,0.3832,3351.6,2023-01-02 23:00:00
0.3847,0.3847,0.3765,0.3765,2620.8,2023-01-03 00:00:00
0.3789,0.3805,0.3753,0.3753,4691.4,2023-01-03 01:00:00
0.3782,0.3808,0.3782,0.3789,6433.2,2023-01-03 02:00:00
0.3794,0.3808,0.3794,0.3803,5456.7,2023-01-03 03:00:00
0.3785,0.3803,0.3774,0.3803,7814.6,2023-01-03 04:00:00
0.3831,0.3851,0.3829,0.3849,8995.3,2023-01-03 05:00:00
0.385,0.3855,0.3815,0.3815,7984.5,2023-01-03 06:00:00
