Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
1.648,3.437,1.648,1.714,2753.2,2023-01-01 00:00:00
1.685,1.687,1.681,1.681,372.8,2023-01-01 01:00:00
1.663,1.666,1.65,1.666,158.8,2023-01-01 02:00:00
1.664,1.669,1.664,1.669,1635.2,2023-01-01 03:00:00
1.676,1.676,1.622,1.622,544.6,2023-01-01 04:00:00
1.638,1.657,1.62,1.657,81.5,2023-01-01 05:00:00
1.63,1.648,1.63,1.642,1342.6,2023-01-01 06:00:00
1.643,1.691,1.643,1.683,3957.4,2023-01-01 07:00:00
1.663,1.69,1.662,1.69,1973.9,2023-01-01 08:00:00
1.685,1.718,1.684,1.711,1574.4,2023-01-01 09:00:00
1.717,1.724,1.703,1.704,1841.9,2023-01-01 10:00:00
1.704,1.724,1.702,1.724,677.6,2023-01-01 11:00:00
1.724,1.757,1.724,1.757,969.8,2023-01-01 12:00:00
1.747,1.761,1.74,1.757,1157.1,2023-01-01 13:00:00
1.758,1.79,1.743,1.79,12190.4,2023-01-01 14:00:00
1.776,1.789,1.751,1.758,10363.3,2023-01-01 15:00:00
1.759,1.814,1.728,1.748,13955.6,2023-01-01 16:00:00
1.746,1.802,1.743,1.802,8682.9,2023-01-01 17:00:00
1.801,1.839,1.784,1.838,10277.4,2023-01-01 18:00:00
1.833,1.854,1.795,1.795,14442.3,2023-01-01 19:00:00
1.796,1.853,1.787,1.844,5148.8,2023-01-01 20:00:00
1.839,1.839,1.781,1.788,4608.1,2023-01-01 21:00:00
1.789,1.882,1.788,1.872,47840.4,2023-01-01 22:00:00
1.873,1.883,1.8,1.811,10174.1,2023-01-01 23:00:00
1.811,1.822,1.787,1.812,3916.1,2023-01-02 00:00:00
1.815,1.863,1.797,1.798,6598.1,2023-01-02 01:00:00
1.799,1.802,1.743,1.759,42269.6,2023-01-02 02:00:00
1.763,1.784,1.742,1.76,6213.6,2023-01-02 03:00:00
1.762,1.793,1.757,1.793,6461.4,2023-01-02 04:00:00
1.794,1.847,1.789,1.841,5529.7,2023-01-02 05:00:00
1.832,1.91,1.822,1.838,17406.0,2023-01-02 06:00:00
1.838,1.843,1.791,1.795,7274.5,2023-01-02 07:00:00
1.794,1.806,1.786,1.791,8342.1,2023-01-02 08:00:00
1.795,1.795,1.766,1.771,2798.3,2023-01-02 09:00:00
1.783,1.803,1.77,1.803,5829.8,2023-01-02 10:00:00
1.792,1.804,1.767,1.77,4376.0,2023-01-02 11:00:00
1.77,1.771,1.76,1.76,1293.4,2023-01-02 12:00:00
1.757,1.771,1.747,1.766,1258.3,2023-01-02 13:00:00
1.754,1.824,1.754,1.81,5421.6,2023-01-02 14:00:00
1.804,1.812,1.795,1.795,848.8,2023-01-02 15:00:00
1.785,1.844,1.785,1.831,18995.3,2023-01-02 16:00:00
1.839,1.839,1.809,1.809,117.4,2023-01-02 17:00:00
1.809,1.809,1.797,1.798,906.9,2023-01-02 18:00:00
1.796,1.796,1.788,1.793,3228.3,2023-01-02 19:00:00
1.77,1.775,1.752,1.752,1830.1,2023-01-02 20:00:00
1.753,1.755,1.747,1.747,312.6,2023-01-02 21:00:00
1.747,1.774,1.747,1.774,1120.5,2023-01-02 22:00:00
1.78,1.786,1.78,1.781,461.3,2023-01-02 23:00:00
1.775,1.775,1.745,1.757,774.4,2023-01-03 00:00:00
1.746,1.754,1.728,1.733,3757.0,2023-01-03 01:00:00
1.759,1.759,1.749,1.755,671.5,2023-01-03 02:00:00
1.761,1.765,1.757,1.764,5898.0,2023-01-03 03:00:00
1.764,1.764,1.764,1.764,0.0,2023-01-03 04:00:00
1.761,1.766,1.761,1.766,1293.1,2023-01-03 05:00:00
1.766,1.766,1.743,1.745,1407.7,2023-01-03 06:00:00
1.745,1.749,1.735,1.749,902.5,2023-01-03 07:00:00
1.745,1.745,1.741,1.741,149.1,2023-01-03 08:00:00
1.744,1.744,1.744,1.744,5.5,2023-01-03 09:00:00
1.742,1.747,1.742,1.747,64.9,2023-01-03 10:00:00
1.73,1.73,1.728,1.73,582.7,2023-01-03 11:00:00
1.738,1.738,1.733,1.733,166.9,2023-01-03 12:00:00
1.73,1.73,1.73,1.73,4.6,2023-01-03 13:00:00
1.74,1.75,1.74,1.747,2192.2,2023-01-03 14:00:00
1.747,1.754,1.746,1.754,539.4,2023-01-03 15:00:00
1.743,1.746,1.715,1.715,7460.5,2023-01-03 16:00:00
1.715,1.721,1.694,1.694,4254.9,2023-01-03 17:00:00
1.703,1.703,1.69,1.697,3299.9,2023-01-03 18:00:00
1.697,1.709,1.676,1.676,4727.5,2023-01-03 19:00:00
1.687,1.693,1.687,1.693,871.2,2023-01-03 20:00:00
1.693,1.693,1.693,1.693,147.6,2023-01-03 21:00:00
1.68,1.683,1.667,1.683,13854.6,2023-01-03 22:00:00
1.678,1.678,1.651,1.666,6600.8,2023-01-03 23:00:00
1.656,1.667,1.622,1.629,8110.2,2023-01-04 00:00:00
1.623,1.765,1.595,1.618,22197.5,2023-01-04 01:00:00
1.616,1.629,1.615,1.615,3211.3,2023-01-04 02:00:00
1.616,1.616,1.578,1.584,2785.5,2023-01-04 03:00:00
1.595,1.599,1.592,1.599,1362.5,2023-01-04 04:00:00
1.595,1.629,1.593,1.627,6690.2,2023-01-04 05:00:00
1.622,1.64,1.62,1.64,5065.2,2023-01-04 06:00:00
1.63,1.63,1.58,1.58,2239.9,2023-01-04 07:00:00
1.579,1.602,1.565,1.595,8458.8,2023-01-04 08:00:00
1.595,1.595,1.571,1.571,3860.2,2023-01-04 09:00:00
1.573,1.587,1.573,1.583,8952.8,2023-01-04 10:00:00
1.569,1.587,1.569,1.577,5236.5,2023-01-04 11:00:00
1.565,1.565,1.459,1.477,17910.4,2023-01-04 12:00:00
1.469,1.47,0.886,1.405,46458.2,2023-01-04 13:00:00
1.406,1.417,1.333,1.417,5366.9,2023-01-04 14:00:00
1.419,1.451,1.41,1.442,3766.7,2023-01-04 15:00:00
1.428,1.471,1.414,1.459,2618.6,2023-01-04 16:00:00
1.465,1.474,1.436,1.44,267.6,2023-01-04 17:00:00
1.461,1.462,1.401,1.401,1520.3,2023-01-04 18:00:00
1.395,1.416,1.367,1.412,11974.6,2023-01-04 19:00:00
1.409,1.424,1.392,1.419,12580.6,2023-01-04 20:00:00
1.434,1.449,1.429,1.449,2537.8,2023-01-04 21:00:00
1.438,1.458,1.438,1.458,408.4,2023-01-04 22:00:00
1.45,1.45,1.435,1.438,487.4,2023-01-04 23:00:00
1.431,1.438,1.431,1.433,452.0,2023-01-05 00:00:00
1.445,1.469,1.44,1.441,1448.6,2023-01-05 01:00:00
1.447,1.467,1.447,1.461,2521.2,2023-01-05 02:00:00
1.462,1.462,1.442,1.442,93.1,2023-01-05 03:00:00
1.437,1.438,1.384,1.391,2784.3,2023-01-05 04:00:00
1.392,1.415,1.391,1.415,2526.1,2023-01-05 05:00:00
1.428,1.439,1.413,1.432,3356.4,2023-01-05 06:00:00
1.42,1.42,1.342,1.342,3890.1,2023-01-05 07:00:00
1.326,1.343,1.305,1.319,2269.0,2023-01-05 08:00:00
1.334,1.336,1.29,1.29,3873.1,2023-01-05 09:00:00
1.275,1.329,1.275,1.328,5051.3,2023-01-05 10:00:00
1.327,1.389,1.327,1.389,5695.5,2023-01-05 11:00:00
1.377,1.406,1.373,1.398,1734.3,2023-01-05 12:00:00
1.432,1.432,1.419,1.426,4234.9,2023-01-05 13:00:00
1.416,1.433,1.413,1.425,549.6,2023-01-05 14:00:00
1.425,1.432,1.425,1.432,212.1,2023-01-05 15:00:00
1.415,1.424,1.392,1.394,1904.1,2023-01-05 16:00:00
1.395,1.399,1.369,1.387,219.4,2023-01-05 17:00:00
1.389,1.416,1.388,1.416,465.9,2023-01-05 18:00:00
1.411,1.414,1.4,1.4,823.3,2023-01-05 19:00:00
1.399,1.402,1.395,1.402,206.5,2023-01-05 20:00:00
1.403,1.403,1.393,1.393,500.7,2023-01-05 21:00:00
1.397,1.397,1.384,1.384,373.1,2023-01-05 22:00:00
1.386,1.394,1.376,1.376,2364.0,2023-01-05 23:00:00
1.374,1.406,1.374,1.401,684.6,2023-01-06 00:00:00
1.402,1.405,1.386,1.393,1078.2,2023-01-06 01:00:00
1.395,1.395,1.383,1.393,1828.6,2023-01-06 02:00:00
1.396,1.421,1.395,1.411,4422.4,2023-01-06 03:00:00
1.416,1.444,1.413,1.442,5308.9,2023-01-06 04:00:00
1.442,1.467,1.431,1.455,6439.8,2023-01-06 05:00:00
1.454,1.479,1.449,1.476,9579.0,2023-01-06 06:00:00
1.473,1.508,1.472,1.495,3844.7,2023-01-06 07:00:00
1.498,1.516,1.484,1.484,5769.2,2023-01-06 08:00:00
1.486,1.499,1.473,1.478,4880.2,2023-01-06 09:00:00
1.479,1.487,1.474,1.475,8724.2,2023-01-06 10:00:00
1.477,1.483,1.475,1.482,527.0,2023-01-06 11:00:00
1.483,1.491,1.474,1.48,9307.7,2023-01-06 12:00:00
1.48,1.482,1.472,1.482,2721.5,2023-01-06 13:00:00
