Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.8424,0.8486,0.8267,0.8325,10353.5,2023-01-01 00:00:00
0.8335,0.8436,0.83,0.8324,23804.0,2023-01-01 01:00:00
0.8279,0.8333,0.8,0.8102,11696.3,2023-01-01 02:00:00
0.8081,0.8273,0.8065,0.8258,10777.4,2023-01-01 03:00:00
0.8251,0.8284,0.8141,0.8141,4353.9,2023-01-01 04:00:00
0.8151,0.8152,0.7879,0.8064,35534.2,2023-01-01 05:00:00
0.8032,0.8135,0.7969,0.8026,32653.5,2023-01-01 06:00:00
0.7969,0.7969,0.7689,0.794,55680.8,2023-01-01 07:00:00
0.791,0.8064,0.7906,0.7975,37460.1,2023-01-01 08:00:00
0.8041,0.8156,0.7845,0.7845,18614.3,2023-01-01 09:00:00
0.7881,0.8186,0.7881,0.8094,50432.9,2023-01-01 10:00:00
0.8038,0.8043,0.7865,0.7948,11413.1,2023-01-01 11:00:00
0.7937,0.8069,0.7936,0.8044,20758.5,2023-01-01 12:00:00
0.8093,0.8176,0.8048,0.8122,10232.5,2023-01-01 13:00:00
0.8083,0.8104,0.8006,0.8006,6686.4,2023-01-01 14:00:00
0.801,0.8041,0.7957,0.7985,13039.5,2023-01-01 15:00:00
0.7977,0.8016,0.7912,0.7925,4088.9,2023-01-01 16:00:00
0.7906,0.8092,0.7906,0.8092,17927.7,2023-01-01 17:00:00
0.808,0.8099,0.7959,0.7959,11294.3,2023-01-01 18:00:00
0.7988,0.8012,0.7942,0.7959,22984.7,2023-01-01 19:00:00
0.7959,0.8044,0.7873,0.7919,5028.5,2023-01-01 20:00:00
0.7983,0.8045,0.7883,0.8041,28936.9,2023-01-01 21:00:00
0.801,0.8129,0.7928,0.8094,55790.9,2023-01-01 22:00:00
0.8096,0.8231,0.8095,0.8219,37359.5,2023-01-01 23:00:00
0.822,0.8243,0.8056,0.8058,23148.6,2023-01-02 00:00:00
0.8059,0.8126,0.7886,0.792,20666.5,2023-01-02 01:00:00
0.789,0.8072,0.7802,0.8072,58722.6,2023-01-02 02:00:00
