Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
6.222,6.393,6.222,6.328,5669.12,2023-01-01 00:00:00
6.328,6.405,6.328,6.357,3954.23,2023-01-01 01:00:00
6.351,6.448,6.232,6.302,24569.44,2023-01-01 02:00:00
6.328,6.342,6.262,6.302,3039.09,2023-01-01 03:00:00
6.303,6.372,6.288,6.328,2285.6,2023-01-01 04:00:00
6.337,6.341,6.136,6.242,1245.91,2023-01-01 05:00:00
6.243,6.255,6.148,6.154,1496.73,2023-01-01 06:00:00
6.125,6.145,5.904,6.125,5892.75,2023-01-01 07:00:00
6.124,6.429,6.111,6.24,4532.44,2023-01-01 08:00:00
6.284,6.33,6.102,6.117,5021.25,2023-01-01 09:00:00
6.127,6.262,6.093,6.222,3712.3,2023-01-01 10:00:00
6.198,6.228,6.109,6.177,1987.56,2023-01-01 11:00:00
6.197,6.24,6.165,6.235,1309.33,2023-01-01 12:00:00
6.24,6.279,6.224,6.229,1467.58,2023-01-01 13:00:00
6.228,6.291,6.215,6.226,2822.34,2023-01-01 14:00:00
6.229,6.271,6.195,6.257,2324.38,2023-01-01 15:00:00
6.261,6.297,6.219,6.28,1697.89,2023-01-01 16:00:00
6.249,6.341,6.249,6.319,3101.45,2023-01-01 17:00:00
6.311,6.493,6.31,6.477,8145.22,2023-01-01 18:00:00
6.483,6.665,6.451,6.48,11599.37,2023-01-01 19:00:00
6.483,6.495,6.356,6.447,2861.1,2023-01-01 20:00:00
6.435,6.687,6.435,6.546,10864.41,2023-01-01 21:00:00
6.564,6.649,6.462,6.549,7821.43,2023-01-01 22:00:00
6.539,6.539,6.465,6.504,4812.73,2023-01-01 23:00:00
6.521,6.529,6.46,6.46,1540.08,2023-01-02 00:00:00
6.444,6.465,6.19,6.278,8751.4,2023-01-02 01:00:00
6.279,6.284,6.127,6.278,14973.38,2023-01-02 02:00:00
6.305,6.471,6.296,6.423,4014.58,2023-01-02 03:00:00
6.417,6.444,6.084,6.317,7703.24,2023-01-02 04:00:00
6.31,6.379,6.215,6.325,10369.19,2023-01-02 05:00:00
6.325,6.75,6.278,6.607,5760.55,2023-01-02 06:00:00
6.616,6.69,6.59,6.609,5374.95,2023-01-02 07:00:00
6.616,6.679,6.534,6.667,3935.17,2023-01-02 08:00:00
6.661,6.766,6.603,6.728,3357.43,2023-01-02 09:00:00
6.739,7.089,6.703,6.78,7546.76,2023-01-02 10:00:00
6.789,6.789,6.661,6.683,2192.49,2023-01-02 11:00:00
6.678,7.032,6.676,6.983,6678.0,2023-01-02 12:00:00
6.992,7.4,6.992,7.353,8679.53,2023-01-02 13:00:00
7.346,7.39,7.175,7.193,3114.92,2023-01-02 14:00:00
7.169,7.187,7.053,7.12,5561.1,2023-01-02 15:00:00
7.11,7.174,7.009,7.127,5270.69,2023-01-02 16:00:00
7.15,7.49,7.071,7.428,25241.76,2023-01-02 17:00:00
