Timp început,Preț maxim,Preț minim,Preț deschidere,volumefrom,Volum,Preț închidere,conversionType,conversionSymbol
2021-11-06 01:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 02:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 03:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 04:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 05:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 06:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 07:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 08:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 09:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 10:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 11:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 12:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 13:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 14:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 15:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 16:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 17:00:00,0.3161,0.3161,0.3161,0.0,0.0,0.3161,divide,USDT
2021-11-06 18:00:00,0.316,0.316,0.3161,0.0,0.0,0.316,divide,USDT
2021-11-06 19:00:00,0.316,0.316,0.316,0.0,0.0,0.316,divide,USDT
