Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum,Timp început
0.6157,0.8,0.491,0.5752,80531.5,2023-01-01 00:00:00
0.5751,0.5888,0.5751,0.5783,18871.6,2023-01-01 01:00:00
0.587,0.5887,0.5794,0.583,21064.7,2023-01-01 02:00:00
0.5848,0.5864,0.5753,0.5801,20740.6,2023-01-01 03:00:00
0.583,0.5882,0.5724,0.5727,9659.3,2023-01-01 04:00:00
0.5814,0.604,0.5814,0.5999,43796.4,2023-01-01 05:00:00
0.597,0.6051,0.587,0.5889,60903.4,2023-01-01 06:00:00
0.592,0.6626,0.5882,0.5969,34617.3,2023-01-01 07:00:00
0.5969,0.5969,0.5685,0.5685,55131.9,2023-01-01 08:00:00
0.5705,0.5744,0.5371,0.5632,41870.5,2023-01-01 09:00:00
0.5673,0.5753,0.5638,0.5721,21612.5,2023-01-01 10:00:00
0.5703,0.5803,0.565,0.5685,12930.7,2023-01-01 11:00:00
0.565,0.57,0.563,0.57,8850.9,2023-01-01 12:00:00
0.5699,0.5722,0.563,0.5693,9083.7,2023-01-01 13:00:00
0.5694,0.5778,0.5664,0.572,16614.4,2023-01-01 14:00:00
0.571,0.5804,0.5676,0.5761,8333.0,2023-01-01 15:00:00
0.5779,0.58,0.5675,0.5685,7713.4,2023-01-01 16:00:00
0.573,0.5814,0.5702,0.5717,39903.6,2023-01-01 17:00:00
0.5723,0.5726,0.5551,0.5627,7772.4,2023-01-01 18:00:00
0.5627,0.5671,0.558,0.559,2154.4,2023-01-01 19:00:00
0.5637,0.5664,0.555,0.5632,2164.3,2023-01-01 20:00:00
0.5667,0.5687,0.5624,0.5633,27077.6,2023-01-01 21:00:00
0.5623,0.5755,0.5571,0.566,15610.2,2023-01-01 22:00:00
0.563,0.5667,0.5495,0.5513,18426.6,2023-01-01 23:00:00
0.5513,0.5564,0.5493,0.553,83133.1,2023-01-02 00:00:00
0.5538,0.5609,0.55,0.5514,11496.4,2023-01-02 01:00:00
0.5514,0.554,0.54,0.5498,27819.9,2023-01-02 02:00:00
0.5501,0.5551,0.5493,0.55,9839.2,2023-01-02 03:00:00
0.5514,0.553,0.5422,0.543,5336.8,2023-01-02 04:00:00
0.5439,0.554,0.524,0.5263,94302.7,2023-01-02 05:00:00
0.5248,0.5287,0.5086,0.5127,78592.3,2023-01-02 06:00:00
0.5187,0.5395,0.5146,0.5327,42895.6,2023-01-02 07:00:00
0.535,0.556,0.5304,0.5396,72665.5,2023-01-02 08:00:00
0.5396,0.6222,0.5266,0.5306,15257.4,2023-01-02 09:00:00
0.5312,0.5336,0.5253,0.5253,37333.0,2023-01-02 10:00:00
0.5254,0.5289,0.5151,0.52,7454.1,2023-01-02 11:00:00
0.5174,0.5226,0.5091,0.515,113994.5,2023-01-02 12:00:00
0.5213,0.5224,0.515,0.515,10696.8,2023-01-02 13:00:00
0.5159,0.5274,0.5137,0.5235,3986.3,2023-01-02 14:00:00
0.5244,0.5244,0.519,0.5196,7542.6,2023-01-02 15:00:00
0.5249,0.5311,0.5188,0.5188,34270.8,2023-01-02 16:00:00
0.524,0.5413,0.5151,0.5307,13231.3,2023-01-02 17:00:00
0.5357,0.5387,0.525,0.5302,10577.2,2023-01-02 18:00:00
0.534,0.5383,0.5311,0.5311,5855.3,2023-01-02 19:00:00
0.5328,0.5328,0.5244,0.5256,5344.6,2023-01-02 20:00:00
0.5318,0.5438,0.5284,0.5308,9050.3,2023-01-02 21:00:00
0.5308,0.5322,0.5262,0.5313,24481.0,2023-01-02 22:00:00
0.5306,0.5422,0.526,0.5351,22965.3,2023-01-02 23:00:00
0.5384,0.5706,0.5336,0.5372,32130.1,2023-01-03 00:00:00
0.5386,0.5433,0.5307,0.5384,44704.1,2023-01-03 01:00:00
0.5378,0.5378,0.5242,0.5244,15959.2,2023-01-03 02:00:00
0.5276,0.5276,0.5065,0.5124,42575.4,2023-01-03 03:00:00
0.5164,0.517,0.5077,0.5119,15393.6,2023-01-03 04:00:00
0.512,0.5121,0.4773,0.4851,269986.6,2023-01-03 05:00:00
0.4835,0.4901,0.4583,0.464,215852.3,2023-01-03 06:00:00
0.4634,0.4709,0.4572,0.4639,171487.1,2023-01-03 07:00:00
0.462,0.4641,0.4518,0.4549,38438.5,2023-01-03 08:00:00
