Timp început,Preț maxim,Preț minim,Preț deschidere,volumefrom,Volum,Preț închidere,conversionType,conversionSymbol
2021-11-06 01:00:00,0.8148,0.8106,0.8114,24881.2,20213.18,0.8124,multiply,BTC
2021-11-06 02:00:00,0.8103,0.8091,0.8124,12100.09,9790.13,0.8091,multiply,BTC
2021-11-06 03:00:00,0.8112,0.8082,0.8091,28953.56,23435.23,0.8094,multiply,BTC
2021-11-06 04:00:00,0.8116,0.8079,0.8094,49939.17,40407.59,0.8091,multiply,BTC
2021-11-06 05:00:00,0.8149,0.8112,0.8091,23693.19,19262.72,0.813,multiply,BTC
2021-11-06 06:00:00,0.8141,0.8098,0.813,24104.96,19608.88,0.8135,multiply,BTC
2021-11-06 07:00:00,0.811,0.8067,0.8135,184980.04,149223.24,0.8067,multiply,BTC
2021-11-06 08:00:00,0.8121,0.8072,0.8067,24212.71,19574.11,0.8084,multiply,BTC
2021-11-06 09:00:00,0.8088,0.8039,0.8084,35796.75,28887.14,0.807,multiply,BTC
2021-11-06 10:00:00,0.8025,0.7989,0.807,38887.79,31090.47,0.7995,multiply,BTC
2021-11-06 11:00:00,0.7975,0.7933,0.7995,58267.0,46293.88,0.7945,multiply,BTC
2021-11-06 12:00:00,0.7962,0.7901,0.7945,170640.56,134933.32,0.7907,multiply,BTC
2021-11-06 13:00:00,0.8021,0.7936,0.7907,55582.1,44582.71,0.8021,multiply,BTC
2021-11-06 14:00:00,0.8049,0.8019,0.8021,14920.4,12009.63,0.8049,multiply,BTC
2021-11-06 15:00:00,0.8067,0.8037,0.8049,16758.68,13520.03,0.8067,multiply,BTC
2021-11-06 16:00:00,0.8135,0.805,0.8067,24575.4,19872.06,0.8086,multiply,BTC
2021-11-06 17:00:00,0.8128,0.8079,0.8086,23780.99,19255.79,0.8097,multiply,BTC
2021-11-06 18:00:00,0.8133,0.8054,0.8097,37536.81,30370.11,0.8091,multiply,BTC
2021-11-06 19:00:00,0.8164,0.8097,0.8091,17490.96,14162.63,0.8097,multiply,BTC
2021-11-06 20:00:00,0.8194,0.8096,0.8097,78994.27,64392.69,0.8152,multiply,BTC
2021-11-06 21:00:00,0.8192,0.8137,0.8152,36601.08,29827.34,0.8149,multiply,BTC
2021-11-06 22:00:00,0.819,0.8128,0.8149,17330.79,14183.05,0.8184,multiply,BTC
2021-11-06 23:00:00,0.8206,0.8175,0.8184,27987.36,22880.81,0.8175,multiply,BTC
2021-11-07 00:00:00,0.8323,0.8224,0.8175,64125.19,52935.64,0.8255,multiply,BTC
2021-11-07 01:00:00,0.8263,0.8182,0.8255,53402.03,43927.52,0.8226,multiply,BTC
2021-11-07 02:00:00,0.8237,0.8175,0.8226,40294.77,33017.69,0.8194,multiply,BTC
2021-11-07 03:00:00,0.8246,0.8196,0.8194,25218.95,20684.81,0.8202,multiply,BTC
2021-11-07 04:00:00,0.8207,0.8163,0.8202,25391.99,20822.79,0.8201,multiply,BTC
2021-11-07 05:00:00,0.8174,0.8131,0.8201,16818.69,13716.78,0.8156,multiply,BTC
2021-11-07 06:00:00,0.8232,0.8133,0.8156,20995.37,17100.52,0.8145,multiply,BTC
