Timp început,Preț maxim,Preț minim,Preț deschidere,volumefrom,Volum,Preț închidere,conversionType,conversionSymbol
2021-11-06 01:00:00,0.243,0.2406,0.2425,119043.0,28713.92,0.2412,multiply,BTC
2021-11-06 02:00:00,0.2422,0.2398,0.2412,98748.0,23800.27,0.241,multiply,BTC
2021-11-06 03:00:00,0.2417,0.2386,0.241,104696.0,25108.67,0.2398,multiply,BTC
2021-11-06 04:00:00,0.2419,0.2389,0.2398,54572.0,13103.12,0.2401,multiply,BTC
2021-11-06 05:00:00,0.2429,0.2411,0.2401,83029.0,20067.11,0.2417,multiply,BTC
2021-11-06 06:00:00,0.2421,0.2409,0.2417,11819.0,2854.65,0.2415,multiply,BTC
2021-11-06 07:00:00,0.2403,0.2391,0.2415,91949.0,22039.99,0.2397,multiply,BTC
2021-11-06 08:00:00,0.2412,0.2375,0.2397,345318.0,82230.8,0.2381,multiply,BTC
2021-11-06 09:00:00,0.2403,0.2379,0.2381,155608.0,37206.53,0.2391,multiply,BTC
2021-11-06 10:00:00,0.2421,0.2366,0.2391,283989.0,67718.76,0.2385,multiply,BTC
2021-11-06 11:00:00,0.2403,0.2342,0.2385,565855.0,133575.55,0.2361,multiply,BTC
2021-11-06 12:00:00,0.237,0.2352,0.2361,43101.0,10216.78,0.237,multiply,BTC
2021-11-06 13:00:00,0.2405,0.2357,0.237,324854.0,77737.19,0.2393,multiply,BTC
2021-11-06 14:00:00,0.2396,0.2378,0.2393,48751.0,11621.28,0.2384,multiply,BTC
2021-11-06 15:00:00,0.2398,0.238,0.2384,67309.0,16098.38,0.2392,multiply,BTC
2021-11-06 16:00:00,0.2396,0.2372,0.2392,60786.0,14454.46,0.2378,multiply,BTC
2021-11-06 17:00:00,0.2405,0.2375,0.2378,71452.0,17057.22,0.2387,multiply,BTC
2021-11-06 18:00:00,0.2389,0.2359,0.2387,129080.0,30600.93,0.2371,multiply,BTC
2021-11-06 19:00:00,0.2393,0.2369,0.2371,149688.0,35637.48,0.2381,multiply,BTC
2021-11-06 20:00:00,0.2387,0.2368,0.2381,36138.0,8625.13,0.2387,multiply,BTC
2021-11-06 21:00:00,0.2397,0.2378,0.2387,19676.0,4703.96,0.2391,multiply,BTC
2021-11-06 22:00:00,0.24,0.2382,0.2391,27410.0,6546.06,0.2388,multiply,BTC
2021-11-06 23:00:00,0.2418,0.2393,0.2388,42053.0,10114.82,0.2405,multiply,BTC
2021-11-07 00:00:00,0.2459,0.2421,0.2405,163695.0,39738.44,0.2428,multiply,BTC
2021-11-07 01:00:00,0.2439,0.2414,0.2428,162304.0,39278.96,0.242,multiply,BTC
2021-11-07 02:00:00,0.2442,0.2417,0.242,77578.0,18897.21,0.2436,multiply,BTC
2021-11-07 03:00:00,0.2456,0.2438,0.2436,41495.0,10140.7,0.2444,multiply,BTC
2021-11-07 04:00:00,0.252,0.2427,0.2444,383270.0,94910.58,0.2476,multiply,BTC
2021-11-07 05:00:00,0.251,0.2442,0.2476,492792.0,122159.63,0.2479,multiply,BTC
2021-11-07 06:00:00,0.2476,0.2426,0.2479,124307.0,30235.56,0.2432,multiply,BTC
2021-11-07 07:00:00,0.2454,0.241,0.2432,84304.0,20528.29,0.2435,multiply,BTC
2021-11-07 08:00:00,0.2445,0.2408,0.2435,166246.0,40541.19,0.2439,multiply,BTC
2021-11-07 09:00:00,0.2468,0.2425,0.2439,75251.0,18432.26,0.2449,multiply,BTC
2021-11-07 10:00:00,0.2467,0.2436,0.2449,92558.0,22715.88,0.2454,multiply,BTC
2021-11-07 11:00:00,0.2471,0.2441,0.2454,61083.0,15058.74,0.2465,multiply,BTC
2021-11-07 12:00:00,0.2497,0.2454,0.2465,189715.0,46905.71,0.2472,multiply,BTC
2021-11-07 13:00:00,0.2656,0.2476,0.2472,1992035.0,506863.52,0.2544,multiply,BTC
2021-11-07 14:00:00,0.2671,0.2529,0.2544,1332991.0,345322.9,0.2591,multiply,BTC
2021-11-07 15:00:00,0.2635,0.253,0.2591,611481.0,155440.75,0.2542,multiply,BTC
2021-11-07 16:00:00,0.2608,0.2521,0.2542,355474.0,92711.35,0.2608,multiply,BTC
2021-11-07 17:00:00,0.3194,0.2625,0.2608,7404046.0,2355492.41,0.3181,multiply,BTC
2021-11-07 18:00:00,0.333,0.2774,0.3181,8980711.0,2508408.07,0.2793,multiply,BTC
2021-11-07 19:00:00,0.2873,0.2736,0.2793,2729803.0,767166.9,0.281,multiply,BTC
2021-11-07 20:00:00,0.3285,0.2827,0.281,5121696.0,1496236.11,0.2921,multiply,BTC
2021-11-07 21:00:00,0.3044,0.2861,0.2921,1932701.0,568787.98,0.2943,multiply,BTC
2021-11-07 22:00:00,0.3161,0.2941,0.2943,2203230.0,675693.22,0.3067,multiply,BTC
2021-11-07 23:00:00,0.3089,0.2962,0.3067,935211.0,279388.59,0.2987,multiply,BTC
2021-11-08 00:00:00,0.3198,0.2892,0.2987,2341935.0,683461.03,0.2918,multiply,BTC
2021-11-08 01:00:00,0.3004,0.2828,0.2918,1028986.0,294327.52,0.286,multiply,BTC
2021-11-08 02:00:00,0.2865,0.2755,0.286,783691.0,215872.12,0.2755,multiply,BTC
2021-11-08 03:00:00,0.2818,0.2752,0.2755,678839.0,187284.22,0.2759,multiply,BTC
2021-11-08 04:00:00,0.2771,0.2647,0.2759,683473.0,180942.04,0.2647,multiply,BTC
2021-11-08 05:00:00,0.2724,0.2633,0.2647,1035409.0,280059.11,0.2705,multiply,BTC
2021-11-08 06:00:00,0.2725,0.2619,0.2705,934697.0,248521.17,0.2659,multiply,BTC
2021-11-08 07:00:00,0.2725,0.2619,0.2659,984458.0,258525.41,0.2626,multiply,BTC
2021-11-08 08:00:00,0.2671,0.2585,0.2626,883201.0,228902.32,0.2592,multiply,BTC
2021-11-08 09:00:00,0.2698,0.2579,0.2592,1094667.0,288789.89,0.2638,multiply,BTC
2021-11-08 10:00:00,0.2656,0.2596,0.2638,842173.0,220875.47,0.2623,multiply,BTC
2021-11-08 11:00:00,0.2629,0.2589,0.2623,368315.0,95858.2,0.2603,multiply,BTC
2021-11-08 12:00:00,0.2608,0.2588,0.2603,156315.0,40662.09,0.2601,multiply,BTC
2021-11-08 13:00:00,0.2611,0.2578,0.2601,262459.0,68173.72,0.2597,multiply,BTC
2021-11-08 14:00:00,0.26,0.2581,0.2597,216486.0,56009.56,0.2587,multiply,BTC
2021-11-08 15:00:00,0.2637,0.2597,0.2587,290015.0,75314.91,0.2597,multiply,BTC
2021-11-08 16:00:00,0.2599,0.2579,0.2597,104232.0,27086.85,0.2599,multiply,BTC
2021-11-08 17:00:00,0.2615,0.2582,0.2599,218844.0,57219.05,0.2615,multiply,BTC
2021-11-08 18:00:00,0.2704,0.2605,0.2615,1641684.0,436282.37,0.2658,multiply,BTC
2021-11-08 19:00:00,0.2653,0.2601,0.2658,264389.0,69109.07,0.2614,multiply,BTC
2021-11-08 20:00:00,0.2636,0.259,0.2614,765904.0,198361.72,0.259,multiply,BTC
2021-11-08 21:00:00,0.262,0.258,0.259,418979.0,109199.87,0.2606,multiply,BTC
2021-11-08 22:00:00,0.2641,0.2582,0.2606,514772.0,133578.83,0.2595,multiply,BTC
2021-11-08 23:00:00,0.2675,0.2608,0.2595,640471.0,168323.7,0.2628,multiply,BTC
2021-11-09 00:00:00,0.2665,0.2618,0.2628,292995.0,77682.94,0.2651,multiply,BTC
2021-11-09 01:00:00,0.2693,0.2639,0.2651,282765.0,75780.85,0.268,multiply,BTC
2021-11-09 02:00:00,0.2692,0.2617,0.268,177932.0,46570.93,0.2617,multiply,BTC
2021-11-09 03:00:00,0.2658,0.259,0.2617,367368.0,95385.74,0.2596,multiply,BTC
2021-11-09 04:00:00,0.2616,0.2582,0.2596,395857.0,102741.49,0.2595,multiply,BTC
2021-11-09 05:00:00,0.2609,0.2582,0.2595,96908.0,25155.85,0.2596,multiply,BTC
2021-11-09 06:00:00,0.2606,0.2586,0.2596,256037.0,66205.36,0.2586,multiply,BTC
