Timp început,Preț maxim,Preț minim,Preț deschidere,volumefrom,Volum,Preț închidere,conversionType,conversionSymbol
2021-11-06 01:00:00,0.04411,0.04411,0.04414,9792.27,431.95,0.04411,multiply,ETH
2021-11-06 02:00:00,0.04397,0.04397,0.04411,15736.48,691.89,0.04397,multiply,ETH
2021-11-06 03:00:00,0.04407,0.04407,0.04397,22602.4,996.12,0.04407,multiply,ETH
2021-11-06 04:00:00,0.0441,0.0441,0.04407,38.89,1.715,0.0441,multiply,ETH
2021-11-06 05:00:00,0.04467,0.04421,0.0441,644.37,28.49,0.04421,multiply,ETH
2021-11-06 06:00:00,0.04494,0.04404,0.04421,14837.41,660.12,0.04449,multiply,ETH
2021-11-06 07:00:00,0.0443,0.04385,0.04449,18372.76,805.61,0.04385,multiply,ETH
2021-11-06 08:00:00,0.04385,0.0434,0.04385,9452.16,414.43,0.04385,multiply,ETH
2021-11-06 09:00:00,0.04377,0.04333,0.04385,8985.56,393.33,0.04377,multiply,ETH
2021-11-06 10:00:00,0.04307,0.04307,0.04377,26592.1,1145.37,0.04307,multiply,ETH
2021-11-06 11:00:00,0.04288,0.04201,0.04307,16753.2,703.74,0.04201,multiply,ETH
2021-11-06 12:00:00,0.04192,0.04192,0.04201,77587.23,3252.35,0.04192,multiply,ETH
2021-11-06 13:00:00,0.0421,0.0421,0.04192,17371.78,731.38,0.0421,multiply,ETH
2021-11-06 14:00:00,0.04227,0.04227,0.0421,9546.15,403.47,0.04227,multiply,ETH
2021-11-06 15:00:00,0.04226,0.04226,0.04227,2943.87,124.41,0.04226,multiply,ETH
2021-11-06 16:00:00,0.04236,0.04236,0.04226,14553.21,616.49,0.04236,multiply,ETH
2021-11-06 17:00:00,0.04244,0.04244,0.04236,15801.32,670.62,0.04244,multiply,ETH
2021-11-06 18:00:00,0.04267,0.04222,0.04244,11183.77,472.2,0.04222,multiply,ETH
2021-11-06 19:00:00,0.04273,0.04273,0.04222,14862.5,635.02,0.04273,multiply,ETH
2021-11-06 20:00:00,0.04262,0.04262,0.04273,36.65,1.562,0.04262,multiply,ETH
2021-11-06 21:00:00,0.04293,0.04247,0.04262,3040.61,129.15,0.04247,multiply,ETH
2021-11-06 22:00:00,0.04236,0.04191,0.04247,10919.38,462.58,0.04236,multiply,ETH
2021-11-06 23:00:00,0.04306,0.04245,0.04236,820517.7,34827.44,0.04245,multiply,BTC
2021-11-07 00:00:00,0.04273,0.04273,0.0425,7438.73,317.86,0.04273,multiply,ETH
2021-11-07 01:00:00,0.04285,0.04285,0.04273,13636.21,584.24,0.04285,multiply,ETH
2021-11-07 02:00:00,0.04323,0.04278,0.04285,11191.17,478.74,0.04278,multiply,ETH
2021-11-07 03:00:00,0.04326,0.04281,0.04278,19240.38,823.65,0.04281,multiply,ETH
2021-11-07 04:00:00,0.04326,0.04281,0.04281,10076.83,435.95,0.04326,multiply,ETH
2021-11-07 05:00:00,0.04323,0.04323,0.04326,26206.65,1132.93,0.04323,multiply,ETH
2021-11-07 06:00:00,0.04332,0.04271,0.04276,280132.39,11963.06,0.04271,multiply,BTC
2021-11-07 07:00:00,0.04317,0.04272,0.04325,16363.54,699.01,0.04272,multiply,ETH
2021-11-07 08:00:00,0.04274,0.04274,0.04272,7174.93,306.67,0.04274,multiply,ETH
2021-11-07 09:00:00,0.04311,0.04265,0.04274,14388.35,620.26,0.04311,multiply,ETH
2021-11-07 10:00:00,0.04319,0.04319,0.04311,11653.86,503.38,0.04319,multiply,ETH
2021-11-07 11:00:00,0.04321,0.04321,0.04319,20447.25,883.46,0.04321,multiply,ETH
2021-11-07 12:00:00,0.04327,0.04265,0.04336,1195920.11,51005.3,0.04265,multiply,BTC
2021-11-07 13:00:00,0.04337,0.0429,0.04321,6919.5,296.87,0.0429,multiply,ETH
2021-11-07 14:00:00,0.04327,0.04281,0.0429,18645.91,806.76,0.04327,multiply,ETH
2021-11-07 15:00:00,0.0438,0.04334,0.04327,5854.66,256.42,0.0438,multiply,ETH
2021-11-07 16:00:00,0.04506,0.04368,0.0438,238626.44,10642.44,0.0446,multiply,ETH
2021-11-07 17:00:00,0.0452,0.04474,0.0446,42168.8,1906.08,0.0452,multiply,ETH
2021-11-07 18:00:00,0.04522,0.04476,0.0452,19842.51,888.2,0.04476,multiply,ETH
2021-11-07 19:00:00,0.04516,0.0447,0.04476,22660.47,1012.84,0.0447,multiply,ETH
2021-11-07 20:00:00,0.04489,0.04442,0.0447,11597.51,515.2,0.04442,multiply,ETH
2021-11-07 21:00:00,0.04444,0.04444,0.04442,8154.34,362.35,0.04444,multiply,ETH
2021-11-07 22:00:00,0.04414,0.04368,0.04444,22067.17,974.1,0.04414,multiply,ETH
2021-11-07 23:00:00,0.04432,0.04386,0.04414,27516.16,1219.64,0.04432,multiply,ETH
2021-11-08 00:00:00,0.04503,0.04363,0.04432,47382.49,2089.39,0.0441,multiply,ETH
2021-11-08 01:00:00,0.04455,0.04408,0.0441,34484.79,1536.3,0.04455,multiply,ETH
2021-11-08 02:00:00,0.04467,0.0442,0.04455,15022.19,663.99,0.0442,multiply,ETH
2021-11-08 03:00:00,0.04439,0.04439,0.0442,24637.79,1093.75,0.04439,multiply,ETH
2021-11-08 04:00:00,0.04481,0.0434,0.04439,32262.41,1400.17,0.0434,multiply,ETH
2021-11-08 05:00:00,0.04394,0.04346,0.0434,10938.58,480.59,0.04394,multiply,ETH
2021-11-08 06:00:00,0.04411,0.04316,0.04394,22123.5,965.41,0.04364,multiply,ETH
2021-11-08 07:00:00,0.04444,0.0435,0.04364,27181.06,1207.97,0.04444,multiply,ETH
2021-11-08 08:00:00,0.04506,0.04411,0.04444,238783.56,10645.82,0.04458,multiply,ETH
2021-11-08 09:00:00,0.04489,0.04441,0.04458,20185.29,906.02,0.04489,multiply,ETH
2021-11-08 10:00:00,0.04495,0.04448,0.04489,30205.39,1343.49,0.04448,multiply,ETH
2021-11-08 11:00:00,0.04497,0.0445,0.04448,8754.77,389.55,0.0445,multiply,ETH
2021-11-08 12:00:00,0.04478,0.04346,0.04426,1297594.2,57253.97,0.04412,multiply,BTC
2021-11-08 13:00:00,0.04436,0.04388,0.04454,7910.19,347.13,0.04388,multiply,ETH
2021-11-08 14:00:00,0.04382,0.04335,0.04388,6749.01,295.77,0.04382,multiply,ETH
2021-11-08 15:00:00,0.04435,0.04435,0.04382,15672.33,695.01,0.04435,multiply,ETH
2021-11-08 16:00:00,0.04437,0.04437,0.04435,16453.03,730.06,0.04437,multiply,ETH
2021-11-08 17:00:00,0.0449,0.04358,0.04353,784668.17,34711.36,0.04424,multiply,BTC
2021-11-08 18:00:00,0.04444,0.04396,0.0445,6008.41,267.01,0.04444,multiply,ETH
2021-11-08 19:00:00,0.0442,0.0442,0.04444,12218.62,540.02,0.0442,multiply,ETH
2021-11-08 20:00:00,0.04428,0.04428,0.0442,16978.83,751.8,0.04428,multiply,ETH
2021-11-08 21:00:00,0.0444,0.04392,0.04428,5368.23,235.79,0.04392,multiply,ETH
2021-11-08 22:00:00,0.04458,0.04391,0.04366,1559975.42,69542.56,0.04458,multiply,BTC
2021-11-08 23:00:00,0.04475,0.04427,0.04399,10317.69,461.72,0.04475,multiply,ETH
2021-11-09 00:00:00,0.04457,0.04457,0.04475,14237.65,634.6,0.04457,multiply,ETH
2021-11-09 01:00:00,0.04461,0.04461,0.04457,19246.61,858.64,0.04461,multiply,ETH
2021-11-09 02:00:00,0.04454,0.04454,0.04461,32042.23,1427.26,0.04454,multiply,ETH
2021-11-09 03:00:00,0.04478,0.0443,0.04454,23876.93,1057.81,0.0443,multiply,ETH
2021-11-09 04:00:00,0.04472,0.04424,0.0443,17483.42,781.86,0.04472,multiply,ETH
2021-11-09 05:00:00,0.04538,0.0449,0.04472,11601.0,526.45,0.04538,multiply,ETH
2021-11-09 06:00:00,0.04525,0.04429,0.04538,237519.9,10634.48,0.04477,multiply,ETH
2021-11-09 07:00:00,0.04549,0.04453,0.04477,4536.2,206.35,0.04549,multiply,ETH
2021-11-09 08:00:00,0.04572,0.04524,0.04549,18705.09,855.23,0.04572,multiply,ETH
2021-11-09 09:00:00,0.04578,0.04578,0.04572,6796.86,311.16,0.04578,multiply,ETH
2021-11-09 10:00:00,0.04684,0.04548,0.04641,4926136.26,227405.25,0.04616,multiply,BTC
2021-11-09 11:00:00,0.04634,0.04586,0.0466,16793.61,778.19,0.04634,multiply,ETH
2021-11-09 12:00:00,0.0464,0.04544,0.04634,19501.66,895.55,0.04592,multiply,ETH
2021-11-09 13:00:00,0.04621,0.04621,0.04592,17877.32,826.18,0.04621,multiply,ETH
2021-11-09 14:00:00,0.04651,0.04603,0.04621,3755.72,174.67,0.04651,multiply,ETH
2021-11-09 15:00:00,0.04807,0.0454,0.0458,17561581.32,820790.59,0.04674,multiply,BTC
2021-11-09 16:00:00,0.04669,0.04535,0.04674,2153367.38,97662.82,0.04535,multiply,BTC
2021-11-09 17:00:00,0.04636,0.04588,0.04632,6437.62,295.36,0.04588,multiply,ETH
2021-11-09 18:00:00,0.04605,0.0451,0.04588,36602.0,1685.66,0.04605,multiply,ETH
2021-11-09 19:00:00,0.04702,0.04607,0.04605,44190.47,2056.63,0.04654,multiply,ETH
2021-11-09 20:00:00,0.04728,0.0468,0.04654,24690.12,1167.32,0.04728,multiply,ETH
2021-11-09 21:00:00,0.048,0.04752,0.04728,30459.12,1462.02,0.048,multiply,ETH
2021-11-09 22:00:00,0.04756,0.04756,0.048,10193.66,484.81,0.04756,multiply,ETH
2021-11-09 23:00:00,0.04826,0.04732,0.04756,29838.47,1440.11,0.04826,multiply,ETH
2021-11-10 00:00:00,0.04817,0.04722,0.04826,31363.12,1481.06,0.04722,multiply,ETH
2021-11-10 01:00:00,0.0473,0.0473,0.04722,30983.84,1465.43,0.0473,multiply,ETH
2021-11-10 02:00:00,0.04736,0.04688,0.0473,17652.19,827.62,0.04688,multiply,ETH
2021-11-10 03:00:00,0.04644,0.04597,0.04688,34766.6,1598.11,0.04597,multiply,ETH
2021-11-10 04:00:00,0.0462,0.0462,0.04597,6144.81,283.89,0.0462,multiply,ETH
2021-11-10 05:00:00,0.04655,0.04608,0.0462,14373.55,669.1,0.04655,multiply,ETH
2021-11-10 06:00:00,0.04693,0.04645,0.04655,14645.87,687.26,0.04693,multiply,ETH
2021-11-10 07:00:00,0.04717,0.0467,0.04693,11744.73,548.49,0.0467,multiply,ETH
2021-11-10 08:00:00,0.04663,0.04616,0.0467,17791.44,821.28,0.04616,multiply,ETH
2021-11-10 09:00:00,0.04663,0.04615,0.04616,13642.31,636.09,0.04663,multiply,ETH
2021-11-10 10:00:00,0.04743,0.04609,0.04669,2731168.75,127701.98,0.04676,multiply,BTC
2021-11-10 11:00:00,0.04683,0.04588,0.04694,21956.56,1017.84,0.04636,multiply,ETH
2021-11-10 12:00:00,0.04616,0.04569,0.04636,13258.7,612.0,0.04616,multiply,ETH
2021-11-10 13:00:00,0.04696,0.046,0.04616,53026.67,2439.23,0.046,multiply,ETH
2021-11-10 14:00:00,0.04653,0.04653,0.046,7839.97,364.8,0.04653,multiply,ETH
2021-11-10 15:00:00,0.04649,0.04581,0.04582,1606225.88,74675.92,0.04649,multiply,BTC
2021-11-10 16:00:00,0.04728,0.04591,0.04649,822797.14,38898.49,0.04728,multiply,BTC
2021-11-10 17:00:00,0.04693,0.04645,0.04654,7169.29,336.46,0.04693,multiply,ETH
2021-11-10 18:00:00,0.04688,0.0464,0.04693,21003.0,974.49,0.0464,multiply,ETH
2021-11-10 19:00:00,0.04607,0.04513,0.0464,30099.55,1358.29,0.04513,multiply,ETH
2021-11-10 20:00:00,0.04452,0.04312,0.04513,63819.49,2752.19,0.04312,multiply,ETH
2021-11-10 21:00:00,0.04245,0.03987,0.04279,24406534.96,1004573.92,0.04116,multiply,BTC
2021-11-10 22:00:00,0.04236,0.04106,0.04116,3682804.66,153603.5,0.04171,multiply,BTC
2021-11-10 23:00:00,0.04221,0.04156,0.04171,704738.87,29744.37,0.04221,multiply,BTC
2021-11-11 00:00:00,0.04222,0.04157,0.04221,495918.96,20939.51,0.04222,multiply,BTC
2021-11-11 01:00:00,0.04275,0.04146,0.04222,471484.41,19850.96,0.0421,multiply,BTC
2021-11-11 02:00:00,0.04195,0.0413,0.0421,168967.95,6979.01,0.0413,multiply,BTC
2021-11-11 03:00:00,0.04274,0.04145,0.0413,973046.3,40962.49,0.0421,multiply,BTC
2021-11-11 04:00:00,0.04267,0.04202,0.0421,162728.67,6942.86,0.04267,multiply,BTC
2021-11-11 05:00:00,0.0427,0.04205,0.04267,99751.52,4194.63,0.04205,multiply,BTC
2021-11-11 06:00:00,0.04279,0.04215,0.04205,705774.53,29745.29,0.04215,multiply,BTC
2021-11-11 07:00:00,0.04372,0.04242,0.04215,1884667.94,82407.0,0.04372,multiply,BTC
2021-11-11 08:00:00,0.04388,0.04341,0.04364,635.69,27.6,0.04341,multiply,ETH
2021-11-11 09:00:00,0.04353,0.04306,0.04341,1552.29,66.83,0.04306,multiply,ETH
2021-11-11 10:00:00,0.04331,0.04284,0.04306,16.39,0.7099,0.04331,multiply,ETH
2021-11-11 11:00:00,0.04344,0.04297,0.04331,5705.23,245.14,0.04297,multiply,ETH
2021-11-11 12:00:00,0.04293,0.04246,0.04297,31084.78,1334.45,0.04293,multiply,ETH
2021-11-11 13:00:00,0.04281,0.04234,0.04293,27924.42,1182.3,0.04234,multiply,ETH
2021-11-11 14:00:00,0.04265,0.04218,0.04234,21930.42,935.42,0.04265,multiply,ETH
2021-11-11 15:00:00,0.0425,0.04203,0.04265,27629.97,1174.2,0.0425,multiply,ETH
2021-11-11 16:00:00,0.0434,0.04292,0.0425,3672.36,159.38,0.0434,multiply,ETH
2021-11-11 17:00:00,0.04325,0.04277,0.0434,22402.07,958.23,0.04277,multiply,ETH
2021-11-11 18:00:00,0.04305,0.04257,0.04277,28320.86,1205.7,0.04257,multiply,ETH
2021-11-11 19:00:00,0.04284,0.04237,0.04257,28141.6,1205.7,0.04284,multiply,ETH
2021-11-11 20:00:00,0.04262,0.04215,0.04284,12414.79,529.1,0.04262,multiply,ETH
2021-11-11 21:00:00,0.04271,0.04223,0.04262,19103.32,815.87,0.04271,multiply,ETH
2021-11-11 22:00:00,0.04278,0.04231,0.04271,22478.71,961.66,0.04278,multiply,ETH
2021-11-11 23:00:00,0.04251,0.04204,0.04278,20257.99,861.16,0.04251,multiply,ETH
2021-11-12 00:00:00,0.04303,0.04256,0.04251,45690.02,1944.58,0.04256,multiply,ETH
2021-11-12 01:00:00,0.0431,0.0431,0.04256,9900.49,426.72,0.0431,multiply,ETH
2021-11-12 02:00:00,0.04357,0.04227,0.04298,3101068.19,131067.86,0.04227,multiply,BTC
2021-11-12 03:00:00,0.04296,0.04248,0.04312,10985.01,466.67,0.04248,multiply,ETH
2021-11-12 04:00:00,0.04254,0.04206,0.04248,10362.3,435.89,0.04206,multiply,ETH
2021-11-12 05:00:00,0.0422,0.04173,0.04206,21070.72,889.17,0.0422,multiply,ETH
2021-11-12 06:00:00,0.04247,0.042,0.0422,29209.7,1226.71,0.042,multiply,ETH
2021-11-12 07:00:00,0.04191,0.04144,0.042,47784.73,1980.05,0.04144,multiply,ETH
2021-11-12 08:00:00,0.04213,0.04166,0.04144,7148.95,301.21,0.04213,multiply,ETH
2021-11-12 09:00:00,0.04112,0.04066,0.04213,16177.55,657.74,0.04066,multiply,ETH
2021-11-12 10:00:00,0.04059,0.04059,0.04066,19493.25,791.19,0.04059,multiply,ETH
2021-11-12 11:00:00,0.04049,0.04049,0.04059,20443.92,827.85,0.04049,multiply,ETH
2021-11-12 12:00:00,0.04046,0.04046,0.04049,644.43,26.08,0.04046,multiply,ETH
2021-11-12 13:00:00,0.04158,0.0403,0.04021,735620.93,29648.27,0.0403,multiply,BTC
2021-11-12 14:00:00,0.04063,0.04,0.0403,97235.08,3889.18,0.04,multiply,BTC
2021-11-12 15:00:00,0.04106,0.03979,0.04,2889025.14,118618.49,0.04106,multiply,BTC
2021-11-12 16:00:00,0.04099,0.03973,0.04106,1392630.93,55330.71,0.03973,multiply,BTC
2021-11-12 17:00:00,0.04063,0.04063,0.04021,763.66,31.03,0.04063,multiply,ETH
2021-11-12 18:00:00,0.04131,0.04085,0.04063,19.83,0.8193,0.04131,multiply,ETH
2021-11-12 19:00:00,0.04143,0.04096,0.04131,8252.59,338.02,0.04096,multiply,ETH
2021-11-12 20:00:00,0.04155,0.04061,0.04096,19205.69,797.95,0.04155,multiply,ETH
2021-11-12 21:00:00,0.04145,0.04098,0.04155,14490.32,593.81,0.04098,multiply,ETH
2021-11-12 22:00:00,0.04086,0.04086,0.04098,4227.02,172.71,0.04086,multiply,ETH
2021-11-12 23:00:00,0.04154,0.04061,0.04086,17254.47,708.77,0.04108,multiply,ETH
2021-11-13 00:00:00,0.04172,0.04125,0.04108,43149.55,1779.81,0.04125,multiply,ETH
2021-11-13 01:00:00,0.04126,0.0408,0.04125,20445.0,834.05,0.0408,multiply,ETH
2021-11-13 02:00:00,0.04167,0.04074,0.0408,10374.74,427.5,0.04121,multiply,ETH
2021-11-13 03:00:00,0.0413,0.0413,0.04121,8996.75,371.55,0.0413,multiply,ETH
2021-11-13 04:00:00,0.0414,0.04076,0.04082,382435.04,15589.54,0.04076,multiply,BTC
2021-11-13 05:00:00,0.04112,0.04112,0.04115,24414.74,1003.84,0.04112,multiply,ETH
2021-11-13 06:00:00,0.04137,0.04137,0.04112,19761.35,817.44,0.04137,multiply,ETH
2021-11-13 07:00:00,0.04134,0.04134,0.04137,4265.54,176.36,0.04134,multiply,ETH
2021-11-13 08:00:00,0.04163,0.04117,0.04134,26.41,1.087,0.04117,multiply,ETH
2021-11-13 09:00:00,0.04182,0.0409,0.04117,16065.48,664.42,0.04136,multiply,ETH
2021-11-13 10:00:00,0.04155,0.04155,0.04136,1653.61,68.7,0.04155,multiply,ETH
2021-11-13 11:00:00,0.04196,0.0415,0.04155,16521.9,693.33,0.04196,multiply,ETH
2021-11-13 12:00:00,0.0419,0.0419,0.04196,21572.11,903.88,0.0419,multiply,ETH
2021-11-13 13:00:00,0.04201,0.04201,0.0419,12291.73,516.38,0.04201,multiply,ETH
2021-11-13 14:00:00,0.04251,0.04204,0.04201,24233.67,1018.82,0.04204,multiply,ETH
2021-11-13 15:00:00,0.04258,0.04164,0.04204,24978.7,1051.92,0.04211,multiply,ETH
2021-11-13 16:00:00,0.04206,0.04206,0.04211,23348.03,982.05,0.04206,multiply,ETH
2021-11-13 17:00:00,0.04265,0.04218,0.04206,29.18,1.244,0.04265,multiply,ETH
2021-11-13 18:00:00,0.04234,0.04188,0.04265,6315.63,264.48,0.04188,multiply,ETH
2021-11-13 19:00:00,0.0418,0.04134,0.04188,32643.04,1364.55,0.0418,multiply,ETH
2021-11-13 20:00:00,0.04196,0.04149,0.0418,29644.83,1243.83,0.04196,multiply,ETH
2021-11-13 21:00:00,0.04191,0.04191,0.04196,25869.34,1084.09,0.04191,multiply,ETH
2021-11-13 22:00:00,0.04176,0.04176,0.04191,3564.64,148.85,0.04176,multiply,ETH
2021-11-13 23:00:00,0.04227,0.0418,0.04176,15693.65,663.34,0.04227,multiply,ETH
2021-11-14 00:00:00,0.04254,0.04254,0.04227,6645.73,282.72,0.04254,multiply,ETH
2021-11-14 01:00:00,0.04289,0.04242,0.04254,28474.53,1207.94,0.04242,multiply,ETH
2021-11-14 02:00:00,0.04266,0.04219,0.04242,2450.32,103.39,0.04219,multiply,ETH
2021-11-14 03:00:00,0.04305,0.04212,0.04219,32977.44,1404.42,0.04259,multiply,ETH
2021-11-14 04:00:00,0.04262,0.04216,0.04259,14055.77,599.06,0.04262,multiply,ETH
