Timp început,Preț maxim,Preț minim,Preț deschidere,volumefrom,Volum,Preț închidere,conversionType,conversionSymbol
2021-11-06 02:00:00,0.6102,0.6057,0.6108,3526.32,2142.13,0.6075,multiply,ETH
2021-11-06 03:00:00,0.6112,0.6089,0.6075,4122.79,2517.81,0.6107,multiply,ETH
2021-11-06 04:00:00,0.6137,0.6074,0.6107,6995.33,4293.37,0.6137,multiply,ETH
2021-11-06 05:00:00,0.6181,0.6136,0.6137,2596.33,1593.06,0.6136,multiply,ETH
2021-11-06 06:00:00,0.6112,0.6089,0.6136,2414.64,1470.36,0.6089,multiply,ETH
2021-11-06 07:00:00,0.6076,0.6063,0.6089,4248.65,2577.7,0.6067,multiply,ETH
2021-11-06 08:00:00,0.6076,0.6062,0.6067,4304.11,2613.11,0.6071,multiply,ETH
2021-11-06 09:00:00,0.6088,0.6061,0.6071,3577.6,2178.08,0.6088,multiply,ETH
2021-11-06 10:00:00,0.6039,0.5969,0.6088,19843.06,11974.24,0.6034,multiply,ETH
2021-11-06 11:00:00,0.603,0.5955,0.6034,18238.81,10893.66,0.5973,multiply,ETH
2021-11-06 12:00:00,0.5982,0.5947,0.5973,6293.23,3756.46,0.5969,multiply,ETH
2021-11-06 13:00:00,0.6008,0.596,0.5969,11072.28,6652.48,0.6008,multiply,ETH
2021-11-06 14:00:00,0.6032,0.5983,0.6008,4023.19,2407.14,0.5983,multiply,ETH
2021-11-06 15:00:00,0.6013,0.5983,0.5983,4263.85,2562.17,0.6009,multiply,ETH
2021-11-06 16:00:00,0.6036,0.6006,0.6009,4226.42,2551.27,0.6036,multiply,ETH
2021-11-06 17:00:00,0.6048,0.5977,0.6036,7393.24,4445.17,0.6012,multiply,ETH
2021-11-06 18:00:00,0.6044,0.5973,0.6012,6722.37,4039.34,0.6009,multiply,ETH
2021-11-06 19:00:00,0.609,0.6054,0.6009,12473.19,7573.29,0.6072,multiply,ETH
2021-11-06 20:00:00,0.6065,0.602,0.6072,3962.88,2396.43,0.6047,multiply,ETH
2021-11-06 21:00:00,0.6123,0.6064,0.6047,9879.69,5990.89,0.6064,multiply,ETH
2021-11-06 22:00:00,0.6071,0.6044,0.6064,4473.8,2711.81,0.6062,multiply,ETH
2021-11-06 23:00:00,0.6099,0.6072,0.6062,5163.04,3149.17,0.6099,multiply,ETH
2021-11-07 00:00:00,0.6191,0.6128,0.6099,34635.5,21223.68,0.6128,multiply,ETH
2021-11-07 01:00:00,0.6149,0.6062,0.6128,23269.27,14190.94,0.6099,multiply,ETH
2021-11-07 02:00:00,0.6094,0.6053,0.6099,5314.47,3221.5,0.6062,multiply,ETH
2021-11-07 03:00:00,0.6103,0.6057,0.6062,7428.71,4499.54,0.6057,multiply,ETH
2021-11-07 04:00:00,0.6089,0.6034,0.6057,14756.37,8910.65,0.6039,multiply,ETH
2021-11-07 05:00:00,0.6048,0.6025,0.6039,10741.77,6476.78,0.603,multiply,ETH
2021-11-07 06:00:00,0.6065,0.6033,0.603,14199.05,8604.63,0.606,multiply,ETH
2021-11-07 07:00:00,0.6049,0.6012,0.606,10453.21,6303.77,0.603,multiply,ETH
2021-11-07 08:00:00,0.6043,0.6016,0.603,7861.89,4729.52,0.6016,multiply,ETH
2021-11-07 09:00:00,0.6086,0.6054,0.6016,14156.52,8569.7,0.6054,multiply,ETH
2021-11-07 10:00:00,0.6066,0.6015,0.6054,21468.2,12962.44,0.6038,multiply,ETH
2021-11-07 11:00:00,0.6049,0.6021,0.6038,8787.69,5291.39,0.6021,multiply,ETH
2021-11-07 12:00:00,0.605,0.6022,0.6021,5046.58,3039.03,0.6022,multiply,ETH
2021-11-07 13:00:00,0.6076,0.6043,0.6022,17012.56,10336.39,0.6076,multiply,ETH
2021-11-07 14:00:00,0.6062,0.6021,0.6076,6632.15,4005.16,0.6039,multiply,ETH
2021-11-07 15:00:00,0.6076,0.6049,0.6039,2907.83,1762.9,0.6063,multiply,ETH
2021-11-07 16:00:00,0.6074,0.6023,0.6063,7574.05,4600.26,0.6074,multiply,ETH
2021-11-07 17:00:00,0.6134,0.607,0.6074,5894.04,3577.6,0.607,multiply,ETH
2021-11-07 18:00:00,0.6091,0.6068,0.607,3399.24,2069.05,0.6087,multiply,ETH
2021-11-07 19:00:00,0.6087,0.6036,0.6087,5613.91,3414.61,0.6082,multiply,ETH
2021-11-07 20:00:00,0.6113,0.609,0.6082,8280.15,5046.21,0.6094,multiply,ETH
2021-11-07 21:00:00,0.6096,0.6068,0.6094,4519.2,2748.72,0.6082,multiply,ETH
2021-11-07 22:00:00,0.6083,0.6042,0.6082,6631.64,4034.27,0.6083,multiply,ETH
2021-11-07 23:00:00,0.6127,0.6108,0.6083,1476.92,904.9,0.6127,multiply,ETH
2021-11-08 00:00:00,0.6319,0.6075,0.6127,81439.27,49779.57,0.6112,multiply,ETH
2021-11-08 01:00:00,0.611,0.6049,0.6112,8802.65,5325.1,0.6049,multiply,ETH
2021-11-08 02:00:00,0.6075,0.6028,0.6049,4572.04,2756.14,0.6028,multiply,ETH
2021-11-08 03:00:00,0.6055,0.6036,0.6028,15396.7,9307.39,0.6045,multiply,ETH
2021-11-08 04:00:00,0.6062,0.6038,0.6045,6459.74,3915.75,0.6062,multiply,ETH
2021-11-08 05:00:00,0.608,0.6057,0.6062,3070.04,1862.27,0.6066,multiply,ETH
2021-11-08 06:00:00,0.609,0.6024,0.6066,10316.49,6214.51,0.6024,multiply,ETH
2021-11-08 07:00:00,0.6052,0.6004,0.6024,7911.87,4776.75,0.6037,multiply,ETH
2021-11-08 08:00:00,0.608,0.6047,0.6037,7171.4,4360.52,0.608,multiply,ETH
2021-11-08 09:00:00,0.6057,0.6029,0.608,10151.31,6148.81,0.6057,multiply,ETH
2021-11-08 10:00:00,0.6109,0.6061,0.6057,15316.43,9312.85,0.608,multiply,ETH
2021-11-08 11:00:00,0.6116,0.6059,0.608,20525.13,12494.36,0.6087,multiply,ETH
2021-11-08 12:00:00,0.6132,0.608,0.6087,26691.61,16240.52,0.6085,multiply,ETH
2021-11-08 13:00:00,0.629,0.6031,0.6085,49443.33,30050.17,0.6078,multiply,ETH
2021-11-08 14:00:00,0.6121,0.6069,0.6078,35358.65,21593.75,0.6107,multiply,ETH
2021-11-08 15:00:00,0.6185,0.6123,0.6107,26906.77,16499.7,0.6132,multiply,ETH
2021-11-08 16:00:00,0.6145,0.6112,0.6132,58133.49,35530.95,0.6112,multiply,ETH
2021-11-08 17:00:00,0.6143,0.611,0.6112,22584.73,13820.21,0.6119,multiply,ETH
2021-11-08 18:00:00,0.6145,0.6102,0.6119,8705.5,5345.38,0.614,multiply,ETH
2021-11-08 19:00:00,0.6135,0.6102,0.614,27493.13,16854.54,0.613,multiply,ETH
2021-11-08 20:00:00,0.6156,0.6132,0.613,36014.42,22170.99,0.6156,multiply,ETH
2021-11-08 21:00:00,0.6178,0.6135,0.6156,7963.53,4885.61,0.6135,multiply,ETH
2021-11-08 22:00:00,0.6168,0.6135,0.6135,8880.0,5464.74,0.6154,multiply,ETH
2021-11-08 23:00:00,0.6193,0.6159,0.6154,32605.44,20129.43,0.6174,multiply,ETH
2021-11-09 00:00:00,0.6154,0.6106,0.6174,19657.08,12040.08,0.6125,multiply,ETH
2021-11-09 01:00:00,0.614,0.6102,0.6125,14915.58,9101.28,0.6102,multiply,ETH
2021-11-09 02:00:00,0.6135,0.6088,0.6102,5993.32,3677.17,0.6135,multiply,ETH
2021-11-09 03:00:00,0.6178,0.6121,0.6135,12051.33,7376.02,0.6121,multiply,ETH
2021-11-09 04:00:00,0.6155,0.6107,0.6121,8184.42,5025.75,0.6141,multiply,ETH
2021-11-09 05:00:00,0.6165,0.6141,0.6141,1784.94,1096.08,0.6141,multiply,ETH
2021-11-09 06:00:00,0.6162,0.6105,0.6141,14316.13,8787.57,0.6138,multiply,ETH
2021-11-09 07:00:00,0.6148,0.6091,0.6138,8718.64,5360.39,0.6148,multiply,ETH
2021-11-09 08:00:00,0.6184,0.6165,0.6148,4558.45,2810.39,0.6165,multiply,ETH
2021-11-09 09:00:00,0.6197,0.6168,0.6165,4629.87,2858.04,0.6173,multiply,ETH
2021-11-09 10:00:00,0.6184,0.611,0.6157,49012.36,30278.35,0.6178,multiply,BTC
2021-11-09 11:00:00,0.6158,0.612,0.6188,27393.01,16789.33,0.6129,multiply,ETH
2021-11-09 12:00:00,0.6137,0.6113,0.6129,22302.43,13655.6,0.6123,multiply,ETH
2021-11-09 13:00:00,0.6191,0.6133,0.6123,30865.41,18929.55,0.6133,multiply,ETH
2021-11-09 14:00:00,0.6137,0.6108,0.6133,18734.5,11470.7,0.6123,multiply,ETH
2021-11-09 15:00:00,0.6143,0.6076,0.6123,20457.42,12537.11,0.6128,multiply,ETH
2021-11-09 16:00:00,0.6131,0.6093,0.6128,12643.76,7752.23,0.6131,multiply,ETH
2021-11-09 17:00:00,0.616,0.6132,0.6131,13626.35,8361.83,0.6137,multiply,ETH
2021-11-09 18:00:00,0.6125,0.6077,0.6137,7905.71,4842.0,0.6125,multiply,ETH
2021-11-09 19:00:00,0.614,0.6112,0.6125,7239.02,4441.64,0.6136,multiply,ETH
2021-11-09 20:00:00,0.617,0.6141,0.6136,17444.04,10721.54,0.6146,multiply,ETH
2021-11-09 21:00:00,0.6178,0.6154,0.6146,10207.61,6281.26,0.6154,multiply,ETH
2021-11-09 22:00:00,0.6145,0.6097,0.6154,17423.83,10706.44,0.6145,multiply,ETH
2021-11-09 23:00:00,0.6156,0.6113,0.6145,38367.57,23473.72,0.6118,multiply,ETH
2021-11-10 00:00:00,0.6569,0.6106,0.6118,674517.04,415995.62,0.6167,multiply,ETH
2021-11-10 01:00:00,0.621,0.6177,0.6167,26885.78,16619.89,0.6182,multiply,ETH
2021-11-10 02:00:00,0.619,0.6152,0.6182,21897.43,13471.01,0.6152,multiply,ETH
2021-11-10 03:00:00,0.6149,0.6093,0.6152,31471.36,19352.43,0.6149,multiply,ETH
2021-11-10 04:00:00,0.6199,0.6161,0.6149,26119.24,16093.37,0.6161,multiply,ETH
2021-11-10 05:00:00,0.6249,0.6122,0.6161,16811.87,10497.99,0.6244,multiply,ETH
2021-11-10 06:00:00,0.6309,0.62,0.6244,16068.31,10000.12,0.6224,multiply,ETH
2021-11-10 07:00:00,0.6194,0.6147,0.6224,15418.02,9542.22,0.6189,multiply,ETH
2021-11-10 08:00:00,0.6199,0.6156,0.6189,6678.0,4114.41,0.6161,multiply,ETH
2021-11-10 09:00:00,0.6207,0.616,0.6161,13808.29,8571.32,0.6207,multiply,ETH
2021-11-10 10:00:00,0.6225,0.6172,0.621,37009.01,22990.13,0.6212,multiply,BTC
2021-11-10 11:00:00,0.6211,0.6173,0.6225,29004.69,17904.79,0.6173,multiply,ETH
2021-11-10 12:00:00,0.6194,0.6133,0.6173,36249.4,22417.8,0.6184,multiply,ETH
2021-11-10 13:00:00,0.6301,0.622,0.6184,24068.0,14969.3,0.622,multiply,ETH
2021-11-10 14:00:00,0.6316,0.6267,0.622,16321.57,10228.94,0.6267,multiply,ETH
2021-11-10 15:00:00,0.6282,0.6244,0.6267,23219.99,14531.2,0.6258,multiply,ETH
2021-11-10 16:00:00,0.6302,0.6249,0.6258,19511.43,12267.7,0.6287,multiply,ETH
2021-11-10 17:00:00,0.629,0.6275,0.6287,7596.19,4766.8,0.6275,multiply,ETH
2021-11-10 18:00:00,0.6252,0.6204,0.6275,17007.2,10624.25,0.6247,multiply,ETH
2021-11-10 19:00:00,0.6177,0.6134,0.6247,9692.46,5982.2,0.6172,multiply,ETH
2021-11-10 20:00:00,0.6088,0.5991,0.6172,14074.31,8542.98,0.607,multiply,ETH
2021-11-10 21:00:00,0.6032,0.5841,0.607,13537.95,7913.28,0.5845,multiply,ETH
2021-11-10 22:00:00,0.5956,0.5863,0.5845,15548.24,9116.38,0.5863,multiply,ETH
2021-11-10 23:00:00,0.5917,0.5852,0.5863,21230.99,12532.9,0.5903,multiply,ETH
2021-11-11 00:00:00,0.5919,0.585,0.5903,12138.42,7106.6,0.5855,multiply,ETH
2021-11-11 01:00:00,0.5875,0.5843,0.5855,8170.69,4777.62,0.5847,multiply,ETH
2021-11-11 02:00:00,0.587,0.5838,0.5847,16754.84,9820.29,0.5861,multiply,ETH
2021-11-11 03:00:00,0.5899,0.5848,0.5861,22714.03,13357.13,0.5881,multiply,ETH
2021-11-11 04:00:00,0.5934,0.5879,0.5881,910.91,540.57,0.5934,multiply,ETH
2021-11-11 05:00:00,0.5975,0.5929,0.5934,6088.28,3615.36,0.5938,multiply,ETH
2021-11-11 06:00:00,0.6015,0.595,0.5938,7088.69,4237.71,0.5978,multiply,ETH
2021-11-11 07:00:00,0.6067,0.6006,0.5978,27642.71,16602.93,0.6006,multiply,ETH
2021-11-11 08:00:00,0.604,0.5946,0.6006,46001.52,27437.55,0.5964,multiply,ETH
2021-11-11 09:00:00,0.5999,0.5919,0.5964,19580.67,11700.79,0.5976,multiply,ETH
2021-11-11 10:00:00,0.6021,0.5946,0.5976,18324.63,10956.31,0.5979,multiply,ETH
2021-11-11 11:00:00,0.5997,0.5954,0.5979,17112.03,10188.57,0.5954,multiply,ETH
2021-11-11 12:00:00,0.5972,0.5916,0.5954,12398.04,7357.81,0.5935,multiply,ETH
2021-11-11 13:00:00,0.5956,0.5871,0.5935,13025.23,7690.09,0.5904,multiply,ETH
2021-11-11 14:00:00,0.5953,0.5915,0.5904,9658.4,5726.35,0.5929,multiply,ETH
2021-11-11 15:00:00,0.5935,0.5893,0.5929,4370.86,2588.11,0.5921,multiply,ETH
2021-11-11 16:00:00,0.6004,0.5952,0.5921,12822.01,7631.45,0.5952,multiply,ETH
2021-11-11 17:00:00,0.5969,0.5931,0.5952,3571.44,2121.75,0.5941,multiply,ETH
2021-11-11 18:00:00,0.596,0.5913,0.5941,4633.98,2753.18,0.5941,multiply,ETH
2021-11-11 19:00:00,0.6012,0.597,0.5941,7948.76,4775.37,0.6008,multiply,ETH
2021-11-11 20:00:00,0.6009,0.5957,0.6008,19515.6,11653.48,0.5971,multiply,ETH
2021-11-11 21:00:00,0.5998,0.5974,0.5971,9970.11,5956.59,0.5974,multiply,ETH
2021-11-11 22:00:00,0.6023,0.5975,0.5974,9772.34,5876.21,0.6013,multiply,ETH
2021-11-11 23:00:00,0.598,0.5965,0.6013,5855.69,3501.5,0.598,multiply,ETH
2021-11-12 00:00:00,0.5987,0.5911,0.598,46927.66,27806.28,0.5925,multiply,ETH
2021-11-12 01:00:00,0.6001,0.5934,0.5925,15681.43,9304.73,0.5934,multiply,ETH
2021-11-12 02:00:00,0.5985,0.5918,0.5934,9942.89,5912.37,0.5946,multiply,ETH
2021-11-12 03:00:00,0.5924,0.5905,0.5946,12533.43,7418.4,0.5919,multiply,ETH
2021-11-12 04:00:00,0.5946,0.5922,0.5919,6541.9,3874.44,0.5922,multiply,ETH
2021-11-12 05:00:00,0.5898,0.5875,0.5922,8806.15,5190.08,0.5894,multiply,ETH
2021-11-12 06:00:00,0.5889,0.5861,0.5894,4231.1,2489.69,0.5884,multiply,ETH
2021-11-12 07:00:00,0.5886,0.5839,0.5884,19700.53,11558.48,0.5867,multiply,ETH
2021-11-12 08:00:00,0.5899,0.587,0.5867,7441.49,4375.34,0.588,multiply,ETH
2021-11-12 09:00:00,0.5775,0.5729,0.588,20238.42,11688.14,0.5775,multiply,ETH
2021-11-12 10:00:00,0.5779,0.5756,0.5775,1263.26,727.14,0.5756,multiply,ETH
2021-11-12 11:00:00,0.5793,0.5743,0.5756,14101.24,8162.84,0.5789,multiply,ETH
2021-11-12 12:00:00,0.5867,0.5771,0.5789,12765.23,7413.31,0.5807,multiply,ETH
2021-11-12 13:00:00,0.5845,0.5817,0.5807,13906.35,8115.22,0.5836,multiply,ETH
2021-11-12 14:00:00,0.5823,0.5786,0.5836,8032.87,4647.78,0.5786,multiply,ETH
2021-11-12 15:00:00,0.5792,0.5769,0.5786,9751.16,5629.89,0.5774,multiply,ETH
2021-11-12 16:00:00,0.5798,0.5743,0.5774,9148.26,5283.23,0.5775,multiply,ETH
2021-11-12 17:00:00,0.5864,0.5804,0.5775,13959.2,8114.95,0.5813,multiply,ETH
2021-11-12 18:00:00,0.5844,0.5779,0.5813,53891.13,31345.58,0.5816,multiply,ETH
2021-11-12 19:00:00,0.5846,0.5809,0.5816,15711.9,9126.81,0.5809,multiply,ETH
2021-11-12 20:00:00,0.5831,0.5789,0.5809,3960.82,2309.42,0.5831,multiply,ETH
2021-11-12 21:00:00,0.583,0.5793,0.5831,38556.42,22479.65,0.583,multiply,ETH
2021-11-12 22:00:00,0.5836,0.5813,0.583,5714.89,3332.65,0.5832,multiply,ETH
2021-11-12 23:00:00,0.5877,0.5844,0.5832,18454.05,10793.6,0.5849,multiply,ETH
2021-11-13 00:00:00,0.5892,0.5845,0.5849,28075.85,16515.51,0.5882,multiply,ETH
2021-11-13 01:00:00,0.5832,0.5772,0.5882,24450.91,14248.04,0.5827,multiply,ETH
2021-11-13 02:00:00,0.5829,0.5815,0.5827,15331.66,8936.8,0.5829,multiply,ETH
2021-11-13 03:00:00,0.5842,0.5824,0.5829,13965.54,8139.31,0.5828,multiply,ETH
2021-11-13 04:00:00,0.5825,0.5793,0.5828,8973.47,5227.34,0.5825,multiply,ETH
2021-11-13 05:00:00,0.5835,0.5821,0.5825,4763.6,2772.86,0.5821,multiply,ETH
2021-11-13 06:00:00,0.5898,0.5852,0.5821,6193.54,3624.23,0.5852,multiply,ETH
2021-11-13 07:00:00,0.5867,0.5844,0.5852,8850.19,5176.12,0.5849,multiply,ETH
2021-11-13 08:00:00,0.5842,0.5814,0.5849,11626.43,6786.88,0.5837,multiply,ETH
2021-11-13 09:00:00,0.5818,0.5799,0.5837,2938.03,1709.22,0.5818,multiply,ETH
2021-11-13 10:00:00,0.5904,0.5844,0.5818,3529.45,2083.8,0.5904,multiply,ETH
2021-11-13 11:00:00,0.5898,0.5834,0.5904,6371.04,3731.26,0.5857,multiply,ETH
2021-11-13 12:00:00,0.5848,0.582,0.5857,16684.92,9725.97,0.5829,multiply,ETH
2021-11-13 13:00:00,0.5858,0.5817,0.5829,7332.62,4292.31,0.5854,multiply,ETH
2021-11-13 14:00:00,0.5923,0.5881,0.5854,16505.85,9722.7,0.589,multiply,ETH
