Timp început,Preț maxim,Preț minim,Preț deschidere,volumefrom,Volum,Preț închidere,conversionType,conversionSymbol
2021-11-06 01:00:00,0.4695,0.4618,0.4625,192337.49,89864.4,0.4672,multiply,ETH
2021-11-06 02:00:00,0.4657,0.4518,0.4672,117552.56,53108.78,0.4518,multiply,ETH
2021-11-06 03:00:00,0.4592,0.4529,0.4518,391042.83,179020.88,0.4578,multiply,ETH
2021-11-06 04:00:00,0.4716,0.4576,0.4578,407329.23,190980.55,0.4689,multiply,ETH
2021-11-06 05:00:00,0.4755,0.4688,0.4689,198116.7,93315.57,0.471,multiply,ETH
2021-11-06 06:00:00,0.4692,0.4629,0.471,79278.52,36767.77,0.4638,multiply,ETH
2021-11-06 07:00:00,0.4617,0.4488,0.4638,225743.57,102417.82,0.4537,multiply,ETH
2021-11-06 08:00:00,0.4568,0.4537,0.4537,270269.42,123094.8,0.4555,multiply,ETH
2021-11-06 09:00:00,0.4645,0.4547,0.4555,98996.0,45898.85,0.4636,multiply,ETH
2021-11-06 10:00:00,0.4615,0.4523,0.4636,226335.61,102361.59,0.4523,multiply,ETH
2021-11-06 11:00:00,0.4507,0.4441,0.4523,299125.45,133636.06,0.4468,multiply,ETH
2021-11-06 12:00:00,0.4502,0.4458,0.4468,153296.95,68677.95,0.448,multiply,ETH
2021-11-06 13:00:00,0.4535,0.4482,0.448,24900.76,11291.7,0.4535,multiply,ETH
2021-11-06 14:00:00,0.4671,0.4552,0.4535,256367.66,118625.25,0.4627,multiply,ETH
2021-11-06 15:00:00,0.4812,0.4592,0.4627,475370.42,225801.24,0.475,multiply,ETH
2021-11-06 16:00:00,0.496,0.4761,0.475,352541.86,170342.23,0.4832,multiply,ETH
2021-11-06 17:00:00,0.4841,0.4744,0.4832,89840.72,42935.2,0.4779,multiply,ETH
2021-11-06 18:00:00,0.5084,0.4804,0.4779,767674.33,389972.9,0.508,multiply,ETH
2021-11-06 19:00:00,0.5424,0.5078,0.508,824645.55,426518.88,0.5172,multiply,ETH
2021-11-06 20:00:00,0.5307,0.5105,0.5172,705538.24,361135.61,0.5119,multiply,ETH
2021-11-06 21:00:00,0.5205,0.4993,0.5119,394256.79,197563.17,0.5011,multiply,ETH
2021-11-06 22:00:00,0.5156,0.4984,0.5011,688846.72,353285.19,0.5129,multiply,ETH
2021-11-06 23:00:00,0.5186,0.5109,0.5129,356973.38,182386.62,0.5109,multiply,ETH
2021-11-07 00:00:00,0.5328,0.505,0.5109,319061.64,161138.02,0.505,multiply,ETH
2021-11-07 01:00:00,0.5064,0.4941,0.505,253349.77,125753.71,0.4964,multiply,ETH
2021-11-07 02:00:00,0.502,0.4924,0.4964,328317.68,164652.88,0.5015,multiply,ETH
2021-11-07 03:00:00,0.5037,0.4969,0.5015,437328.26,218084.69,0.4987,multiply,ETH
2021-11-07 04:00:00,0.4987,0.4841,0.4987,272262.34,132665.41,0.4873,multiply,ETH
2021-11-07 05:00:00,0.4883,0.4828,0.4873,48758.54,23652.42,0.4851,multiply,ETH
2021-11-07 06:00:00,0.4881,0.4799,0.4851,188251.1,91452.74,0.4858,multiply,ETH
2021-11-07 07:00:00,0.4976,0.4849,0.4858,171571.38,84986.66,0.4953,multiply,ETH
2021-11-07 08:00:00,0.4965,0.4856,0.4953,222206.87,108919.82,0.4902,multiply,ETH
2021-11-07 09:00:00,0.5035,0.4939,0.4902,99887.72,49381.68,0.4944,multiply,ETH
2021-11-07 10:00:00,0.4954,0.4829,0.4944,430632.48,207972.26,0.4829,multiply,ETH
2021-11-07 11:00:00,0.4881,0.4831,0.4829,89582.72,43564.57,0.4863,multiply,ETH
2021-11-07 12:00:00,0.4923,0.4854,0.4863,199176.13,97694.17,0.4905,multiply,ETH
2021-11-07 13:00:00,0.4941,0.4872,0.4905,115760.5,56394.65,0.4872,multiply,ETH
2021-11-07 14:00:00,0.4861,0.4792,0.4872,190952.5,91585.05,0.4796,multiply,ETH
2021-11-07 15:00:00,0.4873,0.4804,0.4796,274794.48,133784.51,0.4869,multiply,ETH
2021-11-07 16:00:00,0.4855,0.48,0.4869,82011.72,39592.8,0.4828,multiply,ETH
2021-11-07 17:00:00,0.4861,0.4815,0.4828,88551.05,42640.02,0.4815,multiply,ETH
2021-11-07 18:00:00,0.4869,0.4785,0.4815,259930.32,125947.82,0.4845,multiply,ETH
2021-11-07 19:00:00,0.4861,0.4829,0.4845,167579.26,81002.22,0.4834,multiply,ETH
2021-11-07 20:00:00,0.4914,0.4854,0.4834,261612.08,127717.96,0.4882,multiply,ETH
2021-11-07 21:00:00,0.4916,0.4879,0.4882,291852.96,143470.21,0.4916,multiply,ETH
