Timp început,Preț maxim,Preț minim,Preț deschidere,volumefrom,Volum,Preț închidere,conversionType,conversionSymbol
2021-11-06 01:00:00,16.46,16.08,16.33,14864.94,239883.83,16.14,multiply,BTC
2021-11-06 02:00:00,16.1,15.85,16.14,6395.92,101859.16,15.93,multiply,BTC
2021-11-06 03:00:00,16.34,15.96,15.93,14794.8,239500.5,16.19,multiply,BTC
2021-11-06 04:00:00,16.33,16.1,16.19,8118.14,130876.36,16.12,multiply,BTC
2021-11-06 05:00:00,16.2,16.03,16.12,5774.34,93110.27,16.12,multiply,BTC
2021-11-06 06:00:00,16.1,15.9,16.12,8085.48,128672.55,15.91,multiply,BTC
2021-11-06 07:00:00,15.94,15.74,15.91,9008.6,142933.15,15.87,multiply,BTC
2021-11-06 08:00:00,15.94,15.75,15.87,7089.2,111807.86,15.77,multiply,BTC
2021-11-06 09:00:00,16.05,15.69,15.77,14525.05,231149.45,15.91,multiply,BTC
2021-11-06 10:00:00,15.95,15.48,15.91,10393.62,161600.31,15.55,multiply,BTC
2021-11-06 11:00:00,15.51,15.26,15.55,12979.41,199898.93,15.4,multiply,BTC
2021-11-06 12:00:00,15.45,15.17,15.4,13218.21,201311.36,15.23,multiply,BTC
2021-11-06 13:00:00,15.47,15.29,15.23,12031.0,185568.25,15.42,multiply,BTC
2021-11-06 14:00:00,15.53,15.39,15.42,7783.88,120160.57,15.44,multiply,BTC
2021-11-06 15:00:00,15.49,15.4,15.44,3824.12,59078.85,15.45,multiply,BTC
2021-11-06 16:00:00,15.52,15.37,15.45,4571.49,70825.7,15.49,multiply,BTC
2021-11-06 17:00:00,15.54,15.42,15.49,2656.27,41080.13,15.47,multiply,BTC
2021-11-06 18:00:00,15.52,15.26,15.47,6952.76,106377.91,15.3,multiply,BTC
2021-11-06 19:00:00,15.58,15.39,15.3,8034.74,125198.94,15.58,multiply,BTC
2021-11-06 20:00:00,15.62,15.54,15.58,3929.27,61318.11,15.61,multiply,BTC
2021-11-06 21:00:00,15.73,15.63,15.61,2711.83,42615.77,15.71,multiply,BTC
2021-11-06 22:00:00,15.75,15.65,15.71,2250.86,35293.16,15.68,multiply,BTC
2021-11-06 23:00:00,15.85,15.71,15.68,4154.69,65683.49,15.81,multiply,BTC
2021-11-07 00:00:00,16.06,15.78,15.81,6635.49,105484.4,15.9,multiply,BTC
2021-11-07 01:00:00,16.06,15.76,15.9,8430.47,133842.21,15.88,multiply,BTC
2021-11-07 02:00:00,15.96,15.74,15.88,13850.14,220281.17,15.9,multiply,BTC
2021-11-07 03:00:00,15.98,15.85,15.9,3700.99,58893.58,15.91,multiply,BTC
2021-11-07 04:00:00,16.18,15.74,15.91,16161.74,258231.88,15.98,multiply,BTC
2021-11-07 05:00:00,16.6,15.81,15.98,29679.35,487237.16,16.42,multiply,BTC
