Timp început,Preț maxim,Preț minim,Preț deschidere,volumefrom,Volum,Preț închidere,conversionType,conversionSymbol
2021-11-06 01:00:00,2.784,2.552,2.635,30054.22,82818.08,2.756,multiply,ETH
2021-11-06 02:00:00,2.747,2.626,2.756,466.24,1249.83,2.681,multiply,ETH
2021-11-06 03:00:00,2.699,2.624,2.681,606.17,1630.15,2.689,multiply,ETH
2021-11-06 04:00:00,2.733,2.675,2.689,2562.28,6967.15,2.719,multiply,ETH
2021-11-06 05:00:00,2.785,2.657,2.719,1763.05,4892.64,2.775,multiply,ETH
2021-11-06 06:00:00,2.842,2.742,2.775,1295.3,3632.93,2.805,multiply,ETH
2021-11-06 07:00:00,2.83,2.677,2.805,1015.23,2762.7,2.721,multiply,ETH
2021-11-06 08:00:00,2.754,2.682,2.721,1766.59,4751.71,2.69,multiply,ETH
2021-11-06 09:00:00,2.75,2.651,2.69,4902.57,13318.55,2.717,multiply,ETH
2021-11-06 10:00:00,2.687,2.609,2.717,2359.42,6271.71,2.658,multiply,ETH
2021-11-06 11:00:00,2.665,2.597,2.668,636499.33,1666604.05,2.618,multiply,BTC
2021-11-06 12:00:00,2.638,2.591,2.63,1113.36,2916.43,2.619,multiply,ETH
2021-11-06 13:00:00,2.685,2.631,2.619,1025.21,2739.04,2.672,multiply,ETH
2021-11-06 14:00:00,2.712,2.662,2.672,1849.7,5000.13,2.703,multiply,ETH
2021-11-06 15:00:00,2.718,2.662,2.703,3495.02,9391.54,2.687,multiply,ETH
2021-11-06 16:00:00,2.724,2.614,2.687,1543.59,4092.22,2.651,multiply,ETH
2021-11-06 17:00:00,2.657,2.621,2.651,1376.9,3622.49,2.631,multiply,ETH
2021-11-06 18:00:00,2.716,2.595,2.631,1595.59,4139.96,2.595,multiply,ETH
2021-11-06 19:00:00,2.671,2.62,2.595,1975.32,5211.38,2.638,multiply,ETH
2021-11-06 20:00:00,2.682,2.605,2.638,11232.77,30113.52,2.681,multiply,ETH
2021-11-06 21:00:00,2.707,2.662,2.681,2716.38,7318.98,2.694,multiply,ETH
2021-11-06 22:00:00,2.709,2.651,2.694,891.84,2413.57,2.706,multiply,ETH
2021-11-06 23:00:00,2.717,2.702,2.706,502.02,1360.78,2.711,multiply,ETH
2021-11-07 00:00:00,2.737,2.674,2.711,492.3,1347.44,2.737,multiply,ETH
2021-11-07 01:00:00,2.744,2.686,2.737,1134.03,3053.78,2.693,multiply,ETH
2021-11-07 02:00:00,2.693,2.662,2.693,2237.15,6010.84,2.687,multiply,ETH
2021-11-07 03:00:00,2.709,2.664,2.687,873.94,2333.88,2.671,multiply,ETH
2021-11-07 04:00:00,2.671,2.627,2.671,245.18,645.13,2.631,multiply,ETH
2021-11-07 05:00:00,2.658,2.622,2.631,453.84,1200.32,2.645,multiply,ETH
2021-11-07 06:00:00,2.667,2.614,2.645,740.29,1958.95,2.646,multiply,ETH
2021-11-07 07:00:00,2.657,2.636,2.646,826.81,2196.19,2.656,multiply,ETH
2021-11-07 08:00:00,2.658,2.623,2.656,608.4,1604.53,2.637,multiply,ETH
2021-11-07 09:00:00,2.681,2.639,2.637,610.25,1613.68,2.644,multiply,ETH
2021-11-07 10:00:00,2.657,2.635,2.644,749.09,1978.55,2.641,multiply,ETH
2021-11-07 11:00:00,2.688,2.642,2.641,1604.62,4277.09,2.665,multiply,ETH
2021-11-07 12:00:00,2.699,2.636,2.665,818.98,2187.72,2.671,multiply,ETH
2021-11-07 13:00:00,2.708,2.646,2.671,759.1,2031.49,2.676,multiply,ETH
2021-11-07 14:00:00,2.672,2.623,2.676,3324.3,8790.67,2.644,multiply,ETH
2021-11-07 15:00:00,2.655,2.638,2.644,2073.3,5475.19,2.641,multiply,ETH
2021-11-07 16:00:00,2.671,2.62,2.641,3747.33,9913.86,2.646,multiply,ETH
2021-11-07 17:00:00,2.679,2.628,2.646,1076.04,2849.31,2.648,multiply,ETH
2021-11-07 18:00:00,2.653,2.634,2.648,511.89,1348.36,2.634,multiply,ETH
2021-11-07 19:00:00,2.671,2.626,2.634,573.49,1510.49,2.634,multiply,ETH
2021-11-07 20:00:00,2.647,2.615,2.634,644.66,1698.3,2.634,multiply,ETH
2021-11-07 21:00:00,2.654,2.609,2.634,675.44,1787.11,2.646,multiply,ETH
2021-11-07 22:00:00,2.655,2.627,2.646,1294.68,3420.08,2.642,multiply,ETH
2021-11-07 23:00:00,2.687,2.602,2.642,2042.43,5461.03,2.674,multiply,ETH
2021-11-08 00:00:00,2.73,2.524,2.674,2712.38,6958.75,2.566,multiply,ETH
2021-11-08 01:00:00,2.581,2.534,2.566,1359.83,3463.29,2.547,multiply,ETH
2021-11-08 02:00:00,2.566,2.516,2.547,2330.93,5908.83,2.535,multiply,ETH
2021-11-08 03:00:00,2.618,2.527,2.535,2632.47,6755.75,2.566,multiply,ETH
2021-11-08 04:00:00,2.563,2.535,2.566,1309.75,3327.14,2.54,multiply,ETH
2021-11-08 05:00:00,2.568,2.507,2.54,2487.41,6251.62,2.513,multiply,ETH
2021-11-08 06:00:00,2.535,2.476,2.513,831.51,2063.12,2.481,multiply,ETH
2021-11-08 07:00:00,2.533,2.473,2.481,516.12,1301.32,2.521,multiply,ETH
2021-11-08 08:00:00,2.56,2.502,2.521,916.87,2306.52,2.516,multiply,ETH
2021-11-08 09:00:00,2.551,2.5,2.516,1371.96,3478.35,2.535,multiply,ETH
2021-11-08 10:00:00,2.548,2.521,2.535,2132.43,5419.41,2.541,multiply,ETH
2021-11-08 11:00:00,2.542,2.521,2.541,1655.92,4207.64,2.541,multiply,ETH
2021-11-08 12:00:00,2.558,2.514,2.541,3238.78,8172.62,2.523,multiply,ETH
2021-11-08 13:00:00,2.525,2.499,2.519,213485.02,538464.19,2.522,multiply,BTC
2021-11-08 14:00:00,2.53,2.514,2.517,1555.39,3922.68,2.522,multiply,ETH
2021-11-08 15:00:00,2.56,2.522,2.522,2396.23,6075.31,2.535,multiply,ETH
2021-11-08 16:00:00,2.577,2.524,2.535,799.29,2038.37,2.55,multiply,ETH
2021-11-08 17:00:00,2.758,2.481,2.55,34317.55,86954.8,2.534,multiply,ETH
2021-11-08 18:00:00,2.566,2.527,2.534,6624.51,16954.15,2.559,multiply,ETH
2021-11-08 19:00:00,2.552,2.464,2.559,1385.5,3509.43,2.533,multiply,ETH
2021-11-08 20:00:00,2.557,2.501,2.533,1534.59,3857.77,2.514,multiply,ETH
2021-11-08 21:00:00,2.558,2.508,2.514,921.62,2338.21,2.537,multiply,ETH
2021-11-08 22:00:00,2.541,2.528,2.537,439.38,1113.51,2.534,multiply,ETH
2021-11-08 23:00:00,2.59,2.515,2.525,502038.06,1292622.73,2.575,multiply,BTC
2021-11-09 00:00:00,2.561,2.508,2.571,1282.34,3257.92,2.541,multiply,ETH
2021-11-09 01:00:00,2.551,2.5,2.541,2371.89,5972.36,2.518,multiply,ETH
2021-11-09 02:00:00,2.555,2.492,2.518,698.54,1764.86,2.526,multiply,ETH
2021-11-09 03:00:00,2.544,2.499,2.504,173051.25,433316.33,2.504,multiply,BTC
2021-11-09 04:00:00,2.523,2.504,2.511,2600.99,6530.02,2.511,multiply,ETH
2021-11-09 05:00:00,2.534,2.5,2.511,2187.26,5493.96,2.512,multiply,ETH
2021-11-09 06:00:00,2.53,2.502,2.512,473.09,1191.87,2.519,multiply,ETH
2021-11-09 07:00:00,2.518,2.484,2.519,905.12,2266.68,2.504,multiply,ETH
2021-11-09 08:00:00,2.547,2.51,2.504,7185.82,18173.96,2.529,multiply,ETH
2021-11-09 09:00:00,2.535,2.514,2.529,2396.42,6038.53,2.52,multiply,ETH
2021-11-09 10:00:00,2.518,2.499,2.517,161332.35,404907.72,2.51,multiply,BTC
2021-11-09 11:00:00,2.501,2.426,2.513,1652.93,4030.25,2.438,multiply,ETH
2021-11-09 12:00:00,2.451,2.42,2.438,2272.67,5553.1,2.443,multiply,ETH
2021-11-09 13:00:00,2.481,2.446,2.443,3304.89,8104.29,2.452,multiply,ETH
2021-11-09 14:00:00,2.471,2.383,2.452,928.74,2262.12,2.436,multiply,ETH
2021-11-09 15:00:00,2.523,2.376,2.436,1743.92,4198.93,2.408,multiply,ETH
2021-11-09 16:00:00,2.411,2.378,2.408,1043.05,2505.29,2.402,multiply,ETH
2021-11-09 17:00:00,2.419,2.387,2.402,1137.91,2744.72,2.412,multiply,ETH
2021-11-09 18:00:00,2.41,2.374,2.412,1516.77,3624.44,2.39,multiply,ETH
2021-11-09 19:00:00,2.41,2.363,2.39,917.85,2198.17,2.395,multiply,ETH
2021-11-09 20:00:00,2.417,2.387,2.395,881.22,2129.45,2.416,multiply,ETH
2021-11-09 21:00:00,2.434,2.399,2.416,8193.14,19871.68,2.425,multiply,ETH
2021-11-09 22:00:00,2.406,2.375,2.425,402.66,964.22,2.395,multiply,ETH
2021-11-09 23:00:00,2.391,2.359,2.395,549.91,1309.34,2.381,multiply,ETH
2021-11-10 00:00:00,2.516,2.354,2.381,3785.81,9485.9,2.506,multiply,ETH
2021-11-10 01:00:00,2.512,2.42,2.506,7262.64,17841.3,2.457,multiply,ETH
2021-11-10 02:00:00,2.523,2.423,2.457,1085.42,2666.83,2.457,multiply,ETH
2021-11-10 03:00:00,2.547,2.4,2.457,13030.28,32826.62,2.519,multiply,ETH
2021-11-10 04:00:00,2.637,2.532,2.519,4180.48,10803.79,2.584,multiply,ETH
2021-11-10 05:00:00,2.616,2.541,2.584,1033.87,2635.34,2.549,multiply,ETH
2021-11-10 06:00:00,2.578,2.508,2.548,300781.91,755938.14,2.513,multiply,BTC
2021-11-10 07:00:00,2.518,2.453,2.513,774468.55,1933183.63,2.496,multiply,BTC
2021-11-10 08:00:00,2.584,2.454,2.499,639.42,1587.57,2.483,multiply,ETH
2021-11-10 09:00:00,2.515,2.453,2.483,858.67,2146.19,2.499,multiply,ETH
2021-11-10 10:00:00,2.52,2.489,2.506,131611.5,330986.18,2.515,multiply,BTC
2021-11-10 11:00:00,2.7,2.472,2.511,25356.18,65680.7,2.59,multiply,ETH
2021-11-10 12:00:00,2.688,2.427,2.59,3703.41,9072.27,2.45,multiply,ETH
2021-11-10 13:00:00,2.512,2.469,2.45,1382.48,3430.77,2.482,multiply,ETH
2021-11-10 14:00:00,2.554,2.476,2.482,1789.85,4446.12,2.484,multiply,ETH
2021-11-10 15:00:00,2.52,2.477,2.484,2512.09,6300.5,2.508,multiply,ETH
2021-11-10 16:00:00,2.514,2.479,2.508,756.38,1874.78,2.479,multiply,ETH
2021-11-10 17:00:00,2.482,2.457,2.474,182807.98,450732.82,2.466,multiply,BTC
2021-11-10 18:00:00,2.449,2.43,2.466,114296.44,278562.12,2.437,multiply,BTC
2021-11-10 19:00:00,2.426,2.381,2.437,264476.49,629893.74,2.382,multiply,BTC
2021-11-10 20:00:00,2.373,2.28,2.385,4101.22,9409.91,2.294,multiply,ETH
2021-11-10 21:00:00,2.335,2.058,2.294,8854.69,18980.6,2.144,multiply,ETH
2021-11-10 22:00:00,2.321,2.097,2.144,5193.18,11793.91,2.271,multiply,ETH
