Timp început,Preț maxim,Preț minim,Preț deschidere,volumefrom,Volum,Preț închidere,conversionType,conversionSymbol
2021-11-06 01:00:00,0.008571,0.008571,0.008574,0.0,0.0,0.008571,multiply,BTC
2021-11-06 02:00:00,0.008542,0.008542,0.008571,0.0,0.0,0.008542,multiply,BTC
2021-11-06 03:00:00,0.008565,0.008565,0.008542,0.0,0.0,0.008565,multiply,BTC
2021-11-06 04:00:00,0.008575,0.008575,0.008565,0.0,0.0,0.008575,multiply,BTC
2021-11-06 05:00:00,0.00861,0.00861,0.008575,0.0,0.0,0.00861,multiply,BTC
2021-11-06 06:00:00,0.008582,0.008582,0.00861,0.0,0.0,0.008582,multiply,BTC
2021-11-06 07:00:00,0.008517,0.008517,0.008582,0.0,0.0,0.008517,multiply,BTC
2021-11-06 08:00:00,0.008548,0.008548,0.008517,0.0,0.0,0.008548,multiply,BTC
2021-11-06 09:00:00,0.008539,0.008539,0.008548,0.0,0.0,0.008539,multiply,BTC
2021-11-06 10:00:00,0.008473,0.008473,0.008539,0.0,0.0,0.008473,multiply,BTC
2021-11-06 11:00:00,0.008452,0.008452,0.008473,0.0,0.0,0.008452,multiply,BTC
2021-11-06 12:00:00,0.008444,0.008444,0.008452,0.0,0.0,0.008444,multiply,BTC
2021-11-06 13:00:00,0.008481,0.008481,0.008444,0.0,0.0,0.008481,multiply,BTC
2021-11-06 14:00:00,0.008492,0.008492,0.008481,0.0,0.0,0.008492,multiply,BTC
2021-11-06 15:00:00,0.008498,0.008498,0.008492,0.0,0.0,0.008498,multiply,BTC
2021-11-06 16:00:00,0.008493,0.008493,0.008498,0.0,0.0,0.008493,multiply,BTC
2021-11-06 17:00:00,0.008504,0.008504,0.008493,0.0,0.0,0.008504,multiply,BTC
2021-11-06 18:00:00,0.00851,0.00851,0.008504,0.0,0.0,0.00851,multiply,BTC
2021-11-06 19:00:00,0.008568,0.008568,0.00851,0.0,0.0,0.008568,multiply,BTC
2021-11-06 20:00:00,0.008568,0.008568,0.008568,0.0,0.0,0.008568,multiply,BTC
2021-11-06 21:00:00,0.008604,0.008604,0.008568,0.0,0.0,0.008604,multiply,BTC
2021-11-06 22:00:00,0.008595,0.008595,0.008604,0.0,0.0,0.008595,multiply,BTC
2021-11-06 23:00:00,0.008612,0.008612,0.008595,0.0,0.0,0.008612,multiply,BTC
2021-11-07 00:00:00,0.00867,0.00867,0.008612,0.0,0.0,0.00867,multiply,BTC
2021-11-07 01:00:00,0.008665,0.008665,0.00867,0.0,0.0,0.008665,multiply,BTC
2021-11-07 02:00:00,0.008677,0.008677,0.008665,0.0,0.0,0.008677,multiply,BTC
2021-11-07 03:00:00,0.008706,0.008706,0.008677,0.0,0.0,0.008706,multiply,BTC
