Timp început,Preț maxim,Preț minim,Preț deschidere,volumefrom,Volum,Preț închidere,conversionType,conversionSymbol
2021-11-06 01:00:00,6.675,6.549,6.553,13863.76,92544.06,6.675,multiply,ETH
2021-11-06 02:00:00,6.662,6.519,6.675,5628.06,36688.43,6.519,multiply,ETH
2021-11-06 03:00:00,6.611,6.516,6.519,11737.17,77538.39,6.606,multiply,ETH
2021-11-06 04:00:00,6.695,6.61,6.606,8842.68,58847.49,6.655,multiply,ETH
2021-11-06 05:00:00,6.758,6.668,6.655,23899.53,161522.75,6.758,multiply,ETH
2021-11-06 06:00:00,6.768,6.705,6.758,4267.62,28614.53,6.705,multiply,ETH
2021-11-06 07:00:00,6.68,6.586,6.705,7837.64,51935.29,6.626,multiply,ETH
2021-11-06 08:00:00,6.68,6.588,6.643,97141.26,642366.48,6.613,multiply,BTC
2021-11-06 09:00:00,6.615,6.584,6.595,800.98,5280.74,6.593,multiply,ETH
2021-11-06 10:00:00,6.487,6.448,6.593,8042.58,51926.13,6.456,multiply,ETH
2021-11-06 11:00:00,6.432,6.336,6.456,17533.37,111090.91,6.336,multiply,ETH
2021-11-06 12:00:00,6.345,6.31,6.336,1824.25,11526.28,6.318,multiply,ETH
2021-11-06 13:00:00,6.35,6.311,6.318,1812.43,11501.54,6.346,multiply,ETH
2021-11-06 14:00:00,6.375,6.331,6.346,5016.29,31757.97,6.331,multiply,ETH
2021-11-06 15:00:00,6.38,6.331,6.326,124070.24,787039.71,6.344,multiply,BTC
2021-11-06 16:00:00,6.351,6.321,6.344,43877.82,278678.8,6.351,multiply,BTC
2021-11-06 17:00:00,6.424,6.362,6.359,4454.9,28380.27,6.371,multiply,ETH
2021-11-06 18:00:00,6.404,6.369,6.371,2919.24,18630.97,6.382,multiply,ETH
2021-11-06 19:00:00,6.458,6.422,6.382,1651.1,10611.55,6.427,multiply,ETH
2021-11-06 20:00:00,6.42,6.389,6.42,110482.69,707233.23,6.401,multiply,BTC
2021-11-06 21:00:00,6.457,6.421,6.406,1690.49,10854.3,6.421,multiply,ETH
2021-11-06 22:00:00,6.427,6.395,6.421,1846.28,11848.63,6.418,multiply,ETH
2021-11-06 23:00:00,6.452,6.43,6.418,1084.31,6981.39,6.439,multiply,ETH
2021-11-07 00:00:00,6.473,6.419,6.439,1857.55,11931.42,6.423,multiply,ETH
2021-11-07 01:00:00,6.468,6.431,6.423,1756.22,11294.79,6.431,multiply,ETH
2021-11-07 02:00:00,6.426,6.412,6.431,2759.0,17703.71,6.417,multiply,ETH
2021-11-07 03:00:00,6.44,6.421,6.417,1200.66,7709.79,6.421,multiply,ETH
2021-11-07 04:00:00,6.43,6.394,6.421,4082.73,26103.82,6.394,multiply,ETH
2021-11-07 05:00:00,6.394,6.307,6.394,20855.32,132391.09,6.348,multiply,ETH
2021-11-07 06:00:00,6.365,6.351,6.348,4249.8,27030.85,6.36,multiply,ETH
2021-11-07 07:00:00,6.349,6.326,6.36,871.53,5529.01,6.344,multiply,ETH
2021-11-07 08:00:00,6.353,6.334,6.353,106882.7,678342.03,6.347,multiply,BTC
2021-11-07 09:00:00,6.416,6.393,6.339,1789.77,11458.23,6.402,multiply,ETH
2021-11-07 10:00:00,6.415,6.369,6.402,3045.54,19466.48,6.392,multiply,ETH
2021-11-07 11:00:00,6.398,6.384,6.392,10459.08,66871.97,6.394,multiply,ETH
2021-11-07 12:00:00,6.394,6.348,6.394,2715.57,17264.35,6.358,multiply,ETH
2021-11-07 13:00:00,6.389,6.348,6.358,4371.44,27749.59,6.348,multiply,ETH
