Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.0023831,0.0024002,0.002382,0.0024,262229.0
0.0024245,0.0024411,0.0024245,0.0024325,3998634.0
0.0024326,0.0024646,0.0023955,0.0024068,2338370.0
0.0024068,0.0024541,0.0023951,0.0024541,1069816.0
0.0024502,0.0024568,0.0024311,0.0024327,1452396.0
0.0024341,0.0024341,0.002405,0.002405,462277.0
0.0024121,0.0024336,0.002385,0.002385,869888.0
0.0023626,0.0023658,0.0022791,0.0023353,4974094.0
0.0023501,0.0024114,0.0023501,0.0024114,316206.0
0.0024115,0.0024382,0.0023961,0.0024113,493079.0
0.0023805,0.002451,0.0023805,0.002451,801185.0
0.0024568,0.00246,0.0024068,0.0024217,641963.0
0.0024083,0.0024236,0.0023989,0.0024236,724594.0
0.0024236,0.00245,0.0024222,0.0024499,51576.0
0.0024604,0.0024858,0.0024604,0.0024736,159081.0
0.0024608,0.0024685,0.0024519,0.0024519,846705.0
0.0024549,0.0024653,0.0024337,0.0024337,99279.0
0.0024593,0.0024673,0.0023823,0.0024572,726754.0
0.002459,0.0024764,0.0024538,0.0024538,510220.0
0.0024684,0.0025099,0.0024552,0.0025099,3894810.0
0.0024968,0.00251,0.0024732,0.0024732,139618.0
0.002499,0.002505,0.0024637,0.002484,1174047.0
0.0024626,0.002484,0.002459,0.0024839,85117.0
0.002488,0.0025083,0.0024811,0.0024973,860343.0
0.0025013,0.0025092,0.0024873,0.0024883,439786.0
0.0024883,0.002522,0.0024289,0.002522,5070700.0
0.0024174,0.00246,0.0023899,0.0024574,590007.0
0.0024483,0.0024684,0.0024481,0.0024667,593337.0
0.0024659,0.0024659,0.0023525,0.0024343,1629628.0
0.0024036,0.0024684,0.0024036,0.0024476,225184.0
0.002436,0.0025058,0.0024275,0.0024969,539067.0
0.0025096,0.0025541,0.0024904,0.0025357,3786188.0
0.0025373,0.0025836,0.0025251,0.0025251,9475326.0
0.0025204,0.0025225,0.002502,0.0025064,2109580.0
0.0025099,0.0025271,0.0025064,0.0025064,79829.0
0.0025006,0.0025157,0.0024847,0.0024847,721739.0
0.0025001,0.0025167,0.0025,0.0025052,1108567.0
0.0025058,0.0025149,0.0024904,0.00251,1404725.0
0.0025154,0.0025172,0.0024864,0.0024864,178276.0
0.0024864,0.0024864,0.0024454,0.0024646,282366.0
0.0024523,0.0024523,0.0024089,0.0024259,2292747.0
0.0024393,0.0024393,0.0024235,0.0024292,60581.0
0.002437,0.002437,0.0023694,0.0023694,993339.0
0.0023641,0.0024098,0.002361,0.0024055,1788834.0
0.0024269,0.0024523,0.002401,0.0024523,541317.0
0.0024619,0.0024827,0.0024548,0.0024634,927420.0
0.0024765,0.0024786,0.0024645,0.0024762,263696.0
0.0024696,0.0024943,0.0024695,0.0024863,2048432.0
0.0024863,0.0025099,0.0024863,0.0025083,561526.0
0.0025095,0.0025351,0.0025094,0.0025108,1926238.0
0.0025197,0.0025216,0.0025067,0.0025067,172308.0
0.0024961,0.0025153,0.0024925,0.0024925,195235.0
0.0024925,0.0024925,0.0024704,0.0024744,764395.0
0.0024706,0.002478,0.0024596,0.0024596,431225.0
0.002468,0.0024928,0.002468,0.0024928,1105587.0
0.0024821,0.0024961,0.0024785,0.0024866,232412.0
0.0024695,0.0024986,0.0024695,0.0024967,226720.0
0.0024922,0.0025357,0.00248,0.002512,1765026.0
0.0025091,0.0025106,0.0025091,0.0025106,105246.0
0.0025096,0.0025731,0.0025096,0.0025547,3353200.0
0.0025547,0.0025547,0.0025171,0.0025266,3254205.0
0.0025409,0.0026579,0.0025409,0.0026579,8978877.0
0.0026534,0.0035,0.0026534,0.0032145,73380220.0
0.003215,0.003889,0.0031514,0.0038761,128976199.0
0.0038775,0.00456,0.0038241,0.0041142,416234837.0
0.0041335,0.0042541,0.0039981,0.0041571,157297401.0
0.0041685,0.0041838,0.0037825,0.0039907,182598605.0
0.0039911,0.0041019,0.0038902,0.0038944,121918146.0
0.0039049,0.00405,0.0038265,0.004019,79683288.0
0.0040142,0.0042,0.003965,0.0040026,77131249.0
0.0040269,0.0040869,0.0039432,0.004034,29363612.0
0.0040261,0.0047854,0.003984,0.004266,140928890.0
0.0043097,0.0045135,0.0041194,0.0044093,124879472.0
0.0044139,0.0045,0.0042773,0.0043083,68161795.0
0.0043083,0.0044898,0.0042246,0.0044191,67632711.0
0.0044122,0.0046,0.0042773,0.0043276,122128617.0
0.0043275,0.0044,0.0042449,0.0043345,43691828.0
0.0043258,0.0044256,0.0042818,0.0043094,25834172.0
0.0043033,0.0043377,0.004005,0.0040967,125990801.0
0.0041057,0.0043,0.0040434,0.0042408,22642044.0
0.0042407,0.0043035,0.0040428,0.0040637,31248587.0
0.0040677,0.0041678,0.0040164,0.0041476,28108835.0
0.0041476,0.0042606,0.0040611,0.0041914,86174655.0
0.0041918,0.004297,0.0040759,0.0041359,19105788.0
0.0041577,0.0042607,0.0041502,0.0042426,12398348.0
0.0042362,0.0046854,0.0041567,0.0045721,73940042.0
0.0045797,0.0047,0.0040623,0.0041,79708394.0
0.0041062,0.0041577,0.0040117,0.0040347,59145064.0
0.0040504,0.0041998,0.00403,0.0041377,22516602.0
0.004138,0.0042545,0.0041017,0.0042355,20128701.0
0.0042369,0.0045578,0.0041955,0.0043637,64001752.0
0.0043635,0.0044003,0.0042754,0.0042979,50559490.0
0.0042981,0.0043368,0.0041536,0.0042187,53420197.0
0.0042117,0.0043229,0.0041756,0.004285,18500819.0
0.0042873,0.00438,0.0042349,0.0043492,28630934.0
0.0043492,0.0043494,0.0042555,0.0043027,36007886.0
0.0043028,0.0043403,0.0042812,0.0042875,7385318.0
0.004292,0.0043005,0.0042,0.0042386,21372057.0
0.0042386,0.0042789,0.0042115,0.0042501,12268406.0
0.0042505,0.0042551,0.0041042,0.0041364,12160793.0
0.0041304,0.0041605,0.0040739,0.004139,12874583.0
0.0041462,0.0042,0.0041233,0.0041832,6573203.0
0.004177,0.0041996,0.0041027,0.0041274,7929048.0
0.0041351,0.0042883,0.0041346,0.0042432,20403258.0
0.0042309,0.0043999,0.0042277,0.0043996,18794159.0
0.0043866,0.0044517,0.0042864,0.0044343,7898842.0
0.0044517,0.0048998,0.0043815,0.0048191,43401977.0
0.0047982,0.006,0.0047561,0.005587,211708633.0
0.0056113,0.0059499,0.0054,0.0055756,155036015.0
0.00557,0.005802,0.0053483,0.0056742,140556852.0
0.0056947,0.0062208,0.00561,0.0059708,157461842.0
0.0059364,0.0061,0.0057493,0.005966,85007988.0
0.0059588,0.00625,0.0057864,0.0062041,199025245.0
0.0061964,0.006254,0.0059663,0.0060095,108627911.0
0.0059984,0.0060044,0.0054358,0.0055509,374066249.0
0.0055505,0.0057992,0.0054809,0.0056914,78183468.0
0.0056996,0.0058804,0.0056138,0.0058288,76282679.0
0.0058431,0.0058596,0.0056521,0.0057456,52187730.0
0.0057637,0.00615,0.0055543,0.0058749,93076174.0
0.0058781,0.006081,0.0058443,0.0059626,108769902.0
0.0059721,0.0063,0.0058625,0.0059136,111435471.0
0.0059127,0.006042,0.0058626,0.0059014,85689726.0
0.0058993,0.0059232,0.0056425,0.005681,233969393.0
0.0056808,0.0061422,0.00465,0.0057549,198944863.0
0.0057548,0.0058888,0.0051014,0.005524,123815457.0
0.005523,0.0056499,0.0053825,0.0055875,65822910.0
0.0055943,0.0059291,0.005325,0.0057868,78799964.0
0.0057745,0.0058467,0.0055755,0.0055987,48864450.0
0.0055964,0.0056029,0.0050592,0.0051263,77187877.0
0.0051189,0.0054402,0.0050153,0.0054196,62889230.0
0.00538,0.0054972,0.0051921,0.0054837,34817489.0
0.0054638,0.0055902,0.0053772,0.0054146,12704972.0
0.0054126,0.0061444,0.0053202,0.0061128,36791830.0
0.0061133,0.0067557,0.00596,0.0063843,160207954.0
0.0063756,0.00644,0.0060144,0.0060607,102381847.0
0.006059,0.00635,0.0058503,0.0061364,94901133.0
0.0061079,0.006275,0.006,0.0061261,65449869.0
0.0061126,0.0061126,0.00585,0.0059634,31221542.0
0.0059456,0.006244,0.0059376,0.0062019,46386359.0
0.0062051,0.0065,0.0054974,0.005614,208090007.0
0.0056129,0.0058468,0.0052678,0.0053633,112935412.0
0.0053748,0.0054142,0.0051245,0.005159,53144717.0
0.0051436,0.005444,0.0050744,0.0053533,89361586.0
0.0053419,0.0053943,0.0050121,0.0050121,33764868.0
0.0050293,0.0052343,0.0048385,0.0050848,56790979.0
0.0050876,0.0051473,0.0050243,0.0050814,11320924.0
0.005079,0.0051882,0.00503,0.0051108,11168557.0
0.0050836,0.0051741,0.0047702,0.0048489,39815495.0
0.0048526,0.0051508,0.0048288,0.0050556,18146764.0
0.0050703,0.00523,0.0050573,0.0051458,10870182.0
0.0051283,0.0051398,0.0048138,0.0048876,24543264.0
0.0049007,0.0049514,0.0045029,0.0045551,22731238.0
0.0045761,0.0047839,0.0045141,0.0047122,7772451.0
0.0047122,0.0048017,0.0046696,0.00472,7601627.0
0.0047605,0.0049006,0.0047423,0.0048161,24752159.0
0.0048639,0.0049029,0.0047548,0.0048204,8456797.0
0.0048012,0.0048352,0.00471,0.0047264,5573491.0
0.004728,0.0048841,0.004696,0.0047096,18776441.0
0.0047193,0.004857,0.0046532,0.004796,24236953.0
0.0048019,0.00496,0.0047557,0.0047962,21932191.0
0.0047907,0.0050849,0.0047877,0.0050454,31342423.0
0.0050341,0.0050341,0.0047795,0.004805,25619184.0
0.0048022,0.0049285,0.0047592,0.0048724,27304183.0
0.0048912,0.0049936,0.0048147,0.0049072,60972795.0
