Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
1.1681,1.1828,1.1676,1.1763,2404930.7
1.1758,1.1977,1.174,1.192,2017366.8
1.1923,1.2122,1.1775,1.1939,2810437.4
1.194,1.2113,1.1844,1.1946,2599794.5
1.1949,1.2064,1.1857,1.19,1429565.4
1.1888,1.1976,1.1653,1.1889,1526548.7
1.1889,1.1912,1.1608,1.1647,1812848.3
1.1637,1.1646,1.108,1.1334,3584957.8
1.1326,1.1885,1.1312,1.1802,1918416.3
1.1806,1.24,1.1725,1.1829,2932878.8
1.183,1.2138,1.1736,1.2069,1345149.6
1.2078,1.2127,1.1799,1.1955,1260316.6
1.1957,1.2045,1.1815,1.1896,1209297.9
1.1895,1.2089,1.1891,1.2066,1714164.2
1.2069,1.2386,1.2059,1.2232,2411411.3
1.2236,1.2267,1.2143,1.2178,1182169.6
1.2177,1.231,1.2135,1.2222,1323709.6
1.2225,1.2331,1.2189,1.2248,1484957.4
1.2247,1.2342,1.212,1.2188,1679500.9
1.2189,1.2295,1.2083,1.2124,1875267.1
1.2126,1.2271,1.2002,1.2056,1988087.3
1.2059,1.2139,1.1807,1.2119,2692398.6
1.212,1.2472,1.2059,1.2326,2645699.0
1.2325,1.2346,1.215,1.2291,1210866.0
1.2291,1.2385,1.2173,1.2188,1368119.5
1.2186,1.2228,1.1859,1.19,2233323.3
1.1893,1.1943,1.1229,1.1836,3382108.5
1.184,1.1926,1.1744,1.1907,1527435.0
1.1906,1.205,1.1429,1.1833,2497409.9
1.1831,1.1832,1.1517,1.1608,2570201.5
1.1612,1.1812,1.1532,1.18,1938140.6
1.1798,1.1892,1.1703,1.1814,1632535.5
1.1802,1.1944,1.1732,1.1879,1184268.1
1.188,1.1922,1.1775,1.189,1095242.6
1.1892,1.1953,1.185,1.1922,917934.6
1.1923,1.1986,1.1864,1.1897,785443.5
1.1891,1.2015,1.1857,1.1992,883793.4
1.1991,1.1994,1.1878,1.1893,890441.3
1.1893,1.1941,1.1749,1.1757,1674471.4
1.1751,1.1763,1.1571,1.1629,1889738.7
1.1623,1.1648,1.15,1.1628,2200272.6
1.1626,1.1661,1.1556,1.1632,1563129.3
1.1628,1.1753,1.1407,1.1425,1908458.8
1.1429,1.1766,1.1353,1.1667,1404981.2
1.1664,1.1827,1.1543,1.1819,2183176.5
1.1819,1.2259,1.1705,1.2073,3547277.7
1.2073,1.2172,1.1984,1.2051,2452414.1
1.205,1.2234,1.2023,1.2121,2102529.9
1.2122,1.2277,1.2107,1.2214,1620816.2
1.2214,1.2322,1.2174,1.2264,1413965.7
1.2264,1.2322,1.2151,1.2212,1211719.5
1.2212,1.2278,1.214,1.215,1192456.7
1.2149,1.2389,1.2122,1.2376,1408610.3
1.2375,1.2376,1.2174,1.2299,2099740.6
1.2299,1.238,1.2215,1.2288,1673465.4
1.2289,1.2384,1.2189,1.2235,1712125.2
1.2235,1.2284,1.214,1.2146,896490.4
1.2154,1.2181,1.2003,1.2042,1065596.9
1.2043,1.2176,1.2011,1.2143,656431.1
1.2138,1.2141,1.2024,1.207,556593.7
1.2068,1.2171,1.2046,1.2083,669362.0
1.2086,1.2164,1.2018,1.2109,868416.0
1.211,1.2186,1.2061,1.2069,1069935.6
1.2067,1.2165,1.2017,1.2031,973651.6
1.2032,1.2075,1.1887,1.1977,1079352.2
1.1973,1.2121,1.1962,1.2073,931588.9
1.2075,1.2126,1.2041,1.2088,720312.6
1.2088,1.2155,1.2044,1.2077,837553.6
1.2085,1.2153,1.1986,1.2128,869156.1
1.213,1.2213,1.2085,1.2205,1931367.7
1.2204,1.2288,1.2048,1.2085,2492784.8
1.2091,1.2099,1.1953,1.1994,1580423.2
1.1986,1.2144,1.1983,1.214,1094133.0
1.2139,1.2176,1.201,1.2095,1342295.1
1.2097,1.2172,1.2089,1.2134,1109952.9
1.2128,1.2131,1.203,1.2031,692025.5
1.2032,1.2079,1.2009,1.2018,603262.2
1.2018,1.2198,1.2015,1.2114,1132493.4
1.2112,1.2177,1.2032,1.2151,1132023.4
1.2148,1.225,1.2066,1.2089,1106805.1
1.2083,1.22,1.2027,1.2149,890547.9
1.215,1.2231,1.2093,1.2094,766584.5
1.2093,1.215,1.2,1.2027,1117824.7
1.2022,1.2046,1.1833,1.1874,1626711.6
1.1868,1.1975,1.1809,1.1974,1086329.2
1.1975,1.2067,1.1957,1.2034,873380.0
1.203,1.205,1.18,1.1801,1645013.9
1.1802,1.1978,1.1733,1.1823,1621105.2
1.1826,1.2068,1.1824,1.2066,1362386.6
1.2064,1.2211,1.2032,1.2086,1454333.9
1.208,1.2096,1.1978,1.2082,1343043.6
1.2087,1.2171,1.2047,1.2162,1060894.6
1.2164,1.2164,1.1871,1.1897,1506519.8
1.1903,1.1969,1.1805,1.1881,2191083.8
1.1882,1.1963,1.1815,1.1854,1247649.6
1.1854,1.194,1.1812,1.193,910668.4
1.1933,1.195,1.1802,1.1802,802492.2
1.1801,1.1855,1.1765,1.1819,1068504.0
1.1834,1.1836,1.1773,1.1786,922234.1
1.1788,1.1847,1.1752,1.1841,681944.2
1.1845,1.1931,1.1818,1.1927,487034.8
1.1924,1.1997,1.1885,1.1944,781896.7
1.1945,1.1945,1.166,1.1738,1596881.7
1.1738,1.1832,1.1669,1.1687,1146163.5
1.1682,1.1745,1.1605,1.1677,1241064.2
1.1669,1.172,1.1505,1.1641,927416.9
1.1633,1.1705,1.1548,1.1671,780419.4
1.1674,1.1796,1.1673,1.1768,1573234.5
1.1769,1.1781,1.1528,1.1549,970569.8
1.1545,1.1638,1.1395,1.1571,2064767.2
1.157,1.1574,1.1161,1.1224,2513918.5
1.1225,1.1358,1.1066,1.1215,2257546.5
1.1213,1.1336,1.1203,1.1322,1228194.5
1.132,1.1322,1.098,1.103,2048741.8
1.1027,1.1175,1.0929,1.1165,3527603.7
1.1161,1.1405,1.1091,1.136,1702038.2
1.1371,1.151,1.1236,1.147,1412738.7
1.1469,1.1514,1.1092,1.114,2097801.3
1.1144,1.1315,1.1094,1.1222,1238881.1
1.1218,1.1328,1.1145,1.1147,900803.9
1.1149,1.1264,1.1141,1.1161,838481.8
1.1156,1.1181,1.105,1.1059,1145255.8
1.1061,1.1086,1.0315,1.043,3722233.1
1.0422,1.08,0.9,0.9977,9464112.8
0.9979,1.0179,0.9214,1.0166,4802304.7
1.0156,1.0175,0.9925,1.0042,2568629.1
1.0043,1.0372,0.9773,1.0259,2960584.4
1.0259,1.0322,1.0016,1.0245,1474832.8
1.0248,1.0248,0.9815,0.9821,1167557.4
0.9829,0.9946,0.9444,0.9923,2344662.5
0.992,1.0092,0.9653,1.0067,2022025.4
1.0074,1.0169,0.9968,1.0078,1221790.2
1.008,1.0234,1.0002,1.0114,1571711.4
1.0114,1.0166,1.0033,1.0154,1123135.1
1.0149,1.0177,0.998,1.0132,1529733.8
1.0131,1.0257,1.0078,1.0168,1406968.6
1.0164,1.0396,1.0164,1.0282,1879646.3
1.0284,1.0285,1.0132,1.0193,1150148.8
1.0195,1.0227,0.9703,0.9763,2594784.5
0.977,1.0044,0.9752,0.9961,1797824.8
0.9967,1.0231,0.9936,1.0106,2421738.2
1.0104,1.0159,0.9475,0.9485,3053709.9
0.9495,0.9734,0.9263,0.9698,4491346.9
0.9698,0.9743,0.9148,0.9152,3731348.4
0.915,0.956,0.91,0.9472,3416472.6
0.9476,0.9676,0.9462,0.9655,2291351.7
0.9649,0.9876,0.96,0.9849,1823431.7
0.9853,1.0262,0.9848,1.01,2618106.1
1.0102,1.019,1.0,1.0156,1217056.2
1.0153,1.029,1.014,1.0221,1086623.9
1.0222,1.0254,0.9923,1.0007,1096087.4
1.0011,1.002,0.9725,0.976,1441830.4
0.9761,1.0153,0.9743,1.0104,1702752.2
1.0099,1.0196,1.0088,1.0113,871575.5
1.0116,1.0179,1.007,1.0159,759532.6
1.0161,1.0201,1.0043,1.0128,781463.4
1.013,1.0178,1.0084,1.011,784847.2
1.0112,1.0156,0.9943,0.9958,954177.3
0.9959,1.0271,0.9959,1.0195,1434152.7
1.0202,1.0208,1.0087,1.0176,1204054.5
1.0172,1.0246,1.0129,1.0231,1002385.4
1.0229,1.0339,1.019,1.0247,581789.6
1.0246,1.077,1.0246,1.0657,3746754.8
1.0657,1.0965,1.0626,1.0831,4800233.6
1.0833,1.0933,1.0723,1.0889,1419036.5
1.0883,1.1154,1.0837,1.0954,1893508.5
1.0956,1.1027,1.0761,1.0841,1575066.3
1.084,1.0895,1.072,1.0737,1322330.9
1.0745,1.0834,1.0697,1.0792,1521443.8
1.0794,1.0839,1.0777,1.0825,920511.3
