Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.4792,0.4927,0.4789,0.4907,645153.0
0.49,0.498,0.4885,0.4934,332434.0
0.4932,0.5025,0.4832,0.4897,493970.0
0.4894,0.49,0.4808,0.4837,280021.0
0.4841,0.4926,0.481,0.4821,272716.0
0.4838,0.4844,0.4669,0.479,318220.0
0.4792,0.4941,0.476,0.4929,252615.0
0.4901,0.4904,0.435,0.47,578682.0
0.4713,0.484,0.4709,0.48,214372.0
0.4809,0.4927,0.4686,0.4746,265393.0
0.472,0.4882,0.4699,0.4814,163125.0
0.481,0.4839,0.4705,0.4771,211896.0
0.4772,0.4899,0.4754,0.4826,239827.0
0.4824,0.4875,0.4789,0.4847,202293.0
0.484,0.4944,0.4807,0.4854,291365.0
0.4856,0.4899,0.4798,0.4807,292108.0
0.4806,0.4824,0.4751,0.4812,195223.0
0.4823,0.4932,0.4776,0.4921,186305.0
0.4919,0.4936,0.4772,0.4787,210337.0
0.4784,0.4871,0.4779,0.4796,240542.0
0.4806,0.4826,0.4705,0.4732,166743.0
0.4728,0.476,0.4666,0.4701,362798.0
0.47,0.4787,0.4694,0.4758,168921.0
0.4766,0.4815,0.4717,0.4802,198320.0
0.4801,0.4824,0.4722,0.4723,230453.0
0.4725,0.4761,0.465,0.4676,143305.0
0.4659,0.47,0.458,0.4648,300439.0
0.4647,0.4671,0.4569,0.4636,291787.0
0.4644,0.4674,0.4371,0.4528,588763.0
0.4536,0.4547,0.4439,0.4501,242300.0
0.4497,0.4579,0.4449,0.4547,307215.0
0.4546,0.4586,0.4518,0.4577,184874.0
0.4573,0.4577,0.4518,0.4568,66483.0
0.4556,0.4581,0.4502,0.4567,132798.0
0.4566,0.4615,0.4553,0.4603,175245.0
0.4605,0.466,0.4584,0.4584,209815.0
0.4584,0.4622,0.457,0.4622,210680.0
0.4619,0.4622,0.4578,0.4604,99996.0
0.4601,0.4632,0.4524,0.4527,210703.0
0.4525,0.4528,0.4466,0.4486,145937.0
0.449,0.4492,0.4384,0.4467,314043.0
0.4468,0.4485,0.4396,0.4409,233951.0
0.4413,0.4474,0.4299,0.4324,223157.0
