Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.19294,0.19472,0.19063,0.19456,74657.0
0.19491,0.19699,0.19429,0.19429,55111.0
0.1944,0.19599,0.18722,0.18821,81459.0
0.18934,0.19087,0.18722,0.19009,192347.0
0.19035,0.1928,0.18974,0.19034,203250.0
0.19026,0.19116,0.18471,0.18906,237304.0
0.18773,0.18915,0.18488,0.18514,48071.0
0.18498,0.18507,0.17625,0.18116,349208.0
0.18095,0.18834,0.18064,0.18607,96941.0
0.18658,0.18933,0.1835,0.1855,52595.0
0.18491,0.18962,0.18387,0.18412,796059.0
0.18374,0.18509,0.18099,0.18314,245901.0
0.18337,0.18721,0.18163,0.18636,64973.0
0.18634,0.19043,0.18577,0.18848,106176.0
0.18823,0.19084,0.18771,0.18801,98104.0
0.18791,0.18847,0.18639,0.18651,98048.0
0.18722,0.18776,0.18617,0.18658,25280.0
0.18658,0.18742,0.18483,0.18712,658928.0
0.18688,0.19402,0.18688,0.19207,208376.0
0.19217,0.19231,0.18955,0.19029,77935.0
0.1903,0.19057,0.18775,0.1892,110974.0
0.18925,0.19079,0.1873,0.19022,124112.0
0.19024,0.19351,0.18913,0.19315,128451.0
0.19268,0.19472,0.19187,0.19292,80560.0
0.19252,0.19263,0.19021,0.19037,59339.0
0.19061,0.19105,0.18548,0.18548,78965.0
0.18575,0.18665,0.1817,0.18602,99302.0
0.18608,0.18884,0.18574,0.18794,58364.0
0.18794,0.18988,0.17935,0.18766,123514.0
0.18754,0.18952,0.1839,0.18763,144866.0
0.18768,0.19467,0.185,0.19432,148818.0
0.19426,0.19702,0.19313,0.19491,56915.0
0.19507,0.19644,0.19294,0.19468,45948.0
0.19462,0.19467,0.192,0.19336,85037.0
0.19349,0.19566,0.19349,0.19548,32132.0
0.19594,0.196,0.19372,0.19531,65807.0
0.19502,0.19863,0.19493,0.19738,42334.0
0.19686,0.19903,0.19569,0.19818,98351.0
0.19806,0.20108,0.19653,0.199,138347.0
0.19814,0.19814,0.1932,0.19492,64011.0
0.19499,0.19565,0.192,0.19398,101631.0
0.19387,0.19579,0.19235,0.19294,54113.0
0.19295,0.19491,0.18639,0.18685,118169.0
0.18686,0.19271,0.18532,0.19023,100068.0
0.19027,0.19308,0.1884,0.19297,39267.0
0.19317,0.19959,0.1925,0.19647,321479.0
0.19649,0.19914,0.19565,0.19826,148720.0
0.19867,0.19999,0.19704,0.19747,138053.0
0.19757,0.20091,0.19737,0.20044,171677.0
0.20055,0.20059,0.1988,0.20022,36399.0
0.20002,0.20085,0.19746,0.19784,98850.0
0.1979,0.19819,0.19609,0.19629,208112.0
0.19645,0.19761,0.1951,0.19701,107193.0
0.19655,0.19806,0.19514,0.19728,47001.0
0.1973,0.1983,0.19517,0.19741,34000.0
0.19726,0.19974,0.19622,0.19739,132125.0
0.19757,0.20183,0.1975,0.20183,108185.0
0.20211,0.20821,0.20042,0.20676,141488.0
0.20646,0.20903,0.20427,0.20617,178123.0
0.20595,0.20763,0.20415,0.20709,60901.0
0.20695,0.20695,0.20451,0.20469,64712.0
0.20458,0.20458,0.19885,0.20079,327687.0
0.20048,0.20247,0.19894,0.19978,75921.0
0.20009,0.20131,0.19786,0.1984,44006.0
0.1983,0.20136,0.19735,0.19988,71112.0
0.20009,0.20268,0.19959,0.20098,79333.0
0.20096,0.2027,0.19982,0.20003,86489.0
0.20001,0.2025,0.19981,0.20232,38877.0
0.20189,0.20298,0.20022,0.20291,19212.0
0.2028,0.20317,0.20124,0.20286,55088.0
0.20223,0.20223,0.19937,0.20067,66510.0
0.20063,0.20173,0.19658,0.19765,325656.0
0.19809,0.20069,0.19809,0.20069,42087.0
0.20084,0.2009,0.19698,0.19737,120001.0
0.19742,0.19778,0.19689,0.19778,56883.0
0.19726,0.19781,0.1967,0.1975,33499.0
0.19664,0.19731,0.19579,0.19596,27210.0
0.19547,0.19817,0.19524,0.19695,35712.0
0.19608,0.19856,0.19585,0.19759,196862.0
0.19756,0.19757,0.19294,0.19336,368945.0
0.19357,0.19461,0.19306,0.19389,64079.0
0.19413,0.19512,0.19347,0.19361,44705.0
0.19344,0.19423,0.1919,0.19216,42908.0
0.19216,0.19236,0.18999,0.19067,67216.0
0.19082,0.19116,0.18911,0.19076,42553.0
0.19068,0.19167,0.18995,0.19102,30640.0
0.19083,0.19123,0.18699,0.18699,59423.0
0.18707,0.18937,0.18622,0.18747,26117.0
0.18792,0.1897,0.18756,0.18881,33314.0
0.1883,0.19021,0.18826,0.18993,24836.0
0.18956,0.19059,0.18787,0.19022,141852.0
0.18987,0.19151,0.18987,0.19098,58534.0
0.19098,0.1916,0.18984,0.18995,222683.0
0.19034,0.19249,0.18821,0.19147,149939.0
0.19162,0.19243,0.18933,0.18948,61816.0
0.18949,0.19101,0.18843,0.19089,28757.0
0.19108,0.1911,0.18911,0.18967,56124.0
0.18926,0.19141,0.18873,0.19126,105560.0
0.1909,0.19121,0.19003,0.1903,102955.0
0.18993,0.19144,0.18953,0.19102,15656.0
0.19051,0.1922,0.19049,0.19213,104077.0
0.19154,0.19249,0.19121,0.19237,20518.0
0.19209,0.1921,0.18717,0.18757,26651.0
0.18787,0.18991,0.18605,0.18665,29427.0
0.18684,0.18841,0.18529,0.18591,27069.0
0.18553,0.18653,0.18173,0.18352,281565.0
0.18352,0.18469,0.18203,0.18463,15240.0
0.18469,0.18588,0.18467,0.18584,169113.0
0.18585,0.18595,0.18024,0.18223,54786.0
0.18189,0.18214,0.17764,0.18092,73894.0
0.17955,0.18047,0.17382,0.17394,234324.0
0.17456,0.17631,0.17097,0.1734,127901.0
0.17311,0.17534,0.17221,0.17534,29139.0
0.17526,0.17526,0.17011,0.17049,53039.0
0.17014,0.17329,0.16738,0.17287,63803.0
0.17334,0.17931,0.1726,0.178,264562.0
0.17721,0.18217,0.17573,0.18114,115157.0
0.18075,0.18096,0.17376,0.17513,77427.0
0.17499,0.17761,0.17439,0.1756,42667.0
0.17546,0.17684,0.17488,0.17488,425221.0
0.17518,0.1767,0.17498,0.17502,43336.0
0.17434,0.17587,0.17367,0.17388,108372.0
0.17406,0.17415,0.15819,0.16054,238666.0
0.16031,0.16033,0.12788,0.1515,525159.0
0.15157,0.15434,0.13586,0.15036,416743.0
0.15028,0.15479,0.14882,0.15394,135747.0
0.15378,0.16572,0.15004,0.15846,272247.0
0.15843,0.16448,0.15585,0.15897,157225.0
0.15879,0.15879,0.14977,0.14977,118942.0
0.15016,0.15069,0.14251,0.14946,126094.0
0.15061,0.15469,0.14633,0.1546,95147.0
0.1546,0.15683,0.15341,0.15643,88821.0
0.15674,0.15869,0.15567,0.15811,37300.0
0.15704,0.15704,0.155,0.15634,44684.0
0.15599,0.16038,0.1542,0.15777,105627.0
0.15846,0.16103,0.15767,0.15859,68298.0
0.15958,0.16177,0.15958,0.16146,69878.0
0.16147,0.16168,0.1571,0.16067,71425.0
0.16063,0.16169,0.15239,0.15327,132616.0
0.15362,0.15758,0.15362,0.15447,60715.0
0.15429,0.15886,0.15355,0.15365,70291.0
0.1542,0.15482,0.14314,0.14361,172290.0
0.14348,0.14954,0.14088,0.1488,198380.0
0.14831,0.14844,0.1415,0.1415,102250.0
0.1415,0.14628,0.14093,0.14468,108755.0
0.14513,0.15135,0.14513,0.15107,101982.0
0.15063,0.15318,0.14972,0.15167,45913.0
0.15235,0.15533,0.15235,0.15396,43434.0
0.15445,0.15729,0.15413,0.15522,30170.0
0.15531,0.15684,0.15375,0.15404,46688.0
0.15375,0.15483,0.14955,0.15209,37983.0
0.15195,0.15195,0.14714,0.14782,69062.0
0.14756,0.15595,0.14731,0.15455,69742.0
0.15427,0.15692,0.15409,0.15461,160141.0
0.1552,0.15593,0.15332,0.15413,27245.0
0.15408,0.15446,0.15267,0.1533,18099.0
0.15301,0.15432,0.15279,0.15305,53192.0
0.15322,0.15418,0.15166,0.15166,34971.0
0.15169,0.15818,0.15169,0.15675,66672.0
0.15684,0.15752,0.15476,0.15739,76864.0
0.1575,0.15821,0.15618,0.15669,93910.0
0.15676,0.15683,0.15496,0.15541,71008.0
0.15654,0.15864,0.15585,0.15618,96826.0
0.15635,0.16013,0.15573,0.15851,193966.0
