Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
1.96,1.999,1.96,1.987,86500.12
2.003,2.029,1.989,1.989,63002.69
1.981,1.998,1.92,1.921,74741.03
1.93,1.96,1.921,1.959,117722.51
1.971,1.998,1.964,1.982,131658.6
1.971,1.971,1.92,1.955,13694.18
1.932,1.967,1.896,1.942,50629.61
1.917,1.925,1.867,1.904,13297.71
1.9,1.93,1.896,1.912,12854.08
1.938,1.941,1.875,1.875,200.65
1.89,1.947,1.89,1.913,17339.36
1.91,1.922,1.874,1.904,24733.28
1.904,1.915,1.889,1.915,1495.25
1.916,1.956,1.916,1.952,1936.12
1.942,1.952,1.927,1.927,71557.4
1.927,1.949,1.921,1.932,72450.04
1.937,1.942,1.91,1.927,61352.6
1.927,1.97,1.926,1.968,26186.49
1.961,1.975,1.937,1.943,7237.29
1.939,1.952,1.927,1.928,42747.38
1.93,1.939,1.91,1.92,8859.55
1.92,1.938,1.9,1.931,34599.63
1.929,1.953,1.912,1.924,31948.95
1.93,1.954,1.916,1.939,43671.27
1.948,1.952,1.905,1.905,19637.95
1.9,1.923,1.866,1.866,24723.29
1.873,1.884,1.838,1.86,26462.99
1.864,1.895,1.864,1.888,9630.9
1.886,1.897,1.783,1.835,19285.29
1.849,1.858,1.815,1.846,3890.39
1.831,1.873,1.819,1.873,5260.47
1.867,1.896,1.862,1.884,15062.72
1.868,1.885,1.855,1.88,2682.17
1.879,1.886,1.86,1.886,5995.36
1.886,1.906,1.886,1.902,5989.45
1.899,1.902,1.89,1.899,18622.24
1.895,1.917,1.894,1.903,8599.0
1.896,1.898,1.888,1.897,1733.31
1.897,1.916,1.89,1.89,3995.41
1.89,1.89,1.846,1.852,21488.44
1.852,1.852,1.822,1.85,26096.42
1.849,1.861,1.836,1.847,15207.55
1.858,1.863,1.798,1.8,15046.68
1.809,1.861,1.799,1.843,42178.88
1.846,1.871,1.831,1.871,11719.16
1.871,1.901,1.866,1.883,32383.61
1.883,1.891,1.871,1.874,59964.79
1.868,1.889,1.868,1.876,2824.11
1.877,1.893,1.875,1.883,13347.94
1.884,1.907,1.884,1.907,5152.7
1.903,1.938,1.899,1.914,22878.97
1.905,1.909,1.88,1.88,27206.55
1.882,1.893,1.86,1.86,35075.22
1.858,1.869,1.844,1.855,9577.02
1.855,1.855,1.823,1.834,16287.67
1.828,1.84,1.822,1.84,19221.36
1.84,1.858,1.84,1.858,18220.63
1.856,1.863,1.843,1.863,14235.87
1.853,1.867,1.846,1.859,9368.18
1.862,1.868,1.856,1.861,15554.62
1.862,1.879,1.862,1.867,4175.09
1.865,1.872,1.837,1.848,27238.05
1.856,1.856,1.843,1.85,8624.28
1.851,1.872,1.851,1.859,6219.45
1.856,1.872,1.844,1.872,33925.27
1.868,1.893,1.868,1.882,23733.92
1.879,1.884,1.868,1.882,7483.62
1.878,1.889,1.87,1.889,2994.35
1.891,1.899,1.868,1.897,11072.75
1.898,1.9,1.888,1.9,14421.6
1.906,1.908,1.871,1.877,65136.36
1.877,1.877,1.862,1.865,13247.91
1.874,1.922,1.874,1.922,29402.85
1.915,1.917,1.883,1.887,7429.37
1.884,1.896,1.872,1.888,3834.64
1.884,1.896,1.882,1.893,9205.97
1.891,1.912,1.889,1.906,3546.34
1.893,1.925,1.891,1.899,9135.56
1.895,1.929,1.895,1.928,5067.7
1.924,1.924,1.873,1.876,8839.19
1.88,1.898,1.88,1.891,3380.81
1.883,1.89,1.88,1.882,4031.98
1.881,1.887,1.853,1.855,4914.47
1.857,1.858,1.827,1.836,4396.04
1.834,1.853,1.825,1.853,3777.66
1.854,1.862,1.854,1.86,2092.13
1.863,1.863,1.816,1.816,5764.97
1.815,1.837,1.807,1.815,7180.59
1.816,1.841,1.816,1.833,6089.33
1.83,1.846,1.828,1.841,5619.34
1.841,1.855,1.83,1.852,5116.43
1.852,1.876,1.851,1.876,7610.27
1.87,1.877,1.855,1.855,5802.82
1.843,1.876,1.841,1.87,6202.89
1.877,1.884,1.857,1.864,19364.86
1.855,1.863,1.846,1.862,13964.17
1.867,1.871,1.848,1.861,2342.73
1.858,1.883,1.853,1.883,4713.98
1.883,1.895,1.879,1.889,24702.03
1.888,1.888,1.868,1.868,6991.84
1.872,1.892,1.871,1.891,3609.86
1.89,1.896,1.884,1.893,2978.37
1.888,1.901,1.873,1.888,2798.19
1.908,1.909,1.85,1.853,25507.15
1.848,1.858,1.794,1.799,11016.76
1.801,1.804,1.729,1.745,5234.61
1.742,1.767,1.732,1.757,12803.85
1.757,1.763,1.742,1.748,9945.08
1.741,1.741,1.721,1.735,10683.2
1.719,1.732,1.698,1.726,27436.15
1.722,1.724,1.663,1.663,46917.05
1.678,1.692,1.646,1.683,6452.5
1.675,1.692,1.674,1.685,6094.42
