Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
14.22,14.41,14.22,14.32,5193.8
14.3,14.61,14.3,14.54,10940.1
14.58,14.75,14.2,14.36,8462.66
14.35,14.52,14.25,14.43,8604.9
14.45,14.54,14.2,14.22,4151.28
14.22,14.23,13.87,14.15,8880.69
14.16,14.18,13.78,13.8,8316.04
13.79,13.8,13.08,13.22,31005.73
13.21,13.77,13.18,13.59,15478.53
13.62,13.97,13.44,13.49,24995.32
13.49,13.88,13.46,13.83,5318.36
13.77,13.81,13.56,13.72,4734.52
13.73,14.0,13.63,13.97,6904.26
13.93,14.17,13.83,14.06,10348.08
14.06,14.18,14.01,14.1,7924.65
14.1,14.18,14.0,14.1,5756.23
14.08,14.09,13.95,13.97,6906.1
13.98,14.16,13.88,14.11,9352.98
14.1,14.15,14.0,14.06,5236.22
14.06,14.54,14.04,14.27,17681.22
14.28,14.5,14.0,14.21,18569.18
14.21,14.44,14.1,14.27,13932.67
14.25,14.33,14.1,14.26,8176.98
14.26,14.29,14.18,14.28,4330.31
14.28,14.29,14.1,14.1,3919.49
14.1,14.23,13.77,13.82,14050.54
13.8,13.9,13.61,13.83,17798.05
13.83,13.94,13.79,13.84,6969.46
13.83,13.89,13.27,13.75,23139.43
13.74,14.0,13.53,13.64,11225.46
13.64,13.99,13.48,13.95,9517.85
13.95,14.21,13.83,14.15,6766.38
14.14,14.15,14.01,14.05,4383.21
14.06,14.12,13.86,14.12,4294.12
14.11,14.25,14.09,14.23,2154.25
14.24,14.24,14.04,14.11,4549.4
14.09,14.28,14.09,14.27,2233.71
14.27,14.39,14.18,14.39,8225.31
14.38,14.46,14.26,14.28,2720.8
14.28,14.28,13.96,14.01,4642.45
14.05,14.11,13.81,14.09,5363.06
14.08,14.37,14.06,14.36,11323.72
14.37,14.41,13.75,13.87,11455.92
13.87,14.26,13.78,14.11,9400.13
14.15,14.42,13.99,14.42,15362.65
14.39,14.6,14.33,14.52,21963.95
14.53,14.58,14.43,14.54,7795.89
14.53,14.66,14.46,14.48,6709.98
14.52,14.65,14.47,14.58,9795.35
14.58,14.63,14.55,14.61,2131.49
14.55,14.64,14.46,14.48,3559.87
14.51,14.71,14.51,14.59,5165.63
14.59,14.78,14.59,14.71,4240.6
14.69,14.77,14.58,14.68,3349.07
14.68,14.74,14.43,14.51,2887.31
14.5,14.86,14.48,14.86,5108.29
14.85,15.13,14.83,15.09,14838.6
15.09,15.34,14.94,15.15,9158.6
15.16,15.25,15.04,15.11,4457.8
15.1,15.12,14.92,14.96,4032.94
14.94,15.16,14.9,15.14,3387.43
15.09,15.1,14.86,15.0,5702.06
15.0,15.0,14.81,14.95,10035.21
14.96,15.11,14.96,15.04,14621.27
15.02,15.06,14.86,14.86,12499.8
14.89,15.03,14.86,14.96,4056.51
14.97,15.02,14.91,14.95,3259.79
14.97,15.0,14.88,14.91,11051.35
14.91,14.91,14.68,14.85,5358.13
14.84,14.86,14.73,14.77,3361.55
14.77,14.77,14.58,14.6,5523.82
14.61,14.61,14.47,14.51,2665.56
14.51,14.65,14.51,14.61,2699.1
14.63,14.72,14.51,14.53,5851.79
14.55,14.72,14.55,14.63,7530.27
14.63,14.7,14.6,14.7,2646.57
14.66,14.72,14.6,14.6,2138.3
14.62,14.7,14.58,14.59,1637.25
14.57,14.61,14.5,14.57,3031.45
14.57,14.64,14.5,14.59,778.1
14.52,14.59,14.42,14.45,3627.13
14.46,14.57,14.45,14.52,1483.77
