Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
1.1506,1.1696,1.1448,1.1672,234675.1
1.1658,1.1889,1.1623,1.1861,321185.6
1.1862,1.19,1.1481,1.1613,545065.6
1.1617,1.166,1.1462,1.1592,472961.4
1.159,1.1704,1.1462,1.1477,368450.9
1.1471,1.1511,1.1188,1.1377,318122.7
1.1377,1.1381,1.1117,1.1143,213928.3
1.1134,1.1134,1.0719,1.0944,417254.6
1.0951,1.1272,1.0927,1.1091,229798.9
1.1099,1.1289,1.0965,1.1024,319971.1
1.1026,1.1334,1.1,1.1209,234231.0
1.1203,1.1299,1.1048,1.1121,236856.0
1.1129,1.127,1.0994,1.1211,312261.9
1.1208,1.13,1.1208,1.125,153949.0
1.1253,1.1476,1.1222,1.1442,202994.9
1.1442,1.1481,1.1376,1.143,169273.5
1.143,1.1457,1.1346,1.1349,60140.1
1.1366,1.1582,1.1349,1.1552,251655.7
1.1555,1.1566,1.1443,1.1472,141125.7
1.1472,1.1508,1.1405,1.1434,135049.8
1.145,1.1617,1.1357,1.1417,217673.2
1.1417,1.1455,1.1207,1.1387,248669.3
1.1384,1.157,1.1347,1.1504,136379.4
1.1505,1.1597,1.1458,1.1584,206422.3
1.1584,1.1584,1.1389,1.1404,270546.4
1.14,1.1429,1.1105,1.1152,248863.9
1.1141,1.1224,1.0938,1.1148,261686.7
1.1146,1.1282,1.1116,1.1251,133254.9
1.1249,1.1295,1.0726,1.1082,503099.1
1.1077,1.1174,1.0915,1.1034,252579.4
1.103,1.151,1.0934,1.1499,388476.3
1.1498,1.1642,1.1454,1.1486,260631.1
1.1483,1.1503,1.1363,1.1446,157981.6
1.1449,1.1586,1.1332,1.1586,102110.6
1.1574,1.1657,1.1555,1.1644,148091.4
1.1602,1.1625,1.1524,1.1594,63768.0
1.1592,1.1823,1.1581,1.1663,194161.5
1.1665,1.1674,1.145,1.1568,192140.6
1.1573,1.1647,1.1525,1.1542,66540.7
1.1532,1.1543,1.1312,1.1414,218411.9
1.1433,1.1437,1.1244,1.1398,117391.5
1.138,1.1489,1.1354,1.1433,62048.2
