Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
2.366,2.431,2.366,2.421,8554.5
2.419,2.444,2.415,2.417,3645.2
2.414,2.431,2.333,2.348,6130.4
2.354,2.396,2.354,2.394,4809.8
2.405,2.417,2.403,2.403,2939.4
2.397,2.4,2.34,2.381,3579.1
2.351,2.363,2.333,2.333,2697.1
2.327,2.329,2.243,2.281,4962.0
2.303,2.372,2.303,2.35,4601.2
2.378,2.436,2.378,2.391,3932.9
2.391,2.454,2.391,2.433,2846.9
2.437,2.438,2.358,2.387,4567.2
2.387,2.387,2.349,2.368,2554.7
2.369,2.431,2.369,2.431,7901.4
2.429,2.447,2.417,2.424,4329.7
2.438,2.492,2.437,2.456,10599.4
2.446,2.461,2.422,2.422,5004.2
2.441,2.458,2.441,2.458,2375.7
2.452,2.522,2.449,2.513,12408.9
2.513,2.528,2.486,2.492,7389.8
2.477,2.504,2.464,2.49,10232.2
2.486,2.524,2.463,2.496,7802.2
2.494,2.657,2.494,2.642,23551.0
2.659,2.667,2.586,2.612,26307.6
2.607,2.613,2.543,2.552,14733.3
2.558,2.558,2.512,2.512,6050.5
2.503,2.528,2.472,2.506,12157.2
2.52,2.549,2.504,2.515,9632.9
2.519,2.519,2.391,2.505,18853.2
2.5,2.548,2.467,2.5,28517.1
2.492,2.576,2.473,2.576,9066.7
2.576,2.73,2.566,2.654,31471.3
2.652,2.652,2.61,2.623,4925.3
2.608,2.71,2.6,2.652,27784.9
2.652,2.684,2.641,2.654,4119.1
2.654,2.676,2.622,2.644,4956.5
2.639,2.684,2.638,2.668,4453.2
2.656,2.656,2.626,2.648,2189.9
2.646,2.672,2.598,2.598,6996.3
2.593,2.596,2.525,2.558,10233.6
2.542,2.542,2.498,2.519,5796.4
2.528,2.539,2.518,2.518,2346.0
2.517,2.544,2.456,2.458,7616.6
2.462,2.521,2.443,2.504,7178.8
2.493,2.547,2.484,2.547,7839.1
2.536,2.541,2.505,2.519,3849.2
2.522,2.539,2.502,2.539,7256.2
2.545,2.557,2.531,2.535,2124.2
2.54,2.549,2.535,2.536,1609.7
2.548,2.567,2.547,2.567,4465.6
2.565,2.576,2.536,2.542,19820.7
2.542,2.543,2.518,2.519,4132.5
2.519,2.543,2.499,2.531,24716.6
2.528,2.543,2.52,2.528,8337.9
2.519,2.532,2.498,2.503,5199.4
2.52,2.52,2.506,2.52,3568.3
2.522,2.528,2.513,2.523,4718.2
2.519,2.537,2.505,2.537,2993.7
2.539,2.545,2.531,2.531,758.3
2.54,2.54,2.489,2.489,2349.8
2.49,2.53,2.488,2.528,23097.8
2.53,2.533,2.506,2.522,1447.2
2.524,2.525,2.498,2.507,1372.6
2.511,2.517,2.48,2.485,6317.5
2.48,2.49,2.471,2.49,6071.2
2.492,2.498,2.489,2.492,3391.2
2.49,2.502,2.483,2.495,1231.1
2.494,2.494,2.472,2.474,1073.9
2.472,2.489,2.458,2.48,2115.2
2.483,2.486,2.473,2.473,327.7
2.484,2.484,2.467,2.479,2001.2
2.458,2.458,2.429,2.437,3147.9
2.434,2.448,2.431,2.448,206.9
2.461,2.462,2.442,2.442,1055.5
2.443,2.445,2.432,2.432,2656.4
2.432,2.445,2.432,2.445,2767.3
2.448,2.45,2.434,2.434,2181.1
2.438,2.44,2.41,2.41,651.5
2.412,2.452,2.412,2.446,1603.0
2.443,2.447,2.436,2.436,812.5
2.436,2.441,2.436,2.441,200.9
2.447,2.447,2.443,2.443,208.6
2.431,2.436,2.397,2.397,5317.6
2.405,2.405,2.369,2.369,4682.9
2.398,2.404,2.398,2.404,909.9
2.411,2.424,2.411,2.423,472.3
2.416,2.416,2.366,2.367,4862.0
2.371,2.395,2.352,2.352,12808.9
2.377,2.4,2.377,2.4,13550.1
2.384,2.394,2.381,2.39,1311.5
2.377,2.401,2.377,2.396,17287.1
2.395,2.4,2.388,2.4,7651.7
2.397,2.415,2.397,2.406,4331.5
2.4,2.437,2.4,2.437,1932.4
2.437,2.437,2.39,2.39,5474.2
2.392,2.412,2.387,2.412,900.8
2.407,2.407,2.386,2.393,1608.4
2.394,2.406,2.387,2.406,1287.2
2.404,2.404,2.387,2.387,690.9
2.387,2.433,2.387,2.403,3982.1
2.408,2.423,2.408,2.416,1880.3
2.416,2.419,2.409,2.411,700.9
2.411,2.411,2.387,2.387,1214.3
2.397,2.397,2.371,2.371,1862.3
2.384,2.384,2.337,2.337,370.9
2.359,2.363,2.305,2.306,3197.4
2.332,2.34,2.305,2.332,1357.2
2.356,2.364,2.352,2.363,1771.7
2.363,2.363,2.305,2.324,6304.5
2.318,2.336,2.289,2.319,9996.1
2.315,2.315,2.247,2.256,20450.4
2.256,2.281,2.222,2.263,9544.3
2.247,2.273,2.247,2.268,3872.8
2.247,2.27,2.206,2.22,6567.2
2.202,2.246,2.193,2.244,4767.3
2.248,2.294,2.248,2.276,2380.7
2.274,2.301,2.26,2.301,4879.1
2.294,2.294,2.212,2.212,1708.0
2.219,2.252,2.219,2.247,2527.0
2.225,2.225,2.21,2.21,1177.9
2.212,2.235,2.212,2.224,956.1
2.218,2.221,2.199,2.202,7646.2
2.201,2.203,2.004,2.072,20706.2
2.07,2.07,1.49,1.944,154909.2
1.962,1.967,1.727,1.946,42598.0
1.942,1.958,1.925,1.94,13956.2
1.925,1.956,1.877,1.947,10692.9
1.95,1.96,1.892,1.929,25779.2
1.928,1.928,1.849,1.849,6116.9
1.85,1.875,1.79,1.875,7125.8
1.879,1.909,1.842,1.9,5135.0
1.92,1.931,1.919,1.93,4350.9
1.941,1.957,1.936,1.951,10534.4
1.932,1.932,1.904,1.919,3870.6
1.916,1.922,1.895,1.922,4027.1
1.916,1.941,1.914,1.914,3837.2
1.93,1.96,1.93,1.944,10128.1
1.94,1.945,1.906,1.929,2584.4
1.926,1.926,1.831,1.831,9055.7
1.848,1.876,1.838,1.863,16341.0
1.858,1.898,1.855,1.86,5194.2
1.861,1.874,1.751,1.751,29435.5
1.757,1.82,1.732,1.82,23885.8
1.81,1.853,1.727,1.728,29070.3
1.729,1.795,1.716,1.774,13520.1
1.78,1.836,1.78,1.836,7429.6
1.823,1.859,1.823,1.855,5158.4
1.863,1.888,1.855,1.879,12407.2
1.887,1.894,1.875,1.894,3315.3
1.902,1.903,1.877,1.877,1196.4
1.884,1.884,1.826,1.851,1954.6
1.831,1.853,1.806,1.826,2921.3
1.812,1.88,1.809,1.869,2795.9
1.87,1.894,1.87,1.886,2250.6
1.88,1.88,1.84,1.862,14207.5
1.866,1.868,1.853,1.866,4871.4
1.879,1.88,1.87,1.876,2952.6
1.885,1.895,1.849,1.85,4891.2
1.854,1.929,1.854,1.91,8460.2
1.914,1.915,1.891,1.913,5277.0
1.914,1.914,1.902,1.909,4407.1
1.911,1.921,1.904,1.909,4402.9
1.918,1.959,1.913,1.94,17279.1
1.943,2.004,1.934,1.981,14079.3
1.982,2.016,1.95,1.994,26034.0
1.994,2.044,1.994,2.027,10700.5
2.029,2.052,2.008,2.023,8846.9
2.026,2.034,1.99,1.991,8152.5
1.996,2.028,1.989,2.018,15795.8
2.019,2.031,2.018,2.026,636.5
2.032,2.036,2.015,2.018,2627.5
2.014,2.017,2.003,2.017,3419.1
2.019,2.05,2.017,2.028,13234.3
2.027,2.034,2.02,2.02,3078.1
2.018,2.037,1.991,2.001,2398.1
2.008,2.033,2.008,2.014,1382.8
2.029,2.113,2.028,2.113,11206.2
2.103,2.141,2.096,2.121,5369.3
2.14,2.146,2.121,2.14,960.4
2.149,2.175,2.145,2.145,1848.5
2.146,2.149,2.118,2.135,1977.6
2.139,2.158,2.12,2.12,7767.7
2.126,2.142,2.125,2.133,3764.9
2.144,2.144,2.116,2.129,6709.7
2.127,2.127,2.085,2.092,5265.7
2.09,2.09,2.06,2.079,3642.3
2.083,2.14,2.083,2.14,4719.4
2.134,2.153,2.089,2.108,6203.2
