Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
26.57,27.1,26.5,27.09,1380.08
27.0,27.56,27.0,27.43,858.8
27.43,27.79,26.46,26.99,4983.06
26.97,27.73,26.8,27.7,757.7
27.7,27.7,27.08,27.12,852.51
27.15,27.19,26.43,27.05,929.98
27.03,27.09,26.47,26.48,642.19
26.45,26.46,25.54,25.81,2263.79
25.78,26.65,25.78,26.31,1738.6
26.3,27.11,26.19,26.37,1517.84
26.3,27.35,26.23,26.97,1694.03
26.95,26.98,26.32,26.61,471.9
26.67,26.87,26.32,26.85,505.9
26.88,27.14,26.72,27.01,2807.63
27.0,27.07,26.55,26.69,1948.55
26.63,26.68,26.35,26.5,1071.7
26.5,26.72,26.48,26.61,223.65
26.63,27.04,26.62,27.0,673.87
26.97,27.29,26.79,26.99,6620.73
26.99,27.09,26.88,26.97,1179.16
26.98,27.57,26.96,27.24,4135.67
27.23,27.26,26.46,26.75,1871.19
26.75,27.98,26.75,27.77,2978.57
27.74,27.81,27.4,27.63,1135.59
27.51,27.62,27.36,27.41,1284.91
27.48,27.53,26.61,26.67,1481.97
26.54,26.85,26.19,26.65,1995.05
26.65,27.55,26.57,27.4,2245.14
27.38,27.52,26.0,26.8,3624.75
26.75,27.27,26.32,26.82,1132.04
26.8,27.62,26.64,27.62,689.72
27.6,28.39,27.56,27.87,2539.36
27.79,27.79,27.45,27.53,1915.11
27.47,27.65,27.23,27.61,596.65
27.66,27.96,27.6,27.94,1466.25
27.93,28.16,27.51,27.55,591.65
27.52,27.74,27.5,27.59,1117.31
27.58,27.59,27.34,27.38,465.81
27.41,27.55,27.08,27.09,485.91
27.09,27.09,26.41,26.69,3093.84
26.65,26.78,26.28,26.59,1562.2
26.59,26.74,26.33,26.44,434.29
26.43,26.65,25.86,25.89,1240.61
25.97,26.62,25.91,26.39,963.31
26.4,27.04,26.2,27.03,982.32
27.0,27.64,26.81,27.59,1816.22
27.57,28.23,27.57,27.97,2995.21
28.03,28.24,27.88,28.18,620.69
28.22,28.36,28.14,28.32,720.92
28.33,28.42,28.12,28.21,716.43
28.19,28.47,28.05,28.05,3200.59
28.2,28.79,28.17,28.29,1188.71
28.34,28.65,28.34,28.59,933.26
28.59,29.03,28.11,28.51,2129.0
28.42,28.56,28.11,28.24,340.91
28.21,28.5,28.13,28.43,173.35
28.16,28.76,28.12,28.43,685.82
28.35,28.41,28.12,28.36,69.45
28.33,28.7,28.31,28.45,190.38
28.47,28.69,28.26,28.33,178.29
28.35,28.71,28.23,28.69,73.64
28.59,28.73,28.0,28.28,511.08
28.29,28.59,28.2,28.2,1157.15
28.22,28.22,27.6,27.62,1299.62
27.59,27.76,27.55,27.68,142.49
27.74,28.39,27.73,28.09,1366.97
28.05,28.16,27.96,28.02,601.84
28.03,28.21,27.96,28.2,232.79
28.19,28.2,27.76,27.97,488.22
27.92,28.07,27.75,28.02,503.23
28.02,28.04,27.62,27.72,221.74
27.64,27.65,27.17,27.25,351.57
27.28,27.45,27.19,27.33,1066.11
27.42,27.46,27.15,27.19,970.47
27.21,27.35,27.15,27.25,289.53
27.31,27.36,27.23,27.33,368.53
27.27,27.27,27.09,27.11,465.86
27.08,27.26,26.97,27.0,928.36
26.99,27.4,26.96,27.26,417.41
27.33,27.35,27.04,27.14,708.58
27.11,27.15,27.05,27.05,329.18
27.07,27.12,26.77,26.86,466.59
26.84,27.03,26.67,26.67,980.61
26.66,26.75,26.38,26.46,1472.84
26.46,26.68,26.32,26.6,858.07
26.63,26.63,26.2,26.52,2178.65
26.45,26.45,26.08,26.08,2282.99
26.07,26.3,25.95,26.06,1169.45
26.09,26.4,26.08,26.32,1186.1
26.31,26.54,26.27,26.45,1560.43
26.43,26.79,26.19,26.57,1425.43
26.59,26.84,26.59,26.77,1211.6
26.75,27.01,26.57,26.65,1985.68
26.64,26.81,26.38,26.8,619.61
26.79,26.84,26.48,26.5,428.03
26.49,26.59,26.37,26.58,629.79
26.6,26.6,26.32,26.36,673.49
26.36,26.52,26.3,26.52,227.73
26.57,26.58,26.34,26.35,423.23
26.37,26.46,26.3,26.43,254.66
26.39,26.56,26.39,26.55,491.58
26.57,26.87,26.51,26.77,486.39
26.78,26.78,26.02,26.05,586.28
26.1,26.3,25.74,25.89,489.47
25.89,26.06,25.67,25.8,495.24
25.77,25.93,25.23,25.52,2173.23
25.5,25.73,25.16,25.52,2524.09
25.57,25.77,25.53,25.56,647.06
25.56,25.6,25.1,25.19,840.34
25.16,25.28,24.85,25.23,1167.92
25.18,25.18,24.54,24.62,1411.8
24.6,24.79,24.2,24.56,3245.85
24.69,24.91,24.51,24.91,1459.12
24.89,24.89,24.23,24.32,1587.08
24.25,24.7,24.13,24.58,722.68
24.59,25.16,24.55,25.12,945.7
24.97,25.33,24.63,25.25,1360.07
25.22,25.23,24.29,24.46,714.66
24.44,24.83,24.34,24.62,6408.99
24.65,24.77,24.29,24.29,5702.66
24.38,24.55,24.36,24.39,6868.99
24.37,24.42,24.17,24.2,599.66
24.18,24.23,22.22,22.73,8078.73
22.62,22.72,20.11,22.1,30829.78
21.99,22.05,20.2,21.9,9578.28
21.97,22.5,21.75,22.39,2693.63
22.32,22.82,21.75,22.62,2717.28
22.61,22.61,22.07,22.43,2372.81
22.4,22.4,21.74,21.74,2171.86
21.71,21.83,20.94,21.71,3021.42
21.74,22.29,21.31,22.25,2130.78
22.24,22.4,22.11,22.33,1302.11
22.31,22.57,22.17,22.49,1823.81
22.46,22.46,22.19,22.33,311.56
22.19,22.35,22.01,22.27,702.78
22.26,22.45,21.95,22.11,837.02
22.16,22.75,22.15,22.75,504.27
22.77,22.77,22.15,22.3,1307.82
22.35,22.35,21.41,21.53,2418.37
21.54,21.94,21.44,21.8,969.18
21.72,22.11,21.6,21.67,2148.26
21.67,21.79,20.53,20.55,3059.11
20.51,21.23,20.18,21.22,5350.37
21.11,21.11,20.23,20.24,2833.31
20.31,20.9,20.12,20.79,885.2
20.7,21.35,20.67,21.14,1074.22
21.13,21.53,21.03,21.39,1033.99
21.38,21.86,21.38,21.67,869.38
21.7,22.09,21.63,21.85,2427.68
21.9,21.96,21.59,21.71,591.74
21.69,21.71,21.05,21.35,529.37
21.3,21.47,20.87,20.88,3935.89
20.83,21.6,20.83,21.56,9460.38
21.55,21.71,21.55,21.63,470.22
21.71,21.82,21.48,21.81,720.43
21.84,21.86,21.57,21.6,160.31
21.6,21.82,21.59,21.78,221.72
21.85,21.93,21.59,21.59,161.24
21.57,22.43,21.57,22.33,895.2
22.3,22.5,22.01,22.28,542.79
22.28,22.34,22.2,22.34,370.85
22.34,22.61,22.22,22.38,1487.75
22.44,22.88,22.4,22.63,1256.59
22.67,23.23,22.67,22.97,2594.22
23.01,23.31,22.73,23.19,880.63
23.22,23.78,23.21,23.69,2321.43
23.72,23.99,23.51,23.59,1306.26
23.59,23.84,23.36,23.36,1418.8
