Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
10.062,10.314,10.029,10.23,6983.84
10.236,10.428,10.21,10.34,5144.37
10.319,10.392,10.01,10.09,8678.28
10.106,10.231,9.984,10.178,7253.35
10.204,10.284,10.078,10.096,6640.27
10.082,10.104,9.758,9.938,7474.49
9.911,10.039,9.802,9.833,2661.76
9.85,9.85,9.327,9.504,8150.17
9.515,9.854,9.515,9.761,4902.11
9.779,9.914,9.604,9.655,5103.43
9.663,10.0,9.625,9.807,5768.14
9.822,9.83,9.672,9.741,4452.98
9.759,9.899,9.746,9.862,4510.03
9.852,9.908,9.779,9.798,5676.5
9.792,9.843,9.701,9.744,5126.13
9.74,9.846,9.697,9.796,4874.35
9.796,9.891,9.796,9.874,2764.7
9.879,10.034,9.879,10.033,2412.66
10.0,10.032,9.88,9.95,6168.82
9.933,10.063,9.927,9.995,2279.61
9.981,10.074,9.849,9.907,3479.58
9.919,10.034,9.808,10.004,4734.77
9.968,10.076,9.907,10.007,3071.78
10.0,10.062,9.966,10.047,3674.98
10.047,10.08,9.953,9.953,3434.59
9.958,9.991,9.716,9.717,3898.92
9.749,9.804,9.54,9.729,6264.41
9.708,9.832,9.679,9.809,2268.91
9.829,9.9,9.314,9.684,16295.36
9.667,9.728,9.46,9.592,7239.3
9.592,9.869,9.524,9.854,3058.45
9.853,9.946,9.796,9.91,2420.31
9.9,9.968,9.804,9.946,2942.54
9.95,10.06,9.869,10.039,15430.4
10.032,10.241,10.021,10.22,21178.85
10.218,10.252,10.04,10.07,12503.47
10.072,10.124,9.985,10.05,10500.26
10.05,10.05,9.967,9.97,16228.14
9.983,10.039,9.904,9.907,10048.21
9.92,9.92,9.722,9.799,25936.33
9.808,9.824,9.645,9.804,10799.07
9.829,9.923,9.791,9.825,10892.55
9.819,9.946,9.522,9.523,2942.5
9.545,9.752,9.496,9.675,2973.06
9.683,9.855,9.617,9.849,2226.35
9.822,10.006,9.75,9.872,4534.2
9.87,9.979,9.85,9.957,2836.47
9.942,10.043,9.942,9.96,3913.33
9.96,10.083,9.937,10.075,3451.4
10.075,10.286,10.066,10.285,7539.76
10.287,10.434,10.229,10.238,12594.14
10.248,10.476,10.245,10.389,30347.35
10.39,10.59,10.39,10.548,8095.88
10.528,10.604,10.347,10.4,7660.7
10.417,10.556,10.283,10.457,8902.83
10.447,10.58,10.436,10.462,3948.61
10.456,10.507,10.388,10.4,1221.33
10.417,10.448,10.315,10.324,1305.15
10.324,10.44,10.317,10.427,971.01
10.415,10.43,10.32,10.321,1706.97
10.324,10.518,10.324,10.506,8936.42
10.491,10.533,10.247,10.297,4313.83
10.303,10.379,10.187,10.306,3131.08
10.314,10.43,10.29,10.303,1690.39
10.303,10.32,10.149,10.241,3258.35
10.239,10.361,10.206,10.296,5939.73
10.298,10.325,10.207,10.266,3291.51
10.263,10.351,10.26,10.329,2044.33
10.327,10.327,10.182,10.313,2728.39
10.304,10.382,10.22,10.272,3348.02
10.276,10.304,10.152,10.152,3044.22
10.157,10.163,10.017,10.066,5022.23
10.104,10.219,10.096,10.203,3343.55
10.194,10.262,10.111,10.115,2338.71
10.108,10.2,10.1,10.166,2910.2
10.166,10.222,10.1,10.19,2203.64
10.184,10.196,10.124,10.124,633.28
10.116,10.262,10.116,10.2,1394.35
10.168,10.251,10.085,10.226,2926.57
10.268,10.29,10.145,10.15,1979.98
10.144,10.209,10.01,10.159,3258.44
10.152,10.235,10.128,10.128,176.14
10.12,10.138,10.019,10.019,887.7
10.025,10.047,9.912,9.953,4848.74
9.953,10.054,9.916,10.054,7416.35
10.05,10.092,10.041,10.075,1741.23
10.064,10.065,9.884,9.885,2948.27
9.886,10.018,9.843,9.911,2605.14
9.931,10.29,9.931,10.218,10356.09
10.213,10.25,10.128,10.216,3887.27
10.204,10.363,10.124,10.337,4354.54
10.348,10.44,10.282,10.301,5311.03
10.301,10.31,10.128,10.129,5296.88
10.125,10.147,10.005,10.086,4828.33
10.098,10.104,9.991,10.028,2508.68
10.02,10.097,9.976,10.087,2378.85
10.075,10.1,9.979,9.979,2161.18
9.977,10.06,9.955,10.05,2575.47
10.057,10.067,9.968,9.968,2508.99
9.981,10.036,9.96,10.02,1588.27
10.02,10.077,10.0,10.073,5196.61
10.055,10.151,10.045,10.125,15722.72
10.125,10.142,9.931,9.975,14752.17
