Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
555.0,563.0,554.3,563.0,142.38
562.0,569.7,561.8,567.0,182.629
567.2,584.9,566.5,580.0,557.631
580.2,587.9,571.8,577.1,454.74
577.4,583.9,575.0,577.4,340.219
577.4,588.4,574.4,584.8,317.966
584.6,584.6,571.8,574.0,483.296
573.6,574.7,551.6,560.0,795.671
561.7,614.4,560.6,591.9,981.146
591.9,604.8,577.9,585.7,635.686
586.7,595.7,585.6,592.4,519.381
592.4,592.4,573.8,579.2,205.174
578.5,614.4,575.2,598.3,955.567
598.9,631.5,595.7,619.7,842.676
619.8,624.7,608.6,611.3,418.026
611.7,621.0,606.6,607.7,431.185
607.4,610.0,602.2,605.6,293.543
605.9,618.4,605.7,616.2,266.038
615.3,629.7,610.8,623.4,378.633
622.1,634.5,620.5,628.8,427.384
627.6,627.6,609.9,616.0,327.577
615.5,617.3,606.7,611.0,201.821
611.1,616.2,607.1,612.9,241.518
612.4,615.2,607.2,614.7,93.671
614.6,619.9,614.6,615.3,210.889
616.2,617.6,602.4,604.2,112.123
603.6,606.1,542.0,602.9,602.881
602.6,608.0,601.6,603.8,157.263
604.8,606.6,572.8,591.0,486.341
590.4,595.9,581.8,589.3,342.778
588.6,595.9,584.2,593.6,264.132
594.3,598.4,588.4,594.7,128.181
594.3,594.5,589.0,591.5,128.281
591.4,597.4,587.7,595.5,187.32
595.6,598.1,594.7,597.1,175.186
596.1,601.2,595.5,599.0,158.629
597.9,601.1,596.5,596.9,132.15
595.8,596.7,593.3,596.4,41.467
596.4,599.5,592.8,593.9,88.261
593.9,593.9,585.9,587.0,210.94
588.0,591.1,580.4,590.8,200.346
591.1,595.0,589.0,593.9,156.173
594.2,597.9,590.7,592.4,319.694
592.3,606.3,588.0,604.5,211.574
606.2,618.2,602.3,616.0,433.957
614.0,623.9,610.9,622.9,472.056
622.7,630.4,622.0,627.1,548.985
626.2,639.4,624.7,635.6,399.094
636.2,640.7,634.3,638.8,292.154
638.5,640.2,635.6,637.4,92.312
638.4,639.1,630.3,631.1,117.764
630.7,632.6,623.4,623.5,161.161
624.0,626.6,621.4,622.4,136.854
621.4,625.1,615.7,619.4,81.069
619.9,627.4,618.4,620.5,140.981
620.7,621.9,614.4,617.5,103.936
617.3,619.0,615.1,617.1,86.332
617.2,620.1,615.0,615.2,98.108
