Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
95611.96,96388.0,95521.31,96232.11,319.58188
96232.11,97393.08,96161.18,97367.98,659.00695
97367.98,99225.66,97276.01,98995.24,1266.21306
98988.69,99143.81,97100.0,97878.67,485.29
97876.01,98746.38,97679.8,98350.0,216.47756
98340.0,99168.89,98330.01,98754.22,247.09433
98740.11,98979.71,98391.88,98469.94,196.83616
98469.94,98792.0,98062.26,98300.0,224.3359
98299.99,101761.28,98260.0,101320.0,1290.45768
101326.23,104149.99,101316.01,103057.37,1570.16321
103056.01,103645.14,102572.91,103424.0,480.43858
103424.0,103545.15,101877.66,102571.91,365.52315
102564.01,102775.99,101480.16,101948.0,368.52151
101938.96,102640.0,101384.62,102297.49,339.81439
102303.98,103043.28,102303.98,102869.95,361.01119
102869.95,103273.87,102656.01,102783.03,249.5077
102783.03,103000.92,102339.48,102364.06,195.96135
102364.07,102764.21,102325.62,102640.05,257.80207
102640.01,103451.46,102522.31,102940.98,343.37045
102937.44,103356.0,102776.01,102840.57,232.66494
102847.56,103645.19,102357.52,103604.01,380.24196
103604.03,103640.0,100934.9,101384.01,886.11629
101384.01,102105.79,100668.0,101113.92,716.39218
101113.92,101428.51,100612.0,101361.17,358.98763
101361.17,101599.99,100226.05,100232.01,771.90088
100232.02,101003.41,98632.99,99056.54,842.33746
99056.53,99466.66,97927.72,99130.09,1040.57103
99136.0,99562.83,98909.27,99006.0,323.25451
99004.01,99140.59,91500.0,96773.86,1419.60784
96763.44,97610.39,95558.0,97050.01,558.52019
97050.01,98000.0,96333.0,97628.14,308.14823
97628.14,98850.55,97188.26,98163.28,246.88128
98164.55,98267.02,97532.73,97637.24,217.45515
97653.0,97844.39,97229.48,97799.98,158.41296
97799.97,98030.4,97416.1,97932.78,120.17352
97921.55,98328.35,97680.0,97928.01,116.70234
97928.0,98361.58,97816.67,98155.6,117.20178
98155.59,98361.1,97840.01,98220.62,115.26538
98220.62,98766.63,98086.27,98408.09,158.0392
98408.1,98511.52,98023.54,98096.01,184.51199
98086.57,98278.84,97732.0,98216.01,183.54398
98216.01,98408.79,97894.74,98152.36,129.39193
98152.36,98470.87,97600.12,97723.05,102.95149
97734.12,98997.16,97575.06,98686.44,220.00628
98695.2,99603.0,98461.76,99583.99,409.29182
99583.99,99835.45,98689.13,99420.2,402.49594
99420.2,99628.97,98885.33,99128.49,218.37786
99128.49,101379.7,99012.0,100972.01,378.3983
100965.77,102000.0,100720.01,101518.98,413.02298
101518.99,101968.42,101351.08,101623.15,257.25808
101613.5,102100.3,101240.06,101563.11,279.68414
101560.51,101654.27,100501.57,100548.02,203.80423
100548.02,100872.48,100458.0,100673.7,103.76371
100673.69,100747.23,99259.37,99894.53,221.18911
99894.53,100562.5,99694.33,100417.09,143.81515
100421.11,100579.98,99983.76,100198.37,78.62111
100198.37,100329.4,100017.47,100084.62,54.37832
100084.62,100095.56,99423.85,99450.49,122.35592
99450.49,99828.53,99193.58,99655.06,111.19163
99651.6,99794.03,99008.0,99319.99,135.90044
99305.66,99540.29,99216.02,99487.78,61.48614
99472.03,99633.28,99241.07,99541.03,55.78999
99536.66,99700.0,99404.78,99551.79,54.83827
99551.79,99960.56,99540.9,99794.23,77.21511
99788.3,99824.94,99542.87,99634.7,50.57891
99639.5,99862.8,99529.28,99732.32,34.16484
99732.32,99823.23,99477.25,99545.77,35.13143
99535.52,99635.0,99419.73,99449.64,36.67473
99450.21,99894.88,99146.24,99564.43,100.03152
99557.33,99897.99,99434.9,99846.1,113.52135
99846.1,99895.99,99571.43,99727.98,74.95214
99727.98,99821.84,99555.0,99733.67,82.97206
99733.66,100357.83,99672.01,100226.97,91.94359
100224.95,100358.4,100017.46,100175.62,94.65169
100175.62,100475.99,100175.0,100410.17,49.64563
100410.18,100545.0,99800.85,99966.19,73.17535
99969.76,100147.13,99686.79,99690.05,51.2439
99690.06,100350.0,99690.05,99950.0,73.01891
99950.0,100078.18,99741.12,100074.46,54.54952
100074.47,100226.46,99771.82,99930.17,50.55109
99930.18,100425.49,99836.79,100233.96,51.46252
100244.48,100360.01,99991.14,100018.02,63.90427
100018.02,100114.63,99777.78,99849.07,51.48819
99844.7,99872.62,99424.65,99618.92,72.50189
99618.92,99875.99,99411.77,99750.29,38.45579
99750.3,99935.97,99690.22,99737.86,40.05386
99737.21,99765.2,99034.27,99052.01,75.97656
99052.01,99374.62,98722.12,98953.06,135.69448
98953.06,99468.12,98944.02,99307.52,50.38695
99308.91,99900.0,99192.63,99764.99,62.63448
99765.39,100260.0,99516.01,99984.94,110.61301
99986.72,100570.56,99864.73,100453.35,112.54384
100486.96,100490.43,99792.54,99796.46,81.44034
99802.74,100033.68,99420.01,99970.4,114.47934
99970.41,100176.97,99780.67,99879.31,76.65415
99879.3,100059.99,99690.55,100004.0,57.208
100004.0,100071.17,99632.33,99711.66,53.39322
99711.0,100228.0,99526.87,100144.01,67.87228
100148.56,100200.0,99800.95,99850.8,74.9698
99850.8,100116.23,99784.0,100095.5,44.65766
100093.83,100335.36,99935.51,100295.96,40.33068
100291.87,101431.71,100153.71,101179.62,179.43439
101180.53,101287.98,99371.14,99722.44,267.80511
99715.31,99914.93,99471.83,99617.9,100.15606
99610.4,99816.2,99069.36,99261.27,106.07665
99248.01,99431.43,98500.0,99154.5,105.34224
99154.49,99508.72,98835.52,99484.0,173.04167
99483.99,99598.94,99368.39,99497.61,54.40214
99497.6,99527.4,98909.02,99097.45,56.8212
99097.44,99769.34,98264.24,99600.04,179.76264
99600.04,99705.56,98807.34,98902.45,229.72285
98902.47,99107.76,98406.5,98408.75,136.99198
98408.76,98766.62,98260.0,98707.67,119.86964
98707.67,98707.67,98000.0,98069.03,114.13418
98069.02,98593.22,97926.0,98561.41,101.56905
98561.4,99187.19,98191.38,98980.02,149.61297
98980.02,100412.99,98851.85,100166.34,220.61939
100166.83,100438.0,97489.0,97767.02,405.25796
97769.87,98357.75,97434.8,97828.65,214.73167
97813.27,98212.62,97309.0,97328.8,146.54765
97328.8,98239.96,97328.8,97759.83,157.02616
97768.94,97768.94,96928.0,97015.99,221.68372
97015.99,97288.17,96080.0,96216.01,401.71769
96207.89,97573.05,94100.62,96929.17,887.64299
96921.65,97400.0,94860.48,97017.36,464.83273
97017.36,97567.34,96739.35,97319.99,131.02294
97319.99,98180.51,97036.8,97908.0,247.35249
97908.0,98123.67,97538.09,98002.4,283.17869
98002.4,98013.44,96679.99,96722.04,319.22048
96722.04,97009.71,95630.94,96989.74,333.05558
96993.58,97194.22,95943.06,97095.0,299.08162
97089.0,97106.1,96557.52,96980.67,164.48674
96980.67,97536.78,96847.52,97472.67,113.37557
97503.72,97527.79,96936.13,97221.0,70.72805
97220.99,97571.42,96968.81,97427.71,62.09262
97427.72,97732.21,97260.41,97521.58,89.75604
97523.2,97905.0,97523.2,97727.83,121.70857
97734.41,97994.9,97478.31,97770.28,91.19217
97770.29,97892.27,96900.0,97200.0,177.07824
97206.89,97954.11,97160.01,97764.01,156.32006
97764.02,98355.0,97184.72,97856.52,295.57874
97862.49,98162.11,95644.15,95701.79,466.90629
95709.66,96545.44,94582.01,96357.44,543.92507
96349.23,96444.44,94429.12,94516.91,480.92754
94516.91,95538.3,94273.47,95128.48,284.64365
95147.24,96199.43,94985.69,95891.98,239.08274
