Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.3926,0.3959,0.3915,0.3959,3092.6
0.3959,0.4034,0.3959,0.4034,7016.1
0.405,0.41,0.396,0.3977,11379.4
0.4016,0.4056,0.4016,0.4056,615.3
0.4035,0.4037,0.4001,0.4001,6781.5
0.3988,0.3988,0.3877,0.3877,3455.0
0.3959,0.4013,0.3933,0.3999,1464.6
0.3933,0.3933,0.3752,0.3855,9878.6
0.3841,0.405,0.3841,0.3992,3254.4
0.4073,0.418,0.3968,0.4022,57611.5
0.405,0.4134,0.4048,0.4088,5007.5
0.4039,0.4039,0.3977,0.401,6306.5
0.4006,0.406,0.4004,0.4043,2940.8
0.4044,0.4073,0.4041,0.4069,4429.7
0.4053,0.4129,0.4053,0.4127,7656.4
0.4128,0.4189,0.4088,0.4189,9482.4
0.4168,0.4168,0.4137,0.4138,1144.4
0.4138,0.4147,0.4111,0.4124,10734.3
0.4121,0.4258,0.4121,0.4228,7593.0
0.4209,0.4392,0.4209,0.4288,34693.4
0.4288,0.4487,0.426,0.4401,117001.3
0.4406,0.4647,0.437,0.4414,187386.2
0.4433,0.4458,0.434,0.4346,41598.2
0.4323,0.45,0.432,0.441,33410.7
0.4422,0.4457,0.44,0.44,18786.4
0.441,0.4417,0.4281,0.4281,19548.0
0.4282,0.4315,0.4226,0.4267,21836.7
0.4259,0.436,0.4259,0.4329,18577.6
0.4343,0.4398,0.401,0.4381,24412.1
0.4343,0.4435,0.4297,0.4339,14278.6
0.4321,0.443,0.4251,0.4428,5670.1
0.4419,0.451,0.4416,0.4487,4538.7
0.447,0.447,0.4357,0.4392,18146.9
0.4351,0.445,0.4351,0.445,66741.9
0.4475,0.45,0.4421,0.4444,11025.2
0.4422,0.4428,0.4364,0.4393,43839.4
0.4391,0.4467,0.4372,0.4442,7522.2
0.445,0.4589,0.4446,0.4589,48382.2
0.459,0.4635,0.4436,0.4442,60126.4
0.4442,0.4447,0.428,0.429,30380.9
0.4299,0.4299,0.4213,0.4262,36383.4
0.4253,0.4279,0.4217,0.4239,20948.2
0.4278,0.4288,0.4125,0.4125,7582.8
0.4129,0.4223,0.4095,0.4199,17808.6
