Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.213,0.4778,0.213,0.3623,3668129.1
0.3623,0.3964,0.3421,0.3937,1159295.6
0.393,0.4297,0.3684,0.4028,1055422.9
0.4013,0.472,0.395,0.4064,1452025.1
0.4063,0.4449,0.4009,0.4069,641359.6
0.4065,0.423,0.378,0.404,643358.6
0.4033,0.419,0.389,0.4032,794433.2
0.4017,0.415,0.3942,0.411,285524.2
0.4101,0.416,0.3949,0.4016,290727.7
0.4009,0.4012,0.3669,0.3767,478200.7
0.3767,0.3826,0.3705,0.3771,160198.3
0.3738,0.3738,0.3439,0.3513,517044.5
0.3514,0.3538,0.3322,0.3368,249429.1
0.3368,0.3553,0.33,0.3496,195283.7
0.3486,0.3487,0.3322,0.3339,233956.2
0.3339,0.3348,0.3159,0.3181,402204.8
0.3189,0.3191,0.3079,0.3141,388485.7
0.3137,0.3263,0.3127,0.3161,318250.2
0.3161,0.3306,0.3161,0.3247,287563.3
0.3241,0.3298,0.3138,0.317,411945.1
0.3177,0.3568,0.3177,0.3463,456434.0
0.3456,0.3494,0.3275,0.3306,609195.3
0.3306,0.3398,0.3299,0.3341,511301.7
0.3322,0.3358,0.3221,0.3317,364582.2
0.3325,0.3371,0.321,0.3249,1354859.9
0.3249,0.3251,0.3127,0.3183,497755.3
0.3187,0.3246,0.3138,0.3154,187499.6
0.3147,0.3244,0.3114,0.3195,300437.9
0.3194,0.3271,0.3167,0.3178,190286.5
0.3176,0.3191,0.3138,0.3166,85994.0
0.3164,0.339,0.316,0.3247,148722.2
0.3242,0.3316,0.3216,0.3305,266840.5
0.3309,0.3377,0.3258,0.3363,255134.1
0.3358,0.3395,0.3269,0.328,230847.2
0.3277,0.3288,0.321,0.3244,143990.3
0.3245,0.325,0.3183,0.3239,80313.3
0.3233,0.3285,0.3183,0.3268,101800.6
0.327,0.3326,0.3266,0.3312,35795.2
0.3311,0.3472,0.3307,0.3416,1533605.4
0.3409,0.3417,0.32,0.321,73028.9
0.3208,0.3237,0.313,0.316,80261.5
0.3158,0.3207,0.3126,0.3171,72050.1
0.3159,0.3236,0.3143,0.3213,152691.2
0.3203,0.3245,0.3178,0.3211,353009.7
0.3202,0.3215,0.3135,0.3137,899408.8
0.3123,0.3136,0.2979,0.2998,290502.1
0.3,0.3044,0.2988,0.3039,277059.7
0.3031,0.3098,0.301,0.3063,362591.0
0.3066,0.3141,0.3052,0.3118,42569.8
0.3116,0.3144,0.3099,0.3118,36461.1
0.3124,0.3137,0.3051,0.309,73248.7
0.3088,0.3143,0.3081,0.313,65371.2
0.3144,0.3292,0.3143,0.3252,209422.6
0.325,0.3365,0.3245,0.3297,1271905.0
0.328,0.336,0.3248,0.3278,237554.3
0.3279,0.3366,0.3278,0.3298,181963.7
0.3303,0.3345,0.3278,0.329,102714.2
0.329,0.3616,0.3263,0.3611,325614.1
0.3612,0.39,0.3516,0.3577,1026502.5
0.3585,0.3596,0.3459,0.3554,286180.5
0.3559,0.3679,0.3492,0.352,649733.5
0.3541,0.3547,0.3386,0.3468,148431.7
0.3468,0.349,0.3368,0.341,118967.8
0.343,0.344,0.3358,0.3426,43514.5
0.343,0.3435,0.3295,0.3295,72437.4
0.3283,0.3322,0.3257,0.3267,36288.7
0.3274,0.3288,0.3188,0.3207,339601.3
0.3221,0.3265,0.3146,0.3146,422103.3
0.3157,0.3157,0.3068,0.3078,213355.7
0.3082,0.3154,0.3058,0.3105,114503.8
0.3105,0.3237,0.3079,0.319,192709.1
0.3203,0.3468,0.3201,0.3316,538241.0
0.3324,0.3329,0.3194,0.3234,305279.7
0.3238,0.3355,0.3185,0.3333,266690.1
0.3336,0.3533,0.3299,0.3404,526378.0
0.3395,0.354,0.3322,0.3336,165295.2
0.336,0.347,0.3354,0.347,124910.0
0.3474,0.3505,0.3338,0.342,162051.1
0.342,0.3481,0.3353,0.3474,96343.0
0.3472,0.3566,0.341,0.3513,164953.7
0.3491,0.3585,0.34,0.3463,247936.3
0.3466,0.3571,0.342,0.3448,116559.2
0.3445,0.3475,0.339,0.3401,33993.2
0.3388,0.3451,0.3295,0.3358,202386.1
0.3366,0.3417,0.3326,0.333,95722.3
0.3313,0.335,0.3251,0.3293,150128.2
0.3286,0.3303,0.3241,0.3281,11585.1
0.3311,0.3436,0.3214,0.3426,102303.5
0.344,0.42,0.3405,0.4033,836200.4
0.407,0.4182,0.3799,0.386,547254.1
0.3831,0.3899,0.3722,0.3788,249719.9
0.381,0.3963,0.3805,0.3828,205614.9
0.3832,0.4651,0.3831,0.3965,580620.2
0.3966,0.404,0.3902,0.3921,498219.1
0.3921,0.394,0.3744,0.3744,610943.4
0.376,0.3831,0.3697,0.378,473348.5
