Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.4567,0.76,0.2223,0.5588,1241091.5
0.5598,0.5869,0.5477,0.5788,1047488.2
0.5779,0.5906,0.5549,0.5825,784406.2
0.5821,0.619,0.5762,0.6066,865054.3
0.6081,0.6316,0.5935,0.6293,661460.7
0.628,0.6322,0.5942,0.5985,452308.6
0.5977,0.6174,0.5943,0.5993,455792.0
0.5984,0.6036,0.5743,0.5919,496288.5
0.5927,0.613,0.5896,0.5958,329673.2
0.5954,0.602,0.5765,0.5839,216091.1
0.5818,0.5974,0.5782,0.5811,321963.0
0.5803,0.5853,0.5531,0.561,351712.3
0.5615,0.5743,0.5601,0.5634,297421.2
0.5635,0.5738,0.5429,0.5493,192339.1
0.5497,0.5531,0.5336,0.5393,361811.6
0.5395,0.542,0.5254,0.5254,181571.6
0.5254,0.5328,0.5194,0.5218,334979.3
0.5216,0.5417,0.5183,0.5197,488550.1
0.5194,0.5388,0.5194,0.5318,267535.0
0.5318,0.5333,0.5228,0.5246,225183.9
0.5253,0.5383,0.5252,0.5343,183105.4
0.5348,0.5461,0.5338,0.5439,179198.1
0.5443,0.5443,0.5268,0.5268,137700.8
0.5267,0.5316,0.5193,0.5241,91780.1
0.5257,0.5258,0.5036,0.5059,248980.7
0.5071,0.5117,0.5023,0.5089,170674.6
0.5089,0.5131,0.5009,0.5039,342919.4
0.5041,0.5095,0.5004,0.5062,324896.9
0.5065,0.5092,0.4958,0.4966,397463.0
0.4966,0.5071,0.4918,0.492,214491.3
0.492,0.4996,0.4902,0.4934,90217.9
0.4933,0.5181,0.4918,0.5125,171454.0
0.5127,0.5291,0.5126,0.5258,283647.7
0.5258,0.529,0.5148,0.5176,152284.9
0.5167,0.519,0.5117,0.5128,102580.2
0.5116,0.5169,0.5082,0.5093,154196.6
0.5094,0.5158,0.5066,0.5102,97408.5
0.51,0.5145,0.5072,0.5077,47651.0
0.5077,0.5134,0.5043,0.5128,60575.6
0.5105,0.5126,0.5001,0.5043,64099.8
0.5043,0.5126,0.5043,0.5061,86704.2
0.5052,0.5114,0.5011,0.5054,62274.6
0.5058,0.51,0.4975,0.507,82225.8
0.5067,0.5084,0.4949,0.4991,117877.2
0.4992,0.5023,0.4941,0.4952,43994.5
0.4956,0.5026,0.4915,0.4986,79427.0
0.4984,0.5104,0.4984,0.5094,116362.7
0.506,0.506,0.4909,0.4922,83142.2
0.4926,0.4962,0.4826,0.491,232897.0
0.4917,0.4939,0.4866,0.4919,69193.7
0.4919,0.5064,0.4885,0.5046,144198.3
0.5044,0.5054,0.4946,0.4997,75716.2
0.4997,0.5037,0.4902,0.4912,167349.2
0.4905,0.4932,0.4854,0.4858,199185.6
0.4858,0.4908,0.4825,0.4835,65361.0
0.4842,0.4899,0.477,0.4783,78202.0
0.4793,0.4807,0.4682,0.4704,62903.8
0.4698,0.4701,0.4615,0.4648,93342.0
0.4648,0.4695,0.4613,0.4675,81630.6
0.4669,0.4798,0.4578,0.4661,417624.0
0.4659,0.468,0.4566,0.4585,191331.5
0.4582,0.4597,0.4406,0.4502,115673.9
0.45,0.4529,0.435,0.4414,110394.9
0.4405,0.4439,0.4373,0.4431,107438.5
0.4409,0.4425,0.4331,0.4353,79186.7
0.4354,0.4374,0.4241,0.4253,160239.7
0.4251,0.4279,0.4162,0.4178,121031.0
0.4178,0.4181,0.4097,0.4112,170171.4
0.4098,0.4098,0.4002,0.4055,200167.7
0.4053,0.4128,0.4001,0.4044,172581.0
0.4044,0.4099,0.3948,0.3983,257424.4
0.3983,0.4177,0.3959,0.4126,389764.5
0.4124,0.4138,0.4015,0.4032,286396.2
0.4037,0.4107,0.3933,0.4062,273849.9
0.4075,0.4236,0.4055,0.4142,441857.1
0.4139,0.4221,0.407,0.407,549735.2
0.4075,0.4123,0.4023,0.4077,511928.4
0.4077,0.4125,0.3996,0.4088,398999.9
0.4092,0.4108,0.4017,0.4074,539057.2
0.4075,0.4247,0.4047,0.4229,535589.5
0.423,0.4557,0.4217,0.4338,958303.7
0.4339,0.4598,0.4333,0.4536,565323.9
0.4538,0.48,0.4496,0.4735,939315.6
0.4735,0.4792,0.4498,0.451,990555.2
0.451,0.4586,0.4486,0.4498,913642.7
0.4496,0.4788,0.449,0.4629,480637.4
0.4627,0.4692,0.4576,0.463,777271.8
0.4647,0.5093,0.458,0.5082,1035367.1
0.5082,0.5397,0.4991,0.5061,1063559.8
0.5058,0.5083,0.4848,0.4868,955317.5
0.488,0.4955,0.4817,0.4909,874253.2
0.4907,0.501,0.4816,0.4862,935619.1
0.4854,0.4977,0.4738,0.4946,824991.6
0.4943,0.495,0.4689,0.472,317563.6
0.4712,0.4757,0.4609,0.4631,169001.8
0.4628,0.4777,0.4562,0.4741,973507.5
0.4749,0.492,0.466,0.4879,183698.5
0.4876,0.5011,0.4766,0.4865,338659.9
0.4871,0.498,0.482,0.4821,147639.9
0.4826,0.5084,0.4772,0.4883,183520.8
0.4908,0.525,0.4897,0.5171,195954.6
0.5157,0.5207,0.5068,0.507,98900.2
0.5087,0.535,0.4967,0.512,115664.8
0.511,0.5499,0.5007,0.5483,246464.7
0.5464,0.5847,0.5463,0.5615,642762.6
0.562,0.5698,0.5506,0.5629,181152.9
0.5631,0.5765,0.5374,0.5383,178845.6
0.5379,0.5411,0.5254,0.5299,100960.4
0.5297,0.5528,0.5254,0.5311,58468.0
0.5309,0.5343,0.5214,0.5253,38360.3
0.5246,0.5423,0.5212,0.5414,19730.6
0.5435,0.5805,0.5347,0.5684,108823.7
0.5695,0.5938,0.5625,0.5746,73430.7
0.5734,0.5734,0.5511,0.557,98641.6
0.559,0.5748,0.559,0.5636,56007.4
0.5629,0.5747,0.5509,0.5515,66037.2
0.5508,0.5543,0.55,0.5538,6178.4
