Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.4706,0.4733,0.4682,0.4713,10406.4
0.4701,0.476,0.4691,0.4735,2622.4
0.4717,0.4773,0.4606,0.4636,3630.0
0.4726,0.4778,0.4695,0.4742,977.3
0.481,0.481,0.4742,0.4742,2621.5
0.4742,0.4754,0.465,0.4747,3152.7
0.4718,0.4718,0.4651,0.4677,337.6
0.458,0.458,0.4397,0.4543,18171.7
0.4528,0.4599,0.4528,0.4575,2472.3
0.4621,0.4663,0.455,0.455,4078.5
0.4664,0.4718,0.4664,0.4697,1258.9
0.4664,0.4664,0.4632,0.4632,1525.7
0.4626,0.4626,0.4609,0.4621,878.9
0.4659,0.4798,0.4659,0.4798,2566.5
0.4782,0.4786,0.472,0.4735,8040.8
0.4735,0.4735,0.4692,0.4698,83.4
0.4698,0.4767,0.4698,0.4767,2015.8
0.4795,0.4795,0.4767,0.4774,1128.8
0.4773,0.4843,0.4746,0.4761,3029.2
0.4769,0.4808,0.4769,0.4808,4072.7
0.4815,0.483,0.4703,0.4811,8745.0
0.4786,0.4786,0.4691,0.4722,6310.2
0.4753,0.481,0.4685,0.4789,50911.2
0.4825,0.4834,0.4793,0.4793,2116.5
0.4793,0.4808,0.4733,0.4733,4063.2
0.4666,0.4717,0.4666,0.4688,16748.1
0.4616,0.4662,0.4552,0.4643,4500.4
0.4688,0.4688,0.4688,0.4688,968.9
0.46,0.47,0.4482,0.47,3730.7
0.4748,0.4748,0.4644,0.4666,2073.6
0.4661,0.4793,0.4661,0.4793,2476.4
0.4793,0.4821,0.4777,0.4784,6576.1
0.4766,0.48,0.4739,0.48,648.7
0.4781,0.4831,0.4781,0.4827,755.8
0.484,0.4865,0.4812,0.4817,12352.8
0.4817,0.4817,0.4782,0.4782,941.8
0.4819,0.485,0.4812,0.4812,1148.2
0.4831,0.4852,0.4789,0.4827,1299.4
0.4868,0.4918,0.4838,0.4838,4158.5
0.48,0.483,0.4714,0.4801,14268.9
0.4757,0.4757,0.4689,0.4731,4035.9
0.4757,0.4757,0.47,0.47,3105.4
0.4721,0.4735,0.4593,0.4595,8013.8
0.4579,0.4737,0.4579,0.4737,7051.1
0.4717,0.4758,0.4693,0.4758,827.3
0.4785,0.4915,0.4785,0.4839,3634.9
0.4866,0.496,0.4735,0.492,37511.3
0.4938,0.5087,0.4922,0.5046,18300.6
0.5021,0.5067,0.5013,0.5057,14411.8
0.5078,0.5215,0.5072,0.5215,7192.9
0.5157,0.5193,0.5,0.5022,22707.8
0.5047,0.5182,0.5047,0.5117,10286.7
0.5117,0.5137,0.5081,0.5081,19730.2
0.5081,0.5164,0.5024,0.5104,32031.4
0.5086,0.5126,0.505,0.5051,29532.8
0.5111,0.5124,0.5089,0.5089,3364.7
0.514,0.5186,0.5093,0.5093,11248.8
0.51,0.5167,0.5096,0.5167,17630.1
0.5138,0.595,0.5136,0.5571,51675.1
0.5495,0.61,0.5495,0.5543,120081.6
0.5589,0.5655,0.5465,0.5582,25996.8
0.5555,0.65,0.5516,0.5639,25877.9
0.5639,0.5726,0.5273,0.5273,91734.9
0.5273,0.53,0.5181,0.5183,22588.0
0.5191,0.5293,0.5123,0.5185,41767.2
0.5218,0.5242,0.5193,0.5232,14944.8
0.5246,0.5361,0.52,0.5247,12829.6
0.5208,0.5219,0.5152,0.5187,25318.3
0.5183,0.5259,0.5169,0.5233,12417.7
0.5248,0.5272,0.523,0.5242,2065.3
0.5223,0.5223,0.5185,0.5187,5179.7
0.5167,0.5175,0.5167,0.5175,350.0
0.5224,0.5803,0.5174,0.5237,84174.3
0.5237,0.5253,0.52,0.52,5152.2
0.5225,0.5246,0.5209,0.5233,7533.7
0.5191,0.525,0.5191,0.5227,1310.4
0.5227,0.5227,0.5176,0.5176,719.7
0.5207,0.5207,0.5185,0.5185,2032.9
0.5209,0.522,0.5168,0.522,2298.8
