Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.40855,0.4136,0.40826,0.4126,3983156.0
0.41256,0.41897,0.4117,0.41692,4553068.0
0.41692,0.42494,0.41505,0.42042,10038266.0
0.42049,0.43746,0.42029,0.42274,16070211.0
0.42286,0.42713,0.41854,0.41945,6214767.0
0.41924,0.43405,0.41923,0.43344,7868126.0
0.43333,0.437,0.42595,0.42611,7016676.0
0.42604,0.42959,0.40768,0.41381,12076713.0
0.41344,0.43598,0.41272,0.43026,9072811.0
0.43044,0.45428,0.43044,0.43569,19930986.0
0.43584,0.466,0.43555,0.46252,12651761.0
0.46269,0.46556,0.44007,0.44738,11015573.0
0.44749,0.44936,0.43314,0.4359,8476258.0
0.43582,0.44382,0.43107,0.43981,7557801.0
0.43989,0.44263,0.43669,0.43795,5013286.0
0.43804,0.4423,0.43395,0.44195,7630354.0
0.44187,0.44842,0.43883,0.44242,5268167.0
0.44252,0.44873,0.44158,0.44629,3898100.0
0.4463,0.45542,0.44511,0.44966,10095865.0
0.45,0.45554,0.44619,0.45216,7176355.0
0.45224,0.45744,0.44698,0.44966,6984022.0
0.44981,0.45274,0.43555,0.43931,11856454.0
0.43931,0.44283,0.43317,0.43803,5888025.0
0.43805,0.44545,0.4365,0.44397,4767543.0
0.44427,0.44616,0.4355,0.43842,6315547.0
0.4383,0.44221,0.43109,0.43251,6480623.0
0.43249,0.43491,0.42492,0.43308,7963651.0
0.43277,0.4354,0.43157,0.43457,3235843.0
0.43477,0.43963,0.41105,0.43128,13751504.0
0.43129,0.43492,0.42206,0.42737,5446571.0
0.42736,0.43827,0.42266,0.4378,5396897.0
0.43774,0.44014,0.43381,0.43589,6301431.0
0.43586,0.43866,0.43332,0.43701,5113896.0
0.43703,0.43725,0.43258,0.43725,1789620.0
0.43727,0.43825,0.43383,0.4366,1233317.0
0.43636,0.43756,0.43407,0.43555,1692111.0
0.43563,0.43899,0.43519,0.43766,2239324.0
0.43764,0.43824,0.43493,0.4368,3390714.0
0.43692,0.44184,0.43357,0.43408,3455576.0
0.43404,0.43491,0.42628,0.42915,4494341.0
0.42896,0.42996,0.42353,0.42947,3016750.0
0.42949,0.43173,0.42524,0.42798,1802183.0
0.428,0.43076,0.42145,0.42245,2199277.0
0.42221,0.4306,0.42017,0.42677,4844614.0
0.42682,0.43401,0.42474,0.43344,4623461.0
0.43328,0.4372,0.43,0.43301,6535590.0
0.43322,0.43553,0.43177,0.43395,3672366.0
0.43394,0.44049,0.43323,0.43724,4706065.0
0.43727,0.44125,0.43596,0.43926,5444130.0
0.43929,0.44141,0.43789,0.43953,2583482.0
0.43948,0.44227,0.43739,0.43942,2965167.0
0.43936,0.44014,0.43474,0.43486,2096742.0
0.43483,0.43808,0.43356,0.43717,2718307.0
0.43704,0.43804,0.43272,0.43536,2234790.0
0.43543,0.44101,0.43384,0.43862,2030179.0
0.43872,0.44095,0.43525,0.43769,1323521.0
0.4376,0.43954,0.43622,0.43723,714090.0
0.43737,0.43737,0.43257,0.43423,1169378.0
0.43441,0.43627,0.43302,0.4347,1018232.0
0.43448,0.43546,0.43107,0.43251,2162313.0
0.43247,0.44431,0.43189,0.44292,2194826.0
0.44294,0.45444,0.43891,0.44853,9665171.0
0.44847,0.45041,0.44233,0.44438,3322802.0
0.44424,0.45076,0.44422,0.44971,2497225.0
0.44961,0.45379,0.44566,0.45083,3380316.0
0.45086,0.4534,0.44858,0.45069,3534299.0
0.45038,0.4513,0.44682,0.44825,4553046.0
0.44821,0.44946,0.44583,0.44648,1746937.0
0.44649,0.44958,0.441,0.44955,3291580.0
0.44956,0.45584,0.44837,0.45309,3645370.0
0.45324,0.46,0.45145,0.45776,9782455.0
0.45777,0.46059,0.45345,0.45785,5854763.0
0.45789,0.46695,0.45721,0.46012,7763278.0
0.46024,0.46529,0.45658,0.46524,6872751.0
