Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
10.584,10.93,10.565,10.818,54128.05
10.81,11.337,10.79,11.084,97099.73
11.089,11.129,10.766,10.85,55769.31
10.839,10.991,10.721,10.861,54972.12
10.877,10.988,10.675,10.715,30272.58
10.734,10.748,10.42,10.532,40526.11
10.528,10.633,10.298,10.336,24058.69
10.332,10.332,9.8,10.025,58576.8
10.008,10.442,10.002,10.376,59203.39
10.373,10.622,10.193,10.257,37808.61
10.282,10.64,10.213,10.44,27175.41
10.445,10.463,10.255,10.37,17423.73
10.373,10.513,10.331,10.481,17735.7
10.478,10.755,10.471,10.729,27219.06
10.732,10.865,10.64,10.695,31562.97
10.688,10.783,10.607,10.727,28314.67
10.722,10.857,10.709,10.795,24515.37
10.794,11.264,10.793,11.118,54194.25
11.115,11.186,10.826,10.964,42914.37
10.959,11.099,10.875,10.878,34674.08
10.888,10.966,10.712,10.773,23066.34
10.771,10.966,10.704,10.907,29610.73
10.913,11.148,10.814,10.998,60981.19
10.984,11.067,10.884,10.967,29138.92
10.971,11.239,10.971,10.99,39585.14
10.987,11.117,10.76,10.819,32551.54
10.815,10.927,10.574,10.707,80034.74
10.7,10.798,10.519,10.75,21441.17
10.753,10.875,10.187,10.545,62236.44
10.525,10.628,10.323,10.38,29719.46
10.38,10.605,10.252,10.555,38239.56
10.556,10.754,10.501,10.679,30414.09
10.685,10.688,10.517,10.572,22832.48
10.579,10.617,10.436,10.597,15509.72
10.592,10.739,10.592,10.703,15483.08
10.701,10.758,10.638,10.65,17517.41
10.653,10.718,10.58,10.633,13899.61
10.627,10.633,10.481,10.517,19673.58
10.524,10.623,10.432,10.44,15361.03
10.433,10.449,10.211,10.296,40779.12
10.295,10.311,10.101,10.272,44263.3
10.258,10.32,10.186,10.246,27216.47
10.239,10.357,10.024,10.038,37842.43
10.044,10.342,10.03,10.246,20934.76
10.251,10.538,10.184,10.532,29539.61
10.534,10.673,10.434,10.56,48333.76
10.564,10.624,10.446,10.449,24777.88
10.46,10.595,10.443,10.491,20349.42
10.491,10.623,10.46,10.584,28624.48
10.586,10.787,10.578,10.739,31760.39
10.738,10.79,10.614,10.696,20987.54
10.69,10.743,10.607,10.613,25110.22
10.604,10.798,10.604,10.766,13432.31
10.763,10.893,10.65,10.69,32968.04
10.689,10.733,10.538,10.614,15225.27
10.604,10.705,10.568,10.576,8691.35
10.571,10.664,10.532,10.595,18683.95
10.595,10.622,10.474,10.52,13604.51
10.49,10.641,10.466,10.608,15862.51
10.604,10.625,10.502,10.519,10195.22
10.513,10.76,10.512,10.658,22537.51
10.658,10.658,10.425,10.515,18583.55
10.514,10.592,10.438,10.456,18476.32
10.441,10.507,10.408,10.43,18322.3
10.433,10.47,10.319,10.396,13518.77
10.389,10.538,10.367,10.454,14281.75
10.454,10.591,10.448,10.573,13287.22
10.568,10.649,10.516,10.624,26982.2
10.633,10.791,10.569,10.722,44392.09
10.72,10.846,10.676,10.766,35595.47
10.77,10.879,10.631,10.807,37362.56
10.815,10.89,10.52,10.567,41253.65
10.557,10.838,10.557,10.838,35157.01
10.834,10.938,10.674,10.685,29246.74
10.697,10.793,10.677,10.713,12148.16
10.717,10.773,10.615,10.65,10651.65
10.656,10.663,10.553,10.553,9683.24
10.553,10.712,10.553,10.604,10734.5
10.6,10.788,10.55,10.727,9555.73
10.744,10.815,10.659,10.679,11345.42
10.678,10.723,10.641,10.641,11569.94
10.641,10.683,10.585,10.594,4547.56
10.581,10.628,10.459,10.459,9621.9
10.454,10.474,10.375,10.423,8661.36
10.423,10.481,10.359,10.481,9022.08
10.477,10.566,10.477,10.482,9047.04
10.472,10.486,10.265,10.265,20340.57
10.266,10.37,10.204,10.252,12487.15
10.25,10.428,10.25,10.422,17467.18
10.42,10.505,10.386,10.471,19214.94
10.463,10.468,10.327,10.454,17700.81
10.435,10.557,10.421,10.552,36325.39
10.549,10.551,10.391,10.391,10387.14
10.4,10.422,10.289,10.349,34561.04
10.349,10.417,10.264,10.288,17491.21
10.29,10.367,10.231,10.357,18280.78
10.36,10.375,10.265,10.295,29686.2
10.281,10.33,10.247,10.307,8398.58
10.319,10.33,10.253,10.282,10058.55
10.279,10.355,10.259,10.341,7970.89
10.342,10.426,10.312,10.425,38498.18
10.42,10.438,10.335,10.402,14175.29
10.403,10.404,10.151,10.201,79626.75
10.219,10.305,10.17,10.194,4389.94
10.166,10.253,10.082,10.16,20280.55
10.15,10.22,9.952,10.056,12828.36
10.051,10.12,9.933,10.111,10155.11
10.124,10.156,10.085,10.116,4450.04
10.124,10.124,9.904,9.941,28748.63
9.941,9.941,9.709,9.887,46441.82
9.876,9.876,9.513,9.56,54697.82
9.544,9.68,9.411,9.505,44791.45
9.514,9.672,9.504,9.669,21416.33
9.662,9.662,9.403,9.455,23489.65
9.448,9.588,9.363,9.585,24629.32
9.581,9.746,9.512,9.664,26533.11
9.669,9.84,9.589,9.824,15433.93
9.82,9.835,9.432,9.49,29704.17
9.491,9.644,9.454,9.551,33344.55
9.551,9.662,9.489,9.49,12815.85
9.493,9.609,9.491,9.56,8977.92
9.548,9.575,9.477,9.483,12999.27
9.495,9.513,8.572,8.782,164529.43
8.766,8.83,7.475,8.403,314840.61
8.395,8.513,7.611,8.505,211105.84
8.501,8.601,8.291,8.491,74515.66
8.471,8.718,8.314,8.582,72312.4
8.606,8.656,8.422,8.589,20068.05
8.589,8.594,8.261,8.262,14374.27
8.273,8.35,7.951,8.314,66344.95
8.308,8.435,8.111,8.43,35462.87
8.426,8.591,8.383,8.565,25412.89
8.565,8.663,8.496,8.617,24211.26
8.62,8.62,8.488,8.582,19364.46
8.575,8.619,8.461,8.591,15127.01
8.597,8.686,8.501,8.552,33213.99
8.554,8.704,8.554,8.658,17060.0
8.663,8.696,8.577,8.651,14067.83
8.649,8.659,8.224,8.271,31636.36
8.262,8.47,8.262,8.376,14454.6
8.4,8.537,8.332,8.356,26509.17
8.386,8.421,7.868,7.885,78720.83
7.885,8.102,7.732,8.073,121262.7
8.072,8.124,7.615,7.615,63078.35
7.625,7.955,7.59,7.882,40060.75
7.885,8.126,7.874,8.11,31015.23
8.108,8.288,8.078,8.267,39159.23
8.276,8.473,8.259,8.385,44860.63
8.384,8.458,8.343,8.384,26753.2
8.386,8.448,8.345,8.399,14548.95
8.395,8.424,8.171,8.274,18295.6
8.278,8.279,8.046,8.073,16824.36
8.075,8.391,8.043,8.342,18034.83
8.335,8.422,8.321,8.373,8279.03
8.378,8.428,8.341,8.409,5710.17
8.418,8.447,8.349,8.385,6207.4
8.366,8.395,8.319,8.343,12240.94
8.348,8.407,8.266,8.266,7631.65
8.277,8.572,8.277,8.557,18354.0
8.558,8.559,8.45,8.54,18039.84
8.539,8.582,8.498,8.582,9651.39
8.569,8.658,8.54,8.616,18684.35
8.619,8.938,8.619,8.923,83118.18
