Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
4.02,4.113,3.999,4.094,2285.74
4.112,4.167,4.112,4.132,2179.3
4.113,4.133,3.909,3.946,2356.8
3.947,3.955,3.914,3.914,3781.86
3.945,3.959,3.869,3.869,1613.02
3.87,3.87,3.824,3.842,2171.28
3.834,3.873,3.785,3.809,4182.08
3.77,3.77,3.689,3.713,318.81
3.714,3.876,3.709,3.87,4030.62
3.874,3.874,3.753,3.753,1136.83
3.801,3.929,3.801,3.872,8931.81
3.867,3.867,3.775,3.835,447.15
3.805,3.826,3.771,3.823,2852.83
3.822,3.841,3.812,3.841,694.72
3.82,3.901,3.82,3.901,3129.85
3.868,3.899,3.857,3.868,3091.05
3.868,3.868,3.848,3.848,196.29
3.851,3.891,3.793,3.85,1176.71
3.866,3.918,3.866,3.896,796.81
3.887,3.895,3.848,3.874,914.81
3.87,3.897,3.813,3.87,3446.77
3.847,3.904,3.847,3.904,2707.35
3.908,3.975,3.896,3.945,5915.13
3.944,3.996,3.903,3.967,31632.46
3.939,3.939,3.9,3.9,80.58
3.901,3.924,3.832,3.845,2285.6
3.803,3.891,3.786,3.874,6737.62
3.857,3.927,3.857,3.895,1990.04
3.895,3.904,3.58,3.798,5429.27
3.827,3.927,3.77,3.842,3368.93
3.815,4.032,3.815,4.032,2958.6
4.037,4.155,3.999,4.115,10756.92
4.117,4.193,4.079,4.079,2852.93
4.03,4.094,4.009,4.092,2194.13
4.095,4.148,4.049,4.106,3024.93
4.071,4.08,4.065,4.065,4551.68
4.113,4.25,4.113,4.208,49318.64
4.208,4.208,4.104,4.131,5382.54
4.156,4.165,4.111,4.123,1649.93
4.1,4.1,4.018,4.086,1014.9
4.088,4.096,4.022,4.054,4767.27
4.075,4.113,4.047,4.108,5046.44
4.111,4.15,4.058,4.06,1853.17
3.98,4.25,3.98,4.233,3855.47
4.197,4.362,4.156,4.332,7176.34
4.325,4.865,4.301,4.78,27442.73
4.773,4.841,4.71,4.788,33623.26
4.76,4.982,4.713,4.916,21741.89
4.933,5.078,4.893,5.033,23295.66
5.033,5.033,4.904,4.919,16234.84
4.9,4.956,4.862,4.862,3035.23
4.876,5.064,4.866,5.005,10417.49
4.972,5.002,4.679,4.683,15830.17
4.721,4.785,4.702,4.785,5137.17
4.755,4.852,4.739,4.789,1890.4
4.787,4.799,4.702,4.773,3274.11
4.79,4.847,4.79,4.823,469.48
4.848,4.89,4.805,4.831,5120.57
4.825,4.844,4.774,4.843,7859.55
4.844,5.041,4.844,4.876,12111.64
4.862,4.862,4.749,4.749,3801.9
4.77,4.844,4.725,4.75,3471.37
4.742,4.751,4.678,4.705,8179.16
4.68,4.706,4.579,4.579,9985.4
4.579,4.586,4.369,4.445,22640.94
4.426,4.596,4.426,4.554,9929.99
4.541,4.58,4.532,4.58,5794.74
4.584,4.598,4.567,4.572,8423.02
4.567,4.567,4.513,4.543,255.24
4.54,4.556,4.5,4.522,14557.69
4.512,4.512,4.463,4.481,2980.28
4.488,4.488,4.458,4.478,964.84
4.472,4.549,4.472,4.549,3225.48
4.549,4.555,4.472,4.472,1577.39
