Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.9218,0.9417,0.9112,0.9379,66409.25
0.9364,0.9506,0.9327,0.9417,81280.04
0.9425,0.9445,0.9173,0.9258,110175.51
0.9276,0.9406,0.9147,0.9182,54921.34
0.9185,0.9304,0.9094,0.9131,55499.84
0.9127,0.9128,0.8986,0.9083,34602.84
0.908,0.908,0.8787,0.8807,91398.7
0.879,0.884,0.8557,0.884,216838.2
0.8822,0.936,0.8762,0.9071,116282.51
0.9082,0.9213,0.8937,0.8982,78102.78
0.8976,0.9183,0.8963,0.9156,89538.03
0.9151,0.9248,0.9069,0.9219,103522.09
0.9216,0.9564,0.9105,0.9536,200228.57
0.9541,0.9664,0.9462,0.9512,214145.31
0.9498,0.9633,0.9395,0.9632,333291.87
0.9635,0.9731,0.9553,0.9591,202837.97
0.9595,0.9885,0.953,0.9728,193903.68
0.9731,0.9851,0.9658,0.9676,129232.52
0.9684,0.9737,0.9386,0.9402,245923.43
0.9385,0.9465,0.86,0.932,326714.77
0.931,0.933,0.9206,0.9271,236052.31
0.9246,0.9274,0.9122,0.9233,134397.0
0.9241,0.9432,0.9168,0.939,122485.66
0.9389,0.9655,0.9387,0.9545,249262.72
0.9552,0.9588,0.9457,0.9549,87516.3
0.9553,0.9558,0.9312,0.9328,187621.6
0.9307,0.9382,0.9121,0.9272,182165.69
0.9278,0.9329,0.9217,0.9293,70329.53
0.9283,0.9885,0.8923,0.9862,294102.33
0.9849,0.9995,0.96,0.9633,280338.65
0.9625,1.0291,0.9538,1.0126,233988.55
1.0081,1.03,0.9823,0.9825,246553.92
0.9848,1.0248,0.9848,1.0233,206989.68
1.0202,1.052,1.0151,1.0466,147914.1
1.0469,1.0559,1.0301,1.0415,225285.11
1.0436,1.0436,1.0088,1.0103,164979.48
1.011,1.0347,1.0093,1.0311,190454.07
1.0322,1.044,1.028,1.0352,77473.8
1.0361,1.0443,1.0194,1.0205,86377.54
1.0206,1.0208,0.999,1.0054,172746.14
1.007,1.0152,0.9976,1.0141,102170.5
1.0168,1.0362,1.0168,1.0271,235573.71
1.0277,1.0477,1.0141,1.0174,120883.39
1.0174,1.0442,1.0082,1.0187,90622.2
1.0187,1.0409,1.002,1.0371,88124.17
1.0373,1.0697,1.0171,1.0237,283107.89
1.0248,1.063,1.022,1.0421,101604.87
1.0422,1.0652,1.0324,1.0588,111385.67
1.0611,1.0772,1.0531,1.0531,222788.28
1.053,1.0596,1.0395,1.0413,203676.49
1.0431,1.0465,1.0276,1.0316,117818.18
1.0309,1.0599,1.0308,1.0599,84080.59
1.0592,1.0626,1.01,1.0469,148162.06
1.0537,1.065,1.0449,1.0489,66211.23
1.049,1.0815,1.049,1.0652,113518.93
1.0693,1.0706,1.0407,1.0513,51131.92
1.0542,1.0777,1.0506,1.0762,75527.66
1.0759,1.0996,1.0733,1.0946,295532.14
1.0937,1.1407,1.0879,1.1388,186215.96
1.1393,1.148,1.1126,1.122,102176.31
1.1202,1.1361,1.12,1.1212,92039.45
1.1211,1.1298,1.1079,1.1192,93516.75
1.1195,1.1278,1.0868,1.093,139208.18
