Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
42.93,44.26,42.67,44.03,1549.02
43.96,44.68,43.84,43.95,1362.86
44.05,44.78,43.82,44.12,1159.61
44.29,44.48,42.75,42.75,1404.39
42.75,43.66,42.66,42.88,1373.42
42.62,42.88,41.92,42.77,1038.79
42.64,42.64,41.32,41.51,965.82
41.51,41.62,40.16,41.08,1298.78
41.05,42.34,40.91,41.81,1224.4
42.09,42.59,40.9,40.94,579.53
40.85,41.94,40.82,41.51,1058.13
41.67,41.69,41.03,41.44,1464.71
41.26,41.47,40.83,41.28,808.52
41.61,41.86,41.54,41.83,1981.35
41.64,42.7,41.6,42.28,1088.94
42.67,42.67,42.11,42.48,763.56
42.34,43.19,42.22,42.29,1385.84
42.55,43.74,42.27,42.96,2276.92
42.79,43.04,42.38,42.49,445.5
42.41,44.06,42.31,42.63,1425.23
42.51,42.67,41.79,42.14,3937.41
42.09,42.12,41.29,41.49,6279.3
41.58,41.85,41.25,41.79,2847.76
41.76,42.35,41.63,42.33,1869.44
42.33,42.41,41.77,41.79,3108.55
41.86,42.0,41.05,41.26,1288.65
41.24,41.56,40.61,41.5,1610.29
41.45,41.77,41.45,41.75,1371.32
41.74,41.79,39.47,41.12,4248.32
41.07,41.42,40.53,41.15,1844.27
41.15,42.33,40.68,41.71,2608.14
41.67,41.84,41.25,41.49,4125.55
41.47,41.48,41.03,41.37,4545.26
41.42,41.91,40.98,41.79,3994.38
41.7,41.82,41.41,41.68,2738.0
41.65,41.71,41.41,41.59,1955.47
41.59,42.32,41.45,41.55,2705.1
41.54,41.6,41.26,41.46,2614.95
41.46,41.72,41.19,41.19,1210.59
41.12,41.12,40.14,40.45,1306.93
40.49,40.49,39.69,40.16,2006.72
40.17,40.32,39.4,39.77,9394.46
39.73,40.14,38.87,38.93,2749.84
38.97,40.29,38.84,39.85,3438.45
39.89,42.62,39.6,42.42,5339.33
42.61,43.64,41.76,41.86,18658.07
41.89,42.49,41.54,41.89,6464.28
41.93,42.52,41.93,42.38,2520.05
42.31,43.12,42.28,42.79,2319.61
42.8,43.11,42.62,42.88,2202.11
42.78,43.25,42.73,42.82,3628.77
42.83,43.09,42.63,42.63,3207.67
42.65,43.04,42.12,42.15,3170.74
42.19,42.55,42.05,42.28,1473.82
42.39,43.35,41.81,42.16,1455.01
42.23,42.6,41.89,42.07,1012.44
42.03,42.51,41.89,42.29,1765.09
42.31,42.31,41.83,41.91,1027.69
41.89,42.11,41.68,42.07,4878.35
42.08,42.29,41.64,41.64,1414.31
41.63,41.74,41.55,41.63,1607.32
41.63,41.86,41.13,41.61,2077.92
41.55,41.64,41.07,41.45,2131.65
41.41,41.5,41.2,41.26,1099.08
41.24,41.28,40.88,41.01,1445.66
40.99,41.58,40.96,41.4,1091.72
41.42,41.64,41.25,41.35,1291.75
41.36,41.51,41.29,41.4,1183.92
41.46,41.48,41.11,41.33,1276.36
41.32,41.39,41.02,41.39,2199.46
41.39,41.5,41.01,41.09,1384.09
41.11,41.11,40.82,40.98,3679.95
41.12,41.61,41.06,41.49,518.14
41.73,41.88,41.39,41.56,779.55
41.62,41.8,41.58,41.66,374.46
41.75,41.75,41.49,41.57,17.45
41.51,41.64,41.34,41.34,626.97
41.54,41.78,41.54,41.56,592.42
41.52,41.99,41.32,41.51,1280.16
41.5,41.62,41.12,41.19,754.97
41.18,41.36,41.1,41.22,420.99
41.22,41.43,41.13,41.13,284.26
41.2,41.23,40.71,40.72,547.74
40.65,40.74,40.4,40.53,1012.02
40.46,40.76,40.36,40.72,747.44
40.79,41.04,40.79,40.82,1698.62
40.83,40.83,40.17,40.17,1127.4
40.15,40.47,39.89,40.03,1054.83
40.05,40.47,40.05,40.35,1382.28
40.37,40.79,40.29,40.67,387.73
40.56,41.06,40.39,40.99,434.25
40.99,41.25,40.88,41.21,2790.02
41.19,41.24,40.87,40.87,1154.95
40.97,41.55,40.47,41.41,1297.75
41.43,41.48,40.77,40.84,812.2
40.88,41.15,40.63,41.06,411.06
41.09,41.15,40.72,40.95,325.89
40.97,41.23,40.91,41.12,276.44
41.16,41.29,41.09,41.15,622.44
41.14,41.26,41.02,41.06,409.76
41.11,41.53,41.11,41.53,226.28
41.46,41.65,41.33,41.5,422.84
41.47,41.47,40.34,40.6,995.39
40.69,40.87,40.19,40.29,595.31
40.23,40.61,40.03,40.13,1144.21
40.11,40.33,39.44,39.92,1550.17
39.93,40.18,39.58,40.15,1060.46
40.12,40.24,39.92,39.95,893.86
39.92,39.92,39.22,39.25,270.68
39.16,39.3,38.72,39.17,599.73
39.07,39.09,37.84,38.13,5240.23
38.01,38.51,37.63,38.17,2161.12
38.04,38.62,38.0,38.6,1615.64
38.59,38.59,37.67,37.77,1398.23
37.82,38.21,37.35,38.19,820.55
38.19,39.36,37.97,39.1,1164.92
39.09,39.72,38.73,39.51,1383.72
39.57,39.59,38.18,38.38,3162.5
38.36,38.9,38.17,38.55,1257.37
38.58,38.82,38.24,38.24,734.04
38.23,38.68,38.23,38.47,827.71
38.34,38.42,38.05,38.08,594.48
38.1,38.24,35.51,35.97,4425.75
35.89,35.99,30.0,34.61,7819.33
34.49,34.56,31.46,34.34,4178.4
34.29,35.06,33.99,34.76,2210.82
34.63,36.38,33.84,36.0,2590.5
35.99,36.56,35.11,36.49,1177.85
36.47,36.62,34.76,34.76,1492.94
34.79,35.64,33.5,35.46,4549.41
35.52,35.8,34.41,35.8,3655.06
35.82,36.42,35.45,36.01,2638.76
36.07,37.62,35.81,37.02,4434.17
36.99,36.99,36.15,36.37,1572.81
36.35,36.69,35.9,36.6,873.22
36.6,37.06,36.18,36.5,1243.29
36.58,37.38,36.54,37.17,804.56
37.22,37.22,35.84,36.18,893.07
36.25,36.28,34.96,35.09,1074.27
35.1,35.75,35.08,35.39,1865.86
35.36,36.29,35.28,35.62,793.03
35.65,35.88,33.7,33.75,1952.12
33.73,34.86,33.26,34.78,2580.48
34.69,34.69,32.94,32.94,816.48
32.97,33.92,32.74,33.6,1279.04
33.56,34.84,33.56,34.84,989.31
34.81,35.32,34.71,35.31,423.39
35.22,35.5,34.9,35.12,638.28
35.13,35.36,34.98,35.14,146.69
35.15,35.76,35.08,35.08,750.74
35.12,36.01,34.11,34.52,2285.31
34.5,34.63,33.63,33.72,1011.06
33.71,35.42,33.57,35.26,272.83
35.26,35.72,35.03,35.06,1241.39
35.07,35.29,34.95,35.2,212.04
35.2,35.24,34.68,34.87,315.53
34.83,35.51,34.83,35.5,457.98
35.5,35.6,34.63,34.66,322.47
34.7,36.09,34.7,35.77,1087.9
35.78,35.84,35.43,35.65,813.91
