Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
2.782,2.811,2.761,2.799,19439.5
2.784,2.819,2.784,2.806,9572.5
2.81,2.848,2.746,2.756,21510.9
2.756,2.801,2.752,2.783,12718.5
2.792,2.794,2.732,2.732,10396.9
2.737,2.739,2.668,2.711,8278.5
2.706,2.706,2.654,2.654,11234.2
2.651,2.651,2.558,2.595,19976.9
2.59,2.701,2.59,2.654,7303.7
2.674,2.701,2.621,2.637,9199.7
2.65,2.768,2.65,2.724,7111.5
2.724,2.739,2.691,2.717,2510.6
2.717,2.739,2.674,2.723,16722.0
2.727,2.745,2.718,2.718,10674.9
2.71,2.793,2.71,2.751,9664.4
2.761,2.78,2.744,2.754,20540.5
2.761,2.764,2.703,2.703,22612.8
2.703,2.761,2.703,2.758,7101.8
2.762,2.781,2.757,2.76,12739.7
2.741,2.768,2.734,2.742,5881.2
2.741,2.815,2.713,2.758,8447.6
2.751,2.764,2.698,2.725,5551.2
2.726,2.796,2.717,2.786,8821.2
2.787,2.787,2.764,2.777,2563.7
2.77,2.778,2.731,2.731,8959.7
2.737,2.747,2.652,2.677,12600.4
2.659,2.705,2.645,2.683,3184.9
2.659,2.708,2.659,2.707,2042.4
2.71,2.72,2.572,2.664,7615.4
2.671,2.705,2.627,2.662,3568.9
2.667,2.786,2.663,2.768,13002.8
2.764,2.808,2.762,2.787,5246.3
2.761,2.806,2.751,2.806,10066.4
2.809,2.833,2.777,2.829,11951.6
2.811,2.818,2.79,2.809,809.2
2.8,2.8,2.767,2.767,1927.1
2.809,2.854,2.809,2.83,5495.1
2.822,2.826,2.79,2.8,3613.9
2.8,2.809,2.796,2.799,938.2
2.772,2.777,2.737,2.74,1491.8
2.741,2.744,2.703,2.731,6428.1
2.732,2.765,2.732,2.741,3971.0
2.742,2.772,2.666,2.666,8042.0
2.663,2.78,2.663,2.777,26461.9
2.77,2.856,2.741,2.854,16582.7
2.857,3.091,2.842,3.007,67491.7
3.019,3.027,2.947,2.963,76934.7
2.979,3.05,2.977,3.018,8583.5
3.02,3.165,3.012,3.137,23613.5
3.125,3.14,3.087,3.107,29513.8
3.096,3.096,3.052,3.055,14463.9
3.05,3.054,3.017,3.017,7686.8
3.007,3.025,2.987,2.987,24311.8
2.992,2.996,2.968,2.969,5548.8
2.972,2.99,2.94,2.954,2645.9
2.952,2.967,2.952,2.964,2039.3
2.982,3.029,2.981,3.015,3357.6
3.02,3.054,3.008,3.054,679.9
3.039,3.069,3.039,3.048,2223.0
3.076,3.08,3.034,3.034,2543.3
3.037,3.037,3.002,3.003,1314.1
2.999,3.06,2.99,3.014,3220.9
3.015,3.015,2.966,2.982,1790.4
2.982,2.982,2.945,2.962,3747.9
2.964,2.968,2.942,2.968,1928.6
2.966,3.002,2.946,2.979,1653.1
2.974,3.0,2.964,2.981,7704.4
2.979,2.996,2.971,2.992,10798.6
2.984,2.984,2.964,2.975,4439.5
2.974,2.975,2.955,2.97,6558.7
2.97,2.97,2.941,2.95,7881.2
2.95,2.954,2.913,2.914,13671.4
2.917,2.97,2.917,2.966,13787.9
2.975,3.0,2.946,2.947,4702.8
2.949,2.972,2.941,2.968,1447.2
2.964,2.971,2.957,2.963,1655.0
2.96,2.965,2.941,2.947,4682.6
2.953,2.988,2.946,2.963,8121.3
2.98,3.0,2.968,2.973,11780.2
2.975,2.975,2.922,2.927,16550.3
2.924,2.932,2.917,2.928,3348.8
2.945,2.956,2.923,2.923,812.2
2.911,2.929,2.9,2.9,973.6
2.901,2.904,2.888,2.904,6567.4
2.903,2.921,2.892,2.921,3730.8
2.921,2.937,2.918,2.924,3157.6
2.915,2.916,2.865,2.865,7430.4
2.865,2.916,2.845,2.845,8990.3
2.869,2.897,2.869,2.879,638.5
2.878,2.914,2.878,2.908,3513.0
2.884,2.918,2.884,2.906,1987.2
2.908,2.93,2.908,2.93,352.1
2.917,2.927,2.906,2.906,2184.0
2.91,2.934,2.893,2.93,1065.3
2.937,2.946,2.9,2.9,3943.7
2.9,2.931,2.899,2.931,3971.3
2.934,2.934,2.9,2.908,3747.5
2.924,2.929,2.906,2.915,6135.6
2.908,2.921,2.907,2.908,2193.8
2.909,2.934,2.906,2.933,2520.6
2.933,2.948,2.931,2.943,2115.5
2.957,2.966,2.941,2.964,8043.2
2.959,2.96,2.918,2.928,2592.6
2.937,2.937,2.873,2.88,12908.7
2.876,2.898,2.855,2.855,2587.1
2.855,2.871,2.8,2.83,10611.0
2.819,2.851,2.8,2.847,6663.4
2.869,2.873,2.86,2.86,4932.5
2.865,2.867,2.803,2.827,7676.1
2.809,2.828,2.756,2.826,11052.5
2.797,2.813,2.728,2.741,8021.1
2.744,2.779,2.701,2.756,16507.7
2.737,2.776,2.737,2.776,8236.7
2.76,2.76,2.693,2.706,8876.8
2.687,2.724,2.677,2.724,22397.4
2.724,2.822,2.724,2.801,17173.0
2.779,2.855,2.764,2.842,13273.6
2.84,2.84,2.732,2.736,7794.5
2.764,2.822,2.759,2.795,17619.9
2.794,2.801,2.754,2.754,6661.0
2.75,2.771,2.747,2.751,1256.0
2.728,2.756,2.723,2.723,2339.3
2.711,2.724,2.479,2.529,34938.4
2.532,2.9,1.5,2.389,62145.8
2.374,2.398,2.089,2.392,37983.8
2.367,2.43,2.355,2.401,18892.9
2.37,2.509,2.351,2.462,36544.1
2.472,2.478,2.404,2.443,13686.9
2.441,2.472,2.36,2.361,20579.2
2.333,2.347,2.235,2.347,9299.3
2.335,2.426,2.298,2.426,12000.8
2.413,2.444,2.394,2.444,12400.5
2.446,2.529,2.439,2.509,35535.9
2.497,2.499,2.464,2.495,8916.2
2.491,2.491,2.462,2.476,6580.3
2.518,2.536,2.494,2.506,6298.2
2.512,2.58,2.507,2.565,8712.5
2.541,2.55,2.496,2.533,9741.8
2.524,2.525,2.385,2.391,17031.8
2.413,2.472,2.413,2.421,30316.2
2.43,2.461,1.6,2.395,20898.4
2.402,2.406,2.245,2.259,10022.1
2.242,2.353,2.222,2.34,14070.7
2.324,2.324,2.242,2.243,4878.8
2.224,2.281,2.197,2.252,54788.2
2.276,2.335,2.275,2.326,11202.5
2.325,2.378,2.325,2.355,17651.6
2.363,2.395,2.363,2.38,19196.0
2.378,2.417,2.372,2.396,8032.6
2.396,2.417,2.378,2.388,6703.1
2.404,2.408,2.33,2.366,18563.2
2.363,2.363,2.293,2.299,26081.1
2.298,2.419,2.294,2.411,5217.4
2.409,2.434,2.405,2.405,15180.0
2.415,2.429,2.394,2.401,2148.0
2.39,2.392,2.376,2.392,3739.8
2.38,2.429,2.38,2.422,7764.7
2.424,2.424,2.39,2.392,4502.6
2.401,2.481,2.401,2.461,16351.5
2.459,2.468,2.434,2.457,2983.5
2.461,2.466,2.441,2.455,4721.9
2.451,2.489,2.451,2.47,17103.5
2.485,2.536,2.48,2.515,11863.5
2.52,2.576,2.488,2.561,25959.0
2.557,2.583,2.526,2.567,19867.8
2.572,2.643,2.572,2.611,51692.8
2.63,2.84,2.612,2.619,35381.9
2.621,2.633,2.572,2.573,3287.5
2.568,2.602,2.567,2.587,9531.3
2.588,2.607,2.586,2.599,24726.1
2.606,2.612,2.593,2.597,3966.5
2.602,2.604,2.588,2.597,12432.2
2.598,2.648,2.598,2.644,3073.8
2.641,2.644,2.612,2.62,2271.5
2.618,2.646,2.602,2.614,3624.1
2.62,2.651,2.62,2.627,10178.0
2.654,2.743,2.645,2.743,8545.0
2.728,2.818,2.724,2.772,15292.4
