Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.9984,0.9992,0.9982,0.9992,915466.0
0.999,1.0,0.999,0.9997,1412500.0
0.9999,1.0056,0.9993,1.0006,3579504.0
1.0007,1.001,0.9994,0.9998,1710561.0
0.9998,0.9999,0.9992,0.9995,436878.0
0.9995,0.9999,0.9988,0.9994,970112.0
0.9994,1.0,0.9991,0.9999,498695.0
0.9999,1.0,0.9994,0.9994,1649103.0
0.9996,0.9997,0.9988,0.999,3951241.0
0.999,1.0057,0.9986,0.9996,5363461.0
0.9994,1.0025,0.999,0.9998,3148326.0
0.9997,1.0002,0.9991,0.9996,1414798.0
0.9995,0.9997,0.9987,0.9987,3067609.0
0.9989,0.9995,0.9986,0.9992,1244053.0
0.9992,1.0,0.999,0.9997,1595654.0
0.9997,0.9998,0.9991,0.9994,854571.0
0.9994,0.9994,0.9988,0.9989,525817.0
0.9989,0.999,0.9987,0.9987,645311.0
0.9987,0.9994,0.993,0.9993,3293726.0
0.9992,0.9994,0.9987,0.999,1740781.0
0.999,0.999,0.9985,0.9988,1477620.0
0.9988,0.9994,0.9987,0.9987,1626413.0
0.9987,0.9993,0.9987,0.9989,1591700.0
0.9989,0.9991,0.9986,0.999,670504.0
0.9988,0.999,0.9984,0.9986,1395120.0
0.9986,0.9988,0.9977,0.998,1377671.0
0.998,0.9985,0.994,0.9985,2346326.0
0.9984,0.9989,0.9983,0.9987,825966.0
0.9988,0.9998,0.9935,0.9992,17683275.0
0.9994,0.9994,0.9985,0.9987,5123173.0
0.9987,0.999,0.9977,0.9984,5701632.0
0.9983,0.9985,0.9981,0.9981,1197017.0
0.9981,0.9987,0.998,0.9985,3208401.0
0.9986,0.9987,0.9982,0.9983,2008693.0
0.9982,0.9984,0.9981,0.9982,438425.0
0.9982,0.9987,0.9981,0.9986,437025.0
0.9986,0.9988,0.9984,0.9988,905802.0
0.9988,0.9988,0.9985,0.9986,390369.0
0.9987,0.999,0.9985,0.9989,601616.0
0.9989,0.9989,0.9987,0.9987,588222.0
0.9988,0.9989,0.9981,0.9988,1482594.0
0.9987,0.9991,0.9979,0.9988,2052089.0
0.9987,0.9989,0.9986,0.9986,858710.0
0.9986,0.9989,0.9984,0.9989,834368.0
0.9987,0.9993,0.9987,0.999,1944766.0
0.9991,0.9993,0.9958,0.9991,3832123.0
0.9991,0.9994,0.999,0.9994,1429490.0
0.9992,0.9998,0.9988,0.9996,3429346.0
0.9994,1.0,0.9992,0.9999,1544832.0
0.9999,1.0001,0.9995,0.9999,1987860.0
1.0,1.0002,0.9991,0.9999,1678296.0
0.9997,1.0002,0.9996,0.9998,1005974.0
0.9998,0.9998,0.9995,0.9996,456199.0
0.9996,0.9998,0.9992,0.9995,1246916.0
0.9994,0.9999,0.9985,0.9997,2776879.0
0.9997,0.9999,0.9994,0.9994,383634.0
0.9994,0.9995,0.9992,0.9995,340413.0
0.9994,1.0,0.9992,0.9993,686712.0
0.9992,0.9994,0.9991,0.9992,554310.0
0.9992,0.9994,0.9991,0.9992,254043.0
0.9992,0.9994,0.9991,0.9993,283530.0
0.9993,0.9994,0.9991,0.9993,473889.0
0.9992,0.9993,0.999,0.9993,834626.0
0.9991,0.9994,0.9988,0.9991,964127.0
0.9991,0.9992,0.9988,0.9988,354860.0
0.9988,0.9991,0.9988,0.999,546566.0
0.999,0.9992,0.9989,0.9991,837760.0
0.9991,0.9992,0.9989,0.9991,799924.0
0.9991,0.9991,0.9988,0.999,355386.0
0.9989,0.9995,0.9989,0.9995,472289.0
0.9995,0.9995,0.999,0.9993,445811.0
0.9993,0.9995,0.9991,0.9993,492992.0
0.9993,0.9997,0.9993,0.9997,653832.0
0.9997,0.9998,0.9994,0.9998,753521.0
0.9996,0.9998,0.9995,0.9997,244929.0
0.9996,0.9998,0.9991,0.9993,425094.0
0.9992,0.9994,0.9991,0.9992,355892.0
0.9992,0.9994,0.999,0.9991,284691.0
0.9991,0.9994,0.9984,0.9993,1050229.0
0.9993,0.9994,0.9991,0.9991,252690.0
0.9991,0.9994,0.9991,0.9993,131950.0
0.9993,0.9993,0.999,0.9992,207232.0
0.9992,0.9992,0.9988,0.999,340704.0
0.9989,0.999,0.9986,0.9988,590093.0
0.9988,0.9989,0.9986,0.9986,166560.0
0.9986,0.999,0.9986,0.999,175754.0
0.999,0.999,0.9985,0.9985,1116153.0
0.9987,0.9987,0.998,0.9985,2491086.0
0.9984,0.9987,0.9982,0.9985,362647.0
0.9986,0.9988,0.9982,0.9988,628597.0
0.9988,0.9988,0.9984,0.9987,2221901.0
0.9987,0.9992,0.9986,0.999,1047208.0
0.999,0.9991,0.9987,0.9988,406802.0
0.9988,0.9989,0.9985,0.9987,495453.0
0.9987,0.9988,0.9984,0.9986,349619.0
0.9986,0.9988,0.9985,0.9987,215375.0
0.9987,0.999,0.9986,0.9987,438261.0
0.9986,0.9988,0.9986,0.9988,268457.0
0.9986,0.9988,0.9986,0.9988,460608.0
0.9988,0.9989,0.9985,0.9989,1537921.0
0.9987,0.999,0.9986,0.9989,629364.0
0.999,0.9991,0.9988,0.9988,377436.0
0.999,0.9991,0.9985,0.9986,1060890.0
0.9986,0.9989,0.9984,0.9989,467280.0
0.9988,0.9989,0.9984,0.9985,338530.0
0.9985,0.9986,0.9983,0.9984,387273.0
0.9984,0.9987,0.9982,0.9986,400166.0
0.9986,0.9987,0.9985,0.9986,227076.0
0.9986,0.9989,0.9984,0.9986,517707.0
0.9986,0.9987,0.9982,0.9987,922009.0
0.9986,0.9987,0.998,0.9982,1061198.0
0.9983,0.9983,0.998,0.9982,773058.0
0.9981,0.9986,0.9979,0.9984,1161341.0
0.9986,0.9986,0.9979,0.9981,700648.0
0.9982,0.9983,0.9979,0.9981,1134749.0
0.9981,0.9985,0.9979,0.9983,1126313.0
0.9985,0.9993,0.9983,0.9993,1312679.0
