Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
1.94,1.965,1.914,1.946,137195.1
1.944,1.989,1.923,1.945,256456.2
1.948,1.961,1.884,1.902,263049.7
1.906,1.925,1.889,1.912,115908.3
1.912,1.93,1.889,1.894,126585.4
1.895,1.898,1.84,1.865,175014.7
1.866,1.869,1.836,1.842,55812.3
1.838,1.84,1.781,1.796,213437.4
1.794,1.837,1.792,1.815,71788.8
1.817,1.892,1.817,1.874,360020.3
1.872,1.948,1.863,1.907,158786.0
1.909,1.919,1.872,1.89,157288.9
1.891,1.907,1.867,1.88,122294.6
1.88,1.944,1.877,1.938,188498.9
1.936,1.95,1.921,1.935,177532.8
1.935,1.955,1.924,1.927,171666.3
1.928,1.939,1.91,1.911,160945.6
1.91,1.927,1.904,1.924,88419.3
1.921,1.943,1.911,1.926,86883.9
1.926,1.939,1.911,1.931,82602.9
1.932,1.951,1.916,1.939,91510.2
1.936,1.94,1.891,1.924,134056.6
1.924,2.04,1.92,2.028,475266.1
2.026,2.088,1.999,2.073,1026476.5
2.072,2.078,1.991,1.997,210467.4
1.998,2.015,1.915,1.969,312378.7
1.967,1.987,1.924,1.969,223034.6
1.969,2.004,1.962,1.985,202180.6
1.983,1.989,1.874,1.945,292588.6
1.948,1.986,1.907,1.955,245662.3
1.955,1.998,1.919,1.996,213331.8
1.997,2.104,1.993,2.067,552039.1
2.067,2.071,2.024,2.03,205762.1
2.03,2.103,2.011,2.079,130074.0
2.08,2.099,2.054,2.076,77471.8
2.076,2.118,2.07,2.092,122758.1
2.089,2.095,2.056,2.067,107627.8
2.072,2.076,2.044,2.075,185243.2
2.075,2.106,2.045,2.045,132484.6
2.048,2.052,2.01,2.025,201649.0
2.025,2.029,1.993,2.026,122243.0
2.025,2.039,1.998,2.016,125207.9
2.013,2.038,1.968,1.974,80591.1
1.973,2.109,1.97,2.078,289168.2
2.076,2.124,2.053,2.105,221138.7
2.105,2.117,2.067,2.079,244238.6
2.08,2.176,2.075,2.159,268245.8
2.16,2.196,2.16,2.171,144549.2
2.168,2.178,2.155,2.174,117867.0
2.172,2.197,2.169,2.177,121149.1
2.177,2.199,2.155,2.159,145678.9
2.161,2.165,2.14,2.144,92358.8
2.146,2.179,2.141,2.141,130514.3
2.141,2.171,2.123,2.137,94916.7
2.14,2.14,2.109,2.12,72182.2
2.119,2.123,2.101,2.112,38341.6
2.111,2.134,2.103,2.111,39020.0
2.11,2.136,2.108,2.128,77596.9
