Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
8.084,8.4,8.031,8.197,9488.44
8.185,8.314,8.115,8.173,9607.8
8.166,8.258,7.956,8.064,14033.7
8.049,8.216,7.969,8.211,5711.15
8.22,8.44,8.167,8.238,12066.47
8.223,8.232,7.976,8.094,7330.04
8.103,8.198,7.934,7.961,3755.54
7.968,7.968,7.641,7.709,57354.0
7.717,8.035,7.717,7.907,6756.61
7.899,8.057,7.826,7.868,4764.94
7.887,8.286,7.84,8.116,6456.22
8.102,8.134,7.921,7.994,1804.54
8.0,8.166,7.962,8.109,5303.38
8.107,8.219,8.086,8.114,2796.04
8.111,8.142,8.048,8.056,3945.41
8.058,8.073,7.97,7.977,6084.97
7.982,7.989,7.902,7.952,2556.03
7.956,8.051,7.911,7.995,2834.95
7.993,8.016,7.879,7.946,4694.86
7.929,8.0,7.899,7.924,5984.99
7.93,8.0,7.859,7.88,3138.61
7.882,8.007,7.825,7.991,4117.66
7.997,8.073,7.916,8.014,5042.02
8.02,8.094,7.991,8.021,3349.16
8.034,8.047,7.909,7.916,2690.65
7.913,7.935,7.789,7.831,9128.86
7.831,7.854,7.69,7.772,15056.43
7.773,7.956,7.713,7.943,13032.23
7.936,7.95,7.45,7.765,23083.04
7.727,7.819,7.615,7.724,8137.97
7.705,7.898,7.657,7.881,8786.9
7.871,7.999,7.851,7.923,4669.04
7.924,7.957,7.845,7.932,3439.55
7.917,7.925,7.839,7.919,1924.43
7.916,8.025,7.9,8.005,1959.87
7.99,8.008,7.941,7.956,2541.96
7.942,8.0,7.896,7.938,4481.93
7.943,7.963,7.886,7.93,6295.63
7.926,8.046,7.926,7.936,5992.99
7.928,7.93,7.74,7.84,15375.38
7.867,7.875,7.682,7.811,6679.78
7.807,7.848,7.75,7.797,1863.01
7.798,7.926,7.624,7.661,19069.5
7.654,7.859,7.59,7.791,12641.74
7.789,8.013,7.722,7.978,14475.82
7.982,8.16,7.916,8.012,17109.09
8.006,8.096,7.975,8.017,10541.47
8.01,8.103,8.006,8.025,7266.09
8.024,8.089,8.012,8.066,5467.64
8.064,8.278,8.05,8.268,8100.28
8.263,8.314,8.147,8.173,9274.42
8.166,8.232,8.099,8.1,3542.81
8.108,8.194,8.07,8.162,2183.62
8.156,8.197,8.047,8.101,2891.4
8.081,8.094,7.966,7.997,5548.67
8.003,8.034,7.965,7.978,2311.71
7.978,8.05,7.947,8.048,1614.97
8.053,8.072,7.921,8.037,1293.29
8.039,8.089,7.998,8.064,1569.56
8.058,8.093,7.995,8.005,1674.11
7.994,8.086,7.994,8.073,782.99
8.057,8.063,7.921,7.974,3829.79
7.973,8.005,7.9,7.911,2267.37
7.915,7.937,7.857,7.874,6908.19
7.863,7.892,7.823,7.874,2490.48
7.88,7.945,7.864,7.908,2559.31
7.906,7.961,7.898,7.95,663.51
7.946,7.994,7.94,7.987,2495.64
7.984,8.007,7.915,7.979,2013.98
7.973,7.994,7.931,7.957,2637.97
7.966,7.986,7.833,7.866,7092.01
7.866,7.871,7.711,7.758,7987.59
7.774,7.866,7.774,7.863,3215.12
7.872,7.895,7.801,7.801,643.37
7.801,7.865,7.8,7.85,1645.43
7.838,7.866,7.819,7.828,421.03
7.815,7.831,7.797,7.82,12085.98
7.816,7.873,7.816,7.841,1079.58
7.825,7.95,7.799,7.933,1487.06
7.927,7.956,7.846,7.85,1171.39
7.854,7.868,7.811,7.831,2125.65
7.845,7.921,7.844,7.844,1274.01
7.836,7.847,7.751,7.755,7440.25
7.744,7.764,7.665,7.716,3586.83
7.719,7.784,7.693,7.784,814.98
7.791,7.827,7.778,7.778,738.59
7.773,7.773,7.651,7.651,5398.6
7.647,7.727,7.585,7.624,3695.86
7.63,7.704,7.623,7.691,9363.51
7.688,7.763,7.678,7.734,4470.0
7.734,7.811,7.666,7.808,3752.79
7.809,7.862,7.797,7.845,5505.16
7.845,7.845,7.739,7.739,1159.33
7.742,7.785,7.686,7.759,7828.41
7.759,7.783,7.679,7.689,3411.64
7.7,7.764,7.666,7.757,4184.02
7.758,7.789,7.723,7.723,1684.32
7.723,7.774,7.692,7.763,2172.16
7.766,7.78,7.715,7.715,963.5
7.718,7.833,7.694,7.819,2805.59
7.818,7.864,7.787,7.861,2749.64
7.861,7.899,7.807,7.876,4745.28
7.854,7.87,7.709,7.735,2053.02
7.737,7.813,7.66,7.678,1218.39
7.665,7.726,7.557,7.607,8739.6
7.603,7.652,7.42,7.52,8228.54
7.506,7.578,7.447,7.561,4167.29
7.564,7.601,7.535,7.539,1659.67
7.541,7.541,7.355,7.38,5131.94
7.38,7.4,6.853,7.368,29934.69
7.365,7.365,7.099,7.133,16740.39
7.14,7.22,7.042,7.115,11913.83
7.109,7.191,7.108,7.191,6750.0
7.191,7.191,7.009,7.023,7518.66
7.02,7.113,6.967,7.107,8496.7
7.104,7.245,7.061,7.206,8271.46
7.208,7.301,7.143,7.297,4893.63
7.29,7.306,7.023,7.064,9082.06
7.058,7.137,7.035,7.076,4952.99
7.07,7.122,7.02,7.02,3725.99
7.011,7.095,7.011,7.048,2421.28
7.048,7.083,7.003,7.013,2686.78
7.013,7.15,6.301,6.482,47258.34
6.471,6.471,5.26,6.145,107411.36
