Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.28326,0.29494,0.28326,0.29257,2468783.0
0.29283,0.30451,0.29209,0.29895,1855393.0
0.29895,0.3013,0.29079,0.2943,2400798.0
0.29387,0.295,0.28732,0.29076,1415563.0
0.29177,0.29949,0.28958,0.29052,877935.0
0.29188,0.29214,0.28061,0.28757,1130138.0
0.28834,0.31053,0.28603,0.30502,2098578.0
0.30278,0.30791,0.29177,0.30605,1281523.0
0.30557,0.30797,0.29329,0.29921,284243.0
0.29747,0.30722,0.28802,0.28914,975380.0
0.28881,0.30394,0.28711,0.3004,565437.0
0.29919,0.30073,0.2925,0.29738,526420.0
0.29654,0.30298,0.293,0.29447,889759.0
0.29481,0.30132,0.29277,0.29678,647325.0
0.29717,0.31112,0.29657,0.30415,3469684.0
0.30393,0.30918,0.298,0.30181,1909938.0
0.30179,0.30553,0.2981,0.30312,1436264.0
0.30289,0.31076,0.30238,0.30822,1029552.0
0.30722,0.30722,0.2991,0.29939,557674.0
0.29951,0.30487,0.29874,0.30034,1047630.0
0.29951,0.30754,0.29242,0.2937,1624857.0
0.29378,0.30549,0.2923,0.30444,984337.0
0.30371,0.30444,0.29425,0.29634,1136772.0
0.29681,0.30167,0.2931,0.29655,1525680.0
0.29669,0.29684,0.28938,0.28967,1157148.0
0.28993,0.29011,0.28359,0.2851,1386884.0
0.2851,0.28825,0.28086,0.28439,1486042.0
0.284,0.28552,0.28229,0.28533,715894.0
0.28547,0.293,0.27833,0.28824,1399511.0
0.28714,0.2938,0.28257,0.29257,634562.0
0.29223,0.29365,0.28566,0.2886,406022.0
0.28865,0.29263,0.28639,0.28984,632359.0
0.29026,0.29123,0.28759,0.28882,224448.0
0.28867,0.2902,0.28492,0.2902,209612.0
0.28993,0.29302,0.28885,0.29145,390768.0
0.29097,0.29105,0.28678,0.2879,224843.0
0.2879,0.29454,0.28733,0.29415,716758.0
0.29365,0.29365,0.28692,0.28918,308190.0
0.28922,0.29201,0.28682,0.2872,263982.0
0.28701,0.28741,0.28055,0.28138,957303.0
0.282,0.29002,0.27642,0.28983,1350447.0
0.28899,0.29131,0.28556,0.28851,1077447.0
0.28837,0.28837,0.27815,0.27925,504626.0
0.27837,0.28809,0.27506,0.28721,1255393.0
0.28636,0.29272,0.28376,0.28707,701944.0
0.28707,0.29076,0.28097,0.28704,1767943.0
0.28715,0.29251,0.28665,0.28845,530175.0
0.28896,0.29736,0.28801,0.29335,726098.0
0.29335,0.29998,0.29296,0.29977,1172628.0
0.29978,0.33193,0.29925,0.32871,4178351.0
0.32901,0.32901,0.31602,0.32052,6258374.0
0.32054,0.3369,0.31673,0.33497,2233330.0
0.33557,0.379,0.33184,0.36693,6758340.0
0.36779,0.377,0.35304,0.367,6036539.0
