Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.00439,0.004466,0.00439,0.004425,3682446.0
0.00443,0.004505,0.00443,0.004461,671349.0
0.004483,0.004492,0.004457,0.004479,73541.0
0.004448,0.004469,0.004407,0.004469,27494.0
0.004469,0.004469,0.004421,0.004436,211974.0
0.004415,0.004415,0.00434,0.00437,210879.0
0.004326,0.004326,0.004326,0.004326,23476.0
0.004279,0.004279,0.004114,0.0042,450561.0
0.004238,0.004238,0.004238,0.004238,115463.0
0.004367,0.004367,0.004256,0.004256,123145.0
0.004256,0.004367,0.004256,0.004346,339999.0
0.004341,0.004341,0.00431,0.00431,2263011.0
0.004291,0.004291,0.004271,0.004271,5775.0
0.004326,0.004372,0.004326,0.004372,392943.0
0.004402,0.004402,0.004382,0.004382,234658.0
0.004347,0.004372,0.004327,0.004355,229764.0
0.00435,0.004359,0.00433,0.004359,121391.0
0.004353,0.00436,0.004353,0.00436,303339.0
0.0044,0.004434,0.004361,0.004391,44660.0
0.0044,0.004414,0.004373,0.004373,737449.0
0.004407,0.004407,0.004347,0.004388,158506.0
0.004413,0.004444,0.00433,0.004413,197328.0
0.004389,0.004416,0.004353,0.004416,313106.0
0.004416,0.004443,0.004416,0.004443,642183.0
0.004447,0.004447,0.004444,0.004447,132458.0
0.004366,0.004423,0.0043,0.0043,2186581.0
0.004334,0.004351,0.004251,0.004309,2665192.0
0.00435,0.004375,0.004332,0.004375,2557892.0
0.004386,0.004408,0.004199,0.004303,117498.0
0.004246,0.004296,0.004237,0.004284,2296303.0
0.004402,0.004435,0.004376,0.004434,834952.0
0.004436,0.004437,0.004436,0.004437,73778.0
0.004444,0.004483,0.004388,0.004479,159572.0
0.004442,0.004486,0.00444,0.004453,89658.0
0.004453,0.004456,0.004442,0.004452,478368.0
0.004442,0.004442,0.004376,0.004388,550957.0
0.004431,0.004446,0.004416,0.004434,220846.0
0.00442,0.004446,0.00442,0.004437,695593.0
0.004443,0.004482,0.00443,0.00443,1353358.0
0.004419,0.004419,0.004348,0.004358,631073.0
0.004323,0.004323,0.004262,0.004262,3246539.0
0.004327,0.004348,0.004307,0.004307,677569.0
0.004304,0.004309,0.004176,0.004176,829753.0
0.004164,0.004249,0.004084,0.004249,965385.0
0.004221,0.00423,0.004166,0.004204,652198.0
0.004239,0.004341,0.004224,0.004278,260883.0
0.004279,0.004289,0.004279,0.004289,72418.0
0.004309,0.004312,0.004309,0.004312,14891.0
0.004338,0.004353,0.004328,0.004339,103192.0
0.004331,0.004358,0.004324,0.004324,35423.0
0.004356,0.004356,0.004316,0.004336,374379.0
0.004336,0.004342,0.004296,0.004322,37317.0
0.004253,0.004303,0.004253,0.004303,301025.0
0.004302,0.004307,0.004264,0.004265,315399.0
0.004264,0.004279,0.004221,0.004259,370987.0
0.004227,0.004264,0.004227,0.004259,54715.0
0.004306,0.004306,0.0043,0.0043,3836723.0
0.004273,0.004273,0.004273,0.004273,16487.0
0.004258,0.004303,0.004258,0.004303,178862.0
0.004329,0.004334,0.004328,0.004334,129439.0
0.0043,0.004303,0.004291,0.004291,331481.0
0.004268,0.004295,0.004268,0.00427,91374.0
0.004301,0.004301,0.004259,0.004259,112360.0
0.004307,0.004353,0.004296,0.004316,577426.0
0.00437,0.004482,0.004364,0.00446,335145.0
0.00446,0.004532,0.00446,0.004478,7569620.0
0.004494,0.004551,0.004448,0.004448,965106.0
0.004409,0.004456,0.004409,0.004456,667860.0
0.004458,0.004621,0.00445,0.004621,831100.0
0.004634,0.004635,0.004494,0.004536,940599.0
0.004519,0.004537,0.004472,0.004472,2525613.0
0.004472,0.004472,0.00439,0.004412,496778.0
0.004419,0.004482,0.004419,0.004482,50549.0
0.004503,0.004503,0.004482,0.004482,31925.0
0.004463,0.004495,0.004454,0.004495,502857.0
0.00449,0.00449,0.004474,0.004474,5720.0
0.004453,0.004453,0.004453,0.004453,27925.0
0.004436,0.00446,0.00443,0.00443,61085.0
0.004435,0.004487,0.004435,0.004466,36502.0
0.004493,0.004494,0.004437,0.004456,290546.0
0.00445,0.00445,0.004445,0.004445,1177964.0
0.004443,0.004443,0.004443,0.004443,1902.0
0.004457,0.004485,0.004406,0.004406,848748.0
0.004401,0.004537,0.004377,0.00438,6054653.0
0.004382,0.004384,0.004362,0.004384,971629.0
0.004371,0.00439,0.004368,0.00439,209892.0
0.004383,0.004383,0.004282,0.004282,415683.0
0.004264,0.004327,0.004264,0.004287,200799.0
0.004287,0.00432,0.004287,0.004301,81678.0
0.0043,0.00433,0.0043,0.00433,66890.0
0.004337,0.004337,0.004286,0.004326,161205.0
0.004331,0.004349,0.004331,0.004349,7033.0
0.004335,0.004388,0.004327,0.00438,235793.0
0.004355,0.004467,0.004355,0.004467,697223.0
0.004486,0.00487,0.004486,0.004592,5143100.0
0.004542,0.004549,0.004482,0.004482,738572.0
0.004493,0.004531,0.004445,0.004531,184411.0
0.004495,0.004573,0.004476,0.004573,59486.0
0.004558,0.004569,0.004531,0.00455,240886.0
0.00455,0.00459,0.00455,0.004563,386902.0
0.004527,0.004566,0.004527,0.004561,226473.0
0.00456,0.004585,0.004544,0.00455,81027.0
