Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
32.6,32.84,32.44,32.76,2425.14
32.77,33.0,32.63,32.84,2325.03
32.72,33.04,31.86,32.21,6941.94
32.22,32.59,31.89,32.3,6435.18
32.29,32.46,31.99,32.08,2058.69
32.08,32.17,31.4,31.88,3457.61
31.89,31.99,31.4,31.45,3746.46
31.45,31.47,30.29,30.66,9032.31
30.64,31.5,30.63,31.09,5329.11
31.16,31.87,30.83,31.01,9645.57
31.0,32.19,30.85,32.08,4533.19
32.09,32.7,32.04,32.56,3183.0
32.59,32.94,32.32,32.77,2174.51
32.76,32.99,32.26,32.89,8362.14
32.92,33.18,32.61,32.61,4569.82
32.6,32.82,32.35,32.67,1869.99
32.68,33.44,32.63,33.3,4272.05
33.29,33.66,33.21,33.29,3734.58
33.27,33.79,33.14,33.75,3514.04
33.78,34.63,33.67,34.62,18355.97
34.65,35.01,34.0,34.31,11638.28
34.35,34.79,33.9,34.08,9889.59
34.08,34.36,33.75,33.88,6014.11
33.88,34.11,33.52,34.0,6725.75
34.0,34.24,33.54,33.55,2666.97
33.52,33.67,32.61,32.76,7354.39
32.74,32.95,31.12,32.17,18601.19
32.18,32.65,32.11,32.41,3837.22
32.45,32.6,30.84,32.32,13177.16
32.19,32.7,31.73,32.29,6233.27
32.29,33.61,31.94,33.46,5156.38
33.47,33.98,33.25,33.72,5139.56
33.72,33.72,33.33,33.42,2690.77
33.43,33.55,33.09,33.46,1446.74
33.48,33.91,33.45,33.89,2394.92
33.9,34.82,33.48,34.3,8371.4
34.31,34.48,33.94,34.32,5399.08
34.36,34.82,34.31,34.63,3772.95
34.67,34.75,34.2,34.27,6734.33
34.27,34.33,33.55,33.77,12119.4
33.78,34.1,33.12,33.87,9099.03
33.91,34.27,33.86,34.21,2380.48
34.19,34.48,33.24,33.34,3529.41
33.37,34.16,33.16,33.78,8073.6
33.77,34.57,33.43,34.51,7362.07
34.5,34.85,34.28,34.4,6589.1
34.44,35.03,34.34,35.02,5096.93
35.02,35.3,34.72,34.81,8556.1
34.81,34.98,34.54,34.61,4794.84
34.6,34.71,34.47,34.65,1388.64
34.64,34.96,34.43,34.57,1634.9
34.56,34.77,34.35,34.36,1182.08
34.37,34.73,33.71,34.15,11035.29
34.11,34.26,33.86,34.06,2470.5
34.09,34.26,33.74,33.84,3740.77
33.85,34.0,33.63,33.64,1091.12
33.65,34.08,33.65,34.05,620.3
34.05,34.05,33.66,33.83,746.28
33.66,33.88,33.66,33.8,962.74
33.79,33.92,33.59,33.65,591.4
33.62,33.85,33.62,33.66,2510.65
33.66,33.7,33.33,33.53,2055.94
33.52,34.45,33.48,33.69,16034.32
33.7,34.12,33.7,34.11,4559.02
34.11,34.21,33.76,33.89,3331.33
33.9,34.21,33.9,34.01,1780.1
33.99,34.0,33.75,33.86,1798.21
33.86,33.99,33.67,33.87,2086.16
33.88,33.93,33.46,33.78,1764.8
33.76,33.77,33.24,33.54,3641.48
33.57,33.63,33.08,33.16,5193.13
33.17,33.44,32.8,32.93,4397.42
32.94,33.37,32.92,33.31,2923.53
33.3,33.44,32.84,32.96,4633.66
32.97,33.27,32.92,33.2,1611.55
33.15,33.38,33.02,33.22,1996.26
33.21,33.23,33.0,33.0,893.11
33.03,33.44,33.02,33.02,1524.43
33.01,33.26,32.88,33.26,392.32
33.21,33.42,33.12,33.12,1152.71
33.13,33.25,33.02,33.02,452.23
33.11,33.23,33.05,33.06,293.0
33.05,33.21,32.7,32.72,892.38
32.69,32.74,32.44,32.59,3062.26
32.61,32.88,32.45,32.87,963.33
32.87,33.02,32.79,32.96,737.5
32.96,33.02,32.37,32.41,1024.37
32.41,32.72,32.17,32.3,1785.52
32.3,32.72,32.3,32.69,1816.73
32.67,32.92,32.58,32.77,1498.77
32.75,33.1,32.54,32.94,3325.7
32.92,33.29,32.86,33.19,2646.49
33.14,33.33,33.03,33.04,2125.83
33.07,33.09,32.71,32.92,3088.36
32.91,32.91,32.47,32.5,1511.27
32.48,32.75,32.4,32.71,1252.53
32.72,32.79,32.35,32.41,11375.01
32.39,32.68,32.31,32.67,1155.58
32.65,32.71,32.52,32.54,1254.7
32.54,32.92,32.53,32.87,1175.27
32.8,33.24,32.8,33.22,1184.32
33.25,33.39,33.04,33.3,987.18
33.32,33.36,32.51,32.66,1900.59
32.65,32.83,32.0,32.04,2998.71
32.08,32.37,30.5,32.06,5930.05
32.17,32.27,31.38,31.72,2133.17
31.67,31.99,31.51,31.96,1087.19
31.99,32.24,31.99,32.18,776.41
32.18,32.18,31.54,31.68,1167.05
31.65,31.71,31.08,31.55,5235.68
31.55,31.55,30.29,30.54,9965.86
30.52,31.03,30.21,30.6,7821.54
30.59,30.96,30.54,30.87,4406.2
30.86,30.88,30.08,30.31,6023.42
30.29,30.66,29.95,30.61,3898.48
30.64,31.22,30.42,31.04,7392.14
31.05,31.37,30.75,31.2,7145.66
31.19,31.28,30.08,30.33,7950.1
30.33,30.81,30.2,30.54,5603.38
30.55,30.75,30.13,30.13,7029.81
30.13,30.64,30.13,30.43,2374.58
30.39,30.46,30.16,30.16,2068.23
30.17,30.24,28.0,28.6,36983.59
28.55,31.6,24.32,27.57,81850.96
27.52,28.05,25.1,27.91,28151.54
27.99,28.43,27.65,28.01,28331.68
28.0,28.47,27.41,28.07,4656.68
28.06,28.22,27.54,28.01,1522.69
27.81,27.89,26.87,26.9,2348.62
26.91,27.2,25.95,27.14,10491.87
27.2,27.65,26.59,27.65,9080.81
27.62,28.2,27.49,27.94,5185.85
27.94,28.46,27.82,28.46,2413.85
