Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
3.403,3.456,3.396,3.438,2731.03
3.436,3.489,3.433,3.466,803.7
3.479,3.494,3.343,3.379,20933.64
3.361,3.454,3.357,3.428,1663.22
3.452,3.456,3.403,3.409,1494.08
3.411,3.411,3.321,3.383,2705.42
3.36,3.387,3.31,3.323,1384.14
3.309,3.309,3.106,3.17,22844.82
3.176,3.256,3.175,3.249,6192.29
3.242,3.343,3.153,3.159,14038.85
3.163,3.254,3.163,3.248,2312.1
3.221,3.221,3.183,3.208,2991.22
3.213,3.243,3.167,3.243,8240.8
3.239,3.295,3.239,3.282,5135.07
3.279,3.295,3.265,3.265,1928.5
3.272,3.274,3.225,3.225,3356.53
3.233,3.236,3.183,3.19,6932.05
3.191,3.246,3.19,3.244,2260.02
3.244,3.276,3.225,3.225,7383.04
3.233,3.256,3.226,3.229,1172.94
3.23,3.259,3.2,3.25,5290.05
3.233,3.256,3.205,3.238,1867.89
3.244,3.421,3.238,3.4,27708.46
3.416,3.479,3.355,3.439,24444.1
3.435,3.435,3.356,3.356,2344.03
3.356,3.36,3.262,3.262,3624.49
3.253,3.339,3.238,3.321,8325.62
3.298,3.355,3.298,3.328,3599.65
3.333,3.359,3.151,3.304,10683.92
3.286,3.366,3.233,3.296,1665.66
3.274,3.406,3.25,3.406,2333.87
3.408,3.48,3.408,3.46,4055.24
3.465,3.492,3.422,3.488,2458.67
3.475,3.5,3.446,3.473,8050.21
3.468,3.553,3.46,3.505,5529.74
3.515,3.52,3.435,3.441,5151.16
3.44,3.595,3.44,3.557,11736.75
3.566,3.566,3.473,3.492,6287.08
3.505,3.598,3.497,3.544,36208.63
3.544,3.544,3.397,3.416,8225.77
3.412,3.465,3.384,3.454,3718.71
3.461,3.496,3.415,3.436,3404.23
3.441,3.479,3.382,3.396,3149.95
3.403,3.519,3.4,3.475,6197.24
3.46,3.492,3.435,3.472,19799.68
3.473,3.559,3.459,3.532,4366.51
3.514,3.653,3.5,3.637,13690.94
3.619,3.628,3.586,3.597,11704.85
3.597,3.649,3.59,3.633,2860.26
3.636,3.653,3.608,3.609,3070.93
3.607,3.654,3.603,3.651,10950.45
3.643,3.66,3.614,3.617,4364.93
3.629,3.71,3.587,3.59,20656.32
3.577,3.6,3.525,3.559,4227.29
3.579,3.624,3.563,3.577,3527.16
3.597,3.606,3.56,3.577,658.98
3.583,3.686,3.583,3.677,360.93
3.682,3.749,3.657,3.67,2043.67
3.662,3.732,3.657,3.709,288.8
3.71,3.741,3.657,3.657,1057.73
3.649,3.726,3.643,3.726,1110.49
3.716,3.78,3.69,3.775,9385.44
3.771,3.771,3.658,3.658,4092.75
3.658,3.677,3.596,3.654,4634.54
3.637,3.661,3.616,3.66,2884.01
3.663,3.723,3.652,3.723,1397.16
3.722,3.74,3.685,3.694,5359.35
3.7,3.731,3.661,3.71,2068.24
3.713,3.73,3.671,3.725,2618.83
3.722,3.722,3.662,3.691,6305.1
3.671,3.677,3.63,3.632,7148.38
3.625,3.627,3.573,3.597,1671.08
3.601,3.627,3.59,3.627,5567.93
3.611,3.611,3.588,3.588,3786.95
3.595,3.61,3.588,3.604,1184.04
3.618,3.643,3.613,3.631,3534.29
3.631,3.655,3.622,3.622,1305.06
3.65,3.663,3.617,3.63,10544.46
3.616,3.709,3.616,3.709,9264.81
3.7,3.71,3.643,3.654,9640.15
3.635,3.691,3.635,3.671,1563.96
3.691,3.712,3.687,3.697,1944.4
3.685,3.717,3.657,3.657,1601.36
3.659,3.659,3.59,3.598,7090.9
3.592,3.65,3.587,3.65,7438.42
3.63,3.656,3.614,3.645,10948.98
3.636,3.636,3.521,3.54,3011.29
3.544,3.585,3.511,3.531,2822.56
3.544,3.559,3.533,3.557,3557.91
3.537,3.575,3.537,3.556,1546.23
3.55,3.583,3.524,3.583,993.2
3.582,3.61,3.576,3.61,1227.66
3.604,3.604,3.563,3.563,1855.53
3.568,3.57,3.522,3.57,1434.07
3.551,3.588,3.514,3.52,15283.49
3.512,3.556,3.508,3.556,1242.19
3.557,3.557,3.521,3.539,1515.89
3.524,3.565,3.524,3.565,1904.17
3.559,3.565,3.532,3.532,7759.97
3.544,3.557,3.533,3.55,1123.76
3.557,3.604,3.557,3.604,2798.05
3.602,3.619,3.59,3.619,3417.53
3.609,3.609,3.483,3.517,7571.94
3.53,3.557,3.498,3.502,3034.86
3.486,3.53,3.472,3.491,1283.19
3.505,3.507,3.405,3.441,13102.51
3.446,3.463,3.409,3.451,1161.35
3.466,3.471,3.44,3.455,1915.95
3.435,3.435,3.387,3.408,4946.27
3.397,3.403,3.333,3.395,3865.5
3.384,3.384,3.298,3.298,18528.46
3.292,3.335,3.259,3.306,8082.92
3.294,3.327,3.274,3.306,3456.19
3.313,3.314,3.237,3.25,5354.33
3.238,3.276,3.226,3.276,11200.73
3.276,3.373,3.262,3.347,11246.42
3.346,3.428,3.323,3.427,17145.72
3.414,3.427,3.264,3.28,16666.26
3.274,3.415,3.274,3.326,36736.35
3.32,3.353,3.274,3.274,9420.04
3.292,3.366,3.292,3.338,3435.4
3.335,3.364,3.32,3.358,1583.96
3.335,3.341,3.164,3.184,21426.29
3.197,3.8,2.723,3.079,83436.83
3.081,3.088,2.751,3.072,20156.07
3.091,3.149,3.06,3.097,7251.02
3.098,3.155,3.008,3.125,7954.53
3.138,3.138,3.07,3.11,4657.18
3.108,3.108,2.985,2.985,8622.51
3.001,3.001,2.84,2.994,19119.75
2.973,3.117,2.944,3.117,10450.94
3.093,3.204,3.093,3.196,6251.8
3.22,3.309,3.217,3.297,24240.0
3.274,3.308,3.238,3.286,1287.21
3.274,3.45,3.26,3.41,16942.44
3.405,3.49,3.397,3.471,6064.87
3.479,3.557,3.473,3.511,11998.7
3.51,3.512,3.407,3.439,16681.47
3.466,3.53,3.335,3.366,17034.36
3.379,3.49,3.369,3.435,9856.3
3.444,3.546,3.42,3.422,6506.56
3.441,3.452,3.24,3.261,23662.05
3.238,3.331,3.184,3.298,34534.92
