Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
3.577,3.605,3.555,3.594,1785.1
3.604,3.663,3.604,3.654,1620.2
3.686,3.716,3.6,3.643,2839.2
3.621,3.686,3.603,3.66,4322.5
3.662,3.716,3.654,3.654,4258.5
3.658,3.658,3.566,3.639,2082.1
3.629,3.651,3.578,3.58,1620.4
3.57,3.57,3.411,3.475,3534.1
3.468,3.662,3.46,3.582,2202.3
3.628,3.658,3.552,3.552,1869.2
3.578,3.672,3.578,3.672,571.6
3.678,3.678,3.605,3.62,391.6
3.587,3.591,3.566,3.591,522.2
3.613,3.693,3.612,3.675,480.5
3.672,3.733,3.672,3.687,2013.3
3.678,3.685,3.655,3.685,201.4
3.687,3.739,3.687,3.719,2191.2
3.741,3.791,3.716,3.783,2645.2
3.784,3.882,3.784,3.818,4586.8
3.808,3.808,3.737,3.737,2185.4
3.746,3.787,3.721,3.738,2251.5
3.738,3.738,3.674,3.683,1827.2
3.716,3.74,3.654,3.715,1564.1
3.688,3.734,3.688,3.715,789.6
3.715,3.72,3.674,3.674,1177.1
3.655,3.674,3.604,3.609,2902.0
3.588,3.63,3.549,3.591,5681.1
3.589,3.611,3.589,3.599,1324.5
3.594,3.61,3.441,3.557,2795.1
3.537,3.722,3.523,3.606,10775.2
3.612,3.7,3.57,3.693,2292.8
3.713,3.772,3.696,3.722,3257.6
3.709,3.742,3.692,3.741,1464.3
3.69,3.72,3.683,3.72,288.2
3.71,3.755,3.71,3.745,5119.3
3.739,3.74,3.72,3.723,1345.3
3.74,3.74,3.738,3.738,170.2
3.737,3.789,3.721,3.786,1085.1
3.794,3.8,3.745,3.745,2014.3
3.744,3.744,3.655,3.696,4175.7
3.681,3.716,3.639,3.7,3026.2
3.69,3.697,3.629,3.639,707.5
3.663,3.667,3.563,3.584,3932.9
3.581,3.653,3.581,3.62,650.1
3.604,3.657,3.603,3.631,830.3
3.604,3.63,3.548,3.581,4346.5
3.582,3.591,3.55,3.563,4353.8
