Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
1.2778,1.2941,1.2753,1.2876,41214.1
1.2873,1.3112,1.2871,1.3072,73893.9
1.3065,1.3208,1.2703,1.2981,140946.8
1.3017,1.3181,1.2845,1.3048,95872.1
1.3062,1.3357,1.3015,1.3202,67104.1
1.3213,1.3221,1.2699,1.2881,150853.1
1.2874,1.2914,1.2582,1.2793,120288.0
1.2796,1.2801,1.2412,1.2707,153898.4
1.2708,1.3175,1.2669,1.3025,90947.0
1.3049,1.3563,1.3009,1.3013,143520.7
1.3005,1.3451,1.2954,1.3302,72223.2
1.3303,1.3319,1.293,1.3014,35161.9
1.3045,1.3118,1.2807,1.2993,51319.4
1.2963,1.3174,1.2929,1.3039,53041.9
1.3043,1.3384,1.3,1.3273,99598.9
1.3272,1.3387,1.3153,1.3331,71332.1
1.3348,1.3615,1.3319,1.3413,56246.3
1.3393,1.3964,1.3361,1.3929,92654.6
1.3909,1.4404,1.389,1.4109,344420.6
1.4114,1.4117,1.361,1.3758,235944.3
1.3767,1.3833,1.3569,1.3727,92203.7
1.3698,1.3807,1.3381,1.3597,75977.6
1.3588,1.3751,1.3407,1.3638,135009.8
1.3638,1.3667,1.3415,1.3664,33573.0
1.3611,1.3682,1.345,1.3458,40308.6
1.3456,1.3555,1.3197,1.3282,93100.4
1.3277,1.3419,1.3086,1.3322,81008.5
1.3332,1.3456,1.329,1.3423,37842.9
1.343,1.351,1.2772,1.3476,39802.1
1.3441,1.3826,1.328,1.3535,82912.8
1.353,1.408,1.3356,1.408,89173.6
1.408,1.4137,1.3823,1.3898,97675.4
1.3883,1.3983,1.3827,1.3923,50397.8
1.3917,1.3971,1.3784,1.3932,38572.3
1.3926,1.394,1.3811,1.3877,23766.4
1.3863,1.3949,1.3765,1.3769,44617.2
1.3797,1.3931,1.3774,1.3893,18211.4
1.3899,1.3938,1.3803,1.3903,39064.7
1.3933,1.4,1.3786,1.3786,60331.3
1.3801,1.3801,1.3392,1.3438,62973.1
1.344,1.3462,1.3214,1.3362,104246.9
1.3368,1.3418,1.3216,1.3314,85289.0
1.3318,1.3428,1.3014,1.3016,37885.0
1.3025,1.3346,1.3015,1.3231,59815.3
1.324,1.349,1.3198,1.3486,63275.7
1.3472,1.3604,1.3387,1.3523,60578.0
1.3525,1.3542,1.3407,1.352,38473.6
1.3516,1.3659,1.3492,1.3546,46000.7
1.3531,1.366,1.3531,1.3588,46636.0
1.3574,1.3665,1.3551,1.3595,20282.9
1.3614,1.3658,1.3453,1.3488,17805.0
1.3484,1.3552,1.3447,1.3479,36337.2
1.3479,1.3593,1.3441,1.3441,15428.9
1.3423,1.3465,1.3278,1.3421,29212.9
1.3424,1.3564,1.3279,1.3343,16523.9
1.3352,1.3402,1.3284,1.3357,18412.7
1.3358,1.3426,1.3315,1.3367,9975.7
1.3373,1.3496,1.3268,1.3447,21477.5
1.3428,1.3533,1.3378,1.3507,10914.3
1.3501,1.3566,1.3432,1.3478,10825.8
1.3482,1.3619,1.3442,1.3514,46323.0
1.3529,1.3529,1.3368,1.3409,43816.5
1.3407,1.3468,1.3322,1.3456,19405.6
1.3456,1.3773,1.3456,1.3773,36429.1
1.3759,1.3759,1.3533,1.3639,36255.4
1.3647,1.3732,1.3618,1.3637,20235.5
1.3644,1.3654,1.3531,1.3542,24638.1
1.3527,1.3651,1.3487,1.3651,11875.0
1.3652,1.392,1.353,1.392,36763.1
1.3918,1.395,1.3726,1.386,40514.3
1.3869,1.4,1.3711,1.3966,20473.4
1.396,1.3967,1.3833,1.3893,29211.4
1.3925,1.4012,1.3852,1.388,53570.6
