Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.348,0.3532,0.3465,0.3487,21490.9
0.3495,0.3526,0.3482,0.3499,13261.4
0.3498,0.3498,0.344,0.3442,17318.2
0.3458,0.3458,0.341,0.3431,17482.9
0.3428,0.3519,0.3428,0.3519,23206.8
0.3512,0.3512,0.3437,0.3456,4156.6
0.3451,0.3456,0.3273,0.3313,14955.7
0.33,0.33,0.316,0.322,3158.9
0.3243,0.3376,0.3243,0.3371,33808.3
0.3329,0.3336,0.3195,0.3234,7547.8
0.3223,0.3292,0.322,0.3292,6045.9
0.3266,0.3266,0.3227,0.323,16619.9
0.3287,0.3287,0.326,0.3265,8902.0
0.3271,0.3534,0.3267,0.3386,19126.4
0.3369,0.3384,0.3327,0.3332,19179.6
0.3307,0.332,0.3277,0.3311,11414.2
0.3322,0.333,0.3295,0.3316,22074.3
0.3315,0.3327,0.3294,0.3315,10055.2
0.3315,0.338,0.3313,0.3337,33895.8
0.3337,0.3369,0.3322,0.3355,23474.8
0.3355,0.3402,0.3333,0.3382,9450.3
0.3368,0.3389,0.332,0.332,50739.3
0.334,0.3351,0.3181,0.3259,57484.0
0.326,0.3331,0.3256,0.332,43784.4
0.3313,0.332,0.3257,0.3268,44876.1
0.3268,0.328,0.3251,0.3258,20534.7
0.3257,0.3274,0.3201,0.3233,129370.6
0.3247,0.3285,0.3229,0.3235,20961.4
0.3248,0.3249,0.3124,0.3208,32214.6
0.3174,0.3264,0.3174,0.3187,18888.9
0.3185,0.3221,0.3163,0.3215,21350.7
0.3213,0.3263,0.3205,0.3248,7607.2
0.3219,0.3239,0.3212,0.3218,25206.9
0.3202,0.3225,0.3191,0.3222,35465.1
0.3219,0.3323,0.3203,0.329,59176.9
0.3297,0.3439,0.3297,0.3356,74909.8
0.3358,0.3358,0.328,0.3283,73175.5
0.3297,0.3297,0.3206,0.3269,136608.3
0.3267,0.3308,0.3251,0.3256,68573.4
0.3245,0.3245,0.3197,0.32,15593.9
0.3219,0.3219,0.3153,0.3205,12291.1
0.3201,0.3227,0.3193,0.3209,15791.5
0.3195,0.3241,0.3094,0.31,41779.6
0.3104,0.3168,0.3095,0.3164,24934.1
0.3171,0.3208,0.3164,0.319,13061.7
0.3188,0.3219,0.3149,0.3162,17957.3
0.3162,0.3192,0.3162,0.3191,18668.2
0.3191,0.3191,0.3151,0.3169,37874.5
0.316,0.3182,0.3159,0.3159,28231.1
0.316,0.3274,0.3159,0.3273,60866.0
0.3273,0.3276,0.3215,0.3224,25133.7
0.3226,0.3279,0.3225,0.3266,67594.2
0.3268,0.3378,0.3268,0.3378,50214.9
0.3348,0.336,0.3269,0.3305,46950.6
0.3305,0.3462,0.3287,0.3422,85096.5
0.3395,0.3458,0.3332,0.3332,46879.8
0.3335,0.3466,0.3335,0.336,46911.4
0.3363,0.3372,0.3317,0.3317,5687.4
0.3307,0.3331,0.3307,0.3331,15309.7
0.3317,0.3317,0.3266,0.3288,13074.8
0.3288,0.3315,0.3286,0.3308,11029.7
0.3308,0.332,0.3241,0.3269,18947.7
0.3263,0.3295,0.322,0.322,53331.6
0.3231,0.3279,0.3231,0.3279,46531.7
0.3275,0.3286,0.3224,0.3246,20403.1
0.3244,0.3276,0.324,0.3256,12192.1
0.3249,0.3288,0.3247,0.3288,4588.9
0.328,0.328,0.3246,0.3251,6167.1
0.3252,0.3263,0.3234,0.3263,21759.0
0.3249,0.3249,0.323,0.3241,15183.9
0.3243,0.3256,0.3213,0.3236,66668.7
0.3229,0.323,0.3159,0.317,63715.5
0.3172,0.3199,0.3172,0.3199,31167.0
0.3197,0.3384,0.3166,0.3167,22684.8
0.3167,0.3191,0.3157,0.3164,87287.2
0.3164,0.3179,0.3146,0.3161,32026.7
0.3151,0.3151,0.31,0.3135,64206.5
0.3133,0.32,0.3133,0.3171,46719.1
0.3168,0.32,0.3159,0.3196,44509.5
0.3196,0.3225,0.3179,0.319,51720.6
0.319,0.3231,0.3187,0.3212,14706.3
0.3218,0.3218,0.3203,0.3203,2181.9
0.3185,0.3186,0.3142,0.3147,1961.8
0.314,0.3163,0.3126,0.3126,13373.3
0.3132,0.3147,0.3111,0.3142,10718.0
0.315,0.316,0.3148,0.3156,20376.2
0.3149,0.3149,0.3099,0.31,15367.9
0.3105,0.3138,0.3056,0.3101,58835.5
0.3087,0.3206,0.3087,0.3161,39521.6
0.3161,0.3255,0.3146,0.3218,37800.5
0.3211,0.3217,0.3181,0.3186,20371.3
0.3182,0.3199,0.3182,0.3196,5383.0
0.3196,0.3247,0.3165,0.3165,23880.0
0.317,0.3217,0.3164,0.3205,11433.4
