Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
2.148,2.192,2.14,2.17,8296.51
2.171,2.201,2.171,2.176,6199.46
2.166,2.19,2.106,2.118,7713.92
2.112,2.13,2.106,2.119,2843.56
2.119,2.136,2.103,2.103,3803.95
2.104,2.104,2.055,2.094,16649.74
2.088,2.088,2.034,2.034,5744.98
2.034,2.034,1.967,2.01,43821.72
2.007,2.076,2.007,2.053,12089.07
2.064,2.094,2.044,2.052,7069.25
2.053,2.12,2.049,2.106,3132.29
2.111,2.124,2.1,2.122,5318.03
2.112,2.154,2.106,2.154,4151.45
2.148,2.179,2.144,2.172,6689.26
2.171,2.237,2.166,2.202,12159.51
2.2,2.209,2.162,2.185,8568.86
2.186,2.208,2.169,2.184,5096.98
2.181,2.238,2.178,2.232,6644.02
2.226,2.254,2.222,2.231,8684.47
2.238,2.268,2.22,2.238,12853.95
2.232,2.233,2.168,2.177,11590.76
2.178,2.19,2.147,2.165,15438.23
2.17,2.176,2.143,2.16,21075.03
2.154,2.166,2.148,2.154,4466.63
2.156,2.156,2.106,2.106,12036.1
2.109,2.111,2.054,2.056,22929.88
2.053,2.076,2.017,2.055,18108.0
2.055,2.081,2.052,2.081,2827.32
2.082,2.098,1.999,2.088,22839.84
2.082,2.088,2.043,2.053,11181.06
2.05,2.124,2.036,2.117,9428.73
2.112,2.19,2.11,2.162,17898.15
2.162,2.207,2.145,2.184,12306.19
2.178,2.184,2.14,2.178,5129.89
2.172,2.178,2.159,2.167,1572.71
2.16,2.172,2.15,2.167,894.78
2.166,2.205,2.166,2.19,7567.98
2.184,2.192,2.167,2.19,5119.6
2.195,2.203,2.17,2.172,6581.67
2.166,2.189,2.123,2.161,19119.58
2.159,2.159,2.136,2.145,5983.13
2.143,2.16,2.14,2.148,2451.21
2.154,2.186,2.103,2.108,7271.85
2.112,2.176,2.097,2.169,6856.32
2.172,2.268,2.146,2.256,6569.01
2.25,2.311,2.218,2.231,56261.22
2.232,2.268,2.208,2.259,6791.29
2.258,2.292,2.25,2.282,18257.63
2.291,2.375,2.284,2.362,23708.17
2.358,2.358,2.31,2.328,3959.89
2.327,2.332,2.29,2.293,21387.25
2.293,2.305,2.277,2.278,19096.99
2.279,2.289,2.262,2.268,2013.39
2.27,2.294,2.259,2.262,14411.01
2.26,2.266,2.226,2.235,3830.5
2.236,2.257,2.223,2.241,4869.62
2.242,2.279,2.242,2.268,3784.12
2.274,2.31,2.273,2.286,8902.03
2.281,2.294,2.26,2.276,2916.33
2.277,2.289,2.254,2.255,3663.62
2.25,2.253,2.225,2.225,3073.02
2.228,2.239,2.214,2.218,2889.87
2.219,2.223,2.188,2.192,7569.34
2.193,2.208,2.183,2.186,2343.52
