Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
125.5,127.18,125.33,126.38,953.677
126.38,128.16,126.08,126.78,1563.652
126.79,132.99,126.29,132.72,6730.184
132.64,134.77,129.93,131.92,4184.883
132.16,135.32,132.01,133.71,3459.295
133.73,135.81,131.1,133.9,2541.303
133.93,133.93,129.8,130.52,1687.933
130.49,130.72,125.11,126.68,2308.469
126.62,132.83,126.62,129.19,1885.393
129.35,132.23,127.27,127.92,2746.348
127.96,129.56,127.22,127.77,1066.564
127.71,129.41,125.56,126.88,1429.484
126.7,128.81,125.58,128.16,1099.497
128.03,129.06,127.73,128.65,653.669
128.64,130.96,128.19,130.78,802.27
130.65,132.25,129.71,130.07,1743.293
130.05,130.91,129.63,130.65,588.631
130.7,138.34,130.63,137.28,6278.939
137.27,144.14,134.97,142.79,6151.802
142.77,145.51,141.45,141.99,6001.695
142.14,143.17,138.64,140.29,3686.505
140.32,146.54,139.78,144.19,5527.842
143.94,147.18,142.75,143.43,5979.747
143.52,145.02,141.58,142.85,1764.533
142.85,144.8,142.44,142.63,1337.447
142.64,143.02,138.98,139.49,4397.77
139.34,139.61,135.92,137.18,3720.52
137.09,138.1,136.18,136.83,2163.191
136.8,137.65,130.41,135.27,3931.298
135.12,137.74,133.34,135.89,2661.037
135.96,139.3,134.96,138.68,1734.365
138.57,138.76,136.58,137.85,755.201
137.79,138.01,136.14,137.04,709.575
136.96,137.74,135.79,137.54,530.774
137.03,138.33,137.0,138.05,364.398
137.83,137.83,136.07,136.12,571.11
136.06,137.11,135.79,136.6,735.298
136.54,136.54,135.0,135.3,613.353
135.31,135.66,133.76,134.08,1034.011
134.0,134.38,132.26,133.5,1371.038
133.5,133.5,131.5,133.28,1599.466
133.19,133.52,132.26,133.14,491.11
133.21,134.08,130.66,130.76,974.966
130.97,133.62,130.22,132.88,1639.123
133.03,134.53,132.63,134.19,1271.35
134.06,134.57,132.47,132.66,2235.459
132.72,134.08,132.05,133.75,1092.928
133.71,136.59,133.38,135.67,3306.723
135.67,136.68,135.08,135.95,1420.102
135.83,137.21,135.51,136.97,2458.942
136.95,138.3,135.7,136.14,3267.007
136.08,136.16,134.4,134.41,1189.579
134.41,136.77,134.41,136.66,681.003
136.65,136.81,134.76,136.12,411.263
136.18,137.1,135.15,136.77,496.131
136.65,137.28,135.42,136.52,484.343
136.38,137.83,135.9,136.21,638.463
136.07,136.26,134.47,135.25,557.412
135.13,136.69,134.8,136.36,387.712
136.09,136.8,135.21,135.54,440.424
135.49,137.99,135.12,137.4,1144.499
137.38,137.58,136.03,137.22,1472.718
136.98,138.58,136.14,136.75,1821.362
136.84,138.54,136.71,137.81,1189.949
137.81,138.79,135.45,137.05,1147.28
137.35,138.42,137.17,137.7,892.846
137.67,137.67,136.48,137.25,365.891
137.14,138.77,137.14,137.73,1727.175
137.65,137.87,135.84,137.02,1390.007
136.76,137.5,136.09,137.29,1056.668
137.36,137.66,135.17,135.44,1392.55
135.47,135.56,131.92,132.89,3548.044
132.9,134.38,132.88,134.21,964.518
134.19,134.77,133.59,133.81,364.044
133.72,134.89,133.68,134.23,318.006
134.24,134.48,132.86,132.86,970.161
132.86,133.6,132.36,133.12,479.837
132.94,134.34,132.94,134.0,558.335
133.88,134.59,133.09,133.95,720.537
133.92,134.56,133.62,133.71,147.287
133.78,134.44,133.2,134.09,220.81
134.06,135.22,134.02,134.09,322.883
134.08,134.56,132.77,132.85,457.688
132.9,133.17,131.31,131.87,819.934
131.92,132.43,131.07,132.39,521.935
132.39,133.15,132.39,132.59,529.808
132.56,132.65,130.42,130.48,927.598
130.42,132.23,130.19,131.02,897.391
131.13,133.96,131.1,132.98,683.777
132.92,133.37,132.1,132.82,730.592
132.91,135.0,131.79,134.73,1381.176
134.71,135.05,134.17,134.72,521.162
134.69,134.7,133.11,133.11,963.548
133.26,134.95,132.74,134.42,544.177
134.47,134.6,132.88,133.21,299.422
133.35,134.06,132.67,133.78,417.52
133.88,134.16,132.57,132.59,609.608
132.5,133.58,131.94,133.39,478.972
133.62,133.74,133.09,133.19,346.383
133.23,133.54,132.64,133.43,370.881
133.35,135.96,133.21,134.82,926.047
134.81,135.47,134.4,134.95,881.905
135.03,135.07,131.36,131.97,606.767
131.95,132.94,131.09,131.28,454.077
131.17,131.89,130.24,130.99,394.73
130.94,131.56,128.24,129.68,1120.228
129.64,130.61,128.92,130.36,497.087
130.47,131.09,130.25,130.56,342.499
130.54,130.61,127.68,128.5,447.252
128.32,128.43,124.97,127.08,2994.65
127.1,127.28,124.21,124.4,882.374
124.44,125.46,122.62,123.98,1661.691
124.08,125.01,123.6,124.93,936.907
124.86,124.86,121.13,121.77,1465.977
121.49,123.45,120.52,123.37,1049.324
