Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
1.291,1.305,1.287,1.302,44590.9
1.301,1.333,1.301,1.323,31039.9
1.322,1.334,1.275,1.298,48768.3
1.299,1.315,1.291,1.312,62503.3
1.31,1.323,1.296,1.296,13730.3
1.297,1.302,1.259,1.284,19046.2
1.282,1.29,1.255,1.255,14705.6
1.255,1.255,1.168,1.206,41425.9
1.205,1.24,1.205,1.228,18653.1
1.227,1.248,1.21,1.216,25620.2
1.217,1.259,1.213,1.244,30805.7
1.243,1.246,1.222,1.232,24973.2
1.235,1.245,1.222,1.245,9983.5
1.246,1.256,1.242,1.254,21173.5
1.253,1.259,1.249,1.251,17742.7
1.25,1.254,1.237,1.244,20237.3
1.249,1.258,1.243,1.243,13225.6
1.242,1.259,1.241,1.259,17487.2
1.258,1.284,1.257,1.259,32731.7
1.258,1.273,1.253,1.262,21245.8
1.261,1.269,1.245,1.258,25306.2
1.255,1.264,1.237,1.247,31111.3
1.248,1.271,1.242,1.265,31247.2
1.266,1.277,1.251,1.277,50651.8
1.276,1.284,1.263,1.263,39862.7
1.266,1.276,1.235,1.237,28071.0
1.236,1.251,1.216,1.244,80296.0
1.244,1.252,1.237,1.249,21041.4
1.249,1.261,1.182,1.242,70646.5
1.239,1.256,1.222,1.234,23947.2
1.234,1.27,1.22,1.268,18815.8
1.272,1.29,1.268,1.277,22345.1
1.278,1.295,1.274,1.294,35856.1
1.293,1.299,1.278,1.287,26038.3
1.288,1.304,1.284,1.304,38424.3
1.304,1.305,1.287,1.289,24175.8
1.288,1.311,1.284,1.297,46843.1
1.297,1.3,1.288,1.293,13285.2
1.294,1.3,1.271,1.271,16771.0
1.272,1.272,1.247,1.257,48288.6
1.256,1.275,1.24,1.266,47038.6
1.266,1.277,1.257,1.264,15251.6
1.262,1.275,1.23,1.233,45726.6
1.235,1.274,1.229,1.265,56765.5
1.265,1.295,1.255,1.291,26299.2
1.29,1.332,1.286,1.306,57068.1
1.309,1.322,1.297,1.319,37809.5
1.318,1.33,1.315,1.322,32533.2
1.323,1.345,1.319,1.344,54164.2
1.343,1.349,1.334,1.34,36759.9
1.339,1.341,1.321,1.321,63124.1
1.324,1.338,1.32,1.32,19043.7
1.319,1.325,1.316,1.316,14942.1
1.315,1.323,1.305,1.315,24408.3
1.314,1.321,1.298,1.306,13543.4
1.307,1.316,1.303,1.311,12671.5
1.307,1.328,1.304,1.321,10420.1
1.321,1.338,1.311,1.333,13087.7
1.332,1.346,1.327,1.33,33442.1
1.331,1.342,1.326,1.326,10785.5
1.327,1.328,1.319,1.322,9628.6
1.32,1.326,1.31,1.323,38797.0
1.321,1.323,1.307,1.317,12688.4
1.316,1.348,1.316,1.329,30054.9
1.328,1.334,1.316,1.331,18542.8
1.331,1.34,1.326,1.333,12728.5
1.332,1.34,1.324,1.331,48610.6
1.331,1.333,1.322,1.331,9285.4
1.33,1.338,1.317,1.338,21020.0
1.337,1.339,1.324,1.338,43591.3
1.337,1.337,1.316,1.319,21973.9
1.32,1.322,1.301,1.308,23930.8
1.309,1.337,1.309,1.331,29942.3
1.332,1.345,1.33,1.332,41867.9
1.33,1.339,1.321,1.321,19546.0
1.322,1.323,1.312,1.323,15597.8
1.322,1.325,1.308,1.308,26844.7
1.307,1.321,1.304,1.304,40342.5
1.303,1.312,1.298,1.312,26437.3
1.311,1.315,1.295,1.295,34456.7
1.295,1.297,1.287,1.291,11688.3
1.291,1.293,1.279,1.279,18377.7
1.279,1.285,1.266,1.266,23880.2
1.267,1.27,1.254,1.26,27680.7
1.26,1.27,1.254,1.27,12431.3
1.271,1.279,1.266,1.277,14420.5
1.276,1.279,1.253,1.253,36715.1
1.252,1.272,1.247,1.256,25914.9
1.257,1.269,1.255,1.268,13181.5
1.265,1.273,1.256,1.27,13451.2
1.269,1.272,1.253,1.271,21455.2
