Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.9802,1.0499,0.8466,0.9668,6438.1
0.967,0.967,0.9478,0.9478,2597.0
0.9531,0.954,0.9515,0.954,6797.4
0.954,0.9548,0.9465,0.9465,730.3
0.9402,0.9419,0.919,0.919,4544.3
0.9189,0.958,0.9189,0.9238,22778.9
0.9255,0.9272,0.9157,0.9157,3916.3
0.9111,0.9111,0.9032,0.9108,1435.8
0.9045,0.9067,0.8891,0.8891,4077.6
0.88,0.8819,0.8564,0.8759,24513.8
0.8803,0.9063,0.8792,0.8883,7435.8
0.8918,0.8982,0.8871,0.8871,1189.5
0.8881,0.8964,0.8849,0.8849,2222.9
0.8885,0.8927,0.8851,0.8927,580.5
0.8913,0.9075,0.8913,0.9013,4564.2
0.8968,0.9072,0.8967,0.9032,1903.5
0.9103,0.9181,0.8851,0.8883,6964.5
0.9008,0.9008,0.8941,0.8966,3275.3
0.8945,0.8945,0.8865,0.8879,3024.3
0.8733,0.8749,0.8661,0.8667,2991.0
0.8666,0.8718,0.8585,0.8718,8562.5
0.8698,0.8698,0.8628,0.8628,606.6
0.8641,0.8656,0.8581,0.8581,7388.5
0.8618,0.8618,0.8466,0.85,20624.8
0.85,0.8776,0.8486,0.8735,9518.4
0.8718,0.8727,0.8628,0.8632,4335.2
0.8632,0.8632,0.8453,0.8529,10354.7
0.845,0.8511,0.8422,0.8447,2773.9
0.8523,0.8523,0.8423,0.8445,671.0
0.8523,0.8523,0.8361,0.8377,1430.6
0.84,0.84,0.8213,0.8254,31294.0
0.8261,0.8907,0.8261,0.8846,9834.2
0.8817,0.93,0.8816,0.9174,15757.4
0.9112,0.9403,0.9066,0.9149,17177.9
0.92,0.9427,0.92,0.9286,73241.2
0.9264,0.9264,0.9047,0.9047,4720.9
0.9074,0.9074,0.8883,0.8938,9871.1
0.8943,0.8972,0.8844,0.8844,15603.2
0.8811,0.8934,0.8785,0.8934,14988.0
0.8934,0.8934,0.8807,0.8807,209.9
0.8749,0.8992,0.8749,0.8854,2082.7
0.8923,0.8923,0.8809,0.8862,913.7
0.901,0.901,0.8935,0.8936,1697.8
0.8909,0.8964,0.8852,0.8862,1358.8
0.8896,0.8899,0.8806,0.8806,1515.7
0.8957,0.8974,0.8948,0.8974,959.9
0.8889,0.8905,0.8866,0.8897,246.1
0.8941,0.9191,0.8933,0.9068,16863.8
0.9016,0.9062,0.8902,0.8952,1183.9
0.8948,0.9058,0.8927,0.8946,3214.6
0.8894,0.8941,0.8849,0.8868,1829.1
0.8874,0.8913,0.8798,0.8801,5832.0
0.8806,0.8834,0.8708,0.8744,9341.8
0.8747,0.8749,0.84,0.8478,14859.5
0.8547,0.8617,0.846,0.8513,2188.5
0.8412,0.8523,0.836,0.8522,399.8
0.8408,0.8457,0.8394,0.8457,1532.5
0.8476,0.877,0.8476,0.877,646.1
0.8842,0.8892,0.8834,0.8892,2178.4
0.8892,0.8892,0.8843,0.8867,420.7
0.8849,0.8849,0.8682,0.8718,2055.7
0.874,0.8915,0.8739,0.8849,14560.4
0.8754,0.8782,0.8754,0.8782,1682.4
0.8833,0.8833,0.8833,0.8833,5.6
0.8722,0.8734,0.8653,0.8679,1562.0
0.8761,0.8761,0.8558,0.8581,1815.2
0.8581,0.8596,0.8524,0.8582,20987.2
0.851,0.851,0.851,0.851,454.3
0.856,0.856,0.856,0.856,453.7
0.8614,0.8614,0.8614,0.8614,686.9
0.8723,0.8723,0.8723,0.8723,573.1
0.8618,0.8645,0.8597,0.8638,1733.2
0.8657,0.8716,0.8624,0.8624,1946.0
0.8649,0.8717,0.8649,0.8717,393.3
0.88,0.8814,0.8783,0.8814,2132.6
0.89,0.8907,0.8815,0.8907,1845.7
0.8955,0.9035,0.8931,0.896,3307.2
0.8964,0.8964,0.8862,0.8903,785.7
0.8946,0.9141,0.8946,0.9138,4205.7
0.9134,0.9174,0.9062,0.91,13752.3
0.9228,0.9449,0.9199,0.9392,5407.3
0.9305,0.9305,0.9089,0.9272,14081.7
0.9292,0.9617,0.9245,0.9586,17339.1
0.9604,0.9604,0.9327,0.9327,10496.7
0.93,0.9457,0.93,0.9423,1794.1
0.9511,0.9736,0.9511,0.9569,22862.6
0.9525,0.9567,0.9319,0.9319,2333.6
0.9307,0.9309,0.9134,0.9194,29239.6
0.9176,0.9176,0.907,0.9076,45093.8
0.9,0.9009,0.8972,0.9009,379.3
0.8992,0.9048,0.8992,0.9021,33.8
0.8987,0.8987,0.8867,0.8909,10062.2
0.8932,0.8946,0.891,0.891,540.0
0.8911,0.893,0.8904,0.8904,138.8
0.8923,0.8932,0.89,0.89,1511.6
0.8854,0.8854,0.8819,0.8854,569.3
0.8918,0.895,0.8817,0.8817,4456.1
0.8856,0.8888,0.8753,0.8784,11059.4
0.8753,0.8799,0.8738,0.8799,3132.0
0.8842,0.8866,0.8841,0.8865,561.4
0.8869,0.8892,0.8816,0.8816,178.8
0.8816,0.8888,0.8816,0.8888,387.2
0.891,0.896,0.8854,0.8895,1174.4
0.8929,0.9128,0.8928,0.8987,6482.7
0.9048,0.9048,0.8907,0.896,489.8
0.8985,0.8985,0.8898,0.8908,291.6
0.8898,0.8931,0.8826,0.8826,14338.0
0.885,0.8895,0.885,0.8872,27818.2
0.8909,0.8948,0.8872,0.8894,20138.4
0.8842,0.8842,0.8718,0.8718,3129.7
0.8729,0.8751,0.8644,0.8675,6009.5
0.8682,0.8773,0.8682,0.875,1054.3
0.8705,0.8892,0.87,0.8786,296.9
0.8691,0.8691,0.8552,0.8582,74.9
0.8518,0.8518,0.8416,0.8489,454.3
0.8493,0.8493,0.8383,0.8428,585.5
0.8491,0.8561,0.8491,0.8561,1601.8
0.8523,0.8523,0.8405,0.8405,1273.0
0.841,0.8421,0.83,0.83,4401.3
0.8366,0.8366,0.8312,0.8312,113.2
0.827,0.827,0.7936,0.8007,16322.0
0.8041,0.8073,0.7926,0.8006,2760.7
0.7994,0.7994,0.787,0.7957,17181.2
0.7905,0.7963,0.7858,0.7889,2163.1
0.7838,0.8008,0.7806,0.8008,6690.1
0.7951,0.8077,0.7909,0.7954,4340.0
0.7887,0.8089,0.7777,0.8058,7340.0
0.8084,0.8168,0.8022,0.8022,17562.7
0.8001,0.8018,0.7855,0.7855,1917.8
0.7864,0.7902,0.7791,0.7817,951.4
0.7765,0.7765,0.7686,0.7717,953.6
0.7812,0.789,0.7812,0.7864,903.4
0.7838,0.8185,0.7838,0.8182,1857.0
0.8186,0.8192,0.8147,0.8168,969.0
0.8198,0.8227,0.8132,0.8132,576.9
0.8118,0.8142,0.8072,0.8072,1567.1
0.8141,0.8319,0.8141,0.8318,7553.1
0.8333,0.848,0.8333,0.848,2909.9
0.855,0.872,0.855,0.872,2987.2
0.8689,0.8732,0.8406,0.8406,13875.6
0.8463,0.8513,0.8462,0.8513,1002.2
0.8559,0.858,0.8426,0.8454,988.3
0.8449,0.8484,0.8412,0.8484,2306.2
0.8418,0.8418,0.8315,0.8315,1596.3
0.8347,0.8397,0.832,0.8367,1123.2
0.8369,0.8554,0.8363,0.8554,1615.8
0.843,0.8435,0.8317,0.8317,1352.6
0.8295,0.8305,0.8247,0.8263,2108.8
0.8277,0.8277,0.8202,0.8202,4095.6
0.822,0.8392,0.8182,0.8339,14901.7
0.8342,0.8528,0.8336,0.8395,9627.1
0.8405,0.8407,0.8314,0.8314,1217.8
0.8316,0.8443,0.8241,0.8443,12162.1
0.8464,0.8525,0.8399,0.8399,1034.3
0.844,0.844,0.8398,0.8398,134.4
0.8393,0.8393,0.8393,0.8393,33.7
0.8343,0.8395,0.8343,0.8395,1429.5
0.8402,0.8432,0.8345,0.8374,7325.9
0.8352,0.8477,0.8351,0.8477,812.8
0.8398,0.8434,0.8398,0.8434,83.7
0.8439,0.8439,0.8343,0.8343,2160.2
0.8302,0.8302,0.827,0.827,2145.0
