Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
7.43,7.531,7.429,7.508,19668.1
7.5,7.665,7.484,7.655,24273.2
7.659,7.722,7.416,7.506,46301.8
7.508,7.619,7.444,7.615,26295.8
7.601,7.645,7.477,7.498,19298.7
7.5,7.533,7.381,7.485,25304.8
7.486,7.506,7.332,7.343,13956.1
7.349,7.353,7.046,7.156,21621.9
7.143,7.48,7.134,7.39,22645.0
7.395,7.594,7.312,7.346,39338.8
7.354,7.525,7.318,7.446,11532.8
7.446,7.45,7.296,7.356,12853.9
7.364,7.412,7.287,7.405,8194.2
7.406,7.636,7.406,7.629,24386.3
7.629,7.681,7.575,7.588,17195.0
7.589,7.649,7.524,7.595,16918.2
7.6,7.664,7.58,7.645,12140.1
7.645,7.742,7.635,7.701,22306.2
7.699,7.806,7.668,7.696,18916.7
7.699,7.805,7.663,7.775,12328.8
7.794,7.939,7.708,7.899,26359.2
7.904,7.99,7.785,7.844,30938.5
7.849,8.033,7.821,7.944,41163.7
7.937,7.996,7.855,7.967,21836.1
7.96,8.15,7.909,7.952,63178.1
7.948,7.96,7.703,7.757,41655.9
7.745,7.809,7.603,7.741,49411.5
7.744,7.857,7.711,7.776,23066.5
7.773,7.811,7.35,7.683,52856.7
7.673,7.813,7.518,7.628,41286.3
7.619,7.892,7.535,7.858,29566.9
7.861,8.177,7.84,8.115,87664.3
8.115,8.175,7.963,8.035,40666.1
8.036,8.038,7.909,7.948,16360.8
7.948,8.115,7.936,8.111,24387.4
8.103,8.246,8.057,8.084,30314.0
8.084,8.084,7.948,8.0,22883.9
8.001,8.009,7.891,7.932,12444.0
7.938,7.99,7.858,7.86,8931.1
7.859,7.867,7.699,7.748,24277.6
7.742,7.792,7.629,7.781,17509.8
7.787,7.893,7.736,7.787,8616.3
7.782,7.875,7.582,7.6,15963.0
7.596,7.834,7.565,7.74,16963.9
7.746,7.86,7.7,7.86,36787.5
7.857,7.945,7.796,7.822,19302.5
7.827,8.076,7.814,8.045,24946.6
8.044,8.078,7.985,8.003,23744.9
8.002,8.043,7.971,7.999,19426.8
7.992,8.081,7.991,8.039,16060.0
8.041,8.105,8.005,8.092,21372.6
8.092,8.154,8.03,8.032,17586.1
