Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.0017243,0.00174083,0.00170999,0.00173078,12737716.0
0.00173242,0.00174989,0.00173125,0.00173618,6738483.0
0.00173618,0.001755,0.00169686,0.00171534,32297329.0
0.00172095,0.00174372,0.00170681,0.001733,10744665.0
0.00173088,0.00174372,0.00172221,0.00172221,8313620.0
0.00173146,0.00173911,0.0016905,0.00173911,17728974.0
0.00173746,0.00173746,0.00169843,0.00169843,7325606.0
0.00169814,0.00170821,0.00163703,0.00169239,31552079.0
0.00169287,0.00176626,0.00169287,0.00173062,13266097.0
0.00174372,0.00175604,0.00170532,0.0017233,13599537.0
0.00172424,0.00176,0.00172424,0.00176,9623651.0
0.00175698,0.00178463,0.00171842,0.00174,15950352.0
0.00173092,0.00180494,0.00171031,0.00177009,47035367.0
0.00177993,0.00179969,0.00176614,0.00178902,18558292.0
0.00179,0.0018206,0.00178061,0.00180252,48353410.0
0.00180586,0.00184699,0.001801,0.00182489,19409483.0
0.00182182,0.00182537,0.00179015,0.00179015,23791169.0
0.00178469,0.00181332,0.00178469,0.00181286,52471359.0
0.0018128,0.00184767,0.00180859,0.00182849,31063638.0
0.00182443,0.00183427,0.00180578,0.0018298,16414125.0
0.00183318,0.00187397,0.00181512,0.00181959,82649201.0
0.00182083,0.00183246,0.0017806,0.00180983,109058245.0
0.00180577,0.00182323,0.00178995,0.00180257,40797695.0
0.0018,0.00180863,0.00178398,0.00180862,86518015.0
0.00180706,0.00180906,0.00179069,0.00179069,17866809.0
0.00179368,0.00180354,0.00174125,0.00175342,49066556.0
0.00175215,0.00178476,0.00173309,0.00178476,127367107.0
0.00178076,0.00179769,0.00178076,0.00178654,7117079.0
0.00179097,0.00180119,0.0017,0.00176868,71350739.0
0.00176868,0.00179348,0.00174029,0.00176242,5643468.0
0.00175308,0.00181298,0.00173478,0.00180183,11283010.0
0.00180768,0.00182034,0.00179069,0.00180263,18006988.0
0.00180394,0.00180851,0.00179161,0.00180184,19795918.0
0.00179557,0.00181296,0.00178719,0.00181293,31405095.0
0.0018135,0.00181809,0.00179839,0.00180217,34696823.0
0.0018019,0.00180384,0.00178052,0.00178189,57784168.0
0.00178194,0.0018026,0.00178042,0.0017945,17846609.0
0.0017946,0.00179629,0.00178237,0.00179349,18740325.0
0.00179295,0.00179853,0.00177,0.00177314,15102629.0
0.00177031,0.00177031,0.00172713,0.00174498,13497716.0
0.00173053,0.00173944,0.00171503,0.00173712,77835312.0
0.00173577,0.00174292,0.0017199,0.00172773,47861358.0
0.00172771,0.00173734,0.00169902,0.00169902,45081900.0
0.0017,0.00173762,0.001695,0.00172111,33172752.0
0.001725,0.00176159,0.00172011,0.00176159,13819066.0
0.00175138,0.00179461,0.00175138,0.0017576,66470503.0
0.00176337,0.00177232,0.00175195,0.00176221,29121218.0
0.00176509,0.00178,0.00176509,0.00177438,17864732.0
0.0017743,0.0018014,0.00176832,0.0018014,69821152.0
0.00180467,0.00182037,0.00179465,0.00179914,133050796.0
0.00180437,0.00181136,0.0017913,0.00179173,91967089.0
0.00179587,0.001807,0.00179559,0.00180262,32765208.0
0.00180999,0.00181134,0.00179701,0.0018,12744054.0
0.00179587,0.00180788,0.00177826,0.00179604,13140266.0
0.00178643,0.00182,0.00178643,0.00179692,2548062.0
0.0018015,0.00180564,0.00177055,0.00179239,33010261.0
0.0017939,0.00181043,0.00179289,0.00180011,1722418.0
0.00179703,0.00179911,0.001788,0.00179911,6094560.0
0.00180232,0.001817,0.00180232,0.00180247,2500078.0
0.0018021,0.00181516,0.00179112,0.00180134,5704372.0
0.00181516,0.00181695,0.00180349,0.00180901,2906846.0
0.001817,0.00184224,0.00181342,0.00182226,11157184.0
0.001831,0.00190601,0.00182731,0.00188066,34046496.0
0.00188006,0.00198,0.00187119,0.0019443,80799254.0
