Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
21.9,22.07,21.81,22.06,1296.91
22.08,22.48,22.08,22.42,621.21
22.39,22.66,21.9,22.02,1155.69
22.13,22.27,21.89,22.27,926.92
22.27,22.43,22.18,22.18,748.79
22.15,22.15,21.5,22.01,677.36
21.86,22.46,21.7,21.73,503.72
21.67,21.67,20.86,21.32,1201.22
21.25,21.67,21.16,21.43,489.07
21.53,22.04,20.67,20.7,10561.01
20.7,21.33,20.65,21.17,900.82
21.08,21.08,20.78,20.88,788.93
20.91,21.19,20.78,21.19,201.38
21.06,21.37,20.98,21.37,103.49
21.27,21.51,21.25,21.35,927.32
21.45,21.74,21.45,21.57,579.57
21.62,21.62,21.4,21.57,382.6
21.67,21.85,21.67,21.82,282.71
21.85,21.95,21.61,21.81,699.18
21.81,21.81,21.42,21.42,3041.55
21.45,21.7,21.26,21.41,1896.89
21.51,21.59,21.2,21.59,2412.62
21.54,21.79,21.36,21.62,2796.26
21.61,21.83,21.55,21.64,645.27
21.67,21.69,21.4,21.4,512.31
21.36,21.54,21.04,21.07,892.1
21.02,21.17,20.72,21.02,529.9
21.01,21.55,21.01,21.54,697.09
21.49,21.52,20.14,20.98,2617.43
20.89,21.26,20.65,21.14,930.5
21.08,21.48,20.76,21.47,2042.3
21.5,21.69,21.35,21.51,1094.64
21.48,21.49,21.14,21.24,1391.19
21.21,21.36,21.06,21.32,388.3
21.43,21.5,21.3,21.44,194.94
21.39,21.64,21.39,21.47,1062.24
21.34,21.46,21.2,21.26,604.39
21.18,21.52,21.18,21.44,562.29
21.38,21.45,21.09,21.14,1007.96
21.14,21.14,20.73,20.8,2009.79
20.81,20.82,20.31,20.72,2182.23
20.72,20.79,20.48,20.48,717.52
20.65,20.78,20.07,20.1,1214.53
20.14,20.51,19.89,20.35,2797.92
20.48,20.68,20.22,20.65,841.51
20.62,21.15,20.55,20.85,1114.68
20.86,20.94,20.75,20.94,344.29
20.94,21.17,20.88,21.06,1406.04
21.03,21.17,20.98,21.05,1506.86
21.02,21.17,20.98,21.16,723.54
21.13,21.42,21.1,21.31,2394.73
21.29,21.54,21.17,21.18,4438.48
21.22,21.76,21.22,21.72,1450.14
21.65,21.67,21.34,21.53,4760.31
21.4,22.33,21.36,21.76,3435.12
21.73,21.97,21.58,21.7,1355.03
21.7,21.86,21.59,21.67,781.06
21.58,21.64,21.34,21.5,1953.38
21.43,21.56,21.43,21.56,509.71
21.58,21.67,21.37,21.41,198.65
21.47,21.76,21.47,21.48,201.16
21.52,21.52,20.95,21.13,2235.17
21.1,21.6,21.05,21.45,2762.7
21.44,21.48,21.33,21.34,47.68
21.36,21.47,21.2,21.2,557.3
21.28,21.4,21.19,21.28,4189.07
21.31,21.51,21.31,21.47,300.48
21.41,21.5,21.38,21.5,218.79
21.44,21.56,21.22,21.55,960.77
21.49,21.6,21.39,21.48,538.23
21.51,21.51,21.25,21.25,877.31
21.27,21.27,20.97,21.07,231.26
21.08,21.16,21.04,21.16,216.01
21.16,21.24,21.06,21.06,612.67
20.97,21.11,20.92,21.07,167.85
20.99,21.19,20.99,21.04,338.64
21.04,21.14,20.97,21.14,472.75
