Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.009401,0.009481,0.009335,0.009432,3965681.0
0.009423,0.009535,0.009412,0.009431,4614702.0
0.009438,0.009609,0.009282,0.0094,8228844.0
0.009393,0.009562,0.00935,0.009558,3210315.0
0.009532,0.009568,0.009406,0.009447,2231678.0
0.009461,0.009478,0.009187,0.009419,5136923.0
0.009423,0.009426,0.009205,0.009214,717340.0
0.00919,0.00919,0.008781,0.008988,2815886.0
0.008989,0.0093,0.008989,0.009218,2260896.0
0.009235,0.009432,0.009161,0.00917,2912392.0
0.009173,0.009485,0.009122,0.009445,1137128.0
0.009414,0.009438,0.009217,0.009339,1258655.0
0.009301,0.00935,0.009195,0.009345,1271137.0
0.009342,0.009549,0.009339,0.009547,2201009.0
0.009534,0.009569,0.009453,0.009488,1577477.0
0.009488,0.009488,0.009401,0.009418,1450348.0
0.009412,0.00954,0.009392,0.00942,2655151.0
0.009431,0.009587,0.009431,0.009562,896405.0
0.009589,0.009779,0.009582,0.009683,3439912.0
0.009673,0.0097,0.009568,0.009576,1003582.0
0.009602,0.009713,0.009532,0.009674,2728958.0
0.009673,0.00974,0.009501,0.00968,3605274.0
0.009694,0.009694,0.009513,0.009674,1564150.0
0.009648,0.009712,0.009595,0.009697,1499157.0
0.009707,0.009835,0.009672,0.009694,6550250.0
0.00969,0.009832,0.009472,0.009536,12706618.0
0.009535,0.009888,0.009412,0.009666,9413149.0
0.009666,0.009698,0.009608,0.009637,2145437.0
0.009631,0.009709,0.009164,0.009526,26013608.0
0.009516,0.009888,0.009331,0.009486,13402790.0
0.009486,0.00971,0.009351,0.009705,2823620.0
0.009689,0.009843,0.009681,0.009751,12025903.0
0.009751,0.009899,0.009674,0.009899,1700125.0
0.0099,0.009927,0.009769,0.009803,1292588.0
0.009811,0.009811,0.009733,0.00977,1061177.0
0.009746,0.009782,0.009643,0.009678,1543545.0
0.009667,0.009863,0.009667,0.009814,1954762.0
0.009807,0.009924,0.009755,0.009892,4453958.0
0.009902,0.01014,0.009821,0.009821,17854986.0
0.009836,0.009836,0.00962,0.009647,7123890.0
0.009642,0.009689,0.009514,0.009651,3512487.0
0.009626,0.009683,0.00952,0.009558,2975375.0
0.009608,0.009608,0.009311,0.009331,8165289.0
0.009342,0.009551,0.009307,0.00949,12312658.0
0.009496,0.009628,0.009396,0.009612,16327275.0
0.009595,0.009758,0.009559,0.009652,12682993.0
0.009653,0.009744,0.009618,0.009706,3204835.0
0.009692,0.009829,0.009683,0.009764,7587398.0
0.00976,0.009868,0.009754,0.009831,5035180.0
0.009835,0.00992,0.009779,0.009815,5163111.0
0.009813,0.009851,0.009738,0.009756,1470216.0
0.009766,0.009792,0.009662,0.009679,1269357.0
0.009715,0.009742,0.00967,0.00971,1894901.0
0.009694,0.009767,0.00965,0.009677,2772794.0
0.009677,0.009725,0.009581,0.009581,3188823.0
0.009616,0.009655,0.009578,0.009616,3340045.0
0.009618,0.009703,0.0096,0.009676,1319328.0
0.009639,0.009647,0.009567,0.009646,964631.0
0.009603,0.009683,0.009603,0.009654,2471100.0
0.009633,0.009694,0.009614,0.009624,1045563.0
0.00964,0.009651,0.009614,0.009627,613980.0
0.009627,0.00966,0.009553,0.009618,640670.0
0.009625,0.009652,0.009582,0.009629,1402995.0
0.00965,0.009804,0.00965,0.009796,6030477.0
0.0098,0.010034,0.009771,0.010034,12873594.0
0.01001,0.0102,0.009973,0.010035,10230188.0
0.010032,0.010136,0.009922,0.010032,4329431.0
0.010025,0.010107,0.009962,0.010094,2000724.0
0.010141,0.010451,0.010073,0.01033,7206266.0
0.010335,0.010403,0.010211,0.010331,4664363.0
0.010345,0.010381,0.010151,0.01017,4226672.0
0.01018,0.010191,0.01005,0.010094,7472900.0
0.010127,0.010141,0.009954,0.01003,6863360.0
0.010034,0.010138,0.010034,0.010046,1653043.0
0.01005,0.010088,0.009973,0.010071,1573570.0
0.010091,0.010091,0.009995,0.010053,689892.0
0.010053,0.010065,0.009957,0.009973,2876408.0
0.009995,0.010032,0.009881,0.009897,1981360.0
0.009904,0.009952,0.00987,0.009952,817856.0
0.009954,0.010011,0.009895,0.009913,631001.0
0.009903,0.009998,0.009898,0.009951,310311.0
0.009949,0.010048,0.009949,0.009983,476084.0
0.009973,0.010092,0.009914,0.009914,2318944.0
0.009886,0.009959,0.009743,0.009818,1395697.0
0.009818,0.009877,0.00974,0.009877,1138238.0
0.009873,0.009888,0.009799,0.009874,1463955.0
0.009845,0.009845,0.009608,0.009639,1285931.0
0.009612,0.009728,0.009545,0.009587,5244117.0
0.009604,0.009747,0.009601,0.009733,1744734.0
0.009706,0.009778,0.009695,0.00977,996733.0
0.009737,0.009817,0.009672,0.009791,3328717.0
0.009818,0.009837,0.009799,0.009807,1728812.0
0.009828,0.009849,0.009775,0.009777,744061.0
0.009798,0.009922,0.009715,0.009922,4227339.0
0.009942,0.01,0.009835,0.00984,1925158.0
0.009812,0.009864,0.009766,0.009843,1223070.0
0.00983,0.009846,0.009716,0.00974,3004962.0
0.00974,0.00983,0.009704,0.00983,663278.0
0.009828,0.009842,0.009784,0.009784,2899597.0
0.009792,0.009849,0.009761,0.009821,1093402.0
0.009836,0.009919,0.009824,0.009919,630882.0
0.009919,0.009919,0.009842,0.009892,1933247.0
0.009884,0.009884,0.009702,0.009739,1477348.0
0.009747,0.009887,0.009677,0.009695,2722840.0
0.009663,0.009778,0.0096,0.009652,1096776.0
0.009659,0.009691,0.009443,0.009513,3430768.0
0.009534,0.009653,0.009496,0.009653,445869.0
