Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
14.56,14.87,14.56,14.65,407.73
14.65,14.7,14.6,14.62,238.33
14.6,14.71,14.21,14.21,1172.85
14.25,14.6,14.25,14.55,359.48
14.53,14.57,14.4,14.43,265.8
14.4,14.4,14.03,14.4,113.65
14.3,14.4,13.94,14.03,59.85
13.86,13.86,13.31,13.62,481.18
13.6,13.93,13.6,13.88,283.76
13.9,14.47,13.71,13.82,518.23
13.9,14.29,13.9,14.1,70.41
14.06,14.06,13.86,13.9,38.86
13.92,14.04,13.76,14.03,113.63
14.1,14.17,14.1,14.15,27.83
14.13,14.13,13.93,13.94,46.47
13.94,13.94,13.77,13.78,177.46
13.77,13.82,13.67,13.7,92.18
13.65,13.77,13.63,13.77,118.73
13.73,13.9,13.73,13.85,227.76
13.76,13.84,13.75,13.84,77.81
13.81,13.9,13.7,13.89,417.2
13.87,13.92,13.65,13.78,77.27
13.85,14.15,13.8,14.08,512.52
14.08,14.1,13.99,14.05,171.28
14.04,14.04,13.71,13.71,271.98
13.65,13.73,13.41,13.41,144.87
13.39,13.61,13.25,13.53,1393.93
13.46,13.6,13.46,13.6,226.87
13.67,13.67,13.09,13.55,1338.96
13.59,13.78,13.35,13.56,215.48
13.47,13.93,13.43,13.93,301.93
13.92,14.05,13.87,14.04,104.27
13.91,14.04,13.9,14.04,81.66
13.92,13.92,13.92,13.92,1.59
13.95,13.96,13.86,13.9,17.71
13.8,13.8,13.73,13.73,9.49
13.69,13.87,13.66,13.84,1394.21
13.87,14.1,13.83,14.1,2057.82
14.09,14.29,13.99,13.99,2027.61
13.93,13.93,13.57,13.6,116.01
13.6,13.81,13.46,13.77,92.37
13.75,13.81,13.68,13.73,87.74
13.87,13.87,13.25,13.29,133.44
13.3,13.63,13.2,13.47,195.01
13.47,13.79,13.39,13.79,210.43
13.75,14.16,13.74,13.91,434.44
13.97,14.22,13.95,14.09,180.84
14.09,14.09,13.93,13.96,134.16
13.97,14.31,13.97,14.31,132.07
14.31,14.43,14.23,14.23,118.75
14.27,14.42,14.21,14.21,344.46
14.29,14.33,14.17,14.17,33.28
14.11,14.11,13.64,13.71,508.98
13.71,13.75,13.69,13.69,55.68
13.78,13.83,13.58,13.58,124.37
13.58,13.58,13.53,13.58,31.58
13.56,13.74,13.55,13.74,128.24
13.75,13.77,13.75,13.77,5.25
13.8,13.84,13.78,13.8,69.07
13.8,13.83,13.78,13.78,19.84
13.79,13.79,13.75,13.75,34.49
13.75,13.75,13.56,13.56,75.13
13.63,13.63,13.55,13.6,30.48
13.63,13.63,13.5,13.5,41.81
13.54,13.54,13.43,13.46,1125.55
13.54,13.64,13.53,13.58,606.87
13.58,13.63,13.45,13.55,204.27
13.53,13.55,13.53,13.54,19.51
13.57,13.57,13.48,13.56,44.17
13.55,13.55,13.32,13.44,64.85
13.49,13.49,13.42,13.45,34.18
13.38,13.4,13.25,13.3,83.23
13.35,13.51,13.35,13.51,244.13
13.52,13.56,13.4,13.4,168.38
13.4,13.5,13.36,13.45,37.26
13.43,13.55,13.43,13.52,101.88
13.41,13.41,13.24,13.24,84.65
13.25,13.4,13.25,13.4,18.87
13.42,13.5,13.35,13.48,261.58
13.52,13.54,13.28,13.28,82.65
13.28,13.28,13.28,13.28,0.0
13.37,13.38,13.28,13.28,39.98
13.27,13.28,13.12,13.12,21.8
13.13,13.16,13.06,13.1,26.91
13.06,13.06,13.06,13.06,2.41
13.09,13.22,13.09,13.17,38.03
13.15,13.15,12.95,12.95,203.97
12.93,13.05,12.93,12.94,59.36
13.0,13.12,13.0,13.12,27.36
13.02,13.12,12.95,13.12,202.96
13.09,13.12,12.98,13.12,72.65
13.14,13.23,13.14,13.19,64.6
13.17,13.28,13.15,13.19,729.24
13.02,13.12,12.98,13.09,640.55
13.11,13.11,12.87,12.91,159.44
12.92,12.96,12.85,12.96,65.57
12.9,12.9,12.82,12.82,135.43
12.83,12.91,12.83,12.9,38.25
12.9,12.92,12.89,12.89,11.08
12.85,12.94,12.82,12.92,210.29
12.98,13.07,12.98,13.07,36.14
13.09,13.12,13.09,13.12,8.92
13.06,13.06,12.91,12.91,297.79
13.04,13.19,12.86,12.86,60.37
12.97,12.97,12.76,12.8,260.61
12.85,12.86,12.61,12.61,162.41
12.68,12.76,12.68,12.76,26.87
12.76,12.76,12.75,12.75,12.24
12.75,12.75,12.54,12.56,715.94
12.58,12.59,12.19,12.51,2073.09
12.41,12.49,12.06,12.15,375.94
12.21,12.22,11.96,12.08,1336.9
12.11,12.26,12.09,12.25,206.84
12.21,12.21,11.86,11.95,417.42
11.95,12.13,11.91,12.13,79.04
12.13,12.5,12.13,12.47,187.66
12.44,12.64,12.38,12.6,571.32
12.57,12.57,12.39,12.4,433.59
12.34,12.91,12.34,12.69,895.91
12.67,12.82,12.35,12.35,162.5
12.26,12.43,12.23,12.31,58.97
12.29,12.36,12.22,12.31,59.89
12.27,12.27,11.3,11.47,601.22
11.35,11.35,8.27,10.66,2710.42
10.64,12.6,9.57,10.45,2336.68
10.45,10.8,10.35,10.69,1699.48
10.66,11.0,10.46,10.92,557.74
10.84,10.86,10.73,10.86,257.06
10.81,10.81,10.38,10.38,215.46
10.37,10.43,10.0,10.34,320.75
10.38,10.56,10.25,10.5,115.84
10.59,10.71,10.52,10.69,133.46
10.77,10.95,10.68,10.92,320.45
10.94,10.96,10.85,10.96,184.85
10.93,10.93,10.69,10.76,396.1
10.77,10.83,10.76,10.76,85.27
10.76,10.85,10.76,10.8,141.81
10.77,10.77,10.58,10.66,551.31
10.71,12.2,10.31,10.34,40908.89
10.42,10.6,10.39,10.45,2074.66
10.51,10.67,10.49,10.5,124.48
10.4,10.4,9.88,9.88,208.86
9.81,10.15,9.73,10.15,582.3
9.94,10.0,9.62,9.62,498.16
9.6,9.9,9.6,9.9,34.2
9.92,10.39,9.92,10.35,254.22
10.31,10.41,10.25,10.41,63.43
10.48,10.58,10.42,10.51,680.66
10.54,10.67,10.53,10.6,171.33
10.65,10.66,10.63,10.63,64.99
10.56,10.56,10.38,10.38,25.71
10.37,10.43,10.17,10.37,41.16
10.2,10.72,10.18,10.65,182.49
10.74,10.79,10.67,10.68,70.02
10.78,10.78,10.66,10.69,119.55
10.7,10.7,10.52,10.52,113.35
10.51,10.59,10.51,10.59,44.06
10.64,10.71,10.54,10.54,565.44
10.51,10.99,10.51,10.91,265.01
10.9,10.9,10.79,10.8,82.59
10.91,10.93,10.8,10.91,280.08
10.9,10.99,10.86,10.9,303.94
10.9,11.19,10.9,11.1,169.04
11.24,11.51,11.24,11.4,291.95
11.48,11.5,11.33,11.47,282.68
11.43,11.71,11.43,11.58,194.32
11.63,11.79,11.57,11.57,194.7
11.58,11.69,11.5,11.5,38.42
11.43,11.53,11.43,11.53,3.15
11.48,11.5,11.38,11.44,233.73
11.53,11.53,11.44,11.47,15.08
11.47,11.6,11.37,11.44,1040.46
11.43,11.51,11.43,11.51,2.85
11.52,11.52,11.42,11.43,176.53
11.5,11.53,11.32,11.37,451.36
11.4,11.46,11.4,11.46,30.59
11.45,11.83,11.45,11.83,112.36
11.83,12.4,11.83,12.09,1259.83
12.1,12.34,12.02,12.3,300.43
12.25,12.68,12.25,12.58,465.04
12.58,12.85,12.53,12.81,179.73
12.77,12.77,12.58,12.69,118.45
12.71,12.87,12.66,12.68,206.16
12.77,12.77,12.62,12.69,143.2
12.63,12.63,12.55,12.55,15.24
12.44,12.46,12.33,12.34,106.43
12.45,12.54,12.4,12.54,55.44
12.63,13.22,12.63,13.21,735.13
13.16,13.35,13.06,13.35,599.96
13.34,13.48,13.06,13.07,742.87
13.2,13.2,12.84,12.92,1082.77
12.92,12.93,12.71,12.75,299.96
12.73,12.73,12.63,12.7,463.19
12.76,12.78,12.34,12.46,359.42
12.64,12.71,12.48,12.61,105.03
12.79,12.83,12.61,12.61,168.44
12.57,12.74,12.48,12.65,54.47
12.66,12.66,12.61,12.63,36.4
12.71,12.73,12.64,12.64,156.24
12.57,12.57,12.34,12.57,99.53
12.56,12.89,12.56,12.85,84.34
