Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
3.8265,3.8421,3.794,3.794,1295.0
3.8166,3.8409,3.7893,3.8135,6624.0
3.8,3.8406,3.7394,3.7534,8409.0
3.7538,3.8132,3.7524,3.8,7592.0
3.8048,3.8601,3.7985,3.8149,6923.0
3.7999,3.8228,3.7585,3.8228,3116.0
3.8453,3.8808,3.8233,3.8233,4577.0
3.8064,3.9074,3.7479,3.9068,8563.0
3.9062,4.12,3.8772,4.067,15249.0
4.0755,4.1199,3.956,3.9716,6690.0
3.954,4.1773,3.954,4.104,12016.0
4.0833,4.0833,3.9299,3.9484,9272.0
3.9587,3.9624,3.9124,3.9293,2094.0
3.935,4.0172,3.935,4.0,3466.0
4.0026,4.2493,4.0026,4.1015,14001.0
4.0887,4.0922,3.984,3.9991,2855.0
3.9905,3.9905,3.947,3.96,3160.0
3.9684,4.0054,3.9564,3.9705,2085.0
3.9569,4.0104,3.9273,3.9486,5432.0
3.9255,3.9591,3.923,3.959,6904.0
3.9638,4.032,3.9417,4.0231,4000.0
3.9932,4.0257,3.9453,3.9973,2028.0
4.021,4.0585,3.9918,4.0053,5178.0
4.0006,4.0228,3.9824,3.9994,7805.0
3.9873,3.9873,3.9453,3.9453,3337.0
3.9451,3.95,3.8714,3.9106,15477.0
3.9106,3.9437,3.8794,3.9437,9567.0
3.9168,3.9332,3.906,3.908,1487.0
3.9042,3.9215,3.7463,3.875,5829.0
3.877,3.9246,3.865,3.8888,3341.0
3.9074,3.9302,3.887,3.9191,1520.0
3.9332,4.0383,3.9332,3.9979,4900.0
3.9833,4.0499,3.9581,4.0044,4217.0
4.0075,4.0162,3.9714,3.976,3136.0
3.9825,4.0747,3.9825,4.0499,7172.0
4.0592,4.12,4.0526,4.0959,11033.0
4.1033,4.1469,4.0812,4.1322,8325.0
4.138,4.1601,4.1021,4.1497,11466.0
4.1505,4.1785,4.09,4.1403,5760.0
4.1451,4.1996,4.1079,4.1079,7754.0
4.1025,4.1025,4.0101,4.0396,5685.0
4.0302,4.052,3.98,4.0236,2664.0
4.0064,4.0751,4.0064,4.0384,4057.0
4.0445,4.1471,4.0437,4.1126,16818.0
4.0997,4.1121,4.0238,4.052,16271.0
4.0524,4.064,3.974,3.975,6656.0
3.9747,3.9747,3.8929,3.945,22141.0
3.9427,4.0182,3.9373,4.0182,23775.0
4.018,4.0459,4.0043,4.0304,8293.0
4.0305,4.05,3.9956,4.05,3124.0
4.0566,4.0661,4.0106,4.02,5985.0
4.0131,4.0237,4.0016,4.0113,1414.0
4.003,4.0124,4.0,4.0094,3273.0
4.0,4.0068,3.9109,3.9623,14169.0
3.9676,3.9912,3.9586,3.9697,3361.0
3.9578,3.9578,3.9414,3.9463,821.0
3.9337,3.94,3.9307,3.935,158.0
3.9522,3.9522,3.9229,3.9259,6012.0
3.912,3.9425,3.912,3.9324,646.0
3.9322,3.9459,3.9162,3.9234,991.0
3.9228,3.939,3.9163,3.9241,6604.0
3.9177,3.9353,3.9084,3.924,14145.0
3.9299,3.9299,3.892,3.9039,11199.0
3.9038,3.9491,3.9038,3.9258,41880.0
3.9258,3.9258,3.8918,3.9175,25447.0
3.9244,3.9383,3.9127,3.9192,6186.0
3.9188,3.9283,3.897,3.9014,12052.0
3.913,3.9208,3.8967,3.9133,30969.0
3.9131,3.9217,3.8922,3.9217,5380.0
3.9002,3.9153,3.8929,3.904,1794.0
3.9008,3.9266,3.857,3.9203,20629.0
3.9156,3.9156,3.8362,3.8846,19252.0
3.8835,3.8991,3.8736,3.8978,13644.0
3.8978,3.9112,3.8792,3.8792,8608.0
3.895,3.8977,3.8784,3.8977,697.0
3.8972,3.9187,3.8905,3.9182,6859.0
3.9216,3.9579,3.9216,3.9326,11503.0
3.957,3.9897,3.957,3.9897,5096.0
3.9895,4.0498,3.9829,4.0094,18736.0
4.0354,4.05,4.005,4.0462,2151.0
4.0492,4.05,4.02,4.02,4337.0
4.0163,4.0511,3.9938,4.0352,5290.0
4.0221,4.0221,3.9977,4.0063,1078.0
4.0068,4.021,3.9922,4.0003,3773.0
4.0186,4.0813,4.0186,4.0574,9102.0
4.0631,4.0819,3.9986,3.9986,5687.0
3.9987,4.0433,3.9668,3.9668,7040.0
3.966,4.0382,3.9571,4.022,6595.0
4.0307,4.1063,4.0221,4.0635,25696.0
4.0327,4.0976,4.0012,4.0976,17984.0
4.0826,4.18,4.0726,4.155,10870.0
4.1492,4.1694,4.0867,4.1588,7198.0
4.164,4.2069,4.0374,4.0638,33568.0
4.0548,4.0548,3.9666,4.0144,14297.0
4.0139,4.0139,3.929,3.9307,10096.0
3.9258,3.9462,3.9,3.9462,21559.0
3.9538,3.9657,3.9374,3.9642,6414.0
3.9565,4.0993,3.9565,4.0608,12137.0
4.0525,4.1499,4.0525,4.0913,13443.0
4.0885,4.0966,4.042,4.0519,4394.0
4.0673,4.135,4.0618,4.1281,11806.0
4.1188,4.1948,4.1113,4.1844,29161.0
4.1835,4.2954,4.1246,4.1807,32148.0
4.1806,4.1861,4.0827,4.0827,3298.0
4.0867,4.0875,4.0104,4.0242,5500.0
4.0198,4.0559,3.9906,4.048,12380.0
4.0433,4.0725,4.0029,4.0185,3142.0
4.0261,4.0674,4.0261,4.0388,6064.0
4.0388,4.0575,3.9892,4.0052,15346.0
4.0042,4.1005,3.9458,4.0917,15839.0
4.0848,4.0873,3.9715,3.9847,20473.0
3.9936,4.0677,3.98,4.042,19295.0
4.0256,4.0721,3.9847,4.0431,13608.0
3.9849,4.0014,3.9055,3.9084,12897.0
3.9,4.0004,3.8656,3.998,10890.0
3.9929,4.1213,3.9498,4.0787,16124.0
4.0847,4.2,4.0613,4.1769,15794.0
4.1896,4.2017,3.9843,4.0014,21116.0
3.9942,4.0463,3.7881,3.8481,34417.0
3.8318,3.9025,3.8182,3.8654,17370.0
3.8608,3.8919,3.8435,3.8492,7418.0
3.8519,3.8541,3.8106,3.8106,6473.0
3.8,3.8114,3.5846,3.6269,29560.0
3.6143,4.0,2.98,3.5155,63529.0
3.4901,3.5154,3.2731,3.4929,16116.0
3.4819,3.6044,3.4755,3.5734,16992.0
3.5647,3.7042,3.4787,3.6531,5084.0
3.6394,3.6499,3.5909,3.6407,3672.0
3.63,3.6301,3.5144,3.5144,1354.0
3.5109,3.5266,3.4147,3.5266,8294.0
3.5092,3.642,3.4285,3.6354,7597.0
3.634,3.7387,3.6139,3.6941,8021.0
3.7184,3.9102,3.718,3.8705,7763.0
3.8589,3.9803,3.8324,3.9803,1937.0
3.9745,4.0833,3.934,4.0832,16719.0
4.0745,4.121,4.0073,4.026,22922.0
4.033,4.1318,4.033,4.066,6397.0
4.067,4.0993,4.0248,4.0506,10352.0
4.0744,4.0972,3.9653,3.9857,21097.0
3.9778,4.1042,3.9778,4.0424,9726.0
4.0506,4.1487,4.0329,4.0693,7153.0
4.0672,4.1004,3.8678,3.8678,8989.0
3.8719,4.0874,3.8448,4.0257,20934.0
4.0257,4.0257,3.8394,3.851,15567.0
3.852,3.9197,3.7903,3.8185,10954.0
3.8292,3.912,3.8221,3.8501,3312.0
3.8577,3.9001,3.8051,3.8506,10049.0
3.8573,3.9878,3.8432,3.9586,26792.0
3.9628,4.0704,3.9461,4.0704,24058.0
4.0701,4.0956,3.9759,4.0192,2677.0
4.0127,4.0998,3.9376,3.9701,2078.0
3.9656,3.9773,3.8774,3.8868,4881.0
3.901,4.0011,3.8734,4.0011,641.0
4.0092,4.0937,4.0092,4.0729,1013.0
4.1,4.1484,4.0896,4.1167,3212.0
4.1111,4.1308,4.0432,4.09,2117.0
4.0656,4.139,4.0656,4.099,4555.0
4.12,4.127,4.0921,4.0921,535.0
4.08,4.1458,4.0559,4.0559,3368.0
4.112,4.2876,4.112,4.2551,6479.0
4.2438,4.3396,4.0849,4.1276,12238.0
4.1334,4.213,4.0315,4.0669,31888.0
4.0726,4.2788,4.0603,4.2788,8765.0
4.2875,4.3011,4.1613,4.1947,17985.0
4.1923,4.45,4.1898,4.287,18553.0
4.2934,4.4882,4.2934,4.3093,56587.0
4.323,4.4714,4.323,4.4291,15430.0
4.4167,4.6345,4.3101,4.3173,34138.0
4.3258,4.3777,4.27,4.3527,19621.0
4.3545,4.3943,4.3077,4.338,20470.0
4.3427,4.3543,4.2248,4.2328,5905.0
4.2375,4.2947,4.226,4.265,9296.0
4.2651,4.3318,4.2338,4.2338,4715.0
4.2379,4.2834,4.2379,4.2677,1848.0
4.2683,4.3292,4.2577,4.2608,3818.0
4.2625,4.2633,4.1881,4.1881,5545.0
4.1853,4.2092,4.1799,4.2077,4054.0
4.2075,4.221,4.1689,4.1694,3570.0
4.1688,4.1979,4.1514,4.1586,14718.0
4.1573,4.2107,4.1375,4.1972,6786.0
4.1908,4.21,4.1599,4.1702,5808.0
4.1655,4.1758,4.14,4.1415,3932.0
4.1472,4.2393,4.1404,4.1919,10536.0
4.1898,4.2134,4.1734,4.1734,3483.0
4.17,4.2169,4.1276,4.1844,6453.0
4.1802,4.2578,4.1792,4.2528,5426.0
4.2629,4.272,4.1757,4.1867,7198.0
4.1854,4.2258,4.1684,4.198,2122.0
4.2003,4.2003,4.13,4.1551,5387.0
4.1596,4.1723,4.1186,4.134,10223.0
4.1465,4.1712,4.0999,4.1124,17959.0
4.1075,4.1336,4.099,4.1318,3766.0
4.1303,4.22,4.1302,4.2164,2694.0
4.2173,4.2263,4.053,4.0603,7018.0
4.0652,4.1241,4.0597,4.1241,12593.0
4.0759,4.101,4.0457,4.05,17837.0
4.0458,4.0474,4.0042,4.0258,7139.0
4.0354,4.0367,4.0061,4.0255,511.0
4.0255,4.0918,4.0255,4.0623,1604.0
4.0675,4.0676,4.0007,4.0262,2775.0
4.014,4.0261,3.9925,3.9967,579.0
4.0071,4.0204,3.9934,4.0176,1506.0
3.9898,4.0353,3.9693,3.9694,8676.0
3.9841,3.9904,3.9303,3.9642,3631.0
3.96,3.9834,3.9496,3.9496,3145.0
3.9436,3.9451,3.9248,3.9451,480.0
3.9356,3.9814,3.9237,3.9814,822.0
3.9594,3.9594,3.9192,3.9315,292.0
3.9364,3.9368,3.903,3.9368,1521.0
3.9317,3.9317,3.875,3.8862,2731.0
3.894,3.899,3.8621,3.8802,3276.0
3.8742,3.8783,3.8531,3.8703,1948.0
3.869,3.9323,3.84,3.9323,7002.0
3.9432,3.9791,3.8656,3.8826,4844.0
3.8747,3.9132,3.8538,3.8695,6527.0
3.8659,3.8918,3.8547,3.8917,2757.0
3.8901,3.8909,3.8412,3.8459,941.0
3.8523,3.9069,3.8523,3.8986,1766.0
3.8961,3.9132,3.889,3.9079,1101.0
3.9054,3.909,3.8855,3.8859,3376.0
3.884,3.8866,3.8571,3.8684,2517.0
3.8685,3.9007,3.8595,3.8941,1749.0
3.8927,3.8929,3.8736,3.8878,693.0
3.8986,3.9283,3.8986,3.9178,1462.0
3.903,3.903,3.8661,3.8661,1321.0
3.8838,3.9607,3.8838,3.9501,1123.0
3.9245,3.9342,3.9051,3.9301,2763.0
3.9629,4.0306,3.925,4.0195,2215.0
4.0145,4.0479,4.0145,4.0321,268.0
4.0339,4.034,4.0039,4.0084,1244.0
3.9942,4.0146,3.9906,4.0061,1035.0
4.0271,4.0289,3.9942,4.0005,4689.0
4.0137,4.0369,4.0062,4.027,1253.0
3.9966,4.0132,3.9898,4.003,3872.0
4.0117,4.0117,3.944,3.944,2949.0
3.9484,3.9659,3.9026,3.9475,7869.0
3.9562,3.9712,3.9404,3.9636,2028.0
3.9511,3.9549,3.9384,3.9462,845.0
3.9382,3.9411,3.9,3.9,530.0
3.9118,3.9132,3.8501,3.9132,10418.0
3.9014,3.9076,3.85,3.85,10932.0
3.8583,3.8769,3.8477,3.8769,826.0
3.8918,3.8918,3.84,3.8506,3004.0
3.8401,3.8757,3.82,3.8757,2718.0
3.8564,3.8832,3.8443,3.88,2332.0
3.88,3.906,3.8661,3.8821,1893.0
3.8909,3.9125,3.8799,3.9125,558.0
3.9189,3.9189,3.8894,3.9061,143.0
3.9061,3.9148,3.8926,3.9026,1678.0
3.881,3.881,3.8545,3.8545,308.0
3.8566,3.8824,3.8566,3.8624,507.0
3.8704,3.8714,3.8436,3.8604,462.0
3.85,3.8595,3.82,3.82,422.0
3.8175,3.8175,3.774,3.7986,3719.0
3.7884,3.84,3.7862,3.8314,4895.0
3.8375,3.8407,3.8208,3.8342,416.0
3.8413,3.852,3.8167,3.8167,1507.0
3.8271,3.8409,3.8152,3.8282,6073.0
3.836,3.8885,3.8274,3.8885,295.0
3.8847,3.8942,3.8623,3.8926,1699.0
3.892,3.8921,3.8679,3.8798,154.0
3.8792,3.8913,3.8708,3.8775,3230.0
3.8725,3.8847,3.8613,3.8733,1966.0
3.8637,3.873,3.8546,3.8547,3645.0
3.8552,3.9751,3.838,3.8749,11549.0
3.8712,3.8975,3.8712,3.8853,6103.0
3.8777,3.8922,3.8626,3.8626,1665.0
3.8654,3.8654,3.7829,3.785,5117.0
3.7738,3.8278,3.762,3.8278,3919.0
3.8315,3.8849,3.8315,3.8713,1196.0
3.8778,3.95,3.8773,3.9129,9607.0
3.9301,4.1,3.9301,4.0199,15918.0
4.0413,4.0413,3.9831,4.0005,5980.0
4.0027,4.0047,3.9681,3.9831,684.0
3.9796,3.9796,3.9544,3.9656,1293.0
3.9721,4.0359,3.972,4.0328,1264.0
4.0267,4.0698,4.0267,4.0437,5684.0
4.0442,4.0578,3.9925,4.005,7118.0
4.0151,4.027,4.0033,4.0187,8622.0
4.0085,4.0206,3.9534,4.0031,6287.0
4.0011,4.0081,3.9731,4.0069,1800.0
4.0014,4.0114,3.9397,3.9488,9359.0
3.951,4.1,3.9408,4.0223,17301.0
4.0203,4.0727,4.0203,4.045,1885.0
4.0415,4.0542,4.0306,4.0484,3634.0
4.0443,4.0443,3.9994,4.0004,3086.0
4.0009,4.072,3.9896,4.0658,7441.0
4.0598,4.0948,4.0536,4.0706,4864.0
4.0602,4.0632,4.0274,4.0465,4117.0
4.0392,4.0587,4.0173,4.036,7367.0
4.0319,4.0504,4.0319,4.0371,2104.0
4.0237,4.0389,3.9937,3.9937,1836.0
3.9975,4.0233,3.993,4.0233,8742.0
4.0142,4.0142,3.9343,3.9391,4493.0
3.9506,3.9645,3.8595,3.8644,17802.0
3.8623,3.9288,3.8524,3.9288,1027.0
3.9506,4.0288,3.9506,4.0275,4339.0
4.008,4.043,3.9892,4.0323,4389.0
4.033,4.0409,3.9706,3.9706,1879.0
3.9787,3.9887,3.9337,3.959,2168.0
3.9596,3.9709,3.9314,3.9354,927.0
3.94,3.9543,3.93,3.9506,12206.0
3.9531,3.9812,3.9387,3.9387,3447.0
3.9325,3.9404,3.9061,3.9246,9537.0
3.9348,3.952,3.9037,3.9041,3584.0
3.9079,3.9189,3.8925,3.9175,1510.0
3.9176,3.9493,3.8939,3.9365,3956.0
3.9236,3.9236,3.8921,3.902,1894.0
3.8944,3.901,3.862,3.8739,3069.0
3.8745,3.8745,3.7981,3.8522,8810.0
3.8444,3.9899,3.8387,3.9802,14463.0
3.9783,4.0348,3.9664,4.025,5369.0
4.0255,4.05,4.0186,4.0444,11455.0
4.0407,4.0571,4.0372,4.053,9913.0
