Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
2.667,2.7,2.644,2.649,187623.24
2.646,2.68,2.641,2.645,67419.54
2.645,2.676,2.568,2.591,235687.18
2.587,2.619,2.56,2.613,105772.29
2.616,2.623,2.565,2.57,53640.91
2.571,2.574,2.507,2.555,144124.48
2.552,2.554,2.513,2.513,42109.04
2.512,2.512,2.431,2.459,112081.08
2.458,2.551,2.452,2.531,100191.26
2.534,2.573,2.503,2.512,74247.75
2.514,2.582,2.503,2.554,65460.86
2.555,2.561,2.518,2.532,40399.48
2.533,2.541,2.503,2.539,24800.98
2.538,2.566,2.535,2.56,54444.12
2.557,2.605,2.551,2.591,56578.43
2.588,2.592,2.559,2.569,40672.21
2.575,2.578,2.552,2.553,47607.81
2.551,2.592,2.55,2.588,44520.63
2.585,2.598,2.565,2.57,52276.4
2.577,2.585,2.559,2.579,41547.98
2.581,2.595,2.549,2.574,92041.12
2.573,2.585,2.533,2.57,73818.92
2.57,2.623,2.559,2.609,62194.6
2.606,2.63,2.596,2.616,191662.73
2.614,2.615,2.567,2.569,73730.96
2.57,2.583,2.514,2.52,36377.92
2.518,2.533,2.472,2.514,96775.83
2.516,2.547,2.51,2.547,21366.94
2.546,2.552,2.417,2.505,120468.92
2.5,2.529,2.465,2.503,45351.58
2.497,2.557,2.464,2.546,128310.54
2.546,2.606,2.545,2.583,104809.42
2.584,2.592,2.562,2.591,55350.17
2.591,2.62,2.568,2.611,36759.1
2.609,2.63,2.604,2.627,28777.52
2.629,2.637,2.596,2.604,50260.78
2.609,2.682,2.608,2.639,106966.73
2.639,2.652,2.619,2.634,39786.58
2.635,2.643,2.602,2.604,22251.32
2.605,2.606,2.553,2.572,96447.46
2.576,2.576,2.529,2.561,58754.98
2.562,2.581,2.549,2.568,90913.8
2.567,2.592,2.502,2.502,51255.81
2.507,2.588,2.504,2.572,57412.28
2.574,2.654,2.559,2.648,69976.76
2.65,2.72,2.63,2.669,230550.98
2.669,2.683,2.646,2.659,75482.52
2.661,2.7,2.659,2.674,85738.67
2.672,2.733,2.669,2.725,75983.94
2.724,2.725,2.699,2.704,53495.41
2.702,2.711,2.686,2.695,37513.6
2.696,2.696,2.658,2.659,30516.12
2.661,2.694,2.661,2.673,29178.54
2.667,2.684,2.651,2.668,46418.44
2.669,2.693,2.666,2.691,30305.61
2.689,2.718,2.659,2.715,36184.75
2.71,2.754,2.705,2.728,40459.45
2.732,2.773,2.721,2.762,36176.16
2.759,2.776,2.738,2.756,36140.71
2.752,2.752,2.715,2.716,21504.67
2.716,2.728,2.711,2.717,15857.26
2.718,2.747,2.707,2.722,24660.8
2.724,2.724,2.692,2.7,12748.29
2.7,2.711,2.687,2.69,39155.81
2.69,2.69,2.669,2.681,25050.76
2.681,2.728,2.68,2.713,115776.74
2.713,2.716,2.697,2.705,17817.19
2.707,2.723,2.705,2.72,17317.73
2.721,2.724,2.692,2.704,19393.06
2.701,2.722,2.691,2.722,28991.2
2.718,2.719,2.676,2.685,45054.2
2.688,2.691,2.653,2.661,32773.89
2.663,2.695,2.663,2.687,31782.33
2.687,2.7,2.678,2.679,14125.11
2.68,2.692,2.677,2.683,13115.42
2.682,2.687,2.666,2.68,20135.24
2.68,2.68,2.655,2.655,12005.09
2.655,2.685,2.655,2.682,7868.0
2.675,2.701,2.668,2.688,11103.51
2.691,2.71,2.668,2.669,30109.87
2.671,2.685,2.665,2.679,7359.46
2.679,2.7,2.671,2.671,10678.58
2.671,2.683,2.652,2.652,13429.15
2.653,2.657,2.623,2.634,16906.26
2.633,2.645,2.616,2.645,19725.96
2.648,2.675,2.643,2.668,22411.13
2.669,2.671,2.629,2.633,24120.36
2.627,2.663,2.596,2.616,40957.72
2.616,2.65,2.616,2.639,35670.89
2.637,2.67,2.627,2.663,14369.29
2.659,2.672,2.637,2.672,18652.23
2.673,2.684,2.66,2.678,11139.22
2.672,2.681,2.662,2.675,89336.04
2.676,2.692,2.646,2.676,151272.64
2.676,2.682,2.639,2.64,24661.69
2.642,2.653,2.628,2.651,66955.45
2.653,2.656,2.626,2.632,13549.65
2.632,2.646,2.623,2.644,9413.35
2.646,2.65,2.633,2.635,6459.96
2.632,2.66,2.63,2.66,9245.58
2.661,2.68,2.659,2.679,21893.4
2.679,2.681,2.65,2.671,133033.23
2.673,2.673,2.625,2.635,45623.84
2.64,2.655,2.594,2.596,33476.03
2.596,2.614,2.574,2.586,45988.74
2.585,2.6,2.543,2.571,35297.01
2.57,2.598,2.556,2.595,29952.85
2.596,2.603,2.589,2.59,34154.72
2.59,2.59,2.538,2.553,123804.94
2.549,2.56,2.51,2.549,32585.99
2.546,2.549,2.479,2.486,37590.68
2.485,2.51,2.454,2.483,52381.82
2.479,2.503,2.475,2.503,15881.6
2.5,2.5,2.437,2.443,42594.29
